Rank,start_station,end_station,line_y,line_x,climate_pass,avg_cum_passenger
1,서울역,시청,01호선,01호선,O,531282.8636363636
2,건대입구,성수,02-3호선,02-3호선,O,470210.1363636364
3,가좌,서울역,경의선-1호선,경의선-1호선,O,443926.6363636364
4,강남,교대,02호선,02호선,O,395513.9090909091
5,선릉,역삼,02호선,02호선,O,384846.0454545455
6,강남,역삼,02호선,02호선,O,384386.5909090909
7,디지털미디어시티,마곡나루,공항철도,공항철도,O,383713.4545454545
8,낙성대,사당,02호선,02호선,O,371578.9545454545
9,방배,사당,02호선,02호선,O,361178.0
10,교대,서초,02호선,02호선,O,359047.3636363636
11,방배,서초,02호선,02호선,O,358804.5909090909
12,김포공항,마곡나루,공항철도,공항철도,O,351902.0
13,낙성대,서울대입구,02호선,02호선,O,351276.4090909091
14,가좌,디지털미디어시티,경의선,경의선,O,341762.5454545455
15,삼성,선릉,02호선,02호선,O,335690.3636363636
16,건대입구,구의,02호선,02호선,O,319908.3181818182
17,봉천,서울대입구,02호선,02호선,O,318166.7727272727
18,강변,잠실나루,02호선,02호선,O,315451.7272727273
19,강변,구의,02호선,02호선,O,314205.6363636364
20,잠실,잠실나루,02호선,02호선,O,314017.3181818182
21,봉천,신림,02호선,02호선,O,306152.5454545455
22,잠실,잠실새내,02호선,02호선,O,301227.2727272727
23,잠실새내,종합운동장,02호선,02호선,O,299227.1363636364
24,삼성,종합운동장,02호선,02호선,O,294296.2272727273
25,합정,홍대입구,02호선,02호선,O,288239.9090909091
26,당산,합정,02호선,02호선,O,284360.0
27,구로디지털단지,대림,02호선,02호선,O,280620.5
28,신대방,신림,02호선,02호선,O,275021.7727272727
29,왕십리,청량리,경의선,경의선,O,271923.7727272727
30,구로디지털단지,신대방,02호선,02호선,O,271432.5
31,당산,영등포구청,02호선,02호선,O,266485.8636363636
32,동작,총신대입구(이수),04호선,04호선,O,261530.0
33,동작,이촌,04호선,04호선,O,259616.6818181818
34,청량리,회기,경의선,경의선,O,252725.7272727273
35,대림,신도림,02호선,02호선,O,245875.5909090909
36,문래,신도림,02-4호선,02-4호선,O,244168.6363636364
37,남영,서울역,01호선,01호선,O,243882.5
38,남영,용산,01호선,01호선,O,241951.2272727273
39,뚝섬,성수,02호선,02호선,O,240764.6363636364
40,문래,영등포구청,02호선,02호선,O,237354.6818181818
41,고속터미널,내방,07호선,07호선,O,234671.3636363636
42,내방,총신대입구(이수),07호선,07호선,O,234524.0
43,용산,이촌,경의선,경의선,O,227582.6363636364
44,뚝섬,한양대,02호선,02호선,O,225239.4545454546
45,왕십리,한양대,02호선,02호선,O,222743.2272727273
46,노량진,용산,01호선,01호선,O,220441.1363636364
47,시청,종각,01호선,01호선,O,213367.0909090909
48,종각,종로3가,01호선,01호선,O,198189.3636363636
49,건대입구,어린이대공원,07호선,07호선,O,191314.0909090909
50,김포공항,원종,서해선,서해선,X,184241.0555555556
51,건대입구,자양,07호선,07호선,O,183840.5909090909
52,군자,어린이대공원,07호선,07호선,O,183828.5909090909
53,부천종합운동장,원종,서해선,서해선,X,183032.5
54,자양,청담,07호선,07호선,O,182305.3636363636
55,동대문,혜화,04호선,04호선,O,179737.0454545454
56,고속터미널,교대,03호선,03호선,O,178480.3636363636
57,강남구청,청담,07호선,07호선,O,178267.8636363636
58,노량진,대방,01호선,01호선,O,172856.7727272727
59,종로3가,종로5가,01호선,01호선,O,166035.8181818182
60,강남구청,선정릉,수인분당선,수인분당선,O,165844.0
61,가산디지털단지,철산,07호선,07호선,O,163304.0454545454
62,사당,총신대입구(이수),04호선,04호선,O,163001.6818181818
63,길음,성신여대입구,04호선,04호선,O,162949.1363636364
64,동대문,종로5가,01호선,01호선,O,159793.1363636364
65,상왕십리,왕십리,02호선,02호선,O,157718.0909090909
66,구로,신도림,01호선,01호선,O,156462.0454545454
67,석촌,잠실,08호선,08호선,O,155679.5454545454
68,신길,영등포,01호선,01호선,O,155470.1363636364
69,대방,신길,01호선,01호선,O,154077.3636363636
70,한성대입구,혜화,04호선,04호선,O,153935.3636363636
71,신도림,영등포,01호선,01호선,O,153488.7272727273
72,가산디지털단지,구로,01-1호선,01-1호선,O,152642.9090909091
73,동대문역사문화공원,을지로4가,05호선,05호선,O,149843.0
74,상왕십리,신당,02호선,02호선,O,149511.5
75,압구정,옥수,03호선,03호선,O,149315.5454545454
76,군자,아차산,05호선,05호선,O,148310.9090909091
77,광명사거리,철산,07호선,07호선,O,147943.9090909091
78,성신여대입구,한성대입구,04호선,04호선,O,147839.9090909091
79,길음,미아사거리,04호선,04호선,O,146316.9545454546
80,강남,양재,신분당선,신분당선,X,144614.1818181818
81,안국,종로3가,03호선,03호선,O,144410.9090909091
82,중랑,회기,경의선,경의선,O,144187.0454545454
83,디지털미디어시티,홍대입구,공항철도,공항철도,O,143742.1363636364
84,광나루,아차산,05호선,05호선,O,141700.2727272727
85,상봉,중랑,경의선,경의선,O,141012.0
86,광명사거리,천왕,07호선,07호선,O,137771.4545454546
87,광나루,천호,05호선,05호선,O,136676.9545454546
88,동대문역사문화공원,신당,02호선,02호선,O,135279.6818181818
89,선릉,선정릉,수인분당선,수인분당선,O,134357.9545454546
90,신사,압구정,03호선,03호선,O,133098.1363636364
91,온수,천왕,07호선,07호선,O,130697.0
92,미아,미아사거리,04호선,04호선,O,130486.0
93,석촌,송파,08호선,08호선,O,130145.9545454545
94,강동,천호,05호선,05호선,O,129184.0909090909
95,교대,남부터미널,03호선,03호선,O,128617.0909090909
96,양재,양재시민의숲,신분당선,신분당선,X,128171.4545454545
97,경복궁,안국,03호선,03호선,O,126121.7727272727
98,가락시장,송파,08호선,08호선,O,124823.8181818182
99,광운대,월계,01호선,01호선,O,124672.5454545455
100,강남구청,학동,07호선,07호선,O,124571.8181818182
101,부천종합운동장,소사,서해선,서해선,X,123751.0
102,녹천,월계,01호선,01호선,O,122388.2272727273
103,미아,수유,04호선,04호선,O,122083.8636363636
104,군자,중곡,07호선,07호선,O,121674.5
105,양재시민의숲,청계산입구,신분당선,신분당선,X,120460.5454545455
106,녹천,창동,01호선,01호선,O,120346.0
107,논현,학동,07호선,07호선,O,119213.8636363636
108,청계산입구,판교,신분당선,신분당선,X,117491.6818181818
109,남태령,사당,04호선,04호선,O,115317.5454545455
110,서울역,회현,04호선,04호선,O,115218.5454545455
111,남태령,선바위,04호선,04호선,O,114215.0
112,서울숲,왕십리,수인분당선,수인분당선,O,113288.3181818182
113,용마산,중곡,07호선,07호선,O,113058.7272727273
114,명동,충무로,04호선,04호선,O,112858.8636363636
115,공덕,마포,05호선,05호선,O,112553.4545454545
116,광운대,상봉,경춘선-1호선,경춘선-1호선,O,112292.9545454545
117,서울숲,압구정로데오,수인분당선,수인분당선,O,112208.1818181818
118,옥수,응봉,경의선,경의선,O,111070.6363636364
119,왕십리,응봉,경의선,경의선,O,110977.0
120,강남구청,압구정로데오,수인분당선,수인분당선,O,110645.9545454545
121,부천,소사,01호선,01호선,X,110204.8181818182
122,가산디지털단지,남구로,07호선,07호선,O,110168.8636363636
123,디지털미디어시티,증산,06호선,06호선,O,109602.9090909091
124,명동,회현,04호선,04호선,O,109236.0454545455
125,사가정,용마산,07호선,07호선,O,108459.6818181818
126,남구로,대림,07호선,07호선,O,108019.1363636364
127,경마공원,선바위,04호선,04호선,O,107604.4090909091
128,가산디지털단지,독산,01-1호선,01-1호선,O,106913.4545454545
129,마포,여의나루,05호선,05호선,O,106248.5
130,제기동,청량리,01호선,01호선,O,106024.1363636364
131,신설동,제기동,01호선,01호선,O,105489.2272727273
132,경복궁,독립문,03호선,03호선,O,104630.6818181818
133,양평,영등포구청,05호선,05호선,O,104458.5909090909
134,경마공원,대공원,04호선,04호선,O,104197.1818181818
135,가좌,홍대입구,경의선,경의선,O,101920.0
136,가락시장,수서,03호선,03호선,O,101906.2272727273
137,남부터미널,양재,03호선,03호선,O,101639.0909090909
138,과천,대공원,04호선,04호선,O,101178.6818181818
139,독립문,무악재,03호선,03호선,O,101109.4545454545
140,면목,사가정,07호선,07호선,O,100992.1363636364
141,수유,쌍문,04호선,04호선,O,100846.4090909091
142,부천,중동,01호선,01호선,X,100216.0
143,계양,김포공항,공항철도,공항철도,X,99684.86363636363
144,면목,상봉,07호선,07호선,O,99562.0
145,새절,증산,06호선,06호선,O,99539.5
146,고속터미널,잠원,03호선,03호선,O,98636.90909090909
147,신촌,홍대입구,02호선,02호선,O,98460.5
148,무악재,홍제,03호선,03호선,O,97642.18181818182
149,신사,잠원,03호선,03호선,O,97383.40909090909
150,동대문역사문화공원,충무로,04호선,04호선,O,97352.22727272728
151,과천,정부과천청사,04호선,04호선,O,96278.95454545454
152,금천구청,독산,01-1호선,01-1호선,O,95834.72727272728
153,남성,총신대입구(이수),07호선,07호선,O,95470.5
154,을지로3가,을지로입구,02호선,02호선,O,95401.04545454546
155,여의나루,여의도,05호선,05호선,O,95241.04545454546
156,송내,중동,01호선,01호선,X,95148.77777777778
157,불광,연신내,03호선,03호선,O,94871.04545454546
158,노원,창동,04호선,04호선,O,94191.72727272728
159,양평,오목교,05호선,05호선,O,94074.36363636363
160,강동,길동,05호선,05호선,O,93182.54545454546
161,금호,옥수,03호선,03호선,O,92762.0
162,동대문,동대문역사문화공원,04호선,04호선,O,92660.09090909091
163,쌍문,창동,04호선,04호선,O,92655.40909090909
164,을지로3가,을지로4가,02호선,02호선,O,92502.40909090909
165,금호,약수,03호선,03호선,O,91135.72727272728
166,보문,신설동,우이신설경전철,우이신설경전철,O,90308.63636363637
167,인덕원,정부과천청사,04호선,04호선,X,89373.90909090909
168,외대앞,회기,01호선,01호선,O,89203.90909090909
169,몽촌토성,잠실,08호선,08호선,O,87917.95454545454
170,녹번,홍제,03호선,03호선,O,87654.90909090909
171,서빙고,이촌,경의선,경의선,O,87346.45454545454
172,옥수,한남,경의선,경의선,O,87215.09090909091
173,남성,숭실대입구,07호선,07호선,O,87161.77272727272
174,서빙고,한남,경의선,경의선,O,86976.31818181818
175,금천구청,석수,01-5호선,01-5호선,X,86924.95454545454
176,굽은다리,길동,05호선,05호선,O,86837.27272727272
177,새절,응암,06호선,06호선,O,86575.86363636363
178,공덕,효창공원앞,경의선,경의선,O,86553.81818181818
179,정자,판교,신분당선,신분당선,X,86398.13636363637
180,암사,천호,08호선,08호선,O,86251.0
181,매봉,양재,03호선,03호선,O,86009.13636363637
182,마장,왕십리,05호선,05호선,O,85833.72727272728
183,도곡,매봉,03호선,03호선,O,84166.36363636363
184,동대입구,충무로,03호선,03호선,O,83839.31818181818
185,강동구청,몽촌토성,08호선,08호선,O,83239.63636363637
186,관악,석수,01-1호선,01-1호선,X,83105.5
187,논현,반포,07호선,07호선,O,82759.18181818182
188,신이문,외대앞,01호선,01호선,O,82358.95454545454
189,답십리,마장,05호선,05호선,O,82322.86363636363
190,서대문,충정로,05호선,05호선,O,82087.0
191,고속터미널,반포,07호선,07호선,O,81790.5
192,시청,을지로입구,02호선,02호선,O,81261.40909090909
193,공덕,홍대입구,공항철도,공항철도,O,81248.63636363637
194,부개,송내,01호선,01호선,X,80260.05555555556
195,관악,안양,01-1호선,01-1호선,X,79308.09090909091
196,복정,수서,수인분당선,수인분당선,O,78826.13636363637
197,녹번,불광,03호선,03호선,O,78758.40909090909
198,굽은다리,명일,05호선,05호선,O,78134.63636363637
199,까치울,온수,07호선,07호선,X,78014.57142857143
200,을지로3가,종로3가,03호선,03호선,O,77913.77272727272
201,을지로3가,충무로,03호선,03호선,O,77899.77272727272
202,동대입구,약수,03호선,03호선,O,77404.45454545454
203,석계,신이문,01호선,01호선,O,77325.59090909091
204,강동구청,천호,08호선,08호선,O,77160.81818181818
205,노량진,샛강,09호선,09호선,O,76756.5
206,신길,여의도,05호선,05호선,O,76614.27272727272
207,목동,오목교,05호선,05호선,O,76403.95454545454
208,부개,부평,01호선,01호선,X,76316.11111111111
209,역곡,온수,01호선,01호선,X,76203.0
210,상도,숭실대입구,07호선,07호선,O,76015.13636363637
211,방학,창동,01호선,01호선,O,75245.81818181818
212,군자,장한평,05호선,05호선,O,75192.13636363637
213,까치울,부천종합운동장,07호선,07호선,X,75063.80952380953
214,까치산,화곡,05호선,05호선,O,74676.54545454546
215,샛강,여의도,09호선,09호선,O,74369.63636363637
216,구파발,연신내,03호선,03호선,O,74309.18181818182
217,디지털미디어시티,수색,경의선,경의선,O,73899.5
218,신길,영등포시장,05호선,05호선,O,73797.90909090909
219,개포동,구룡,수인분당선,수인분당선,O,73694.33333333333
220,서울역,숙대입구,04호선,04호선,O,73411.54545454546
221,인덕원,평촌,04호선,04호선,X,73253.13636363637
222,수색,한국항공대,경의선,경의선,O,72990.75
