시도명,시도교육청명,개방ID,학교명,폐교여부,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원,강원특별자치도교육청,3951520502,원통초등학교신덕분교장,X(폐교),7,9,10,12,12,10,5,3,7,7,5,6,5,3,3
강원,강원특별자치도교육청,6375500380,화천초등학교논미분교장,X(폐교),12,11,9,8,10,9,12,25,19,21,15,18,17,13,3
강원,강원특별자치도교육청,8957997202,광산초등학교흘리분교장,X(폐교),9,8,7,6,4,5,5,3,4,6,9,9,8,4,2
강원,강원특별자치도교육청,9197149932,유촌초등학교오음분교장,X(폐교),35,33,34,25,24,23,21,24,21,18,16,14,15,11,4
강원,강원특별자치도교육청,9593145906,춘천교육대학교부설초등학교,O,498,485,487,484,475,458,444,443,437,436,433,437,422,405,390
경기,경기도교육청,2178841054,내기초등학교신영분교장,X(폐교),27,17,11,2,4,4,2,3,3,5,3,3,3,1,1
경기,경기도교육청,4569602847,남곡초등학교남곡분교장,X(폐교),0,0,0,0,0,0,0,0,0,0,47,36,25,13,8
경기,경기도교육청,9483426928,고골초등학교,X(휴교),158,149,129,104,95,103,89,93,83,74,67,70,70,56,21
경남,경상남도교육청,7579956531,칠서초등학교이룡분교장,O,19,12,18,12,7,9,8,8,6,6,7,7,4,4,2
경남,경상남도교육청,9605033993,진주교육대학교부설초등학교,O,737,720,701,671,640,623,602,588,573,575,573,581,558,539,523
경북,경상북도교육청,1159313559,부계초등학교,X(폐교),53,41,35,38,22,21,21,23,33,41,45,50,47,52,47
경북,경상북도교육청,1279985070,효령초등학교,X(폐교),94,79,69,67,62,54,51,52,43,39,29,27,25,21,28
경북,경상북도교육청,2218756616,송원초등학교,X(폐교),63,45,29,27,25,29,24,20,20,15,18,23,23,18,16
경북,경상북도교육청,3558854758,의흥초등학교석산분교장,X(폐교),13,13,8,7,4,6,6,6,5,7,6,6,5,4,3
경북,경상북도교육청,5757721126,우보초등학교,X(폐교),41,31,29,27,22,20,17,17,14,13,11,10,6,7,9
경북,경상북도교육청,6004998803,의곡초등학교일부분교장,X(폐교),13,10,8,8,10,7,5,5,6,6,8,9,7,7,5
경북,경상북도교육청,6081917047,대구교육대학교안동부설초등학교,O,535,529,509,479,475,461,458,448,435,429,429,426,417,409,396
경북,경상북도교육청,6093323945,고매초등학교,X(폐교),40,40,24,25,21,23,13,18,19,22,24,26,28,20,20
경북,경상북도교육청,7536620080,기성초등학교사동분교장,X(폐교),22,19,16,13,10,10,8,7,11,15,15,13,12,10,5
경북,경상북도교육청,7919367551,의흥초등학교,X(폐교),83,68,56,57,57,54,63,56,57,53,51,38,33,26,17
경북,경상북도교육청,8000224888,봉계초등학교태화분교장,X(폐교),38,31,38,42,46,48,34,19,11,9,9,9,10,8,5
경북,경상북도교육청,8376238942,소천초등학교임기분교장,X(폐교),16,12,12,10,14,11,8,5,3,5,2,3,3,3,3
