시도명,학교ID,개방ID,시도교육청명,학교명,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경북,B000007395,5659730911,경상북도교육청,감천초등학교,71,58,47,37,36,43,49,48,45,44,42,40,46,46,41
경북,B000007040,1388089895,경상북도교육청,감천초등학교,52,41,39,33,28,35,29,37,42,44,46,46,48,46,45
강원,B000004824,4392260551,강원특별자치도교육청,교동초등학교,331,283,227,212,200,176,167,152,155,137,122,116,96,85,81
강원,B000004918,8059256553,강원특별자치도교육청,교동초등학교,655,625,585,541,502,491,458,436,400,404,402,382,363,325,301
강원,B000004877,9949955344,강원특별자치도교육청,교동초등학교,687,613,536,487,445,425,394,375,385,355,366,363,366,353,326
강원,B000004987,9189252972,강원특별자치도교육청,교동초등학교,1680,1542,1407,1334,1208,1177,1095,1001,954,947,919,840,805,800,770
경남,B000007542,7779801487,경상남도교육청,구산초등학교,59,48,37,30,22,16,11,11,16,14,12,15,20,33,44
경남,B000007653,3003649830,경상남도교육청,구산초등학교,1176,1116,1018,908,780,699,658,624,595,550,548,512,490,455,423
경남,B000007590,9274815976,경상남도교육청,금산초등학교,1353,1319,1230,1182,1132,1058,955,895,911,874,864,735,710,672,607
경남,B000007676,8396785199,경상남도교육청,금산초등학교,79,66,79,95,112,124,138,137,137,145,124,96,79,67,58
충남,B000005669,8127098739,충청남도교육청,금성초등학교,152,138,116,122,104,98,99,112,110,93,97,81,90,69,71
전남,B000006581,3177381873,전라남도교육청,금성초등학교,66,62,50,52,50,56,55,46,48,48,49,49,50,44,42
충남,B000005728,7981485366,충청남도교육청,금성초등학교,74,75,68,73,75,69,70,61,59,54,54,44,41,39,33
경북,B000007257,9460578262,경상북도교육청,남산초등학교,58,58,70,91,98,86,88,102,96,101,106,106,110,112,114
경북,B000007138,3603153049,경상북도교육청,남산초등학교,1158,1044,940,854,738,664,586,522,450,424,409,383,364,342,313
강원,B000005034,1354878783,강원특별자치도교육청,남산초등학교,1292,1182,1122,1038,938,928,912,908,892,876,878,815,769,739,798
강원,B000004922,8121860384,강원특별자치도교육청,남산초등학교,725,691,652,624,567,513,514,487,478,492,512,505,465,429,387
강원,B000004856,4330835282,강원특별자치도교육청,남산초등학교,121,116,116,111,96,79,75,76,82,74,73,77,71,59,55
경북,B000007238,7424658238,경상북도교육청,남성초등학교,63,71,77,72,78,92,87,80,86,93,87,84,73,78,66
경북,B000006950,5363978743,경상북도교육청,남성초등학교,40,36,33,33,30,22,22,20,19,19,20,34,46,43,37
경남,B000007629,3250314891,경상남도교육청,남양초등학교,275,255,244,226,221,214,201,201,181,179,170,142,134,125,110
경남,B000007493,5311932623,경상남도교육청,남양초등학교,1645,1539,1497,1404,1326,1303,1282,1265,1257,1239,1216,1123,1052,1001,978
경남,B000007490,9615362644,경상남도교육청,남정초등학교,586,499,430,380,346,315,236,215,212,377,439,477,518,552,599
경남,B000007947,2368968367,경상남도교육청,남정초등학교,261,243,186,149,116,104,92,80,71,67,76,62,69,62,57
경남,B000007486,5045343577,경상남도교육청,내동초등학교,676,644,540,480,413,393,342,331,330,328,308,282,264,265,275
경남,B000007579,5207940697,경상남도교육청,내동초등학교,31,33,141,166,202,213,224,231,223,225,230,231,231,225,217
