학교ID,개방ID,시도명,시도교육청명,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2009_해당지역예측학생수,2010_해당지역예측학생수,2011_해당지역예측학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수
B000005143,1059736549,강원,강원특별자치도교육청,화동초등학교,1923-07-31,강원특별자치도 정선군 화암면 화암리 380 번지,강원특별자치도 정선군 화암면 그림바위길 66-20,37.33869626,128.7879549,정선군,58.0,54.0,50.0,44.0,38.0,32.0,34.0,43.0,44.0,44.0,41.0,35.0,31.0,24.0,18.0,2631,2455,2278,2085,1907,1838,1727,1728,1701,1659,1661,1547,1531,1442,1347,1241,1111,1053,945,877,791,737,0.860129405593414,24.58964081141576,21.367246682550114,19.929563148133134,17.252497256460135,15.566937250591952,13.435199596111602,12.096666650275104
B000005010,1110422253,강원,강원특별자치도교육청,정라초등학교,1941-06-07,강원특별자치도 삼척시 정상동 344,강원특별자치도 삼척시 정상로3길 5,37.44429121,129.1768806,삼척시,1269.0,1257.0,1213.0,1164.0,1078.0,1024.0,959.0,898.0,840.0,759.0,709.0,678.0,630.0,567.0,512.0,4947,4688,4384,3958,3530,3340,3143,3015,2936,2912,2928,2841,2792,2748,2651,2515,2334,2264,2204,2070,1984,1923,0.9134100203739018,631.2104447035838,574.6639408351723,552.7951271844054,534.0504297694623,492.1872722094229,465.3198725813378,446.2627635428124
B000005227,1154525279,강원,강원특별자치도교육청,대진초등학교,1926-04-01,강원특별자치도 고성군 현내면 대진리 148 번지,강원특별자치도 고성군 현내면 대진3길 15,38.49696274,128.423592,강원특별자치도 고성군,99.0,90.0,79.0,64.0,57.0,53.0,40.0,37.0,35.0,30.0,33.0,31.0,40.0,44.0,42.0,2262,2082,1916,1766,1598,1486,1425,1346,1257,1226,1172,1121,1081,1041,1018,940,856,821,761,706,668,620,0.9345963105210183,24.771214121902936,20.379338039480913,18.549389671805073,15.412335327217917,12.536702178013023,10.54990109310782,8.040257617438094
B000004873,1180781960,강원,강원특별자치도교육청,평원초등학교,1995-03-15,강원특별자치도 원주시 단계동 814 번지,강원특별자치도 원주시 금불2길 20,37.34968188,127.9317518,원주시,1130.0,1079.0,1007.0,913.0,857.0,755.0,729.0,722.0,756.0,810.0,852.0,823.0,816.0,849.0,856.0,21266,20620,19692,18727,17843,17562,17366,17226,17344,17569,17725,17153,16782,16521,16050,15398,14460,14060,13627,13057,12660,12303,0.85696679489535,683.0528246445339,617.0298815825885,588.8751084218442,558.3975664753385,518.2770147212779,490.33340235923913,465.20526731327493
B000004836,1202087283,강원,강원특별자치도교육청,남춘천초등학교,1951-10-15,강원특별자치도 춘천시 온의동 550 번지,강원특별자치도 춘천시 충혼길 33,37.86162079,127.7220519,춘천시,875.0,814.0,711.0,646.0,580.0,535.0,511.0,465.0,434.0,410.0,386.0,384.0,408.0,558.0,608.0,18262,17364,16391,15453,14274,13761,13431,13141,13168,13407,13633,13454,13276,13220,12937,12275,11675,11214,10764,10194,9710,9298,0.8864170829671424,389.0380915029548,340.9285422236877,303.9643718607841,267.8822099013337,222.1781380860299,183.36976833408767,150.3345444956576
B000005176,1218364000,강원,강원특별자치도교육청,유촌초등학교,1908-04-01,강원특별자치도 화천군 간동면 유촌리 604 번지,강원특별자치도 화천군 간동면 파로호로 935-9,38.05575042,127.7913201,화천군,77.0,71.0,74.0,71.0,68.0,57.0,48.0,47.0,41.0,43.0,35.0,29.0,29.0,32.0,35.0,2317,2211,2115,1950,1841,1753,1677,1627,1584,1565,1578,1523,1512,1529,1507,1450,1375,1332,1234,1105,1039,976,0.9325163984296824,32.23403152173941,27.715037351648377,25.124147360796186,19.21932831187725,11.446658339320692,7.469943469640583,3.673988366764121
B000004995,1261952579,강원,강원특별자치도교육청,광정초등학교,1967-03-20,강원특별자치도 양양군 현북면 하광정리 193 번지,강원특별자치도 양양군 현북면 하조대1길 38,38.01858351,128.7251068,양양군,56.0,51.0,46.0,54.0,55.0,49.0,29.0,40.0,38.0,23.0,23.0,20.0,28.0,19.0,25.0,1811,1716,1624,1492,1333,1281,1213,1170,1121,1102,1097,1033,993,948,899,808,770,741,702,652,603,587,0.8368115836900988,18.8043342089679,17.253681817952213,16.070289203756033,14.478830170871511,12.43849807742982,10.438972625856962,9.786066355955619
B000022527,1435594499,강원,강원특별자치도교육청,사북초등학교,1941-10-01,강원특별자치도 정선군 사북읍 사북리 344-4 번지,강원특별자치도 정선군 사북읍 소금강로 3561,37.228564,128.8342378,정선군,328.0,295.0,255.0,227.0,257.0,252.0,236.0,242.0,234.0,243.0,244.0,228.0,223.0,211.0,203.0,2631,2455,2278,2085,1907,1838,1727,1728,1701,1659,1661,1547,1531,1442,1347,1241,1111,1053,945,877,791,737,0.8895764848663255,200.52939337239445,190.76614713569518,186.41023727624474,178.2992327103715,173.1923039096365,166.73354101458932,162.6780387316527
B000004837,1439044892,강원,강원특별자치도교육청,소양초등학교,1941-11-01,강원특별자치도 춘천시 우두동 282-1 번지,강원특별자치도 춘천시 충열로 134,37.90535836,127.7398864,춘천시,1283.0,1222.0,1158.0,1147.0,1100.0,1062.0,993.0,1011.0,982.0,991.0,974.0,949.0,1003.0,981.0,940.0,18262,17364,16391,15453,14274,13761,13431,13141,13168,13407,13633,13454,13276,13220,12937,12275,11675,11214,10764,10194,9710,9298,0.9616657159644889,929.7192937685655,893.9629773424081,866.4902075549771,839.672970235359,805.7044696305095,776.8610410467425,752.3083704341144
B000005186,1484088301,강원,강원특별자치도교육청,비봉초등학교,1965-03-01,강원특별자치도 양구군 양구읍 하리 43번지,강원특별자치도 양구군 양구읍 관공서로 56,38.11058955,127.9880675,양구군,357.0,323.0,280.0,264.0,218.0,200.0,193.0,174.0,168.0,157.0,161.0,142.0,141.0,145.0,131.0,1890,1803,1724,1634,1493,1444,1374,1299,1242,1247,1258,1231,1242,1286,1289,1266,1203,1180,1131,1064,1004,931,0.9828370172325412,153.06616885539657,133.70101458465436,126.63119635882785,111.56940970380614,90.97472182857243,72.5317177611989,50.09272947922781
B000005112,1490767538,강원,강원특별자치도교육청,미탄초등학교,1933-10-01,강원특별자치도 평창군 미탄면 창리 776-1,강원특별자치도 평창군 미탄면 미탄중앙로 49,37.34208875,128.5006251,평창군,96.0,94.0,72.0,69.0,56.0,51.0,43.0,37.0,39.0,37.0,37.0,23.0,26.0,28.0,25.0,2962,2737,2506,2291,2063,1981,1886,1808,1738,1676,1646,1570,1466,1418,1329,1285,1168,1067,974,872,782,689,0.9849184842261688,17.472259109757097,11.851244494130057,6.998915637905,2.530929661380938,-2.36944205480674,-6.693299451442925,-11.161285427966988
B000005012,1528597950,강원,강원특별자치도교육청,호산초등학교,1921-05-20,강원특별자치도 삼척시 원덕읍 호산리 347 번지,강원특별자치도 삼척시 원덕읍 삼척로 462-12,37.17753531,129.3354334,삼척시,163.0,142.0,131.0,107.0,99.0,88.0,86.0,81.0,77.0,70.0,68.0,57.0,60.0,51.0,47.0,4947,4688,4384,3958,3530,3340,3143,3015,2936,2912,2928,2841,2792,2748,2651,2515,2334,2264,2204,2070,1984,1923,0.9829170667491948,49.22029358322868,41.07895014484741,37.93036428469995,35.23157640457356,29.204283472291294,25.336020844110138,22.592253165981646
B000005163,1572859764,강원,강원특별자치도교육청,동송초등학교,1954-07-01,강원특별자치도 철원군 동송읍 이평리 836 번지,강원특별자치도 철원군 동송읍 금학로187번길 16-13,38.20391455,127.216704,철원군,933.0,993.0,941.0,890.0,878.0,849.0,787.0,722.0,678.0,677.0,664.0,642.0,633.0,596.0,587.0,4191,3982,3715,3423,3113,2953,2801,2717,2691,2662,2639,2576,2560,2547,2460,2396,2295,2244,2153,2028,1919,1797,0.9159628638033042,628.136497564322,605.3814693805979,593.891306634361,573.3892515381343,545.2270879444163,520.6696812906944,493.1834096232256
B000004825,1617287337,강원,강원특별자치도교육청,효제초등학교,1963-02-12,강원특별자치도 춘천시 효자동 161-2 번지,강원특별자치도 춘천시 효제길 40,37.87091642,127.738179,춘천시,450.0,423.0,338.0,304.0,274.0,269.0,234.0,209.0,200.0,193.0,189.0,160.0,162.0,147.0,135.0,18262,17364,16391,15453,14274,13761,13431,13141,13168,13407,13633,13454,13276,13220,12937,12275,11675,11214,10764,10194,9710,9298,0.9526993647481746,133.0198091319462,100.3267399847665,75.20756519001691,50.68776332963216,19.6293476398115,-6.743061472246723,-29.192302286643383
B000004970,1623643636,강원,강원특별자치도교육청,장성초등학교,1938-04-22,강원특별자치도 태백시 장성동 187-1 번지,강원특별자치도 태백시 보드미길 26,37.10267933,129.0057684,태백시,178.0,163.0,135.0,108.0,94.0,88.0,97.0,105.0,106.0,105.0,89.0,89.0,83.0,74.0,62.0,3336,3187,3038,2901,2775,2795,2772,2757,2776,2751,2721,2560,2422,2270,2039,1879,1688,1526,1351,1182,1067,916,0.9092550282553417,30.320055560079055,13.738635442357548,-0.3251868564429117,-15.517587487863153,-30.189105811920427,-40.17268336971087,-53.2815547716792
