학교ID,개방ID,시도명,시도교육청명,학교명,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,설립일자,소재지지번주소,소재지도로명주소,위도,경도
B000023980,1008023023,강원,강원특별자치도교육청,섬강초등학교,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.0,1568.0,1242.0,1299.0,1360.0,2019-05-01,강원특별자치도 원주시 지정면 가곡리 1527,강원특별자치도 원주시 지정면 가곡로 91,37.37891073,127.8740436
B000005143,1059736549,강원,강원특별자치도교육청,화동초등학교,58.0,54.0,50.0,44.0,38.0,32.0,34.0,43.0,44.0,44.0,41.0,35.0,31.0,24.0,18.0,1923-07-31,강원특별자치도 정선군 화암면 화암리 380 번지,강원특별자치도 정선군 화암면 그림바위길 66-20,37.33869626,128.7879549
B000005010,1110422253,강원,강원특별자치도교육청,정라초등학교,1269.0,1257.0,1213.0,1164.0,1078.0,1024.0,959.0,898.0,840.0,759.0,709.0,678.0,630.0,567.0,512.0,1941-06-07,강원특별자치도 삼척시 정상동 344,강원특별자치도 삼척시 정상로3길 5,37.44429121,129.1768806
B000004834,1112041771,강원,강원특별자치도교육청,성림초등학교,1292.0,1314.0,1311.0,1349.0,1299.0,1267.0,1202.0,1151.0,1146.0,1115.0,1141.0,1152.0,1029.0,942.0,892.0,2002-09-01,강원특별자치도 춘천시 석사동 868번지,강원특별자치도 춘천시 지석로 47,37.85232013,127.740349
B000005125,1128984749,강원,강원특별자치도교육청,속사초등학교,20.0,21.0,23.0,22.0,25.0,24.0,21.0,27.0,34.0,35.0,49.0,45.0,50.0,48.0,37.0,1942-07-15,강원특별자치도 평창군 용평면 속사리 352번지,강원특별자치도 평창군 용평면 운두령로 100,37.64646041,128.4926047
B000004985,1144289433,강원,강원특별자치도교육청,대포초등학교,88.0,64.0,63.0,60.0,65.0,81.0,80.0,80.0,76.0,53.0,46.0,59.0,64.0,61.0,63.0,1919-04-01,강원특별자치도 속초시 대포동 350 번지,강원특별자치도 속초시 동해대로 3797,38.17372332,128.6031621
B000005227,1154525279,강원,강원특별자치도교육청,대진초등학교,99.0,90.0,79.0,64.0,57.0,53.0,40.0,37.0,35.0,30.0,33.0,31.0,40.0,44.0,42.0,1926-04-01,강원특별자치도 고성군 현내면 대진리 148 번지,강원특별자치도 고성군 현내면 대진3길 15,38.49696274,128.423592
B000004864,1179190337,강원,강원특별자치도교육청,만대초등학교,0.0,0.0,585.0,830.0,917.0,965.0,962.0,916.0,919.0,930.0,842.0,806.0,773.0,772.0,699.0,2011-05-01,강원특별자치도 원주시 무실동 1716-2,강원특별자치도 원주시 만대로 65,37.33941893,127.9202582
B000004873,1180781960,강원,강원특별자치도교육청,평원초등학교,1130.0,1079.0,1007.0,913.0,857.0,755.0,729.0,722.0,756.0,810.0,852.0,823.0,816.0,849.0,856.0,1995-03-15,강원특별자치도 원주시 단계동 814 번지,강원특별자치도 원주시 금불2길 20,37.34968188,127.9317518
B000004836,1202087283,강원,강원특별자치도교육청,남춘천초등학교,875.0,814.0,711.0,646.0,580.0,535.0,511.0,465.0,434.0,410.0,386.0,384.0,408.0,558.0,608.0,1951-10-15,강원특별자치도 춘천시 온의동 550 번지,강원특별자치도 춘천시 충혼길 33,37.86162079,127.7220519
B000004966,1214990854,강원,강원특별자치도교육청,함태초등학교,84.0,87.0,88.0,97.0,94.0,91.0,75.0,81.0,102.0,113.0,121.0,115.0,112.0,103.0,86.0,1961-11-25,강원특별자치도 태백시 소도동 5-5번지,강원특별자치도 태백시 소도길 69,37.13878758,128.976707
B000005081,1216025650,강원,강원특별자치도교육청,유현초등학교,22.0,18.0,15.0,16.0,15.0,11.0,17.0,19.0,15.0,14.0,13.0,9.0,12.0,9.0,12.0,1946-10-14,강원특별자치도 횡성군 서원면 유현리 362-1 번지,강원특별자치도 횡성군 서원면 경강로 711,37.52666161,127.874879
B000005176,1218364000,강원,강원특별자치도교육청,유촌초등학교,77.0,71.0,74.0,71.0,68.0,57.0,48.0,47.0,41.0,43.0,35.0,29.0,29.0,32.0,35.0,1908-04-01,강원특별자치도 화천군 간동면 유촌리 604 번지,강원특별자치도 화천군 간동면 파로호로 935-9,38.05575042,127.7913201
B000004964,1220712006,강원,강원특별자치도교육청,상장초등학교,213.0,212.0,210.0,229.0,201.0,206.0,188.0,189.0,209.0,221.0,224.0,194.0,190.0,170.0,155.0,1977-05-26,강원특별자치도 태백시 황지동 123-1 번지,강원특별자치도 태백시 태백로 1223,37.14934577,128.9935072
B000004995,1261952579,강원,강원특별자치도교육청,광정초등학교,56.0,51.0,46.0,54.0,55.0,49.0,29.0,40.0,38.0,23.0,23.0,20.0,28.0,19.0,25.0,1967-03-20,강원특별자치도 양양군 현북면 하광정리 193 번지,강원특별자치도 양양군 현북면 하조대1길 38,38.01858351,128.7251068
B000004992,1286242127,강원,강원특별자치도교육청,손양초등학교,60.0,55.0,50.0,44.0,31.0,30.0,36.0,40.0,42.0,46.0,48.0,49.0,36.0,29.0,28.0,1934-04-01,강원특별자치도 양양군 손양면 하왕도리 140번지,강원특별자치도 양양군 손양면 손중로 202,38.06030303,128.6429862
B000004881,1392034351,강원,강원특별자치도교육청,우산초등학교,398.0,369.0,309.0,305.0,330.0,332.0,346.0,311.0,283.0,270.0,272.0,235.0,208.0,219.0,226.0,1973-10-02,강원특별자치도 원주시 우산동 우산초등학교,강원특별자치도 원주시 우산초교길 84,37.36960628,127.9326151
B000022527,1435594499,강원,강원특별자치도교육청,사북초등학교,328.0,295.0,255.0,227.0,257.0,252.0,236.0,242.0,234.0,243.0,244.0,228.0,223.0,211.0,203.0,1941-10-01,강원특별자치도 정선군 사북읍 사북리 344-4 번지,강원특별자치도 정선군 사북읍 소금강로 3561,37.228564,128.8342378
B000004837,1439044892,강원,강원특별자치도교육청,소양초등학교,1283.0,1222.0,1158.0,1147.0,1100.0,1062.0,993.0,1011.0,982.0,991.0,974.0,949.0,1003.0,981.0,940.0,1941-11-01,강원특별자치도 춘천시 우두동 282-1 번지,강원특별자치도 춘천시 충열로 134,37.90535836,127.7398864
B000024022,1448900401,강원,강원특별자치도교육청,버들초등학교,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,947.0,1112.0,1165.0,1226.0,1243.0,1204.0,1153.0,2016-04-29,강원특별자치도 원주시 반곡동 1,강원특별자치도 원주시 건강로 80,37.32025989,127.9862701
B000004845,1480489850,강원,강원특별자치도교육청,오동초등학교,50.0,46.0,49.0,48.0,51.0,43.0,39.0,42.0,40.0,58.0,62.0,75.0,86.0,93.0,91.0,1949-04-01,강원특별자치도 춘천시 신북읍 발산리 473-2번지,강원특별자치도 춘천시 신북읍 장본길 74,37.95184042,127.758004
B000005186,1484088301,강원,강원특별자치도교육청,비봉초등학교,357.0,323.0,280.0,264.0,218.0,200.0,193.0,174.0,168.0,157.0,161.0,142.0,141.0,145.0,131.0,1965-03-01,강원특별자치도 양구군 양구읍 하리 43번지,강원특별자치도 양구군 양구읍 관공서로 56,38.11058955,127.9880675
B000004979,1486012518,강원,강원특별자치도교육청,온정초등학교,80.0,74.0,71.0,71.0,67.0,66.0,77.0,77.0,68.0,66.0,62.0,65.0,68.0,78.0,68.0,1951-09-15,강원특별자치도 속초시 노학동 620 번지,강원특별자치도 속초시 온천로 107,38.1899335,128.5539681
B000005112,1490767538,강원,강원특별자치도교육청,미탄초등학교,96.0,94.0,72.0,69.0,56.0,51.0,43.0,37.0,39.0,37.0,37.0,23.0,26.0,28.0,25.0,1933-10-01,강원특별자치도 평창군 미탄면 창리 776-1,강원특별자치도 평창군 미탄면 미탄중앙로 49,37.34208875,128.5006251
B000005012,1528597950,강원,강원특별자치도교육청,호산초등학교,163.0,142.0,131.0,107.0,99.0,88.0,86.0,81.0,77.0,70.0,68.0,57.0,60.0,51.0,47.0,1921-05-20,강원특별자치도 삼척시 원덕읍 호산리 347 번지,강원특별자치도 삼척시 원덕읍 삼척로 462-12,37.17753531,129.3354334
B000005001,1538085460,강원,강원특별자치도교육청,현성초등학교,19.0,29.0,36.0,35.0,22.0,19.0,15.0,15.0,16.0,14.0,11.0,11.0,12.0,12.0,11.0,1934-10-01,강원특별자치도 양양군 현북면 어성전리 530,강원특별자치도 양양군 현북면 어성전길 114,37.95204184,128.6652332
B000004905,1572831869,강원,강원특별자치도교육청,고산초등학교,38.0,33.0,30.0,26.0,25.0,17.0,17.0,24.0,32.0,32.0,44.0,51.0,55.0,60.0,54.0,1943-04-10,강원특별자치도 원주시 호저면 고산리 260,강원특별자치도 원주시 호저면 호저로 873,37.44654061,127.9276932
B000005163,1572859764,강원,강원특별자치도교육청,동송초등학교,933.0,993.0,941.0,890.0,878.0,849.0,787.0,722.0,678.0,677.0,664.0,642.0,633.0,596.0,587.0,1954-07-01,강원특별자치도 철원군 동송읍 이평리 836 번지,강원특별자치도 철원군 동송읍 금학로187번길 16-13,38.20391455,127.216704
B000004825,1617287337,강원,강원특별자치도교육청,효제초등학교,450.0,423.0,338.0,304.0,274.0,269.0,234.0,209.0,200.0,193.0,189.0,160.0,162.0,147.0,135.0,1963-02-12,강원특별자치도 춘천시 효자동 161-2 번지,강원특별자치도 춘천시 효제길 40,37.87091642,127.738179
B000004970,1623643636,강원,강원특별자치도교육청,장성초등학교,178.0,163.0,135.0,108.0,94.0,88.0,97.0,105.0,106.0,105.0,89.0,89.0,83.0,74.0,62.0,1938-04-22,강원특별자치도 태백시 장성동 187-1 번지,강원특별자치도 태백시 보드미길 26,37.10267933,129.0057684
B000004885,1674925327,강원,강원특별자치도교육청,장양초등학교,448.0,376.0,339.0,306.0,279.0,259.0,235.0,213.0,178.0,177.0,156.0,125.0,97.0,92.0,87.0,1947-12-03,강원특별자치도 원주시 태장동 장전길 1983 번지,강원특별자치도 원주시 북원로 2868,37.39858148,127.9532647
B000024259,1707922399,강원,강원특별자치도교육청,장학초등학교,0.0,0.0,0.0,0.0,0.0,0.0,313.0,488.0,617.0,683.0,789.0,840.0,829.0,819.0,821.0,2015-05-01,강원특별자치도 춘천시 동면 장학리 990번지,강원특별자치도 춘천시 동면 춘천로449번길 33,37.895209,127.7522366
B000005076,1770399630,강원,강원특별자치도교육청,청일초등학교,51.0,47.0,38.0,38.0,34.0,31.0,33.0,34.0,27.0,28.0,22.0,21.0,16.0,10.0,9.0,1934-09-24,강원특별자치도 횡성군 청일면 유동리 1005-1,강원특별자치도 횡성군 청일면 청정로 795,37.58131788,128.146834
B000004888,1846746027,강원,강원특별자치도교육청,문막초등학교,608.0,569.0,546.0,487.0,437.0,423.0,413.0,401.0,408.0,418.0,492.0,486.0,443.0,409.0,390.0,1917-05-01,강원특별자치도 원주시 문막읍 건등리 1704 번지,강원특별자치도 원주시 문막읍 건등로 28-11,37.31291674,127.8205042
B000004969,1851055264,강원,강원특별자치도교육청,삼성초등학교,111.0,102.0,86.0,81.0,70.0,63.0,56.0,45.0,44.0,48.0,52.0,55.0,47.0,44.0,30.0,1964-03-14,강원특별자치도 태백시 장성동 32-2 번지,강원특별자치도 태백시 평화길 44,37.097576,129.0235889
B000004968,1870220184,강원,강원특별자치도교육청,태백초등학교,86.0,67.0,71.0,75.0,68.0,66.0,51.0,46.0,40.0,41.0,38.0,35.0,38.0,34.0,32.0,1961-11-25,강원특별자치도 태백시 장성동 207-2 번지,강원특별자치도 태백시 태백로 1811,37.10857841,129.005232
B000005009,1878157913,강원,강원특별자치도교육청,진주초등학교,349.0,296.0,256.0,248.0,199.0,172.0,188.0,184.0,175.0,191.0,196.0,174.0,168.0,157.0,136.0,1946-04-15,강원특별자치도 삼척시 남양동 178 번지,강원특별자치도 삼척시 사직로1길 23,37.43304777,129.1657583
B000004880,1894677102,강원,강원특별자치도교육청,원주초등학교,704.0,594.0,512.0,443.0,391.0,379.0,346.0,331.0,315.0,302.0,266.0,246.0,231.0,213.0,195.0,1896-09-17,강원특별자치도 원주시 봉산동 1120 번지,강원특별자치도 원주시 봉산로 15,37.347842,127.9588477
B000004897,1933063268,강원,강원특별자치도교육청,소초초등학교,59.0,54.0,62.0,61.0,49.0,50.0,48.0,52.0,52.0,57.0,59.0,64.0,63.0,60.0,50.0,1930-11-11,강원특별자치도 원주시 소초면 792번지,강원특별자치도 원주시 소초면 평장안골1길 15,37.41767143,128.0046158
B000005000,1940600275,강원,강원특별자치도교육청,상평초등학교오색분교장,11.0,10.0,14.0,10.0,6.0,9.0,11.0,10.0,7.0,4.0,4.0,3.0,3.0,3.0,7.0,1961-04-01,강원특별자치도 양양군 서면 오색리 307-1 번지,강원특별자치도 양양군 서면 설악로 1173,38.07434202,128.4792502
