학교ID,개방ID,시도명,시도교육청명,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2009_해당지역예측학생수,2010_해당지역예측학생수,2011_해당지역예측학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수
B000005112,1490767538,강원,강원특별자치도교육청,미탄초등학교,1933-10-01,강원특별자치도 평창군 미탄면 창리 776-1,강원특별자치도 평창군 미탄면 미탄중앙로 49,37.34208875,128.5006251,평창군,96.0,94.0,72.0,69.0,56.0,51.0,43.0,37.0,39.0,37.0,37.0,23.0,26.0,28.0,25.0,2962,2737,2506,2291,2063,1981,1886,1808,1738,1676,1646,1570,1466,1418,1329,1285,1168,1067,974,872,782,689,0.9849184842261688,17.472259109757097,11.851244494130057,6.998915637905,2.530929661380938,-2.36944205480674,-6.693299451442925,-11.161285427966988
B000004825,1617287337,강원,강원특별자치도교육청,효제초등학교,1963-02-12,강원특별자치도 춘천시 효자동 161-2 번지,강원특별자치도 춘천시 효제길 40,37.87091642,127.738179,춘천시,450.0,423.0,338.0,304.0,274.0,269.0,234.0,209.0,200.0,193.0,189.0,160.0,162.0,147.0,135.0,18262,17364,16391,15453,14274,13761,13431,13141,13168,13407,13633,13454,13276,13220,12937,12275,11675,11214,10764,10194,9710,9298,0.9526993647481746,133.0198091319462,100.3267399847665,75.20756519001691,50.68776332963216,19.6293476398115,-6.743061472246723,-29.192302286643383
B000004970,1623643636,강원,강원특별자치도교육청,장성초등학교,1938-04-22,강원특별자치도 태백시 장성동 187-1 번지,강원특별자치도 태백시 보드미길 26,37.10267933,129.0057684,태백시,178.0,163.0,135.0,108.0,94.0,88.0,97.0,105.0,106.0,105.0,89.0,89.0,83.0,74.0,62.0,3336,3187,3038,2901,2775,2795,2772,2757,2776,2751,2721,2560,2422,2270,2039,1879,1688,1526,1351,1182,1067,916,0.9092550282553417,30.320055560079055,13.738635442357548,-0.3251868564429117,-15.517587487863153,-30.189105811920427,-40.17268336971087,-53.2815547716792
B000004885,1674925327,강원,강원특별자치도교육청,장양초등학교,1947-12-03,강원특별자치도 원주시 태장동 장전길 1983 번지,강원특별자치도 원주시 북원로 2868,37.39858148,127.9532647,원주시,448.0,376.0,339.0,306.0,279.0,259.0,235.0,213.0,178.0,177.0,156.0,125.0,97.0,92.0,87.0,21266,20620,19692,18727,17843,17562,17366,17226,17344,17569,17725,17153,16782,16521,16050,15398,14460,14060,13627,13057,12660,12303,0.9319611509163772,48.07699161066671,-16.425626333972104,-43.932073218679534,-73.70780197137526,-112.90448878208326,-140.2046373151553,-164.7541411597566
B000004969,1851055264,강원,강원특별자치도교육청,삼성초등학교,1964-03-14,강원특별자치도 태백시 장성동 32-2 번지,강원특별자치도 태백시 평화길 44,37.097576,129.0235889,태백시,111.0,102.0,86.0,81.0,70.0,63.0,56.0,45.0,44.0,48.0,52.0,55.0,47.0,44.0,30.0,3336,3187,3038,2901,2775,2795,2772,2757,2776,2751,2721,2560,2422,2270,2039,1879,1688,1526,1351,1182,1067,916,0.8704940662324401,9.42842805074828,-2.2929466015634716,-12.234636097241491,-22.97411549072085,-33.345384162138046,-40.4027563349959,-49.66939284022666
B000004968,1870220184,강원,강원특별자치도교육청,태백초등학교,1961-11-25,강원특별자치도 태백시 장성동 207-2 번지,강원특별자치도 태백시 태백로 1811,37.10857841,129.005232,태백시,86.0,67.0,71.0,75.0,68.0,66.0,51.0,46.0,40.0,41.0,38.0,35.0,38.0,34.0,32.0,3336,3187,3038,2901,2775,2795,2772,2757,2776,2751,2721,2560,2422,2270,2039,1879,1688,1526,1351,1182,1067,916,0.81896400326784,14.521167856051605,6.088736257723141,-1.0633785010685415,-8.789428394824988,-16.250585149366927,-21.327703650978307,-27.99418098787673
B000004880,1894677102,강원,강원특별자치도교육청,원주초등학교,1896-09-17,강원특별자치도 원주시 봉산동 1120 번지,강원특별자치도 원주시 봉산로 15,37.347842,127.9588477,원주시,704.0,594.0,512.0,443.0,391.0,379.0,346.0,331.0,315.0,302.0,266.0,246.0,231.0,213.0,195.0,21266,20620,19692,18727,17843,17562,17366,17226,17344,17569,17725,17153,16782,16521,16050,15398,14460,14060,13627,13057,12660,12303,0.9701534681160225,120.62408789133724,31.430744420891187,-6.604796504672095,-47.77826955659452,-101.97891537552232,-139.72918974414392,-173.67591002020936
B000004924,1946212530,강원,강원특별자치도교육청,옥천초등학교,1943-07-06,강원특별자치도 강릉시 옥천동 111번지,강원특별자치도 강릉시 수문길 25,37.75683221,128.9027168,강릉시,509.0,454.0,404.0,346.0,298.0,256.0,231.0,212.0,185.0,201.0,207.0,193.0,184.0,173.0,161.0,15873,15217,14515,13637,12479,11873,11310,10841,10397,10272,10161,9702,9360,9108,8703,8116,7516,7020,6672,6162,5819,5561,0.9804572879320183,105.07805897952693,76.79041549719813,53.40596355180628,36.999130332055586,12.954633372076103,-3.216469485321852,-15.380156182723226
B000004960,2147341728,강원,강원특별자치도교육청,천곡초등학교,1993-12-31,강원특별자치도 동해시 천곡동 320-1 번지,강원특별자치도 동해시 동굴로 33,37.5177868,129.1078871,동해시,778.0,679.0,591.0,553.0,528.0,475.0,427.0,392.0,371.0,326.0,300.0,285.0,281.0,268.0,252.0,7945,7540,7176,6704,6185,5832,5516,5250,5017,4932,4831,4668,4582,4425,4320,4089,3792,3487,3188,2943,2655,2450,0.9908886339915864,220.55798050499288,180.2961441114769,138.94981380837118,98.41685393745774,65.20422795627445,26.162447211046754,-1.627709222188173
B000004951,2331170141,강원,강원특별자치도교육청,묵호초등학교,1935-10-07,강원특별자치도 동해시 발한동 318,강원특별자치도 동해시 발한천길 30,37.552301,129.1013302,동해시,269.0,237.0,212.0,200.0,179.0,166.0,153.0,144.0,143.0,132.0,107.0,94.0,85.0,82.0,90.0,7945,7540,7176,6704,6185,5832,5516,5250,5017,4932,4831,4668,4582,4425,4320,4089,3792,3487,3188,2943,2655,2450,0.9821063745246527,77.57970014914531,63.360460034020775,48.75821008414542,34.44321751033317,22.713541321089025,8.925187270059183,-0.8894397454308205
