,학교_식별자,시군구별,매칭된 행정구역,인구 수,2023,회귀계수,학생 비
0,가곡고등학교 (강원),삼척시,강원도 삼척시,62651.0,3,-0.03655462184873949,4.788431150340777e-05
1,가락고등학교 (서울),서울특별시 송파구,서울특별시 송파구,654166.0,765,-0.04243773003509372,0.001169427943366057
2,가림고등학교 (인천),인천광역시 서구,인천광역시 서구,624358.0,889,-0.03188427010148321,0.0014238625916541472
3,가야고등학교 (부산),부산광역시 부산진구,부산광역시 부산진구,359508.0,472,-0.051901287164612044,0.0013129054151785218
4,가온고등학교 (경기),안성시,경기도 안성시,189034.0,808,-0.02184950135992747,0.0042743633420442885
5,가운고등학교 (경기),남양주시,경기도 남양주시,732265.0,924,0.04049734106840705,0.001261838268932695
6,가은고등학교 (경북),문경시,경상북도 문경시,68755.0,56,-0.01880131362889984,0.0008144862191840594
7,가재울고등학교 (서울),서울특별시 서대문구,서울특별시 서대문구,306231.0,662,0.07506165812938723,0.0021617667708363946
8,가정고등학교 (인천),인천광역시 서구,인천광역시 서구,624358.0,917,-0.02816334355828221,0.0014687086575330178
9,가좌고등학교 (경기),일산서구,경기도 고양시 일산서구,286872.0,829,-0.02418650793650794,0.0028897905686159683
10,가좌고등학교 (인천),인천광역시 서구,인천광역시 서구,624358.0,906,-0.027103552018633542,0.0014510905602234615
11,가평고등학교 (경기),가평군,경기도 가평군,62302.0,582,-0.030097197106690777,0.00934159417033161
12,간동고등학교 (강원),화천군,강원도 화천군,23007.0,45,-0.02316017316017316,0.0019559264571652104
13,간디고등학교 (경남),산청군,경상남도 산청군,33752.0,89,-0.011556329849012774,0.002636880777435411
14,갈매고등학교 (경기),구리시,경기도 구리시,187093.0,691,0.09046929915236718,0.0036933503658608284
15,갈산고등학교 (충남),홍성군,충청남도 홍성군,97524.0,179,-0.027525801195002714,0.0018354456338952462
16,감일고등학교 (경기),하남시,경기도 하남시,329861.0,569,0.03851368315340196,0.0017249690020948217
17,갑천고등학교 (강원),횡성군,강원도 횡성군,46359.0,41,-0.04044750430292599,0.0008844021657067667
18,강경고등학교 (충남),논산시,충청남도 논산시,110423.0,177,-0.03580665024630542,0.0016029269264555392
19,강경상업고등학교 (충남),논산시,충청남도 논산시,110423.0,240,-0.02753987517337032,0.002173460239261748
20,강구정보고등학교 (경북),영덕군,경상북도 영덕군,34055.0,33,-0.04559037900874636,0.0009690207018059023
21,강남영상미디어고등학교 (인천),인천광역시 강화군,인천광역시 강화군,69005.0,173,-0.014618869936034118,0.0025070647054561265
22,강동고등학교 (대구),대구광역시 동구,대구광역시 동구,342813.0,736,-0.021706033010813888,0.0021469430855889362
23,강동고등학교 (서울),서울특별시 강동구,서울특별시 강동구,459167.0,672,-0.03723978662503253,0.0014635198086970535
24,강동고등학교 (울산),울산광역시 북구,울산광역시 북구,216477.0,267,0.049505082932049235,0.0012333873806455189
25,강릉고등학교 (강원),강릉시,강원도 강릉시,209439.0,516,-0.04538303239511418,0.002463724521220976
26,강릉명륜고등학교 (강원),강릉시,강원도 강릉시,209439.0,524,-0.04635165864098448,0.002501921800619751
27,강릉문성고등학교 (강원),강릉시,강원도 강릉시,209439.0,646,-0.030852601156069363,0.0030844303114510667
