,학교_식별자,소재지지번주소,개방ID,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,2037_해당지역예측학생수,2038_해당지역예측학생수,2039_해당지역예측학생수,매칭된 행정구역,학생 비,회귀계수
0,가곡고등학교 (강원),강원특별자치도 삼척시 가곡면 오저리 88,7225805163,37.14634584,129.2048269,삼척시,12,15,11,13,12,16,17,16,16,9,7,7,8,8,3,2636.0,2718.0,2570.0,2311.0,1970.0,1814.0,1647.0,1560.0,1526.0,1496.0,1455.0,1410.0,1416.0,1473.0,1431.0,1376.0,1275.0,1220.0,1139.0,1059.0,1044.0,1065.0,1011.0,940.0,858.0,강원도 삼척시,0.001965923984272608,-0.03655462184873949
1,가락고등학교 (서울),서울특별시 송파구 송파동 172,5066465437,37.50107579,127.1164258,서울특별시 송파구,1669,1600,1553,1489,1331,1194,1075,1028,985,894,832,823,822,767,765,26843.0,26349.0,24846.0,22942.0,20417.0,18763.0,17405.0,16430.0,16624.0,17342.0,18313.0,19108.0,19687.0,20183.0,19396.0,18823.0,17863.0,17400.0,16375.0,15043.0,13967.0,12782.0,11684.0,10544.0,9721.0,서울특별시 송파구,0.04601780558229066,-0.04243773003509372
2,가림고등학교 (인천),인천광역시 서구 가좌동 30-92,9869282543,37.49261929,126.6812015,인천광역시 서구,1464,1381,1332,1230,1250,1247,1228,1134,1071,992,913,849,821,833,889,15753.0,15428.0,14758.0,13624.0,12117.0,11063.0,10803.0,10944.0,11809.0,12265.0,12114.0,11855.0,12093.0,13601.0,14678.0,15445.0,15302.0,14897.0,13635.0,12732.0,12099.0,11803.0,11029.0,10441.0,10499.0,인천광역시 서구,0.07528156490812092,-0.03188427010148321
3,가야고등학교 (부산),부산광역시 부산진구 가야동 산33-3,3730158329,35.14630264,129.0310877,부산광역시 부산진구,1576,1430,1304,1197,1071,964,844,736,635,581,542,511,487,466,472,13620.0,13383.0,12909.0,12127.0,11046.0,10309.0,9791.0,9536.0,9820.0,10042.0,10008.0,9744.0,9733.0,10033.0,9833.0,9572.0,9126.0,8748.0,8009.0,6998.0,6001.0,5181.0,4727.0,4530.0,4677.0,부산광역시 부산진구,0.04806517311608961,-0.051901287164612044
4,가온고등학교 (경기),경기도 안성시 발화동 215-7,8473934650,36.98842094,127.276022,안성시,1103,1083,1069,1049,1070,1022,1006,1006,1024,958,887,814,799,794,808,5026.0,5254.0,5344.0,5526.0,5498.0,5523.0,5378.0,5319.0,5377.0,5654.0,5727.0,5671.0,5684.0,5790.0,5679.0,5318.0,4854.0,4521.0,4145.0,3679.0,3280.0,2875.0,2679.0,2521.0,2417.0,경기도 안성시,0.15026966710061374,-0.02184950135992747
5,가운고등학교 (경기),경기도 남양주시 다산동 684,7088080167,37.59944721,127.160699,남양주시,0,0,425,836,1182,1070,984,921,941,949,934,899,897,892,924,14389.0,15379.0,15484.0,14735.0,13473.0,12852.0,12596.0,13031.0,14408.0,15759.0,16131.0,16317.0,17028.0,18027.0,17711.0,17041.0,16548.0,16261.0,15228.0,13760.0,12397.0,11658.0,11134.0,10888.0,10448.0,경기도 남양주시,0.06413103831204886,0.04049734106840705
6,가은고등학교 (경북),경상북도 문경시 가은읍 왕능리 218,4575511217,36.64547535,128.0711654,문경시,68,68,68,74,85,87,81,76,68,66,57,57,55,51,56,2369.0,2345.0,2257.0,2029.0,1775.0,1541.0,1415.0,1304.0,1335.0,1347.0,1456.0,1511.0,1660.0,1761.0,1764.0,1682.0,1604.0,1499.0,1358.0,1133.0,1004.0,941.0,940.0,893.0,780.0,경상북도 문경시,0.041947565543071164,-0.01880131362889984
7,가재울고등학교 (서울),서울특별시 서대문구 북가좌동 476,1018780291,37.57444587,126.9094148,서울특별시 서대문구,0,0,0,0,289,525,753,737,731,719,693,651,640,635,662,14306.0,14230.0,13619.0,12773.0,11648.0,10894.0,10147.0,9542.0,9349.0,9246.0,8816.0,8252.0,7683.0,7551.0,7196.0,7162.0,6867.0,6710.0,6287.0,5759.0,5079.0,4701.0,4480.0,4322.0,4090.0,서울특별시 서대문구,0.07080971226869184,0.07506165812938723
8,가정고등학교 (인천),인천광역시 서구 가정동 430-41,1623722493,37.51351681,126.6797187,인천광역시 서구,1272,1214,1225,1304,1217,1109,1002,999,1004,956,886,800,796,824,917,15753.0,15428.0,14758.0,13624.0,12117.0,11063.0,10803.0,10944.0,11809.0,12265.0,12114.0,11855.0,12093.0,13601.0,14678.0,15445.0,15302.0,14897.0,13635.0,12732.0,12099.0,11803.0,11029.0,10441.0,10499.0,인천광역시 서구,0.07765263781861292,-0.02816334355828221
9,가좌고등학교 (경기),경기도 고양시 일산서구 가좌동 1097,5456420004,37.68802952,126.7201873,일산서구,878,1339,1440,1409,1358,1292,1261,1250,1162,1043,957,932,889,848,829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7898.0,8024.0,7540.0,7059.0,6755.0,7122.0,7048.0,6898.0,6680.0,6540.0,6114.0,5366.0,4744.0,4407.0,4291.0,4149.0,3886.0,경기도 고양시 일산서구,0.10496328184350469,-0.02418650793650794
