조사년도,학교명,시도명,지역명,학제유형명,고등교육학교_입학생수,6학년재적학생수,5학년재적학생수,4학년재적학생수,3학년재적학생수,2학년재적학생수,1학년재적학생수
2009,광주여자대학교,광주,광주 광산구,대학,1121,0,0,704,1051,1068,1165
2009,호원대학교,전북,전북 군산시,산업대학,1509,0,0,1445,2032,2154,3332
2009,우송대학교,대전,대전 동구,산업대학,0,0,0,2454,2134,3728,588
2009,삼육대학교,서울,서울 노원구,대학,1398,0,0,1395,1591,1869,1812
2009,선교청대학교,충남,충남 천안시,대학,64,0,0,20,34,75,84
2009,광주대학교(산업대),광주,광주 남구,산업대학,0,0,0,1005,209,76,16
2009,연세대학교,강원,강원 원주시,대학,1704,0,0,3142,3039,2766,2064
2009,연세대학교,서울,서울 서대문구,대학,4031,0,54,8055,7746,6110,4525
2009,전남대학교,광주,광주 북구,대학,3731,0,24,7114,6122,7982,4613
2009,전남대학교,전남,전남 여수시,대학,955,0,33,1142,1204,2385,1311
2009,대구대학교,경북,경북 경산시,대학,4928,0,0,5920,5984,10680,6324
2009,대구대학교,대구,대구 남구,대학,0,0,0,27,39,0,0
2009,아세아연합신학대학교,경기,경기 양평군,대학,160,0,0,260,302,275,302
2009,전북대학교,전북,전북 익산시,대학,221,0,0,0,0,186,227
2009,전북대학교,전북,전북 전주시,대학,4297,0,26,6425,5894,8281,4953
2009,중앙대학교,경기,경기 안성시,대학,1950,0,19,4135,3570,3538,2315
2009,중앙대학교,서울,서울 동작구,대학,2886,0,42,5824,5109,5386,3472
2009,홍익대학교,서울,서울 마포구,대학,2759,0,156,4594,3661,4516,3564
2009,홍익대학교,충남,충남 연기군,대학,1558,0,37,2676,2126,2653,2070
2009,신경대학교,경기,경기 화성시,대학,261,0,0,7,31,92,372
2009,경운대학교,경북,경북 구미시,산업대학,1467,0,0,865,1254,2255,2526
2009,전주교육대학교,전북,전북 전주시,교육대학,424,0,0,450,428,392,436
2009,영산대학교(산업대),경남,경남 양산시,산업대학,0,0,0,717,462,323,49
2009,영산대학교(산업대),부산,부산 해운대구,산업대학,0,0,0,792,422,287,61
2009,광운대학교,서울,서울 노원구,대학,1976,0,28,3520,2688,3648,2840
2009,추계예술대학교,서울,서울 서대문구,대학,309,0,0,404,413,398,359
2009,광신대학교,광주,광주 북구,대학,72,0,0,137,136,115,86
2009,을지대학교,경기,경기 성남시,대학,1071,0,0,195,1351,1597,1177
2009,을지대학교,대전,대전 중구,대학,196,0,0,254,238,297,251
2009,동의대학교,부산,부산 부산진구,대학,4467,0,58,5023,4888,8880,5864
2009,경인교육대학교,경기,경기 안양시,교육대학,427,0,0,467,477,431,447
2009,경인교육대학교,인천,인천 계양구,교육대학,412,0,0,547,519,441,436
2009,안양대학교,경기,경기 안양시,대학,1228,0,0,1587,1587,2034,1439
2009,안양대학교,인천,인천 강화군,대학,147,0,0,133,188,236,169
2009,대구교육대학교,대구,대구 남구,교육대학,564,0,0,653,572,550,576
2009,한려대학교,전남,전남 광양시,산업대학,364,0,0,355,317,254,432
2009,정석대학,서울,서울 강서구,기술대학(대학과정),56,0,0,69,61,0,0
2009,정석대학,서울,서울 강서구,기술대학(전문대학과정),17,0,0,0,0,18,20
2009,서남대학교,전북,전북 남원시,대학,568,0,0,439,383,474,757
2009,서남대학교,충남,충남 아산시,대학,439,0,0,89,182,290,665
2009,공주대학교,충남,충남 공주시,대학,3393,0,40,4397,4709,6150,3772
2009,동명대학교,부산,부산 남구,대학,2060,0,0,827,1284,4011,3185
2009,한일장신대학교,전북,전북 완주군,대학,286,0,0,389,388,255,361
2009,서강대학교,서울,서울 마포구,대학,1875,0,0,3227,3367,3003,2081
2009,부산대학교,부산,부산 금정구,대학,4953,0,28,7710,6481,9280,5802
2009,울산대학교,울산,울산 남구,대학,3269,0,49,5094,4131,7082,4150
2009,한서대학교,충남,충남 서산시,대학,2054,0,0,2019,2579,3728,2163
2009,건동대학교,경북,경북 안동시,대학,121,0,0,60,154,175,153
2009,광주가톨릭대학교,전남,전남 나주시,대학,24,0,0,34,69,45,24
2009,동양대학교,경북,경북 영주시,대학,1288,0,0,885,1053,1933,2294
