,학교_식별자,위도,경도,label
54,경구고등학교 (경북),36.14854107,128.307609,0
93,경북생활과학고등학교 (경북),36.19960113,128.3922014,0
97,경북외국어고등학교 (경북),36.12450267,128.3220899,0
225,구미고등학교 (경북),36.13777736,128.3327162,1
226,구미여자고등학교 (경북),36.144465,128.3316915,1
227,구미여자상업고등학교 (경북),36.10756924,128.3421444,1
228,구미정보고등학교 (경북),36.118552,128.4342303,1
262,금오고등학교 (경북),36.10894994,128.3556319,0
449,도개고등학교 (경북),36.30151219,128.3301698,0
690,사곡고등학교 (경북),36.09685605,128.352797,0
728,상모고등학교 (경북),36.08449575,128.351716,0
805,선산고등학교 (경북),36.24820115,128.2950623,1
810,선주고등학교 (경북),36.14176382,128.3122513,0
1092,오상고등학교 (경북),36.12502535,128.4961942,0
1198,인동고등학교 (경북),36.089962,128.4322095,0
1564,현일고등학교 (경북),36.18720149,128.349288,0
1568,형곡고등학교 (경북),36.10150009,128.338422,0
