학교_식별자,소재지지번주소,개방ID,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,2037_해당지역예측학생수,2038_해당지역예측학생수,2039_해당지역예측학생수,2024년_예측_학생수,2025년_예측_학생수,2026년_예측_학생수,2027년_예측_학생수,2028년_예측_학생수,2029년_예측_학생수,2030년_예측_학생수,2031년_예측_학생수,2032년_예측_학생수,2033년_예측_학생수,2034년_예측_학생수,2035년_예측_학생수,2036년_예측_학생수,2037년_예측_학생수,2038년_예측_학생수,2039년_예측_학생수
가곡고등학교 (강원),강원특별자치도 삼척시 가곡면 오저리 88,7225805163,37.14634584,129.2048269,삼척시,12,15,11,13,12,16,17,16,16,9,7,7,8,8,3,2636.0,2718.0,2570.0,2311.0,1970.0,1814.0,1647.0,1560.0,1526.0,1496.0,1455.0,1410.0,1416.0,1473.0,1431.0,1376.0,1275.0,1220.0,1139.0,1059.0,1044.0,1065.0,1011.0,940.0,858.0,4.626092586558865,4.2433445087298605,3.823255155015099,3.8792670688437347,4.411380250215766,4.019296853415321,3.5058543099861676,2.562987093870815,2.049544550441661,1.293383713755091,0.5465581960399586,0.40652841146837204,0.6025701098685943,0.09846288541088022,-0.5643447615612995,-1.3298409172193093
가락고등학교 (서울),서울특별시 송파구 송파동 172,5066465437,37.50107579,127.1164258,서울특별시 송파구,1669,1600,1553,1489,1331,1194,1075,1028,985,894,832,823,822,767,765,26843.0,26349.0,24846.0,22942.0,20417.0,18763.0,17405.0,16430.0,16624.0,17342.0,18313.0,19108.0,19687.0,20183.0,19396.0,18823.0,17863.0,17400.0,16375.0,15043.0,13967.0,12782.0,11684.0,10544.0,9721.0,785.0615167734044,811.0772199932653,832.3774095502063,847.8903777935631,861.1795526617927,840.0937046349848,824.7414925392275,799.0205089232988,786.6154928668667,759.1529843186097,723.4651195515089,694.6361837486558,662.886844597744,633.4684695870258,602.9248015431107,580.8744166307054
가림고등학교 (인천),인천광역시 서구 가좌동 30-92,9869282543,37.49261929,126.6812015,인천광역시 서구,1464,1381,1332,1230,1250,1247,1228,1134,1071,992,913,849,821,833,889,15753.0,15428.0,14758.0,13624.0,12117.0,11063.0,10803.0,10944.0,11809.0,12265.0,12114.0,11855.0,12093.0,13601.0,14678.0,15445.0,15302.0,14897.0,13635.0,12732.0,12099.0,11803.0,11029.0,10441.0,10499.0,922.8343279448162,911.995953186109,893.4056282688562,910.4886295441695,1018.7288224986764,1096.0329921352838,1151.0861937242141,1140.8220374957696,1111.7522244012234,1021.1692512522926,956.3543346488976,910.9192934418666,889.673207822149,834.1175650192389,791.9125030449352,796.0755873893393
가야고등학교 (부산),부산광역시 부산진구 가야동 산33-3,3730158329,35.14630264,129.0310877,부산광역시 부산진구,1576,1430,1304,1197,1071,964,844,736,635,581,542,511,487,466,472,13620.0,13383.0,12909.0,12127.0,11046.0,10309.0,9791.0,9536.0,9820.0,10042.0,10008.0,9744.0,9733.0,10033.0,9833.0,9572.0,9126.0,8748.0,8009.0,6998.0,6001.0,5181.0,4727.0,4530.0,4677.0,485.5569092397535,483.02993515666253,463.40872462913273,462.5911741904856,484.888004335406,470.0234509054591,450.6252086793785,417.47725453059695,389.3832485479975,334.45872362434386,259.31840603596254,185.21860718767755,124.2739381248955,90.53140183891617,75.88981671041847,86.81526348142944
가은고등학교 (경북),경상북도 문경시 가은읍 왕능리 218,4575511217,36.64547535,128.0711654,문경시,68,68,68,74,85,87,81,76,68,66,57,57,55,51,56,2369.0,2345.0,2257.0,2029.0,1775.0,1541.0,1415.0,1304.0,1335.0,1347.0,1456.0,1511.0,1660.0,1761.0,1764.0,1682.0,1604.0,1499.0,1358.0,1133.0,1004.0,941.0,940.0,893.0,780.0,52.607779934137,55.00824329288708,56.219486272072906,59.5008536156854,61.725136177463,61.79120397632768,59.98535080735973,58.26758803687802,55.95521507661418,52.85002852997417,47.894943615123076,45.05402826394179,43.666604487783474,43.64458188816192,42.60951970594858,40.120965948712254
가재울고등학교 (서울),서울특별시 서대문구 북가좌동 476,1018780291,37.57444587,126.9094148,서울특별시 서대문구,0,0,0,0,289,525,753,737,731,719,693,651,640,635,662,14306.0,14230.0,13619.0,12773.0,11648.0,10894.0,10147.0,9542.0,9349.0,9246.0,8816.0,8252.0,7683.0,7551.0,7196.0,7162.0,6867.0,6710.0,6287.0,5759.0,5079.0,4701.0,4480.0,4322.0,4090.0,634.2492914497891,624.7839681008874,612.3689858479094,599.8439416955255,596.9383075512114,589.1239126933973,588.3754917774377,581.8818397124934,578.4258960711502,569.1146593814167,557.4921228041607,542.5237044849673,534.2030248898863,529.3382889361485,525.8603329149241,520.7534607824934
가정고등학교 (인천),인천광역시 서구 가정동 430-41,1623722493,37.51351681,126.6797187,인천광역시 서구,1272,1214,1225,1304,1217,1109,1002,999,1004,956,886,800,796,824,917,15753.0,15428.0,14758.0,13624.0,12117.0,11063.0,10803.0,10944.0,11809.0,12265.0,12114.0,11855.0,12093.0,13601.0,14678.0,15445.0,15302.0,14897.0,13635.0,12732.0,12099.0,11803.0,11029.0,10441.0,10499.0,882.2268518199915,875.9979528723027,865.3139473924921,875.1316821577234,937.3381696617944,981.7654820237867,1013.404988599133,1007.5060975427126,990.7994480472559,938.7407031996846,901.4910624727773,875.3791880761746,863.1688960992483,831.2406326190421,806.9850526108235,809.3776098225185
가좌고등학교 (인천),인천광역시 서구 가좌동 230,6712873995,37.48964618,126.6809097,인천광역시 서구,1472,1373,1314,1145,1138,1121,1098,1062,1013,966,895,871,891,894,906,15753.0,15428.0,14758.0,13624.0,12117.0,11063.0,10803.0,10944.0,11809.0,12265.0,12114.0,11855.0,12093.0,13601.0,14678.0,15445.0,15302.0,14897.0,13635.0,12732.0,12099.0,11803.0,11029.0,10441.0,10499.0,928.2848233313512,922.1203111411764,911.5467438745852,921.2629948763176,982.8264676099839,1026.7945446220251,1058.10700058139,1052.2690850635422,1035.7351285269808,984.2145034673741,947.349904078448,921.507942380563,909.4238655044587,877.8256374568077,853.8207820407629,856.1886079151346
가평고등학교 (경기),경기도 가평군 가평읍 대곡리 113,1769603013,37.81828429,127.5130855,가평군,835,883,916,948,945,933,880,846,781,715,653,613,597,571,582,2049.0,1920.0,1865.0,1677.0,1527.0,1404.0,1348.0,1285.0,1235.0,1271.0,1284.0,1284.0,1231.0,1236.0,1178.0,1145.0,1085.0,1089.0,1085.0,1026.0,924.0,827.0,768.0,706.0,622.0,569.0152774416413,574.0724744250365,574.0724744250365,553.4546713388863,555.3997471017308,532.8368682527362,519.9993682179635,496.65845906383123,498.2145196741067,496.65845906383123,473.7065650622678,434.027019500243,396.2925497010625,373.3406556994991,349.2217162402291,316.5444434244439
갈산고등학교 (충남),충청남도 홍성군 갈산면 상촌리 319,1499338269,36.60486517,126.5478667,홍성군,255,263,262,257,255,245,240,236,223,195,193,181,196,170,179,3035.0,3023.0,2831.0,2552.0,2297.0,2118.0,2065.0,2009.0,2056.0,2050.0,1997.0,1888.0,1802.0,1784.0,1753.0,1724.0,1742.0,1853.0,2002.0,2016.0,1899.0,1761.0,1642.0,1475.0,1303.0,179.12154096598212,176.11022169018275,169.91713110410484,165.03083944903415,164.0081272421589,162.2467895525404,160.5990865525747,161.62179875944997,167.92852403518071,176.39430841431476,177.1897512418844,170.54212189719527,162.70132831115163,155.94006427680966,146.45156769080035,136.67898438065902
