학교명,설립일자,본교분교구분,소재지지번주소,소재지도로명주소,시도교육청명,위도,시군구별,경도,시도명,개방ID,학제유형명,2009_학생수,2010_학생수,2011_학생수,2012_학생수,2013_학생수,2014_학생수,2015_학생수,2016_학생수,2017_학생수,2018_학생수,2019_학생수,2020_학생수,2021_학생수,2022_학생수,2023_학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수
방이중학교,1985-04-12,본교,서울특별시 송파구 방이동 53,서울특별시 송파구 오금로11길 64,서울특별시교육청,37.51501058,서울특별시 송파구,127.1132445,서울,5829309821,중학교,891,942,919,881,809,741,629,538,457,417,409,404,387,365,319,26843.0,26349.0,24846.0,22942.0,20417.0,18763.0,17405.0,16430.0,16624.0,17342.0,18313.0,19108.0,19687.0,20183.0,19396.0,18823.0,17863.0,17400.0,16375.0,15043.0,13967.0,12782.0,11684.0,10544.0,9721.0
율곡중학교,1955-05-03,본교,경기도 파주시 법원읍 법원리 378,경기도 파주시 법원읍 사임당로905번길 10,경기도교육청,37.8493834,파주시,126.8811406,경기,8512182414,중학교,260,271,254,230,207,204,205,173,146,129,126,122,121,104,85,7115.0,7193.0,7266.0,7669.0,7848.0,7757.0,7582.0,7886.0,8943.0,9750.0,9896.0,10186.0,10853.0,12112.0,12293.0,12358.0,12054.0,11965.0,11363.0,10512.0,9713.0,8995.0,8310.0,7963.0,7700.0
어유중학교,1979-10-28,본교,경기도 파주시 적성면 어유지리 306,경기도 파주시 적성면 율곡로 2875,경기도교육청,37.99392706,파주시,126.9882777,경기,5073030948,중학교,37,31,30,34,27,29,23,22,23,29,24,26,25,23,32,7115.0,7193.0,7266.0,7669.0,7848.0,7757.0,7582.0,7886.0,8943.0,9750.0,9896.0,10186.0,10853.0,12112.0,12293.0,12358.0,12054.0,11965.0,11363.0,10512.0,9713.0,8995.0,8310.0,7963.0,7700.0
학산여자중학교,1951-08-06,본교,부산광역시 동래구 명장동 산85-18,부산광역시 동래구 충렬사로51번길 61,부산광역시교육청,35.20475284,부산광역시 동래구,129.096168,부산,6917365610,중학교,866,870,826,762,667,619,562,497,443,374,331,300,295,269,262,9063.0,8756.0,8263.0,7412.0,6520.0,6002.0,5603.0,5391.0,5491.0,5849.0,5939.0,5899.0,5930.0,6173.0,5937.0,5699.0,5421.0,5383.0,5028.0,4492.0,4046.0,3858.0,3777.0,3757.0,3548.0
해미중학교,1952-04-15,본교,충청남도 서산시 해미면 읍내리 450-1,충청남도 서산시 해미면 남문2로 93,충청남도교육청,36.71512952,서산시,126.5445746,충남,6390202641,중학교,410,382,376,354,355,359,339,323,279,256,230,222,206,195,188,6657.0,6570.0,6281.0,5730.0,5132.0,4792.0,4577.0,4468.0,4694.0,4940.0,5116.0,5041.0,5064.0,5154.0,5040.0,5028.0,4946.0,4909.0,4627.0,4301.0,3930.0,3640.0,3330.0,3173.0,2925.0
서울대학교사범대학부설여자중학교,1969-03-03,본교,서울특별시 종로구 동숭동 199-51,서울특별시 종로구 대학로 64,서울특별시교육청,37.5775997,서울특별시 종로구,127.0042955,서울,5685700595,중학교,741,745,724,739,726,691,625,520,489,444,429,405,406,362,335,6081.0,5852.0,5563.0,5075.0,4540.0,4153.0,3843.0,3578.0,3486.0,3519.0,3475.0,3378.0,3305.0,3310.0,3076.0,2878.0,2684.0,2657.0,2441.0,2179.0,2006.0,1846.0,1730.0,1521.0,1388.0
서산중학교,1946-12-16,본교,충청남도 서산시 석남동 57-1,충청남도 서산시 덕지천로 90,충청남도교육청,36.76904553,서산시,126.4586303,충남,4123287022,중학교,919,982,972,941,960,937,950,859,847,810,803,825,890,914,894,6657.0,6570.0,6281.0,5730.0,5132.0,4792.0,4577.0,4468.0,4694.0,4940.0,5116.0,5041.0,5064.0,5154.0,5040.0,5028.0,4946.0,4909.0,4627.0,4301.0,3930.0,3640.0,3330.0,3173.0,2925.0
전라중학교,1968-03-28,본교,전북특별자치도 전주시 덕진구 송천동2가 1297,전북특별자치도 전주시 덕진구 세병로 196,전북특별자치도교육청,35.87992086,덕진구,127.131387,전북,4952820777,중학교,387,344,355,296,264,239,335,386,444,420,388,357,321,266,388,12254.0,12609.0,12264.0,11477.0,9934.0,9072.0,8441.0,8077.0,8167.0,8380.0,8422.0,8322.0,8234.0,8394.0,8035.0,7704.0,7451.0,7138.0,6783.0,6213.0,5966.0,5661.0,5476.0,5152.0,4883.0
창원상남중학교,2002-01-03,본교,경상남도 창원시 성산구 가음정동 689,경상남도 창원시 성산구 동산로55번길 9,경상남도교육청,35.21471852,성산구,128.6843651,경남,5736498415,중학교,1089,1004,987,903,842,764,669,594,561,590,565,580,613,630,606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8504.0,8294.0,7798.0,7070.0,6414.0,5674.0,5142.0,4627.0,4147.0,3819.0,3680.0,3770.0
중리중학교,1980-01-24,본교,대구광역시 서구 중리동 105-1,대구광역시 서구 국채보상로34길 63,대구광역시교육청,35.86471469,대구광역시 서구,128.5514912,대구,6179826259,중학교,1061,1030,926,837,762,694,667,624,606,555,518,529,535,534,510,11827.0,10571.0,9614.0,8540.0,7486.0,6640.0,5919.0,5274.0,4882.0,4671.0,4304.0,3974.0,4003.0,4311.0,4403.0,4216.0,3870.0,3593.0,3196.0,2644.0,2072.0,1613.0,1310.0,1117.0,1077.0
신능중학교,1996-09-01,본교,경기도 고양시 덕양구 행신동 980,경기도 고양시 덕양구 충장로 78,경기도교육청,37.619567,덕양구,126.8354977,경기,2762055218,중학교,1015,932,840,727,674,612,593,578,546,509,460,409,399,354,336,19352.0,19108.0,17854.0,16221.0,14709.0,13987.0,13224.0,12371.0,12051.0,11912.0,11665.0,11361.0,11273.0,11260.0,10640.0,10430.0,10476.0,10789.0,10443.0,9422.0,8575.0,8234.0,8387.0,8712.0,8679.0
갈매중학교,2016-06-01,본교,경기도 구리시 갈매동 382-5,경기도 구리시 갈매순환로 121,경기도교육청,37.6307988,구리시,127.1199091,경기,6396526217,중학교,0,0,0,0,0,0,0,0,167,347,464,520,594,668,757,7484.0,7079.0,6763.0,6650.0,6475.0,6363.0,6007.0,5764.0,5930.0,6139.0,6058.0,5833.0,5707.0,5701.0,5378.0,4949.0,4571.0,4276.0,4151.0,3964.0,3800.0,3509.0,3117.0,2824.0,2624.0
사직중학교,1981-03-05,본교,부산광역시 동래구 사직동 598-1,부산광역시 동래구 쇠미로51번길 30,부산광역시교육청,35.199472,부산광역시 동래구,129.0514137,부산,1691980957,중학교,1157,1155,1121,1072,1021,988,920,846,851,873,844,876,894,883,863,9063.0,8756.0,8263.0,7412.0,6520.0,6002.0,5603.0,5391.0,5491.0,5849.0,5939.0,5899.0,5930.0,6173.0,5937.0,5699.0,5421.0,5383.0,5028.0,4492.0,4046.0,3858.0,3777.0,3757.0,3548.0
진영중학교,2007-03-01,본교,경상남도 김해시 진영읍 진영리 1611-6,경상남도 김해시 진영읍 장등로 29,경상남도교육청,35.30905482,김해시,128.7344574,경남,1262366175,중학교,684,756,732,738,723,712,716,743,762,792,888,963,950,903,883,16101.0,16106.0,15544.0,14960.0,14827.0,15191.0,15569.0,15515.0,16058.0,16405.0,16465.0,16250.0,16347.0,16709.0,16162.0,15976.0,15529.0,15169.0,13877.0,12128.0,10859.0,9859.0,9228.0,8334.0,7852.0
포산중학교,1960-01-20,본교,대구광역시 달성군 유가읍 봉리 598,대구광역시 달성군 유가읍 테크노북로6길 10,대구광역시교육청,35.69614113,대구광역시 달성군,128.460035,대구,4463879823,중학교,292,292,258,228,214,205,200,475,729,784,670,655,691,728,764,7333.0,7244.0,7059.0,6717.0,6010.0,5579.0,5338.0,5137.0,5100.0,5160.0,5347.0,5675.0,5948.0,6279.0,6103.0,5925.0,5699.0,6098.0,6879.0,7805.0,8190.0,7867.0,7215.0,6463.0,5846.0
동항중학교,1980-02-14,본교,부산광역시 남구 감만동 176-82,부산광역시 남구 양지골로 248,부산광역시교육청,35.11907295,부산광역시 남구,129.0854314,부산,2094774186,중학교,606,625,613,585,535,445,377,339,328,320,299,293,281,288,279,9820.0,9485.0,9081.0,8522.0,7987.0,7620.0,7332.0,6858.0,6756.0,6840.0,6940.0,6978.0,7000.0,7000.0,6615.0,6287.0,5988.0,5655.0,5097.0,4452.0,3937.0,3496.0,3164.0,2793.0,2579.0
대병중학교,1956-02-13,본교,경상남도 합천군 대병면 회양리 904,경상남도 합천군 대병면 신성동길 53-16,경상남도교육청,35.51841197,합천군,128.0116543,경남,8814475953,중학교,40,46,49,47,44,74,90,94,100,98,96,85,58,46,58,1707.0,1574.0,1431.0,1239.0,1166.0,1076.0,1011.0,889.0,903.0,944.0,981.0,896.0,847.0,786.0,762.0,685.0,609.0,550.0,466.0,422.0,385.0,369.0,330.0,290.0,241.0
나성중학교,2021-03-01,본교,세종특별자치시 나성동 325-2,세종특별자치시 갈매로 298,세종특별자치시교육청,36.490922,세종특별자치시,127.2637532,세종,8334058523,중학교,0,0,0,0,0,0,0,0,0,0,0,0,114,457,572,3002.0,2964.0,2813.0,2687.0,2521.0,2597.0,2571.0,2514.0,2417.0,2403.0,2361.0,2413.0,2362.0,2703.0,2926.0,3509.0,5163.0,7349.0,9509.0,10504.0,11026.0,10990.0,10857.0,10247.0,9540.0
창원동중학교,2009-03-01,본교,경상남도 창원시 의창구 동읍 신방리 868,경상남도 창원시 의창구 동읍 동읍로 189,경상남도교육청,35.29100882,의창구,128.6749409,경남,3374875068,중학교,126,231,344,324,328,315,301,260,264,240,222,214,217,201,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6948.0,6927.0,6958.0,6879.0,6650.0,6195.0,5517.0,5108.0,4812.0,4359.0,3793.0,3229.0
성산중학교,1997-11-06,본교,대구광역시 달서구 용산동 416-4,대구광역시 달서구 선원남로 174,대구광역시교육청,35.85674219,대구광역시 달서구,128.518682,대구,1545200824,중학교,1358,1297,1269,1174,1086,928,756,596,494,476,443,443,431,443,437,22781.0,24170.0,23767.0,22111.0,19929.0,18327.0,16817.0,15187.0,14741.0,14819.0,15123.0,15300.0,15713.0,16200.0,15893.0,15585.0,15171.0,14578.0,13259.0,11251.0,9674.0,8341.0,7531.0,6616.0,6246.0
중원중학교,1991-05-06,본교,서울특별시 노원구 중계동 511-3,서울특별시 노원구 공릉로 420,서울특별시교육청,37.64423868,서울특별시 노원구,127.0680295,서울,1729633271,중학교,1274,1294,1197,1122,1053,1010,921,781,684,650,562,525,469,426,386,23036.0,24353.0,25044.0,24187.0,22193.0,20714.0,19414.0,18265.0,17832.0,17820.0,17131.0,16197.0,15539.0,15657.0,15027.0,14679.0,13845.0,13353.0,12132.0,10521.0,8949.0,7707.0,7081.0,6723.0,6562.0
신관중학교,1984-04-27,본교,서울특별시 관악구 신림동 산168-10,서울특별시 관악구 신림로48길 17-16,서울특별시교육청,37.48020125,서울특별시 관악구,126.9344522,서울,3963440775,중학교,699,640,588,501,481,442,386,329,288,266,274,241,234,221,236,23336.0,22304.0,20827.0,19365.0,17706.0,17020.0,16622.0,16172.0,16209.0,16267.0,15845.0,14880.0,14303.0,14063.0,13465.0,12807.0,12171.0,11592.0,10452.0,9074.0,7758.0,6732.0,5857.0,5227.0,4811.0
한얼중학교,1946-10-24,본교,경상남도 김해시 진영읍 여래리 479,경상남도 김해시 진영읍 진영로265번길 9-8,경상남도교육청,35.30449312,김해시,128.7420673,경남,9456779718,중학교,348,338,350,374,392,343,288,297,323,358,348,459,527,548,466,16101.0,16106.0,15544.0,14960.0,14827.0,15191.0,15569.0,15515.0,16058.0,16405.0,16465.0,16250.0,16347.0,16709.0,16162.0,15976.0,15529.0,15169.0,13877.0,12128.0,10859.0,9859.0,9228.0,8334.0,7852.0
대천중학교,1983-11-01,본교,부산광역시 남구 대연동 643-1,부산광역시 남구 신선로 491,부산광역시교육청,35.12854485,부산광역시 남구,129.1033023,부산,8556556344,중학교,1084,1053,982,889,888,856,838,792,736,688,617,616,635,626,617,9820.0,9485.0,9081.0,8522.0,7987.0,7620.0,7332.0,6858.0,6756.0,6840.0,6940.0,6978.0,7000.0,7000.0,6615.0,6287.0,5988.0,5655.0,5097.0,4452.0,3937.0,3496.0,3164.0,2793.0,2579.0
창덕중학교,1953-04-15,본교,경상남도 창원시 의창구 동읍 용잠리 282,경상남도 창원시 의창구 동읍 의창대로900번길 12,경상남도교육청,35.277441,의창구,128.6888058,경남,5645198166,중학교,916,812,694,638,654,615,558,474,397,377,333,333,334,314,308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6948.0,6927.0,6958.0,6879.0,6650.0,6195.0,5517.0,5108.0,4812.0,4359.0,3793.0,3229.0
해동중학교,1946-04-08,본교,부산광역시 영도구 동삼동 산57,부산광역시 영도구 절영로490번길 8-22,부산광역시교육청,35.06967072,부산광역시 영도구,129.069638,부산,1559402048,중학교,653,613,569,551,528,495,424,385,353,334,301,303,304,312,287,5939.0,5425.0,4967.0,4415.0,3963.0,3508.0,3158.0,2905.0,2851.0,2856.0,2668.0,2567.0,2512.0,2538.0,2328.0,2130.0,1971.0,1906.0,1722.0,1492.0,1219.0,1039.0,901.0,876.0,904.0
장승중학교,1985-04-24,본교,서울특별시 동작구 상도동 175-1,서울특별시 동작구 장승배기로10가길 25,서울특별시교육청,37.50314858,서울특별시 동작구,126.940834,서울,4316633522,중학교,885,889,889,853,845,796,752,716,697,677,657,659,631,603,595,19083.0,18015.0,16747.0,15140.0,13721.0,13186.0,13043.0,12925.0,12709.0,12605.0,12233.0,11719.0,11512.0,11566.0,11432.0,11360.0,11120.0,10592.0,9641.0,8415.0,7458.0,6688.0,6102.0,5571.0,5222.0
