학교명,설립일자,본교분교구분,소재지지번주소,소재지도로명주소,시도교육청명,위도,시군구별,경도,시도명,개방ID,학제유형명,2009_학생수,2010_학생수,2011_학생수,2012_학생수,2013_학생수,2014_학생수,2015_학생수,2016_학생수,2017_학생수,2018_학생수,2019_학생수,2020_학생수,2021_학생수,2022_학생수,2023_학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수,2031_예측학생수,2032_예측학생수,2033_예측학생수,2034_예측학생수,2035_예측학생수,2036_예측학생수
방이중학교,1985-04-12,본교,서울특별시 송파구 방이동 53,서울특별시 송파구 오금로11길 64,서울특별시교육청,37.51501058,서울특별시 송파구,127.1132445,서울,5829309821,중학교,891,942,919,881,809,741,629,538,457,417,409,404,387,365,319,26843.0,26349.0,24846.0,22942.0,20417.0,18763.0,17405.0,16430.0,16624.0,17342.0,18313.0,19108.0,19687.0,20183.0,19396.0,18823.0,17863.0,17400.0,16375.0,15043.0,13967.0,12782.0,11684.0,10544.0,9721.0,0.9515094155916097,493.625513730756,517.1007755248619,479.8527290894559,452.7331222184424,407.2971316492051,385.3837320309167,336.87134626688726,273.8289093520706,222.9027365890504,166.81768573014813,114.8502715165829,60.89503271561364,21.94313663386123
학산여자중학교,1951-08-06,본교,부산광역시 동래구 명장동 산85-18,부산광역시 동래구 충렬사로51번길 61,부산광역시교육청,35.20475284,부산광역시 동래구,129.096168,부산,6917365610,중학교,866,870,826,762,667,619,562,497,443,374,331,300,295,269,262,9063.0,8756.0,8263.0,7412.0,6520.0,6002.0,5603.0,5391.0,5491.0,5849.0,5939.0,5899.0,5930.0,6173.0,5937.0,5699.0,5421.0,5383.0,5028.0,4492.0,4046.0,3858.0,3777.0,3757.0,3548.0,0.940560179384158,357.67237919629014,386.98234178641184,358.51669910629363,329.80982216617446,296.2782600260353,291.6948090860163,248.8757279358386,184.22494625557027,130.42970627534697,107.75368583525284,97.98369830521233,95.57135570520228,70.36237553509767
서울대학교사범대학부설여자중학교,1969-03-03,본교,서울특별시 종로구 동숭동 199-51,서울특별시 종로구 대학로 64,서울특별시교육청,37.5775997,서울특별시 종로구,127.0042955,서울,5685700595,중학교,741,745,724,739,726,691,625,520,489,444,429,405,406,362,335,6081.0,5852.0,5563.0,5075.0,4540.0,4153.0,3843.0,3578.0,3486.0,3519.0,3475.0,3378.0,3305.0,3310.0,3076.0,2878.0,2684.0,2657.0,2441.0,2179.0,2006.0,1846.0,1730.0,1521.0,1388.0,0.9909849589982799,362.3371046546736,363.0446086305115,329.9334225612981,301.91626511811745,274.4651108556072,270.64458938608254,240.08041762988557,203.00720929597992,178.52757173198876,155.88744450517618,139.47335226573705,109.89968607571308,91.0800803184251
서산중학교,1946-12-16,본교,충청남도 서산시 석남동 57-1,충청남도 서산시 덕지천로 90,충청남도교육청,36.76904553,서산시,126.4586303,충남,4123287022,중학교,919,982,972,941,960,937,950,859,847,810,803,825,890,914,894,6657.0,6570.0,6281.0,5730.0,5132.0,4792.0,4577.0,4468.0,4694.0,4940.0,5116.0,5041.0,5064.0,5154.0,5040.0,5028.0,4946.0,4909.0,4627.0,4301.0,3930.0,3640.0,3330.0,3173.0,2925.0,0.8778980732127444,868.812293483624,874.5035390061274,867.2946280109564,866.5357952746226,861.3504382430084,859.0107039726458,841.1781346688019,820.5631786650673,797.102599900081,778.7641421053478,759.1609630833916,749.2329014496912,733.5503582321263
중리중학교,1980-01-24,본교,대구광역시 서구 중리동 105-1,대구광역시 서구 국채보상로34길 63,대구광역시교육청,35.86471469,대구광역시 서구,128.5514912,대구,6179826259,중학교,1061,1030,926,837,762,694,667,624,606,555,518,529,535,534,510,11827.0,10571.0,9614.0,8540.0,7486.0,6640.0,5919.0,5274.0,4882.0,4671.0,4304.0,3974.0,4003.0,4311.0,4403.0,4216.0,3870.0,3593.0,3196.0,2644.0,2072.0,1613.0,1310.0,1117.0,1077.0,0.9840012836690766,496.00975783080213,508.2627700849757,511.9227607583003,504.4834318896949,490.71868435740896,479.6989298301165,463.9052744245746,441.9453303846271,419.1897361983047,400.92956533900053,388.8754656214207,381.19744170890283,379.606141416153
신능중학교,1996-09-01,본교,경기도 고양시 덕양구 행신동 980,경기도 고양시 덕양구 충장로 78,경기도교육청,37.619567,덕양구,126.8354977,경기,2762055218,중학교,1015,932,840,727,674,612,593,578,546,509,460,409,399,354,336,19352.0,19108.0,17854.0,16221.0,14709.0,13987.0,13224.0,12371.0,12051.0,11912.0,11665.0,11361.0,11273.0,11260.0,10640.0,10430.0,10476.0,10789.0,10443.0,9422.0,8575.0,8234.0,8387.0,8712.0,8679.0,0.9528665306476573,385.2857535406217,384.754955584067,359.43997611761034,350.8655475886492,352.7437557426121,365.52373731196843,351.3963455452039,309.7082906496358,275.12476224949256,261.20152354294135,267.4486071854702,280.7185560993386,279.37114590193045
사직중학교,1981-03-05,본교,부산광역시 동래구 사직동 598-1,부산광역시 동래구 쇠미로51번길 30,부산광역시교육청,35.199472,부산광역시 동래구,129.0514137,부산,1691980957,중학교,1157,1155,1121,1072,1021,988,920,846,851,873,844,876,894,883,863,9063.0,8756.0,8263.0,7412.0,6520.0,6002.0,5603.0,5391.0,5491.0,5849.0,5939.0,5899.0,5930.0,6173.0,5937.0,5699.0,5421.0,5383.0,5028.0,4492.0,4046.0,3858.0,3777.0,3757.0,3548.0,0.9340007065910138,871.2716809336627,884.0768181066178,871.6405531979042,859.0988962136928,844.44939771953,842.4469482850761,823.7398548842568,795.494778650907,771.9923458149481,762.0854907181761,757.8171116605243,756.7631909055486,745.7497190160522
동항중학교,1980-02-14,본교,부산광역시 남구 감만동 176-82,부산광역시 남구 양지골로 248,부산광역시교육청,35.11907295,부산광역시 남구,129.0854314,부산,2094774186,중학교,606,625,613,585,535,445,377,339,328,320,299,293,281,288,279,9820.0,9485.0,9081.0,8522.0,7987.0,7620.0,7332.0,6858.0,6756.0,6840.0,6940.0,6978.0,7000.0,7000.0,6615.0,6287.0,5988.0,5655.0,5097.0,4452.0,3937.0,3496.0,3164.0,2793.0,2579.0,0.9622270353481325,287.95457789837184,287.95457789837184,253.53684131851838,224.21471768685097,197.48509888847133,167.71599166485782,117.83262280366762,60.17173944261447,14.132429472161107,-25.291523337489195,-54.971233842713445,-88.13741636511767,-107.26831410041285
성산중학교,1997-11-06,본교,대구광역시 달서구 용산동 416-4,대구광역시 달서구 선원남로 174,대구광역시교육청,35.85674219,대구광역시 달서구,128.518682,대구,1545200824,중학교,1358,1297,1269,1174,1086,928,756,596,494,476,443,443,431,443,437,22781.0,24170.0,23767.0,22111.0,19929.0,18327.0,16817.0,15187.0,14741.0,14819.0,15123.0,15300.0,15713.0,16200.0,15893.0,15585.0,15171.0,14578.0,13259.0,11251.0,9674.0,8341.0,7531.0,6616.0,6246.0,0.9174847690666327,449.76472121932125,482.3549393556723,461.81038706027243,441.1989143990895,413.4938829649021,373.8101060555467,285.5421435876889,151.16604909530167,45.63263225541391,-43.5722153334068,-97.77771161768646,-159.0098463091876,-183.7703816489203
중원중학교,1991-05-06,본교,서울특별시 노원구 중계동 511-3,서울특별시 노원구 공릉로 420,서울특별시교육청,37.64423868,서울특별시 노원구,127.0680295,서울,1729633271,중학교,1274,1294,1197,1122,1053,1010,921,781,684,650,562,525,469,426,386,23036.0,24353.0,25044.0,24187.0,22193.0,20714.0,19414.0,18265.0,17832.0,17820.0,17131.0,16197.0,15539.0,15657.0,15027.0,14679.0,13845.0,13353.0,12132.0,10521.0,8949.0,7707.0,7081.0,6723.0,6562.0,0.9543041264413141,326.5074002483814,335.7369042714279,286.460738724654,259.2415234702455,194.0092662226116,155.5269274146549,60.025025616860034,-65.98116913846161,-188.93693459803046,-286.0813752473846,-335.04467625100426,-363.046052863298,-375.63885072525125
