학교명,설립일자,본교분교구분,소재지지번주소,소재지도로명주소,시도교육청명,위도,시군구별,경도,시도명,개방ID,학제유형명,2009_학생수,2010_학생수,2011_학생수,2012_학생수,2013_학생수,2014_학생수,2015_학생수,2016_학생수,2017_학생수,2018_학생수,2019_학생수,2020_학생수,2021_학생수,2022_학생수,2023_학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수,2031_예측학생수,2032_예측학생수,2033_예측학생수,2034_예측학생수,2035_예측학생수,2036_예측학생수
동항중학교,1980-02-14,본교,부산광역시 남구 감만동 176-82,부산광역시 남구 양지골로 248,부산광역시교육청,35.11907295,부산광역시 남구,129.0854314,부산,2094774186,중학교,606,625,613,585,535,445,377,339,328,320,299,293,281,288,279,9820.0,9485.0,9081.0,8522.0,7987.0,7620.0,7332.0,6858.0,6756.0,6840.0,6940.0,6978.0,7000.0,7000.0,6615.0,6287.0,5988.0,5655.0,5097.0,4452.0,3937.0,3496.0,3164.0,2793.0,2579.0,0.9622270353481325,287.95457789837184,287.95457789837184,253.53684131851838,224.21471768685097,197.48509888847133,167.71599166485782,117.83262280366762,60.17173944261447,14.132429472161107,-25.291523337489195,-54.971233842713445,-88.13741636511767,-107.26831410041285
성산중학교,1997-11-06,본교,대구광역시 달서구 용산동 416-4,대구광역시 달서구 선원남로 174,대구광역시교육청,35.85674219,대구광역시 달서구,128.518682,대구,1545200824,중학교,1358,1297,1269,1174,1086,928,756,596,494,476,443,443,431,443,437,22781.0,24170.0,23767.0,22111.0,19929.0,18327.0,16817.0,15187.0,14741.0,14819.0,15123.0,15300.0,15713.0,16200.0,15893.0,15585.0,15171.0,14578.0,13259.0,11251.0,9674.0,8341.0,7531.0,6616.0,6246.0,0.9174847690666327,449.76472121932125,482.3549393556723,461.81038706027243,441.1989143990895,413.4938829649021,373.8101060555467,285.5421435876889,151.16604909530167,45.63263225541391,-43.5722153334068,-97.77771161768646,-159.0098463091876,-183.7703816489203
중원중학교,1991-05-06,본교,서울특별시 노원구 중계동 511-3,서울특별시 노원구 공릉로 420,서울특별시교육청,37.64423868,서울특별시 노원구,127.0680295,서울,1729633271,중학교,1274,1294,1197,1122,1053,1010,921,781,684,650,562,525,469,426,386,23036.0,24353.0,25044.0,24187.0,22193.0,20714.0,19414.0,18265.0,17832.0,17820.0,17131.0,16197.0,15539.0,15657.0,15027.0,14679.0,13845.0,13353.0,12132.0,10521.0,8949.0,7707.0,7081.0,6723.0,6562.0,0.9543041264413141,326.5074002483814,335.7369042714279,286.460738724654,259.2415234702455,194.0092662226116,155.5269274146549,60.025025616860034,-65.98116913846161,-188.93693459803046,-286.0813752473846,-335.04467625100426,-363.046052863298,-375.63885072525125
신관중학교,1984-04-27,본교,서울특별시 관악구 신림동 산168-10,서울특별시 관악구 신림로48길 17-16,서울특별시교육청,37.48020125,서울특별시 관악구,126.9344522,서울,3963440775,중학교,699,640,588,501,481,442,386,329,288,266,274,241,234,221,236,23336.0,22304.0,20827.0,19365.0,17706.0,17020.0,16622.0,16172.0,16209.0,16267.0,15845.0,14880.0,14303.0,14063.0,13465.0,12807.0,12171.0,11592.0,10452.0,9074.0,7758.0,6732.0,5857.0,5227.0,4811.0,0.9843441811419874,188.78572495991926,180.0572454952303,158.3087841623804,134.3782029633582,111.24773238193256,90.19027567337048,48.72999821609807,-1.3860213769908682,-49.24718377503518,-86.5614334865804,-118.38401486825879,-141.29627346306725,-156.42563786852807
한얼중학교,1946-10-24,본교,경상남도 김해시 진영읍 여래리 479,경상남도 김해시 진영읍 진영로265번길 9-8,경상남도교육청,35.30449312,김해시,128.7420673,경남,9456779718,중학교,348,338,350,374,392,343,288,297,323,358,348,459,527,548,466,16101.0,16106.0,15544.0,14960.0,14827.0,15191.0,15569.0,15515.0,16058.0,16405.0,16465.0,16250.0,16347.0,16709.0,16162.0,15976.0,15529.0,15169.0,13877.0,12128.0,10859.0,9859.0,9228.0,8334.0,7852.0,0.9087185176848097,477.7433133527386,528.7109633184843,451.69630991720555,425.5085118685072,362.57331978373236,311.88725904431635,129.98061883507944,-116.26915959058283,-294.93752369702383,-435.73213686206805,-524.573537769211,-650.4439219387605,-718.3069254843117
동신중학교,1968-12-03,본교,대전광역시 동구 판암동 241,대전광역시 동구 동부로 56-22,대전광역시교육청,36.320296,대전광역시 동구,127.4595324,대전,3614965498,중학교,485,437,374,352,307,247,219,167,145,119,128,133,129,111,116,10099.0,9519.0,8780.0,7906.0,6987.0,6636.0,6426.0,6299.0,6502.0,6891.0,7101.0,6955.0,6956.0,7157.0,7105.0,6814.0,6342.0,5748.0,5072.0,4257.0,3691.0,3232.0,3008.0,2823.0,2824.0,0.9655311017279421,147.12955049114976,159.48383080723767,156.28769858616022,138.4016509643613,109.39060464996578,72.88094043227318,31.331221558266066,-18.76200459900582,-53.550674543810544,-81.76268780293668,-95.53064198603963,-106.90149700333447,-106.8400329221599
학남중학교,2002-03-01,본교,대구광역시 북구 국우동 1085,대구광역시 북구 학남로 83,대구광역시교육청,35.94553027,대구광역시 북구,128.570413,대구,8645105719,중학교,1169,1175,1153,1173,1159,1142,982,902,863,815,784,765,757,774,738,17442.0,16896.0,16501.0,15788.0,15227.0,15524.0,15774.0,15333.0,15093.0,14769.0,14030.0,13068.0,12736.0,12967.0,12484.0,12009.0,11518.0,11295.0,10497.0,9382.0,8245.0,7421.0,6647.0,6171.0,5622.0,0.8580387344604085,577.4288585083123,605.2288525050301,547.1015923300745,489.9371025099838,430.8470719801637,404.0098483383106,307.97350544055803,173.7873872312923,36.95365054614865,-62.211696004914074,-155.35972783807256,-212.64456395252148,-278.7146795551106
감만중학교,1975-11-14,본교,부산광역시 남구 감만동 2-1,부산광역시 남구 홍곡로 313-14,부산광역시교육청,35.12173218,부산광역시 남구,129.0892609,부산,6718814015,중학교,665,664,643,634,583,517,433,361,341,331,307,300,299,303,283,9820.0,9485.0,9081.0,8522.0,7987.0,7620.0,7332.0,6858.0,6756.0,6840.0,6940.0,6978.0,7000.0,7000.0,6615.0,6287.0,5988.0,5655.0,5097.0,4452.0,3937.0,3496.0,3164.0,2793.0,2579.0,0.9795005898040485,299.6383629074169,299.6383629074169,258.3338552875192,223.14456048407396,191.06651430654313,155.34079732621603,95.47608238620853,26.27762156845796,-28.97386265036613,-76.28629865133979,-111.90473119629047,-151.70725672091913,-174.66612589145961
서변중학교,2005-03-01,본교,대구광역시 북구 서변동 1730,대구광역시 북구 서변로21길 14,대구광역시교육청,35.92636083,대구광역시 북구,128.595695,대구,4550583302,중학교,513,569,588,576,574,536,475,401,344,323,283,290,298,302,277,17442.0,16896.0,16501.0,15788.0,15227.0,15524.0,15774.0,15333.0,15093.0,14769.0,14030.0,13068.0,12736.0,12967.0,12484.0,12009.0,11518.0,11295.0,10497.0,9382.0,8245.0,7421.0,6647.0,6171.0,5622.0,0.8323322189317034,166.01145041590598,185.04267291758038,145.25011677771568,106.1166505946187,65.66500449798605,47.2928719530795,-18.451351234523145,-110.31201395905578,-203.98517406470023,-271.8714396117987,-335.63839292909756,-374.85424535679044,-420.0842936399908
상인중학교,1999-10-04,본교,대구광역시 달서구 상인동 1561,대구광역시 달서구 상인로 34,대구광역시교육청,35.81135533,대구광역시 달서구,128.5501219,대구,3014702677,중학교,899,711,613,589,542,493,415,377,319,284,247,229,224,204,182,22781.0,24170.0,23767.0,22111.0,19929.0,18327.0,16817.0,15187.0,14741.0,14819.0,15123.0,15300.0,15713.0,16200.0,15893.0,15585.0,15171.0,14578.0,13259.0,11251.0,9674.0,8341.0,7531.0,6616.0,6246.0,0.9586961283360679,239.92253760288037,257.21966618813843,246.31572681303732,235.37626972010202,220.67193453674105,199.6099278610572,152.7620580377402,81.44248062665565,25.43103960211363,-21.914078270882214,-50.68342971658865,-83.18214153488663,-96.32369713354265
