NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
10990,AJ네트웍스,095570,미공개,미공개,미공개,C,2016,,,,
10989,AJ네트웍스,095570,미공개,미공개,미공개,B,2017,,,,
10988,AJ네트웍스,095570,미공개,미공개,미공개,C,2018,,,,
10987,AJ네트웍스,095570,B,미공개,B,B,2019,,,,
10986,AJ네트웍스,095570,B,D,B,B,2020,,,,
10985,AJ네트웍스,095570,B,D,B,B,2021,,,,
10984,AJ네트웍스,095570,B+,C,B+,B+,2022,,,,
10983,AJ네트웍스,095570,B+,C,A,B+,2023,,,,
10982,AJ네트웍스,095570,B+,C,A,B+,2024,,,,
10981,AJ렌터카,068400,미공개,미공개,미공개,C,2014,,,,
10980,AJ렌터카,068400,미공개,미공개,미공개,C,2015,,,,
10979,AJ렌터카,068400,미공개,미공개,미공개,C,2016,,,,
10978,AJ렌터카,068400,미공개,미공개,미공개,C,2017,,,,
10977,AJ렌터카,068400,미공개,B+,미공개,B,2018,,,,
10976,AJ렌터카,068400,미공개,B,B,C,2019,,,,
10975,AK홀딩스,006840,미공개,B+,미공개,미공개,2012,,,,
10974,AK홀딩스,006840,미공개,미공개,미공개,C,2013,,,,
10973,AK홀딩스,006840,미공개,미공개,미공개,C,2014,,,,
10972,AK홀딩스,006840,미공개,미공개,미공개,C,2015,통합 등급조정(2016.5),,사회 등급조정(2016.5),
10971,AK홀딩스,006840,미공개,미공개,미공개,B,2016,,,사회 등급조정(2016.8),
10970,AK홀딩스,006840,미공개,미공개,미공개,B,2017,,,,
10969,AK홀딩스,006840,미공개,미공개,미공개,C,2018,,,,
10968,AK홀딩스,006840,B,미공개,B,B,2019,,,,
10967,AK홀딩스,006840,B+,C,B+,B+,2020,,,,
10966,AK홀딩스,006840,B+,B,B+,B+,2021,,,,
10965,AK홀딩스,006840,B+,B,A,B,2022,,,,
10964,AK홀딩스,006840,A,A,A+,B+,2023,,,,
10963,AK홀딩스,006840,A,A,A+,B+,2024,,,,
10962,AP시스템,265520,미공개,미공개,미공개,B,2019,,,,
10961,AP시스템,265520,D,D,D,C,2021,,,,
10960,AP시스템,265520,D,D,C,C,2022,,,,
10959,BGF,027410,미공개,미공개,B+,B,2016,,,,
10958,BGF,027410,미공개,미공개,A,B,2017,,,,
10957,BGF,027410,B,미공개,A,B,2019,,,,
10956,BGF,027410,B+,B,A,B+,2020,,,,
10955,BGF,027410,A,A,A+,A,2021,,,,
10954,BGF,027410,B+,A,A+,B,2022,,,,
10953,BGF,027410,A,A,A+,B+,2023,,,,
10952,BGF,027410,A,A,A+,B+,2024,,,,
10951,BGF리테일,282330,B,미공개,B+,B+,2019,통합 등급조정(2020.4),,사회 등급조정(2020.4),
10950,BGF리테일,282330,A,B+,B+,A,2020,,,사회 등급조정(2020.10),
10949,BGF리테일,282330,A,A,A+,A,2021,,,,
10948,BGF리테일,282330,A,A,A+,A,2022,,,,
10947,BGF리테일,282330,A,A,A+,A,2023,,,,
10946,BGF리테일,282330,A,A,A+,A,2024,,,,
10945,BGF에코머티리얼즈,126600,B,B,B,B,2024,,,,
10944,BNK금융지주,138930,A,미공개,A,A+,2012,,,,
10943,BNK금융지주,138930,B+,미공개,A,A,2013,,,,
10942,BNK금융지주,138930,A,미공개,A,A+,2014,,,,
10941,BNK금융지주,138930,A,미공개,A,A+,2015,,,,
10940,BNK금융지주,138930,A,미공개,B+,A+,2016,,,,
10939,BNK금융지주,138930,B+,B+,A,B,2017,통합 등급조정(2017.8),,,지배구조 등급조정(2017.8)
10938,BNK금융지주,138930,B+,미공개,B+,미공개,2018,,,사회 등급조정(2018.10),
10937,BNK금융지주,138930,A+,B+,A+,A+,2019,,,,
