Ticker,Name,거래소업종,회계년,자기자본비율,차입금의존도,매출액증가율,영업이익률,총자본회전율,부채상환능력,당좌비율,ROA당기순이익,ESG등급_A,ESG등급_A+,ESG등급_B,ESG등급_B+,ESG등급_C,환경_A,환경_A+,환경_B,환경_B+,환경_C,사회_A,사회_A+,사회_B,사회_B+,사회_C,지배구조_A,지배구조_A+,지배구조_B,지배구조_B+,지배구조_C,log_당좌비율
A000050,경방,코스피 유통,2020,62.64,12.14,5.331491812279521,11.22,30.0,10.277250118607276,28.153379517070576,2.07,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.37257084148202
A000080,하이트진로,코스피 음식료·담배,2020,35.11,34.59,11.97398092748525,8.82,189.0,17.294944387457882,43.72083177347833,1.67,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3.800439428259704
A000100,유한양행,코스피 제약,2020,81.8,0.12,7.153924354758301,7.4,94.0,12.242426070786076,301.05947256654883,9.49,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5.7106239270152015
A000120,CJ대한통운,코스피 운송·창고,2020,45.23,31.91,5.152088611484484,3.15,224.00000000000003,9.434293066543866,70.50683429823927,1.38,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.2697930297228055
A000220,유유제약,코스피 제약,2020,80.22,9.79,2.8612343449131883,4.98,84.0,-24.12404113088832,267.25035562900763,0.02,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,5.591920707247143
A000230,일동홀딩스,코스피 제약,2020,69.25,20.2,-12.267433713593068,16.97,10.0,-0.1411494047455729,10.341965068182112,7.52,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.428509569723058
A000270,기아,코스피 운송장비·부품,2020,56.7,18.6,1.4901921658717177,3.4,147.0,2.0828091278640777,116.22855596023068,1.91,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.7641254990025015
A000390,삼화페인트,코스피 화학,2020,49.41,24.63,1.3731527573818347,1.68,185.0,12.118368316631404,103.23545912189884,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4.646652370105458
A000430,대원강업,코스피 운송장비·부품,2020,62.65,12.39,-11.788484496679176,1.28,147.0,8.102474117246187,57.39078068456909,1.24,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4.067158012381937
A000480,CR홀딩스,코스피 비금속,2020,60.18,28.91,-5.685956612631005,2.94,86.0,19.242098445315648,72.41998658082251,4.04,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.296196195295892
A000490,대동,코스피 기계·장비,2020,37.38,31.14,2.498107931388072,2.84,308.0,5.981105369312717,53.11538564197447,2.21,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3.991118538063295
A000500,가온전선,코스피 전기·전자,2020,52.34,21.25,1.8797334887489687,1.61,299.0,0.2468260484292505,126.3628609075405,1.58,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4.84704018499972
A000520,삼일제약,코스피 제약,2020,33.62,49.02,1.645643709065192,5.49,193.0,6.534064804348098,47.39500940931498,0.82,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.8793966970284526
