,Ticker,È¸°è³â,½Ã°¡ÃÑ¾×(¹é¸¸¿ø),WACC(½Ã°¡ÃÑ¾×Æò±Õ)(%)
10,A005930,2012,243643671,11.86
11,A005930,2013,225224952,12.32
12,A005930,2014,219190151,10.94
13,A005930,2015,210508434,7.37
14,A005930,2016,282899906,9.72
15,A005930,2017,367086675,12.33
16,A005930,2018,257157238,9.34
17,A005930,2019,370472922,9.99
18,A005930,2020,544116848,7.18
19,A005930,2021,526023507,8.25
20,A005930,2022,371684753,9.39
21,A005930,2023,519893771,8.52
22,A005930,2024,353964024,
23,A005930,2025,356455183,
24,A000660,2012,17874434,9.81
25,A000660,2013,26135393,9.29
26,A000660,2014,34762113,7.96
27,A000660,2015,22386073,8.62
28,A000660,2016,32541706,8.29
29,A000660,2017,55692181,12.17
30,A000660,2018,44044143,8.67
31,A000660,2019,68505023,11.22
32,A000660,2020,86268280,7.17
33,A000660,2021,95368310,9.23
34,A000660,2022,54600177,8.82
35,A000660,2023,103012335,8.67
36,A000660,2024,126599611,
37,A000660,2025,159796519,
38,A373220,2012,,
39,A373220,2013,,
40,A373220,2014,,
41,A373220,2015,,
42,A373220,2016,,
43,A373220,2017,,
44,A373220,2018,,
45,A373220,2019,,
46,A373220,2020,,0
47,A373220,2021,,1.14
48,A373220,2022,101907000,9.54
49,A373220,2023,100035000,13.65
50,A373220,2024,81432000,
51,A373220,2025,82719000,
52,A207940,2012,,0
53,A207940,2013,,0
54,A207940,2014,,0.82
55,A207940,2015,,0.35
56,A207940,2016,9990915,0.74
57,A207940,2017,24547215,11.01
58,A207940,2018,25572773,8.72
59,A207940,2019,28649445,6.73
60,A207940,2020,54652290,6.42
61,A207940,2021,59746995,6.05
62,A207940,2022,58433854,7.62
63,A207940,2023,54092240,6.27
64,A207940,2024,67544126,
65,A207940,2025,74946222,
66,A005380,2012,52849208,9.14
67,A005380,2013,60426509,10.03
68,A005380,2014,45733357,11.2
69,A005380,2015,39604809,7.34
70,A005380,2016,38527487,5.78
71,A005380,2017,40765932,5.57
72,A005380,2018,29999924,5.59
73,A005380,2019,30561805,5.55
74,A005380,2020,46662441,7.76
75,A005380,2021,50967416,9.28
76,A005380,2022,36939377,7.72
77,A005380,2023,50178973,7.23
78,A005380,2024,53981288,
79,A005380,2025,53610380,
80,A000270,2012,22903029,8.28
81,A000270,2013,22740884,8.37
82,A000270,2014,21200503,7.5
83,A000270,2015,21322112,5.08
84,A000270,2016,15910511,4.7
85,A000270,2017,13579672,4.38
86,A000270,2018,13660745,4.31
87,A000270,2019,17957596,4.2
88,A000270,2020,25294673,6.31
89,A000270,2021,33320867,8.84
90,A000270,2022,24038046,7.11
91,A000270,2023,40204420,7.08
92,A000270,2024,40045634,
93,A000270,2025,40840979,
94,A068270,2012,5234734,7.25
95,A068270,2013,3967149,9.01
96,A068270,2014,4222026,8.98
97,A068270,2015,9781721,9.38
98,A068270,2016,13148611,9.01
99,A068270,2017,27661462,11.42
100,A068270,2018,28468515,9.49
101,A068270,2019,24380368,8.11
102,A068270,2020,49424787,6.2
103,A068270,2021,27854562,9.07
104,A068270,2022,23483865,8.82
105,A068270,2023,29500158,8.08
106,A068270,2024,42624393,
107,A068270,2025,40175387,
108,A105560,2012,14642729,
109,A105560,2013,16323359,
110,A105560,2014,13966614,
111,A105560,2015,12807559,
112,A105560,2016,17895174,
113,A105560,2017,26508271,
114,A105560,2018,19442186,
115,A105560,2019,19813247,
116,A105560,2020,18046064,
117,A105560,2021,22869436,
118,A105560,2022,19831508,
119,A105560,2023,21829949,
120,A105560,2024,32623506,
121,A105560,2025,34866618,
122,A035420,2012,10924989,5.38
123,A035420,2013,23864980,9.11
124,A035420,2014,23469427,9.56
125,A035420,2015,21689443,6.86
126,A035420,2016,25546076,7.1
127,A035420,2017,28677531,9.23
128,A035420,2018,20107234,7.2
129,A035420,2019,30737698,5.84
130,A035420,2020,48047043,5.7
131,A035420,2021,62092579,8.55
132,A035420,2022,29118713,10.92
133,A035420,2023,36379525,9.97
134,A035420,2024,31513121,
135,A035420,2025,32400368,
136,A329180,2012,,
137,A329180,2013,,
138,A329180,2014,,
139,A329180,2015,,
140,A329180,2016,,
141,A329180,2017,,
142,A329180,2018,,
143,A329180,2019,,0
144,A329180,2020,,2.93
145,A329180,2021,8451201,4.28
146,A329180,2022,10297681,8.36
147,A329180,2023,11451732,7.67
148,A329180,2024,25522271,
149,A329180,2025,26232456,
150,A055550,2012,18422654,
151,A055550,2013,22429640,
152,A055550,2014,21078172,
153,A055550,2015,18754594,
154,A055550,2016,21457531,
155,A055550,2017,23425460,
156,A055550,2018,18778304,
157,A055550,2019,20556552,
158,A055550,2020,16554685,
159,A055550,2021,19010864,
160,A055550,2022,17909227,
161,A055550,2023,20697493,
162,A055550,2024,23989170,
163,A055550,2025,25323300,
164,A012330,2012,28037706,8.65
165,A012330,2013,28575236,9.35
166,A012330,2014,22973915,8.98
167,A012330,2015,23995262,5.78
168,A012330,2016,25698780,6.16
169,A012330,2017,25601436,5.27
170,A012330,2018,18495334,5.85
171,A012330,2019,24398514,6.42
172,A012330,2020,24286474,8.2
173,A012330,2021,24068852,10.39
174,A012330,2022,18904161,7.64
175,A012330,2023,22196257,8.04
176,A012330,2024,21993340,
177,A012330,2025,23434764,
178,A005490,2012,30428205,6.59
179,A005490,2013,28466502,6.37
180,A005490,2014,24019973,7.56
181,A005490,2015,14516608,7.6
182,A005490,2016,22450610,9.91
183,A005490,2017,28989623,5.99
184,A005490,2018,21186401,8.4
185,A005490,2019,20619686,6.7
186,A005490,2020,23714819,5.81
187,A005490,2021,23932786,6.41
188,A005490,2022,23383945,9.27
189,A005490,2023,42243329,14.32
190,A005490,2024,20945280,
191,A005490,2025,21441026,
192,A028260,2012,,3.4
193,A028260,2013,,1.78
194,A028260,2014,21330000,2.3
195,A028260,2015,26729115,11.36
196,A028260,2016,23949152,8.25
197,A028260,2017,24029350,8.88
198,A028260,2018,20126546,7.95
199,A028260,2019,20707985,6.98
200,A028260,2020,25994659,7.42
201,A028260,2021,22416952,8.99
202,A028260,2022,21377681,8.82
203,A028260,2023,24196213,6.46
204,A028260,2024,20537736,
205,A028260,2025,20683926,
206,A138040,2012,461268,
207,A138040,2013,779107,
208,A138040,2014,1285972,
209,A138040,2015,1857516,
210,A138040,2016,1586033,
211,A138040,2017,2150432,
212,A138040,2018,1619591,
213,A138040,2019,1654647,
214,A138040,2020,1314651,
215,A138040,2021,5896497,
216,A138040,2022,5447317,
217,A138040,2023,12019292,
218,A138040,2024,19834892,
219,A138040,2025,20788492,
220,A096770,2012,16150555,11.13
221,A096770,2013,13165025,9.33
222,A096770,2014,7932489,8.31
223,A096770,2015,12107788,10.57
224,A096770,2016,13654693,9.25
225,A096770,2017,19086484,7.33
226,A096770,2018,16745507,6.34
227,A096770,2019,14009659,6.97
228,A096770,2020,17739491,10.72
229,A096770,2021,22229065,9.67
230,A096770,2022,14356924,10.54
231,A096770,2023,14236082,12.34
232,A096770,2024,17007779,
233,A096770,2025,19297018,
234,A196170,2012,,0
235,A196170,2013,,9.59
236,A196170,2014,140320,2.33
237,A196170,2015,234426,13.49
238,A196170,2016,204677,11.72
239,A196170,2017,279949,9.6
240,A196170,2018,361596,9.52
241,A196170,2019,929693,13.13
242,A196170,2020,5046497,9.92
243,A196170,2021,3199404,10.98
244,A196170,2022,1970587,10.74
245,A196170,2023,5140171,8.52
246,A196170,2024,16502177,
247,A196170,2025,18501633,
248,A012450,2012,3171861,7.06
249,A012450,2013,2890272,6.72
250,A012450,2014,1267151,7.76
251,A012450,2015,1888772,6.82
252,A012450,2016,2308499,4.8
253,A012450,2017,1869930,4.51
254,A012450,2018,1691300,4.24
255,A012450,2019,1807178,
256,A012450,2020,1442955,7.01
257,A012450,2021,2430240,5.45
258,A012450,2022,3726368,6.41
259,A012450,2023,6303435,5.13
260,A012450,2024,14882249,
261,A012450,2025,17480375,
262,A051910,2012,22647613,10.72
263,A051910,2013,21011604,10.19
264,A051910,2014,13070747,10.22
265,A051910,2015,23654399,10.73
266,A051910,2016,18666148,9.71
267,A051910,2017,30504410,9.29
268,A051910,2018,25998703,9.28
269,A051910,2019,23743231,6.91
270,A051910,2020,61101368,8.7
271,A051910,2021,45620977,7.63
272,A051910,2022,44489048,11.78
273,A051910,2023,37616796,11.37
274,A051910,2024,18869067,
275,A051910,2025,18108480,
276,A009540,2012,18392000,9.46
277,A009540,2013,19532000,8.13
278,A009540,2014,8740000,6.88
279,A009540,2015,6672800,6.33
280,A009540,2016,11058000,6.44
281,A009540,2017,5694875,4.46
282,A009540,2018,9094345,7.85
283,A009540,2019,8952799,9.07
284,A009540,2020,7678883,9.53
285,A009540,2021,6695137,8.92
286,A009540,2022,5003659,9.77
287,A009540,2023,8556470,9.19
288,A009540,2024,16136270,
289,A009540,2025,15994724,
290,A032830,2012,20900000,
291,A032830,2013,20800000,
292,A032830,2014,23300000,
293,A032830,2015,22000000,
294,A032830,2016,22500000,
295,A032830,2017,24900000,
296,A032830,2018,16320000,
297,A032830,2019,14900000,
298,A032830,2020,15820000,
299,A032830,2021,12820000,
300,A032830,2022,14200000,
301,A032830,2023,13820000,
302,A032830,2024,18960000,
303,A032830,2025,16720000,
304,A011200,2012,3640848,6.45
305,A011200,2013,1929715,6.37
306,A011200,2014,1692732,5.12
307,A011200,2015,922538,6.05
308,A011200,2016,1202347,6.95
309,A011200,2017,1565265,7.09
310,A011200,2018,1152123,9.38
311,A011200,2019,1123760,10.77
312,A011200,2020,4557832,7.83
313,A011200,2021,13155162,8.1
314,A011200,2022,9560722,10.14
315,A011200,2023,13491393,8.57
316,A011200,2024,15559157,
317,A011200,2025,16572353,
318,A086790,2012,8433827,
319,A086790,2013,12726349,
320,A086790,2014,9276610,
321,A086790,2015,6985672,
322,A086790,2016,9250096,
323,A086790,2017,14740952,
324,A086790,2018,10883775,
325,A086790,2019,11078932,
326,A086790,2020,10358351,
327,A086790,2021,12625179,
328,A086790,2022,12442741,
329,A086790,2023,12688276,
330,A086790,2024,16315282,
331,A086790,2025,16975936,
332,A006400,2012,6959395,7.62
333,A006400,2013,7497425,8.6
334,A006400,2014,8092365,8.79
335,A006400,2015,7958395,8.02
336,A006400,2016,7583671,7.54
337,A006400,2017,14213619,12.13
338,A006400,2018,15198895,9.53
339,A006400,2019,16377761,7.86
340,A006400,2020,43677583,8.88
341,A006400,2021,45601368,8.97
342,A006400,2022,41087994,11.24
343,A006400,2023,32854860,13.55
344,A006400,2024,17255272,
345,A006400,2025,16217980,
346,A000810,2012,10590735,
347,A000810,2013,12724943,
348,A000810,2014,13918051,
349,A000810,2015,15171050,
350,A000810,2016,13301088,
351,A000810,2017,13214065,
352,A000810,2018,13297643,
353,A000810,2019,12065645,
354,A000810,2020,9339238,
355,A000810,2021,10077245,
356,A000810,2022,9963343,
357,A000810,2023,13066062,
358,A000810,2024,17860083,
359,A000810,2025,17041690,
360,A042660,2012,5196259,7.67
361,A042660,2013,6698677,6.24
362,A042660,2014,3569438,5.75
363,A042660,2015,970351,2.93
364,A042660,2016,1224901,2.72
365,A042660,2017,1459900,1.32
366,A042660,2018,3661076,7.43
367,A042660,2019,2985680,7.06
368,A042660,2020,2939764,7.18
369,A042660,2021,2473050,6.66
370,A042660,2022,2033158,6.5
371,A042660,2023,7689608,7.11
372,A042660,2024,11444540,
373,A042660,2025,15780290,
374,A259960,2012,,10.92
375,A259960,2013,,5.88
376,A259960,2014,,
377,A259960,2015,,5.23
378,A259960,2016,,5.34
379,A259960,2017,,N/A(IFRS)
380,A259960,2018,,0.83
381,A259960,2019,,3.33
382,A259960,2020,,
383,A259960,2021,22524841,3.29
384,A259960,2022,8245700,12.55
385,A259960,2023,9363027,8.26
386,A259960,2024,14970836,
387,A259960,2025,16168502,
388,A035720,2012,1230253,6.92
389,A035720,2013,1139059,5.2
390,A035720,2014,7131714,8.83
391,A035720,2015,6959127,6.97
392,A035720,2016,5206410,6.94
393,A035720,2017,9303468,8.6
394,A035720,2018,8588941,9.51
395,A035720,2019,13233807,4.98
396,A035720,2020,34446039,5.78
397,A035720,2021,50150799,8.37
398,A035720,2022,23651292,12.45
399,A035720,2023,24149879,11.28
400,A035720,2024,16944125,
401,A035720,2025,15860921,
402,A010130,2012,7642350,9.9
403,A010130,2013,6000660,11.27
404,A010130,2014,7614045,6.62
405,A010130,2015,8850030,7.91
406,A010130,2016,8963250,6.43
407,A010130,2017,9302910,6.24
408,A010130,2018,8161275,6.04
409,A010130,2019,8019750,5.08
410,A010130,2020,7576305,6.35
411,A010130,2021,9642570,5.99
412,A010130,2022,11202821,7.7
413,A010130,2023,10412477,8.31
414,A010130,2024,20827503,
415,A010130,2025,15672385,
416,A034020,2012,4784703,7.71
417,A034020,2013,3758002,8.7
418,A034020,2014,2510643,6.92
419,A034020,2015,2186860,6.56
420,A034020,2016,2887505,6.61
421,A034020,2017,1634199,4.24
422,A034020,2018,1139838,5.8
423,A034020,2019,1156280,4.49
424,A034020,2020,5057597,4.79
425,A034020,2021,12317393,6.3
426,A034020,2022,9829944,9.65
427,A034020,2023,10184922,7.92
428,A034020,2024,11241848,
429,A034020,2025,15277383,
430,A267260,2012,,
431,A267260,2013,,
432,A267260,2014,,
433,A267260,2015,,
434,A267260,2016,,
435,A267260,2017,1163459,2.87
436,A267260,2018,451928,6.13
437,A267260,2019,416344,6.03
438,A267260,2020,591173,6.11
439,A267260,2021,717338,5.47
440,A267260,2022,1532003,7.78
441,A267260,2023,2963074,5.36
442,A267260,2024,13770006,
443,A267260,2025,14725255,
444,A066570,2012,12395073,8.24
445,A066570,2013,11597267,7.18
446,A066570,2014,10134748,4.76
447,A066570,2015,9297490,6.09
448,A066570,2016,8885048,6.62
449,A066570,2017,18154410,6.56
450,A066570,2018,10648110,5.24
451,A066570,2019,12287089,5.79
452,A066570,2020,23188921,4.67
453,A066570,2021,23709080,8.61
454,A066570,2022,14878207,8.45
455,A066570,2023,17446465,6.78
456,A066570,2024,14372655,
457,A066570,2025,14517398,
458,A015760,2012,19547806,3.47
459,A015760,2013,22308252,
460,A015760,2014,27411866,4.44
461,A015760,2015,32098204,4.81
462,A015760,2016,28278518,3.39
463,A015760,2017,24490930,3.74
464,A015760,2018,21249011,3.01
465,A015760,2019,17846601,2.14
466,A015760,2020,17589816,2.87
467,A015760,2021,14187406,2.56
468,A015760,2022,13994817,2.73
469,A015760,2023,12133121,2.53
470,A015760,2024,12871380,
471,A015760,2025,13352853,
472,A402340,2012,,
473,A402340,2013,,
474,A402340,2014,,
475,A402340,2015,,
476,A402340,2016,,
477,A402340,2017,,
478,A402340,2018,,
479,A402340,2019,,
480,A402340,2020,,
481,A402340,2021,9393447,8.36
482,A402340,2022,4746237,12.23
483,A402340,2023,7310402,9.43
484,A402340,2024,10685672,
485,A402340,2025,13288032,
486,A033780,2012,11093234,4.03
487,A033780,2013,10228291,5.63
488,A033780,2014,10447959,7.02
489,A033780,2015,14347066,4.63
490,A033780,2016,13866542,3.53
491,A033780,2017,15857283,2
492,A033780,2018,13935188,3.27
493,A033780,2019,12878036,2.78
494,A033780,2020,11409007,4.88
495,A033780,2021,10846107,3.93
496,A033780,2022,12562263,4.54
497,A033780,2023,11629175,4.99
498,A033780,2024,13426323,
499,A033780,2025,13225743,
500,A247540,2012,,
501,A247540,2013,,
502,A247540,2014,,
503,A247540,2015,,
504,A247540,2016,,0
505,A247540,2017,,3.77
506,A247540,2018,,3.27
507,A247540,2019,1089466,7.33
508,A247540,2020,3578082,7.29
509,A247540,2021,10977269,7.67
510,A247540,2022,9007504,10.01
511,A247540,2023,28166787,16.23
512,A247540,2024,10748368,
513,A247540,2025,12831536,
514,A042700,2012,171672,8.52
515,A042700,2013,284848,7
516,A042700,2014,412012,4.95
517,A042700,2015,317911,6.13
518,A042700,2016,392937,6.84
519,A042700,2017,753448,7.32
520,A042700,2018,445202,10.56
521,A042700,2019,463514,13.01
522,A042700,2020,932177,9.44
523,A042700,2021,1872056,9.14
524,A042700,2022,1119402,12.44
525,A042700,2023,6005835,8.81
526,A042700,2024,7970676,
527,A042700,2025,11777278,
528,A024110,2012,6470117,
529,A024110,2013,6684869,
530,A024110,2014,7790463,
531,A024110,2015,6871564,
532,A024110,2016,7111731,
533,A024110,2017,9211652,
534,A024110,2018,7867702,
535,A024110,2019,6810452,
536,A024110,2020,6529793,
537,A024110,2021,7666296,
538,A024110,2022,7830722,
539,A024110,2023,9457471,
540,A024110,2024,11427113,
541,A024110,2025,12025182,
542,A316140,2012,,
543,A316140,2013,,
544,A316140,2014,,
545,A316140,2015,,
546,A316140,2016,,
547,A316140,2017,,
548,A316140,2018,,
549,A316140,2019,8378305,
550,A316140,2020,7027665,
551,A316140,2021,9246369,
552,A316140,2022,8409099,
553,A316140,2023,9775343,
554,A316140,2024,11413631,
555,A316140,2025,11703242,
556,A017670,2012,12313721,4.77
557,A017670,2013,18571514,4.32
558,A017670,2014,21639851,5.44
559,A017670,2015,17400701,3.61
560,A017670,2016,18087039,4.36
561,A017670,2017,21559105,4.1
562,A017670,2018,21760969,3.22
563,A017670,2019,19217479,2.38
564,A017670,2020,19217479,4.07
565,A017670,2021,12670439,5.14
566,A017670,2022,10372691,4.14
567,A017670,2023,10963541,3.7
568,A017670,2024,11856411,
569,A017670,2025,11791974,
570,A010140,2012,8903289,9.2
571,A010140,2013,8788236,7.35
572,A010140,2014,4608881,6.77
573,A010140,2015,2509362,6.37
574,A010140,2016,3611497,4.37
575,A010140,2017,2863012,6.6
576,A010140,2018,4673238,6.05
577,A010140,2019,4587301,6.64
578,A010140,2020,4474879,6.44
579,A010140,2021,5014751,5.64
580,A010140,2022,4510983,6.53
581,A010140,2023,6820000,5.56
582,A010140,2024,9944000,
583,A010140,2025,11202400,
584,A003550,2012,11328288,9.34
585,A003550,2013,11161990,8.79
586,A003550,2014,10697061,9.19
587,A003550,2015,12372669,7.45
588,A003550,2016,10482866,7.1
589,A003550,2017,15867438,8.06
590,A003550,2018,12196816,8.39
591,A003550,2019,12897798,6.85
592,A003550,2020,15320501,7.74
593,A003550,2021,12917825,8.96
594,A003550,2022,12465599,9.83
595,A003550,2023,13695567,8.25
596,A003550,2024,11504249,
597,A003550,2025,11703906,
598,A030200,2012,9269469,3.49
599,A030200,2013,8238078,4.94
600,A030200,2014,8159744,4.76
601,A030200,2015,7376409,3.32
602,A030200,2016,7676687,3.64
603,A030200,2017,7898632,2.95
604,A030200,2018,7781132,2.77
605,A030200,2019,7050019,2.26
606,A030200,2020,6266683,3.87
607,A030200,2021,7990021,3.56
608,A030200,2022,8825579,3.83
609,A030200,2023,8870410,3.88
610,A030200,2024,11051151,
611,A030200,2025,11504790,
612,A003670,2012,782678,6.33
613,A003670,2013,740147,7.22
614,A003670,2014,827571,4.76
615,A003670,2015,809259,4.73
616,A003670,2016,708840,4.85
617,A003670,2017,2350986,7.76
618,A003670,2018,3762759,9.02
619,A003670,2019,3003670,8.58
620,A003670,2020,8056175,7.65
621,A003670,2021,11154704,6.93
622,A003670,2022,13943380,10.59
623,A003670,2023,27809296,17.11
624,A003670,2024,11007524,
625,A003670,2025,11038509,
626,A034730,2012,5150000,6.83
627,A034730,2013,6750000,7.39
628,A034730,2014,10675000,6.95
629,A034730,2015,17007420,5.95
630,A034730,2016,16225248,7.22
631,A034730,2017,20004527,6.83
632,A034730,2018,18365859,6.53
633,A034730,2019,18540265,5.52
634,A034730,2020,17057523,7.04
635,A034730,2021,18736032,6.64
636,A034730,2022,14109334,7.71
637,A034730,2023,13109015,6.54
638,A034730,2024,9598078,
639,A034730,2025,10776246,
640,A028300,2012,60570,8.25
641,A028300,2013,59172,8.31
642,A028300,2014,216050,9.66
643,A028300,2015,742011,15.42
644,A028300,2016,471872,11.02
645,A028300,2017,1398747,16.28
646,A028300,2018,3129802,12.45
647,A028300,2019,4910702,10.69
648,A028300,2020,4899716,6.63
649,A028300,2021,3710030,8.31
650,A028300,2022,3449631,10.44
651,A028300,2023,6555190,9
652,A028300,2024,9604421,
653,A028300,2025,10563550,
654,A000100,2012,1951710,4.81
655,A000100,2013,2107303,5.83
656,A000100,2014,1912015,4.93
657,A000100,2015,3081583,8.09
658,A000100,2016,2363317,7.08
659,A000100,2017,2716446,6.47
660,A000100,2018,2655684,6.74
661,A000100,2019,3208620,6.05
662,A000100,2020,5333323,4.91
663,A000100,2021,4613903,7.49
664,A000100,2022,4444926,6.82
665,A000100,2023,5589423,6.6
666,A000100,2024,9707683,
