,Ticker,Name,종목명 (Full),기업명 (한글),거래소 업종,거래소 업종코드,결산월,회계년,자기자본비율(%),차입금의존도(%),매출액증가율(%),영업이익률(%),총자본회전율(%),부채 상환능력(%),당좌비율(%),ROA(당기순이익)(%),"신용등급 (채권, NICE)","신용등급 (CP, NICE)",ESG등급,환경,사회,지배구조,시가총액(천원),WACC(시가총액평균)(%)
2060,A000020,동화약품,동화약품보통주,동화약품(주),코스피 제약,I.009,12,2020,81.7,1.4,-12.928898995391203,8.35,85.0,68.80478011431235,315.3124310742018,7.27,,,B,D,B+,B,548853000.0,5.54
2061,A000020,동화약품,동화약품보통주,동화약품(주),코스피 제약,I.009,12,2021,82.7,0.78,1.7851849285063004,6.89,81.0,42.40368650094828,289.15505420598356,3.59,,,C,C,B+,C,407799000.0,5.12
2062,A000020,동화약품,동화약품보통주,동화약품(주),코스피 제약,I.009,12,2022,83.7,0.78,16.05901020924194,8.41,90.0,38.86986571689737,239.86641038758134,4.3,,,C,C,B,C,258645000.0,10.28
2063,A000020,동화약품,동화약품보통주,동화약품(주),코스피 제약,I.009,12,2023,79.27,4.35,6.079589315958311,5.09,91.0,28.78383878747794,166.2296285838011,5.79,,,C,B,B,C,286856000.0,6.33
3412,A000040,KR모터스,KR모터스보통주,케이알모터스(주),코스피 운송장비·부품,I.015,12,2020,38.4,24.45,-45.8917368781972,-8.03,73.0,-10.544052453703049,14.39191667547439,-11.1,B-,,C,D,C,B,104035000.0,8.58
3413,A000040,KR모터스,KR모터스보통주,케이알모터스(주),코스피 운송장비·부품,I.015,12,2021,40.46,26.36,-16.08072935945456,-5.51,47.0,-5.414659993990494,9.10830701681676,-7.87,B-,,D,D,D,D,83159000.0,9.4
3414,A000040,KR모터스,KR모터스보통주,케이알모터스(주),코스피 운송장비·부품,I.015,12,2022,39.37,39.28,-15.039559202164055,-31.7,39.0,-10.612642654527015,9.662817048869252,-5.47,B-,,D,D,D,D,53838000.0,9.17
3415,A000040,KR모터스,KR모터스보통주,케이알모터스(주),코스피 운송장비·부품,I.015,12,2023,27.79,58.45,3.031829934064789,-41.98,49.0,-13.021359974411814,7.854504209859113,-17.2,,,D,D,D,D,34418000.0,13.28
2052,A000050,경방,경방보통주,(주)경방,코스피 유통,I.016,12,2020,62.64,12.14,5.331491812279521,11.22,30.0,10.277250118607276,28.153379517070576,2.07,,,C,C,C,B+,339949000.0,3.96
2053,A000050,경방,경방보통주,(주)경방,코스피 유통,I.016,12,2021,63.15,14.82,20.196478091757353,10.55,36.0,-1.3648694148582134,34.5115318148101,1.92,,,D,C,D,D,376960000.0,3.44
2054,A000050,경방,경방보통주,(주)경방,코스피 유통,I.016,12,2022,66.58,12.41,-0.7132191705980562,13.68,35.0,14.892638558717023,49.549563348436465,-0.22,,,C,C,D,C,296085000.0,6.94
2055,A000050,경방,경방보통주,(주)경방,코스피 유통,I.016,12,2023,66.89,11.56,0.4559832910815409,13.21,36.0,11.816469446940268,35.32355802050506,-0.35,,,C,C,D,C,242351000.0,2.36
1168,A000070,삼양홀딩스,삼양홀딩스보통주,(주)삼양홀딩스,코스피 금융,I.021,12,2020,85.55,9.97,96.38860221457996,66.8,8.0,15.726525052462357,1018.4013714849705,4.47,,,B+,A,A,B,653119000.0,6.06
1169,A000070,삼양홀딩스,삼양홀딩스보통주,(주)삼양홀딩스,코스피 금융,I.021,12,2021,83.13,10.87,208.51878444556155,68.86,22.0,6.011320870396189,264.0317880549273,12.69,,,B+,B+,A,B,861991000.0,6.03
1170,A000070,삼양홀딩스,삼양홀딩스보통주,(주)삼양홀딩스,코스피 금융,I.021,12,2022,86.31,8.03,-40.09050286564063,32.72,12.0,57.527929351942554,399.73805935285463,3.8,,,B+,A,A,B+,605240000.0,7.72
1171,A000070,삼양홀딩스,삼양홀딩스보통주,(주)삼양홀딩스,코스피 금융,I.021,12,2023,82.49,13.18,2.3376067716998516,28.64,11.0,15.603058754891888,203.9662483810157,8.99,AA-,,A,A,A+,B+,607050000.0,4.33
668,A000080,하이트진로,하이트진로보통주,하이트진로(주),코스피 음식료·담배,I.005,12,2020,35.11,34.59,11.97398092748525,8.82,189.0,17.294944387457882,43.72083177347833,1.67,A,A2,B+,B+,A,B,2256754000.0,4.74
669,A000080,하이트진로,하이트진로보통주,하이트진로(주),코스피 음식료·담배,I.005,12,2021,32.37,29.95,-3.522629825711887,7.61,180.0,26.543597898621364,58.417906533847955,2.22,A,A2,B,B,B+,B,2136114000.0,4.6
670,A000080,하이트진로,하이트진로보통주,하이트진로(주),코스피 음식료·담배,I.005,12,2022,37.4,31.33,12.395043408705275,7.45,196.0,-5.124791197798015,49.700860206801394,2.04,A+,A2+,B,A,A,C,1810674000.0,6.77
671,A000080,하이트진로,하이트진로보통주,하이트진로(주),코스피 음식료·담배,I.005,12,2023,35.06,33.22,1.1064462076586512,4.53,200.0,7.598901090857035,41.4147510124292,0.69,A+,A2+,B+,A,A,B,1595749000.0,4.64
160,A000100,유한양행,유한양행보통주,(주)유한양행,코스피 제약,I.009,12,2020,81.8,0.12,7.153924354758301,7.4,94.0,12.242426070786076,301.05947256654883,9.49,,,B+,B+,A,B+,5333323000.0,4.91
161,A000100,유한양행,유한양행보통주,(주)유한양행,코스피 제약,I.009,12,2021,84.08,0.07,3.583830725271353,3.77,90.0,30.247808014239432,280.9182864885007,5.25,,,B+,B,A,B+,4613903000.0,7.49
162,A000100,유한양행,유한양행보통주,(주)유한양행,코스피 제약,I.009,12,2022,85.33,0.04,6.294506730456573,2.38,91.0,32.2004160556923,269.55430803153837,5.82,,,A,B+,A+,A,4444926000.0,6.82
