"고객주소시군구(CUSTM_GU_NM)","고객주소행정동(CUSTM_DONG_NM)","가맹점주소시군구(STORE_GU_NM)","가맹점주소행정동(STORE_DONG_NM)","업종(UPJONG_NM)","일별(DATE)","성별(GENDER)","연령대별(AGE_GR)","카드이용금액(USE_AMT)","카드이용건수(USE_CNT)"
"영등포구","남현동","중구","아현동","중식","20170313","F","20대후",169920,114.72
"금천구","사당3동","중랑구","중곡4동","단품요리 전문","20181209","M","50대후",1307800,156.09
"용산구","삼선동","종로구","방배2동","커피","20190604","F","50대초",496860,172.08
"성북구","상암동","송파구","상봉2동","가정식","20170506","F","40대후",8184960,39.68
"서대문구","고척2동","광진구","잠실6동","분식","20171010","M","50대후",353500,83.81
"동작구","면목7동","구로구","창2동","단품요리 전문","20171109","F","20대후",3741660,28.2
"관악구","진관동","마포구","부암동","가정식","20180713","M","60대초",4148280,39.52
"양천구","서원동","중랑구","중화2동","단품요리 전문","20170505","M","20대후",4044096,143.26
"은평구","이화동","종로구","정릉2동","단품요리 전문","20171121","F","30대후",250560,78.72
"마포구","잠실6동","강남구","여의동","양식","20180328","M","30대후",449100,182.52
"동대문구","대림2동","서초구","합정동","햄버거","20190323","F","20대초",2545200,100.6
"동대문구","중계1동","강북구","장충동","단품요리 전문","20191225","F","20대후",797040,140.84
"강남구","화양동","용산구","방학3동","단품요리 전문","20180907","M","20대후",711360,166.65
"은평구","신월5동","서초구","삼성1동","양식","20170213","F","40대초",5478435,113.39
"노원구","양재1동","중구","왕십리도선동","일식","20171127","F","60대초",7272000,50.7
"양천구","반포4동","강서구","인헌동","단품요리 전문","20180530","F","30대초",152100,178.2
"마포구","면목3.8동","종로구","종로5.6가동","단품요리 전문","20170427","F","30대초",553280,121.68
"강서구","상도3동","강남구","광희동","커피","20181028","F","40대초",2027830,50.5
"관악구","장안1동","강남구","약수동","단품요리 전문","20190627","M","50대후",818100,181.08
"강동구","양평2동","서초구","사근동","단품요리 전문","20181127","F","50대초",1121472,78.72
"도봉구","정릉4동","용산구","방배3동","동남아/인도음식","20191225","M","20대후",1131200,158.08
"강동구","독산2동","마포구","성수1가2동","중식","20190809","F","20대후",17784000,176.75
"동작구","천호3동","영등포구","역삼1동","가정식","20180918","M","40대후",693000,88.92
"마포구","공덕동","금천구","회현동","단품요리 전문","20171023","M","70대이상",1359360,177.84
"동대문구","방배본동","중구","잠실6동","가정식","20170811","M","20대후",1496340,74.25
