,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2006/07,AUS Nationals,https://skatingscores.com/0607/nataus/,"Brisbane, QLD",2006-08-19,https://skatingscores.com/0607/nataus/nov/men/i/short/aus/brendan_kerry/,25.97,4N,https://skatingscores.com/0607/nataus/nov/men/i/long/aus/brendan_kerry/,47.23,3N,https://skatingscores.com/0607/nataus/nov/men/results/,73.2,4N
1,2007/08,AUS Nationals,https://skatingscores.com/0708/nataus/,"Lake Macquarie, NSW",2007-07-17,https://skatingscores.com/0708/nataus/nov/men/i/short/aus/brendan_kerry/,40.64,1N,https://skatingscores.com/0708/nataus/nov/men/i/long/aus/brendan_kerry/,67.36,1N,https://skatingscores.com/0708/nataus/nov/men/results/,108.0,1N
2,2008/09,AUS Nationals,https://skatingscores.com/0809/nataus/,"Brisbane, QLD",2008-08-16,https://skatingscores.com/0809/nataus/jr/men/i/short/aus/brendan_kerry/,45.15,1J,https://skatingscores.com/0809/nataus/jr/men/i/long/aus/brendan_kerry/,68.04,2J,https://skatingscores.com/0809/nataus/jr/men/results/,113.19,2J
3,2008/09,JGP GBR,https://skatingscores.com/0809/jgpgbr/,Sheffield,2008-10-15,https://skatingscores.com/0809/jgpgbr/jr/men/i/short/aus/brendan_kerry/,35.7,25J,https://skatingscores.com/0809/jgpgbr/jr/men/i/long/aus/brendan_kerry/,69.17,24J,https://skatingscores.com/0809/jgpgbr/jr/men/results/,104.87,25J
4,2009/10,AUS Nationals,https://skatingscores.com/0910/nataus/,"Sydney, NSW",2009-08-22,https://skatingscores.com/0910/nataus/jr/men/i/short/aus/brendan_kerry/,37.28,3J,https://skatingscores.com/0910/nataus/jr/men/i/long/aus/brendan_kerry/,88.55,1J,https://skatingscores.com/0910/nataus/jr/men/results/,125.83,1J
5,2009/10,JGP USA,https://skatingscores.com/0910/jgpusa/,"Lake Placid, NY",2009-09-02,https://skatingscores.com/0910/jgpusa/jr/men/i/short/aus/brendan_kerry/,35.89,16J,https://skatingscores.com/0910/jgpusa/jr/men/i/long/aus/brendan_kerry/,72.07,13J,https://skatingscores.com/0910/jgpusa/jr/men/results/,107.96,15J
6,2009/10,JGP GER,https://skatingscores.com/0910/jgpger/,Dresden,2009-09-30,https://skatingscores.com/0910/jgpger/jr/men/i/short/aus/brendan_kerry/,31.19,25J,https://skatingscores.com/0910/jgpger/jr/men/i/long/aus/brendan_kerry/,75.27,19J,https://skatingscores.com/0910/jgpger/jr/men/results/,106.46,21J
7,2010/11,JGP GBR,https://skatingscores.com/1011/jgpgbr/,Sheffield,2010-09-29,https://skatingscores.com/1011/jgpgbr/jr/men/i/short/aus/brendan_kerry/,39.87,13J,https://skatingscores.com/1011/jgpgbr/jr/men/i/long/aus/brendan_kerry/,76.07,17J,https://skatingscores.com/1011/jgpgbr/jr/men/results/,115.94,14J
8,2010/11,JGP GER,https://skatingscores.com/1011/jgpger/,Dresden,2010-10-06,https://skatingscores.com/1011/jgpger/jr/men/i/short/aus/brendan_kerry/,44.17,17J,https://skatingscores.com/1011/jgpger/jr/men/i/long/aus/brendan_kerry/,72.92,20J,https://skatingscores.com/1011/jgpger/jr/men/results/,117.09,20J
9,2010/11,AUS Nationals,https://skatingscores.com/1011/nataus/,"Melbourne, VIC",2010-11-25,https://skatingscores.com/1011/nataus/jr/men/i/short/aus/brendan_kerry/,48.97,1J,https://skatingscores.com/1011/nataus/jr/men/i/long/aus/brendan_kerry/,81.68,3J,https://skatingscores.com/1011/nataus/jr/men/results/,130.65,1J
