,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2010/11,JGP GBR,https://skatingscores.com/1011/jgpgbr/,Sheffield,2010-09-29,https://skatingscores.com/1011/jgpgbr/jr/women/i/short/aus/brooklee_han/,40.42,8J,https://skatingscores.com/1011/jgpgbr/jr/women/i/long/aus/brooklee_han/,66.78,11J,https://skatingscores.com/1011/jgpgbr/jr/women/results/,107.2,10J
1,2010/11,JGP GER,https://skatingscores.com/1011/jgpger/,Dresden,2010-10-06,https://skatingscores.com/1011/jgpger/jr/women/i/short/aus/brooklee_han/,38.72,14J,https://skatingscores.com/1011/jgpger/jr/women/i/long/aus/brooklee_han/,63.43,18J,https://skatingscores.com/1011/jgpger/jr/women/results/,102.15,17J
2,2010/11,AUS Nationals,https://skatingscores.com/1011/nataus/,"Melbourne, VIC",2010-11-25,https://skatingscores.com/1011/nataus/jr/women/i/short/aus/brooklee_han/,37.76,2J,https://skatingscores.com/1011/nataus/jr/women/i/long/aus/brooklee_han/,72.74,2J,https://skatingscores.com/1011/nataus/jr/women/results/,110.5,2J
3,2010/11,Bavarian Open,https://skatingscores.com/1011/bavopn/,Oberstdorf,2011-02-09,https://skatingscores.com/1011/bavopn/jr/women/i/short/aus/brooklee_han/,37.8,2J,https://skatingscores.com/1011/bavopn/jr/women/i/long/aus/brooklee_han/,70.69,4J,https://skatingscores.com/1011/bavopn/jr/women/results/,108.49,2J
4,2010/11,Jr Worlds,https://skatingscores.com/1011/wjc/,Gangneung,2011-02-27,https://skatingscores.com/1011/wjc/jr/women/i/short/aus/brooklee_han/,38.28,23J,https://skatingscores.com/1011/wjc/jr/women/i/long/aus/brooklee_han/,68.7,20J,https://skatingscores.com/1011/wjc/jr/women/results/,106.98,21J
5,2011/12,JGP AUS,https://skatingscores.com/1112/jgpaus/,"Brisbane, QLD",2011-09-08,https://skatingscores.com/1112/jgpaus/jr/women/i/short/aus/brooklee_han/,37.53,11J,https://skatingscores.com/1112/jgpaus/jr/women/i/long/aus/brooklee_han/,77.96,7J,https://skatingscores.com/1112/jgpaus/jr/women/results/,115.49,8J
6,2011/12,JGP ITA,https://skatingscores.com/1112/jgpita/,Milano,2011-10-06,https://skatingscores.com/1112/jgpita/jr/women/i/short/aus/brooklee_han/,37.68,15J,https://skatingscores.com/1112/jgpita/jr/women/i/long/aus/brooklee_han/,71.38,11J,https://skatingscores.com/1112/jgpita/jr/women/results/,109.06,13J
7,2011/12,Jr Worlds,https://skatingscores.com/1112/wjc/,Minsk,2012-02-27,https://skatingscores.com/1112/wjc/jr/women/i/short/aus/brooklee_han/,35.37,30J,,0.0,,https://skatingscores.com/1112/wjc/jr/women/results/,35.37,30
8,2011/12,Triglav Tr.,https://skatingscores.com/1112/tritro/,Jesenice,2012-04-04,https://skatingscores.com/1112/tritro/sr/women/i/short/aus/brooklee_han/,40.44,13,https://skatingscores.com/1112/tritro/sr/women/i/long/aus/brooklee_han/,87.26,4,https://skatingscores.com/1112/tritro/sr/women/results/,127.7,6
9,2012/13,JGP USA,https://skatingscores.com/1213/jgpusa/,"Lake Placid, NY",2012-08-30,https://skatingscores.com/1213/jgpusa/jr/women/i/short/aus/brooklee_han/,44.96,7J,https://skatingscores.com/1213/jgpusa/jr/women/i/long/aus/brooklee_han/,83.96,8J,https://skatingscores.com/1213/jgpusa/jr/women/results/,128.92,8J
10,2012/13,JGP TUR,https://skatingscores.com/1213/jgptur/,Istanbul,2012-09-22,https://skatingscores.com/1213/jgptur/jr/women/i/short/aus/brooklee_han/,37.24,15J,https://skatingscores.com/1213/jgptur/jr/women/i/long/aus/brooklee_han/,77.34,9J,https://skatingscores.com/1213/jgptur/jr/women/results/,114.58,12J
11,2012/13,Nebelhorn,https://skatingscores.com/1213/nebtro/,Oberstdorf,2012-09-26,https://skatingscores.com/1213/nebtro/sr/women/i/short/aus/brooklee_han/,49.08,6,https://skatingscores.com/1213/nebtro/sr/women/i/long/aus/brooklee_han/,92.94,8,https://skatingscores.com/1213/nebtro/sr/women/results/,142.02,8
12,2012/13,Merano Cup,https://skatingscores.com/1213/mercup/,Merano,2012-11-17,https://skatingscores.com/1213/mercup/sr/women/i/short/aus/brooklee_han/,43.54,5,https://skatingscores.com/1213/mercup/sr/women/i/long/aus/brooklee_han/,85.13,3,https://skatingscores.com/1213/mercup/sr/women/results/,128.67,3
13,2012/13,AUS Nationals,https://skatingscores.com/1213/nataus/,"Brisbane, QLD",2012-12-01,https://skatingscores.com/1213/nataus/sr/women/i/short/aus/brooklee_han/,41.35,2,https://skatingscores.com/1213/nataus/sr/women/i/long/aus/brooklee_han/,56.07,5,https://skatingscores.com/1213/nataus/sr/women/results/,97.42,2
14,2012/13,4CC,https://skatingscores.com/1213/4cc/,"Osaka, Osaka",2013-02-08,https://skatingscores.com/1213/4cc/sr/women/i/short/aus/brooklee_han/,48.54,11,https://skatingscores.com/1213/4cc/sr/women/i/long/aus/brooklee_han/,86.36,12,https://skatingscores.com/1213/4cc/sr/women/results/,134.9,12
15,2012/13,Jr Worlds,https://skatingscores.com/1213/wjc/,Milano,2013-02-25,https://skatingscores.com/1213/wjc/jr/women/i/short/aus/brooklee_han/,47.2,15J,https://skatingscores.com/1213/wjc/jr/women/i/long/aus/brooklee_han/,78.42,17J,https://skatingscores.com/1213/wjc/jr/women/results/,125.62,16J
16,2012/13,Worlds,https://skatingscores.com/1213/wc/,"London, ON",2013-03-11,https://skatingscores.com/1213/wc/sr/women/i/short/aus/brooklee_han/,50.62,20,https://skatingscores.com/1213/wc/sr/women/i/long/aus/brooklee_han/,91.26,20,https://skatingscores.com/1213/wc/sr/women/results/,141.88,21
17,2013/14,JGP MEX,https://skatingscores.com/1314/jgpmex/,Mexico City,2013-09-05,https://skatingscores.com/1314/jgpmex/jr/women/i/short/aus/brooklee_han/,39.01,16J,https://skatingscores.com/1314/jgpmex/jr/women/i/long/aus/brooklee_han/,80.97,7J,https://skatingscores.com/1314/jgpmex/jr/women/results/,119.98,8J
18,2013/14,Nebelhorn,https://skatingscores.com/1314/nebtro/,Oberstdorf,2013-09-25,https://skatingscores.com/1314/nebtro/sr/women/i/short/aus/brooklee_han/,48.74,10,https://skatingscores.com/1314/nebtro/sr/women/i/long/aus/brooklee_han/,98.42,5,https://skatingscores.com/1314/nebtro/sr/women/results/,147.16,5
19,2013/14,JGP CZE,https://skatingscores.com/1314/jgpcze/,Ostrava,2013-10-03,https://skatingscores.com/1314/jgpcze/jr/women/i/short/aus/brooklee_han/,47.09,11J,https://skatingscores.com/1314/jgpcze/jr/women/i/long/aus/brooklee_han/,88.36,10J,https://skatingscores.com/1314/jgpcze/jr/women/results/,135.45,11J
20,2013/14,Volvo Open,https://skatingscores.com/1314/volopn/,Riga,2013-11-07,https://skatingscores.com/1314/volopn/sr/women/i/short/aus/brooklee_han/,53.95,1,https://skatingscores.com/1314/volopn/sr/women/i/long/aus/brooklee_han/,97.81,1,https://skatingscores.com/1314/volopn/sr/women/results/,151.76,1
21,2013/14,AUS Nationals,https://skatingscores.com/1314/nataus/,"Melbourne, VIC",2013-11-30,https://skatingscores.com/1314/nataus/sr/women/i/short/aus/brooklee_han/,58.61,1,https://skatingscores.com/1314/nataus/sr/women/i/long/aus/brooklee_han/,102.81,1,https://skatingscores.com/1314/nataus/sr/women/results/,161.42,1
22,2013/14,4CC,https://skatingscores.com/1314/4cc/,Taipei,2014-01-20,https://skatingscores.com/1314/4cc/sr/women/i/short/aus/brooklee_han/,52.55,14,https://skatingscores.com/1314/4cc/sr/women/i/long/aus/brooklee_han/,97.62,14,https://skatingscores.com/1314/4cc/sr/women/results/,150.17,14
23,2013/14,Olympics,https://skatingscores.com/1314/oly/,Sochi,2014-02-11,https://skatingscores.com/1314/oly/sr/women/i/short/aus/brooklee_han/,49.32,22,https://skatingscores.com/1314/oly/sr/women/i/long/aus/brooklee_han/,94.52,18,https://skatingscores.com/1314/oly/sr/women/results/,143.84,20
24,2013/14,Worlds,https://skatingscores.com/1314/wc/,"Saitama, Saitama",2014-03-24,https://skatingscores.com/1314/wc/sr/women/i/short/aus/brooklee_han/,53.2,18,https://skatingscores.com/1314/wc/sr/women/i/long/aus/brooklee_han/,91.08,19,https://skatingscores.com/1314/wc/sr/women/results/,144.28,19
25,2014/15,US Classic,https://skatingscores.com/1415/uscla/,"Salt Lake City, UT",2014-09-11,https://skatingscores.com/1415/uscla/sr/women/i/short/aus/brooklee_han/,42.74,8,https://skatingscores.com/1415/uscla/sr/women/i/long/aus/brooklee_han/,89.9,6,https://skatingscores.com/1415/uscla/sr/women/results/,132.64,6
26,2014/15,Nebelhorn,https://skatingscores.com/1415/nebtro/,Oberstdorf,2014-09-24,https://skatingscores.com/1415/nebtro/sr/women/i/short/aus/brooklee_han/,52.41,5,https://skatingscores.com/1415/nebtro/sr/women/i/long/aus/brooklee_han/,97.28,5,https://skatingscores.com/1415/nebtro/sr/women/results/,149.69,4
27,2014/15,GPUSA,https://skatingscores.com/1415/gpusa/,"Chicago, IL",2014-10-23,https://skatingscores.com/1415/gpusa/sr/women/i/short/aus/brooklee_han/,47.38,11,https://skatingscores.com/1415/gpusa/sr/women/i/long/aus/brooklee_han/,102.99,8,https://skatingscores.com/1415/gpusa/sr/women/results/,150.37,10
28,2014/15,GPCAN,https://skatingscores.com/1415/gpcan/,"Kelowna, BC",2014-10-30,https://skatingscores.com/1415/gpcan/sr/women/i/short/aus/brooklee_han/,51.55,11,https://skatingscores.com/1415/gpcan/sr/women/i/long/aus/brooklee_han/,95.25,8,https://skatingscores.com/1415/gpcan/sr/women/results/,146.8,8
29,2014/15,AUS Nationals,https://skatingscores.com/1415/nataus/,"Brisbane, QLD",2014-11-28,https://skatingscores.com/1415/nataus/sr/women/i/short/aus/brooklee_han/,58.8,1,https://skatingscores.com/1415/nataus/sr/women/i/long/aus/brooklee_han/,93.39,2,https://skatingscores.com/1415/nataus/sr/women/results/,152.19,2
30,2014/15,4CC,https://skatingscores.com/1415/4cc/,Seoul,2015-02-10,https://skatingscores.com/1415/4cc/sr/women/i/short/aus/brooklee_han/,40.68,18,https://skatingscores.com/1415/4cc/sr/women/i/long/aus/brooklee_han/,73.34,17,https://skatingscores.com/1415/4cc/sr/women/results/,114.02,17
31,2014/15,Worlds,https://skatingscores.com/1415/wc/,Shanghai,2015-03-26,https://skatingscores.com/1415/wc/sr/women/i/short/aus/brooklee_han/,35.54,35,,0.0,,https://skatingscores.com/1415/wc/sr/women/results/,35.54,35
32,2015/16,US Classic,https://skatingscores.com/1516/uscla/,"Salt Lake City, UT",2015-09-16,https://skatingscores.com/1516/uscla/sr/women/i/short/aus/brooklee_han/,50.25,10,https://skatingscores.com/1516/uscla/sr/women/i/long/aus/brooklee_han/,90.29,9,https://skatingscores.com/1516/uscla/sr/women/results/,140.54,10
33,2015/16,Nebelhorn,https://skatingscores.com/1516/nebtro/,Oberstdorf,2015-09-23,https://skatingscores.com/1516/nebtro/sr/women/i/short/aus/brooklee_han/,51.92,6,https://skatingscores.com/1516/nebtro/sr/women/i/long/aus/brooklee_han/,99.98,7,https://skatingscores.com/1516/nebtro/sr/women/results/,151.9,7
34,2015/16,Denk-Stav Cup,https://skatingscores.com/1516/dscup/,Sofia,2015-10-20,https://skatingscores.com/1516/dscup/sr/women/i/short/aus/brooklee_han/,50.95,5,https://skatingscores.com/1516/dscup/sr/women/i/long/aus/brooklee_han/,94.21,6,https://skatingscores.com/1516/dscup/sr/women/results/,145.16,6
35,2015/16,GPFRA,https://skatingscores.com/1516/gpfra/,Bordeaux,2015-11-12,https://skatingscores.com/1516/gpfra/sr/women/i/short/aus/brooklee_han/,47.65,10,,0.0,,,47.65,10
36,2015/16,AUS Nationals,https://skatingscores.com/1516/nataus/,"Sydney, NSW",2015-11-28,https://skatingscores.com/1516/nataus/sr/women/i/short/aus/brooklee_han/,46.18,3,https://skatingscores.com/1516/nataus/sr/women/i/long/aus/brooklee_han/,86.33,2,https://skatingscores.com/1516/nataus/sr/women/results/,132.51,2
37,2015/16,Toruń Cup,https://skatingscores.com/1516/torcup/,Torun,2016-01-06,https://skatingscores.com/1516/torcup/sr/women/i/short/aus/brooklee_han/,42.92,12,https://skatingscores.com/1516/torcup/sr/women/i/long/aus/brooklee_han/,86.85,7,https://skatingscores.com/1516/torcup/sr/women/results/,129.77,8
38,2015/16,4CC,https://skatingscores.com/1516/4cc/,Taipei,2016-02-16,https://skatingscores.com/1516/4cc/sr/women/i/short/aus/brooklee_han/,52.8,14,https://skatingscores.com/1516/4cc/sr/women/i/long/aus/brooklee_han/,82.95,17,https://skatingscores.com/1516/4cc/sr/women/results/,135.75,17
39,2016/17,Nebelhorn,https://skatingscores.com/1617/nebtro/,Oberstdorf,2016-09-22,https://skatingscores.com/1617/nebtro/sr/women/i/short/aus/brooklee_han/,44.53,12,https://skatingscores.com/1617/nebtro/sr/women/i/long/aus/brooklee_han/,76.73,10,https://skatingscores.com/1617/nebtro/sr/women/results/,121.26,11
40,2016/17,Volvo Open,https://skatingscores.com/1617/volopn/,Riga,2016-11-09,https://skatingscores.com/1617/volopn/sr/women/i/short/aus/brooklee_han/,45.66,7,https://skatingscores.com/1617/volopn/sr/women/i/long/aus/brooklee_han/,78.43,15,https://skatingscores.com/1617/volopn/sr/women/results/,124.09,13
41,2016/17,AUS Nationals,https://skatingscores.com/1617/nataus/,"Melbourne, VIC",2016-11-25,https://skatingscores.com/1617/nataus/sr/women/i/short/aus/brooklee_han/,59.45,1,https://skatingscores.com/1617/nataus/sr/women/i/long/aus/brooklee_han/,91.27,2,https://skatingscores.com/1617/nataus/sr/women/results/,150.72,2
42,2016/17,Golden Spin,https://skatingscores.com/1617/gldspn/,Zagreb,2016-12-07,https://skatingscores.com/1617/gldspn/sr/women/i/short/aus/brooklee_han/,53.65,9,https://skatingscores.com/1617/gldspn/sr/women/i/long/aus/brooklee_han/,85.7,12,https://skatingscores.com/1617/gldspn/sr/women/results/,139.35,11
43,2016/17,Reykjavík,https://skatingscores.com/1617/reygam/,Reykjavík,2017-02-03,https://skatingscores.com/1617/reygam/sr/women/i/short/aus/brooklee_han/,46.82,3,https://skatingscores.com/1617/reygam/sr/women/i/long/aus/brooklee_han/,76.95,2,https://skatingscores.com/1617/reygam/sr/women/results/,123.77,2
44,2016/17,4CC,https://skatingscores.com/1617/4cc/,Gangneung,2017-02-15,https://skatingscores.com/1617/4cc/sr/women/i/short/aus/brooklee_han/,48.44,16,https://skatingscores.com/1617/4cc/sr/women/i/long/aus/brooklee_han/,103.61,14,https://skatingscores.com/1617/4cc/sr/women/results/,152.05,14
45,2016/17,Triglav Tr.,https://skatingscores.com/1617/tritro/,Jesenice,2017-04-05,https://skatingscores.com/1617/tritro/sr/women/i/short/aus/brooklee_han/,44.28,4,https://skatingscores.com/1617/tritro/sr/women/i/long/aus/brooklee_han/,96.62,2,https://skatingscores.com/1617/tritro/sr/women/results/,140.9,1
46,2017/18,Philadelphia,https://skatingscores.com/1718/phiint/,"Philadelphia, PA",2017-08-03,https://skatingscores.com/1718/phiint/sr/women/i/short/aus/brooklee_han/,50.83,10,https://skatingscores.com/1718/phiint/sr/women/i/long/aus/brooklee_han/,87.18,9,https://skatingscores.com/1718/phiint/sr/women/results/,138.01,9
47,2017/18,US Classic,https://skatingscores.com/1718/uscla/,"Salt Lake City, UT",2017-09-13,https://skatingscores.com/1718/uscla/sr/women/i/short/aus/brooklee_han/,45.93,8,https://skatingscores.com/1718/uscla/sr/women/i/long/aus/brooklee_han/,85.09,7,https://skatingscores.com/1718/uscla/sr/women/results/,131.02,7
48,2017/18,Autumn Cl.,https://skatingscores.com/1718/atmcla/,"Montreal, QC",2017-09-20,https://skatingscores.com/1718/atmcla/sr/women/i/short/aus/brooklee_han/,57.65,4,https://skatingscores.com/1718/atmcla/sr/women/i/long/aus/brooklee_han/,101.16,7,https://skatingscores.com/1718/atmcla/sr/women/results/,158.81,7
49,2017/18,Finlandia,https://skatingscores.com/1718/fintro/,Espoo,2017-10-06,https://skatingscores.com/1718/fintro/sr/women/i/short/aus/brooklee_han/,55.4,7,https://skatingscores.com/1718/fintro/sr/women/i/long/aus/brooklee_han/,105.71,10,https://skatingscores.com/1718/fintro/sr/women/results/,161.11,8
50,2017/18,4CC,https://skatingscores.com/1718/4cc/,Taipei,2018-01-22,https://skatingscores.com/1718/4cc/sr/women/i/short/aus/brooklee_han/,52.29,13,https://skatingscores.com/1718/4cc/sr/women/i/long/aus/brooklee_han/,98.36,14,https://skatingscores.com/1718/4cc/sr/women/results/,150.65,14
51,2018/19,Autumn Cl.,https://skatingscores.com/1819/atmcla/,"Oakville, ON",2018-09-20,https://skatingscores.com/1819/atmcla/sr/women/i/short/aus/brooklee_han/,54.05,8,https://skatingscores.com/1819/atmcla/sr/women/i/long/aus/brooklee_han/,76.39,12,https://skatingscores.com/1819/atmcla/sr/women/results/,130.44,10
52,2018/19,Nebelhorn,https://skatingscores.com/1819/nebtro/,Oberstdorf,2018-09-26,https://skatingscores.com/1819/nebtro/sr/women/i/short/aus/brooklee_han/,49.71,9,https://skatingscores.com/1819/nebtro/sr/women/i/long/aus/brooklee_han/,91.1,9,https://skatingscores.com/1819/nebtro/sr/women/results/,140.81,9
53,2018/19,Alpen Tr.,https://skatingscores.com/1819/alptro/,Innsbruck,2018-11-11,https://skatingscores.com/1819/alptro/sr/women/i/short/aus/brooklee_han/,62.14,2,https://skatingscores.com/1819/alptro/sr/women/i/long/aus/brooklee_han/,103.26,7,https://skatingscores.com/1819/alptro/sr/women/results/,165.4,3
54,2018/19,AUS Nationals,https://skatingscores.com/1819/nataus/,"Brisbane, QLD",2018-11-30,https://skatingscores.com/1819/nataus/sr/women/i/short/aus/brooklee_han/,54.31,2,https://skatingscores.com/1819/nataus/sr/women/i/long/aus/brooklee_han/,109.29,2,https://skatingscores.com/1819/nataus/sr/women/results/,163.6,2
55,2018/19,4CC,https://skatingscores.com/1819/4cc/,"Anaheim, CA",2019-02-04,https://skatingscores.com/1819/4cc/sr/women/i/short/aus/brooklee_han/,54.22,14,,0.0,,https://skatingscores.com/1819/4cc/sr/women/results/,54.22,WD
