,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2006/07,JGP FRA,https://skatingscores.com/0607/jgpfra/,Courchevel,2006-08-23,https://skatingscores.com/0607/jgpfra/jr/women/i/short/aut/kerstin_frank/,35.27,9J,https://skatingscores.com/0607/jgpfra/jr/women/i/long/aut/kerstin_frank/,67.04,7J,https://skatingscores.com/0607/jgpfra/jr/women/results/,102.31,7J
1,2006/07,Nepela Mem.,https://skatingscores.com/0607/nepmem/,Bratislava,2006-09-15,https://skatingscores.com/0607/nepmem/sr/women/i/short/aut/kerstin_frank/,34.3,6,https://skatingscores.com/0607/nepmem/sr/women/i/long/aut/kerstin_frank/,55.84,6,https://skatingscores.com/0607/nepmem/sr/women/results/,90.14,6
2,2006/07,Jr Worlds,https://skatingscores.com/0607/wjc/,Oberstdorf,2007-02-26,https://skatingscores.com/0607/wjc/jr/women/i/short/aut/kerstin_frank/,40.3,19J,https://skatingscores.com/0607/wjc/jr/women/i/long/aut/kerstin_frank/,55.96,24J,https://skatingscores.com/0607/wjc/jr/women/results/,96.26,23J
3,2007/08,JGP EST,https://skatingscores.com/0708/jgpest/,Tallinn,2007-09-20,https://skatingscores.com/0708/jgpest/jr/women/i/short/aut/kerstin_frank/,35.46,12J,https://skatingscores.com/0708/jgpest/jr/women/i/long/aut/kerstin_frank/,43.52,23J,https://skatingscores.com/0708/jgpest/jr/women/results/,78.98,20J
4,2007/08,JGP GBR,https://skatingscores.com/0708/jgpgbr/,Sheffield,2007-10-18,https://skatingscores.com/0708/jgpgbr/jr/women/i/short/aut/kerstin_frank/,34.07,18J,https://skatingscores.com/0708/jgpgbr/jr/women/i/long/aut/kerstin_frank/,57.32,22J,https://skatingscores.com/0708/jgpgbr/jr/women/results/,91.39,20J
5,2007/08,Challenge Cup,https://skatingscores.com/0708/chacup/,The Hague,2008-03-06,https://skatingscores.com/0708/chacup/sr/women/i/short/aut/kerstin_frank/,31.74,9,,0.0,,https://skatingscores.com/0708/chacup/sr/women/results/,31.74,WD
6,2008/09,Cup of Nice,https://skatingscores.com/0809/cupnic/,Nice,2008-10-15,https://skatingscores.com/0809/cupnic/sr/women/i/short/aut/kerstin_frank/,35.14,11,https://skatingscores.com/0809/cupnic/sr/women/i/long/aut/kerstin_frank/,57.13,15,https://skatingscores.com/0809/cupnic/sr/women/results/,92.27,13
7,2008/09,Europeans,https://skatingscores.com/0809/ec/,Helsinki,2009-01-20,https://skatingscores.com/0809/ec/sr/women/i/short/aut/kerstin_frank/,39.0,22,https://skatingscores.com/0809/ec/sr/women/i/long/aut/kerstin_frank/,65.92,19,https://skatingscores.com/0809/ec/sr/women/results/,104.92,20
8,2008/09,Challenge Cup,https://skatingscores.com/0809/chacup/,The Hague,2009-02-04,https://skatingscores.com/0809/chacup/sr/women/i/short/aut/kerstin_frank/,42.14,9,https://skatingscores.com/0809/chacup/sr/women/i/long/aut/kerstin_frank/,78.91,5,https://skatingscores.com/0809/chacup/sr/women/results/,121.05,7
9,2008/09,Worlds,https://skatingscores.com/0809/wc/,"Los Angeles, CA",2009-03-22,https://skatingscores.com/0809/wc/sr/women/i/short/aut/kerstin_frank/,43.2,23,https://skatingscores.com/0809/wc/sr/women/i/long/aut/kerstin_frank/,62.53,23,https://skatingscores.com/0809/wc/sr/women/results/,105.73,23
10,2009/10,Nepela Mem.,https://skatingscores.com/0910/nepmem/,Piestany,2009-11-05,https://skatingscores.com/0910/nepmem/sr/women/i/short/aut/kerstin_frank/,44.95,4,https://skatingscores.com/0910/nepmem/sr/women/i/long/aut/kerstin_frank/,82.01,3,https://skatingscores.com/0910/nepmem/sr/women/results/,126.96,2
11,2009/10,Merano Cup,https://skatingscores.com/0910/mercup/,Merano,2009-11-07,https://skatingscores.com/0910/mercup/sr/women/i/short/aut/kerstin_frank/,44.49,8,https://skatingscores.com/0910/mercup/sr/women/i/long/aut/kerstin_frank/,80.56,5,https://skatingscores.com/0910/mercup/sr/women/results/,125.05,6
12,2009/10,AUT Nationals,https://skatingscores.com/0910/nataut/,Innsbruck,2009-12-10,https://skatingscores.com/0910/nataut/sr/women/i/short/aut/kerstin_frank/,44.34,2,https://skatingscores.com/0910/nataut/sr/women/i/long/aut/kerstin_frank/,89.41,1,https://skatingscores.com/0910/nataut/sr/women/results/,133.75,2
