,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,JGP UKR,https://skatingscores.com/0405/jgpukr/,Kiev,2004-09-29,https://skatingscores.com/0405/jgpukr/jr/men/i/short/aut/viktor_pfeifer/,45.87,9J,https://skatingscores.com/0405/jgpukr/jr/men/i/long/aut/viktor_pfeifer/,82.95,9J,https://skatingscores.com/0405/jgpukr/jr/men/results/,128.82,9J
1,2004/05,JGP ROU,https://skatingscores.com/0405/jgprou/,Miercurea-Ciuc,2004-10-12,https://skatingscores.com/0405/jgprou/jr/men/i/short/aut/viktor_pfeifer/,42.6,10J,https://skatingscores.com/0405/jgprou/jr/men/i/long/aut/viktor_pfeifer/,77.95,9J,https://skatingscores.com/0405/jgprou/jr/men/results/,120.55,10J
2,2004/05,Europeans,https://skatingscores.com/0405/ec/,Torino,2005-01-25,https://skatingscores.com/0405/ec/sr/men/i/short/aut/viktor_pfeifer/,50.85,17,https://skatingscores.com/0405/ec/sr/men/i/long/aut/viktor_pfeifer/,97.21,17,https://skatingscores.com/0405/ec/sr/men/results/,148.06,18
3,2004/05,Jr Worlds,https://skatingscores.com/0405/wjc/,"Kitchener, ON",2005-02-28,https://skatingscores.com/0405/wjc/jr/men/i/short/aut/viktor_pfeifer/,52.97,12J,https://skatingscores.com/0405/wjc/jr/men/i/long/aut/viktor_pfeifer/,99.6,10J,https://skatingscores.com/0405/wjc/jr/men/results/,176.89,11J
4,2004/05,Worlds,https://skatingscores.com/0405/wc/,Moscow,2005-03-14,https://skatingscores.com/0405/wc/sr/men/i/short/aut/viktor_pfeifer/,54.94,20,https://skatingscores.com/0405/wc/sr/men/i/long/aut/viktor_pfeifer/,97.64,23,https://skatingscores.com/0405/wc/sr/men/results/,178.06,23
5,2005/06,JGP EST,https://skatingscores.com/0506/jgpest/,Tallinn,2005-09-14,https://skatingscores.com/0506/jgpest/jr/men/i/short/aut/viktor_pfeifer/,52.12,3J,https://skatingscores.com/0506/jgpest/jr/men/i/long/aut/viktor_pfeifer/,84.93,8J,https://skatingscores.com/0506/jgpest/jr/men/results/,137.05,5J
6,2005/06,JGP BUL,https://skatingscores.com/0506/jgpbul/,Sofia,2005-09-29,https://skatingscores.com/0506/jgpbul/jr/men/i/short/aut/viktor_pfeifer/,47.2,6J,https://skatingscores.com/0506/jgpbul/jr/men/i/long/aut/viktor_pfeifer/,95.84,5J,https://skatingscores.com/0506/jgpbul/jr/men/results/,143.04,5J
7,2005/06,Schäfer Mem.,https://skatingscores.com/0506/krlsfr/,Vienna,2005-10-12,https://skatingscores.com/0506/krlsfr/sr/men/i/short/aut/viktor_pfeifer/,52.46,5,https://skatingscores.com/0506/krlsfr/sr/men/i/long/aut/viktor_pfeifer/,107.17,4,https://skatingscores.com/0506/krlsfr/sr/men/results/,159.63,5
8,2005/06,Golden Spin,https://skatingscores.com/0506/gldspn/,Zagreb,2005-11-10,https://skatingscores.com/0506/gldspn/sr/men/i/short/aut/viktor_pfeifer/,54.7,4,https://skatingscores.com/0506/gldspn/sr/men/i/long/aut/viktor_pfeifer/,102.85,7,https://skatingscores.com/0506/gldspn/sr/men/results/,157.55,4
9,2005/06,Europeans,https://skatingscores.com/0506/ec/,Lyon,2006-01-17,https://skatingscores.com/0506/ec/sr/men/i/short/aut/viktor_pfeifer/,57.89,12,https://skatingscores.com/0506/ec/sr/men/i/long/aut/viktor_pfeifer/,101.38,19,https://skatingscores.com/0506/ec/sr/men/results/,159.27,18
10,2005/06,Olympics,https://skatingscores.com/0506/oly/,Torino,2006-02-10,https://skatingscores.com/0506/oly/sr/men/i/short/aut/viktor_pfeifer/,62.17,17,https://skatingscores.com/0506/oly/sr/men/i/long/aut/viktor_pfeifer/,101.7,23,https://skatingscores.com/0506/oly/sr/men/results/,163.87,22
11,2005/06,Jr Worlds,https://skatingscores.com/0506/wjc/,Ljubljana,2006-03-06,https://skatingscores.com/0506/wjc/jr/men/i/short/aut/viktor_pfeifer/,50.21,17J,https://skatingscores.com/0506/wjc/jr/men/i/long/aut/viktor_pfeifer/,99.85,10J,https://skatingscores.com/0506/wjc/jr/men/results/,176.51,15J
