,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2007/08,Cup of Nice,https://skatingscores.com/0708/cupnic/,Nice,2007-10-18,https://skatingscores.com/0708/cupnic/jr/men/i/short/bel/jorik_hendrickx/,30.26,9J,https://skatingscores.com/0708/cupnic/jr/men/i/long/bel/jorik_hendrickx/,65.99,9J,https://skatingscores.com/0708/cupnic/jr/men/results/,96.25,9J
1,2007/08,Challenge Cup,https://skatingscores.com/0708/chacup/,The Hague,2008-03-06,https://skatingscores.com/0708/chacup/jr/men/i/short/bel/jorik_hendrickx/,38.09,9J,https://skatingscores.com/0708/chacup/jr/men/i/long/bel/jorik_hendrickx/,77.14,10J,https://skatingscores.com/0708/chacup/jr/men/results/,115.23,9J
2,2008/09,Challenge Cup,https://skatingscores.com/0809/chacup/,The Hague,2009-02-04,https://skatingscores.com/0809/chacup/jr/men/i/short/bel/jorik_hendrickx/,57.1,2J,https://skatingscores.com/0809/chacup/jr/men/i/long/bel/jorik_hendrickx/,100.36,4J,https://skatingscores.com/0809/chacup/jr/men/results/,157.46,3J
3,2009/10,JGP POL,https://skatingscores.com/0910/jgppol/,Torun,2009-09-09,https://skatingscores.com/0910/jgppol/jr/men/i/short/bel/jorik_hendrickx/,48.77,10J,https://skatingscores.com/0910/jgppol/jr/men/i/long/bel/jorik_hendrickx/,82.41,13J,https://skatingscores.com/0910/jgppol/jr/men/results/,131.18,11J
4,2009/10,JGP TUR,https://skatingscores.com/0910/jgptur/,Istanbul,2009-10-14,https://skatingscores.com/0910/jgptur/jr/men/i/short/bel/jorik_hendrickx/,53.13,6J,https://skatingscores.com/0910/jgptur/jr/men/i/long/bel/jorik_hendrickx/,93.19,10J,https://skatingscores.com/0910/jgptur/jr/men/results/,146.32,9J
5,2009/10,Cup of Nice,https://skatingscores.com/0910/cupnic/,Nice,2009-11-04,https://skatingscores.com/0910/cupnic/jr/men/i/short/bel/jorik_hendrickx/,56.75,1J,https://skatingscores.com/0910/cupnic/jr/men/i/long/bel/jorik_hendrickx/,94.07,1J,https://skatingscores.com/0910/cupnic/jr/men/results/,150.82,1J
6,2009/10,NRW Trophy,https://skatingscores.com/0910/nrwtro/,Dortmund,2009-12-03,https://skatingscores.com/0910/nrwtro/jr/men/i/short/bel/jorik_hendrickx/,49.87,3J,https://skatingscores.com/0910/nrwtro/jr/men/i/long/bel/jorik_hendrickx/,98.3,2J,https://skatingscores.com/0910/nrwtro/jr/men/results/,148.17,2J
7,2009/10,Europeans,https://skatingscores.com/0910/ec/,Tallinn,2010-01-18,https://skatingscores.com/0910/ec/sr/men/i/short/bel/jorik_hendrickx/,58.7,19,https://skatingscores.com/0910/ec/sr/men/i/long/bel/jorik_hendrickx/,102.36,19,https://skatingscores.com/0910/ec/sr/men/results/,161.06,20
8,2009/10,Jr Worlds,https://skatingscores.com/0910/wjc/,The Hague,2010-03-09,https://skatingscores.com/0910/wjc/jr/men/i/short/bel/jorik_hendrickx/,54.2,14J,https://skatingscores.com/0910/wjc/jr/men/i/long/bel/jorik_hendrickx/,105.47,13J,https://skatingscores.com/0910/wjc/jr/men/results/,159.67,15J
9,2010/11,JGP AUT,https://skatingscores.com/1011/jgpaut/,Graz,2010-09-15,https://skatingscores.com/1011/jgpaut/jr/men/i/short/bel/jorik_hendrickx/,54.01,4J,https://skatingscores.com/1011/jgpaut/jr/men/i/long/bel/jorik_hendrickx/,100.98,6J,https://skatingscores.com/1011/jgpaut/jr/men/results/,154.99,7J
10,2010/11,JGP GER,https://skatingscores.com/1011/jgpger/,Dresden,2010-10-06,https://skatingscores.com/1011/jgpger/jr/men/i/short/bel/jorik_hendrickx/,60.81,3J,https://skatingscores.com/1011/jgpger/jr/men/i/long/bel/jorik_hendrickx/,103.75,10J,https://skatingscores.com/1011/jgpger/jr/men/results/,164.56,6J
11,2010/11,NRW Trophy,https://skatingscores.com/1011/nrwtro/,Dortmund,2010-12-02,https://skatingscores.com/1011/nrwtro/sr/men/i/short/bel/jorik_hendrickx/,50.78,12,https://skatingscores.com/1011/nrwtro/sr/men/i/long/bel/jorik_hendrickx/,130.52,1,https://skatingscores.com/1011/nrwtro/sr/men/results/,181.3,5
12,2010/11,Europeans,https://skatingscores.com/1011/ec/,Bern,2011-01-24,https://skatingscores.com/1011/ec/sr/men/i/short/bel/jorik_hendrickx/,59.14,13,https://skatingscores.com/1011/ec/sr/men/i/long/bel/jorik_hendrickx/,109.25,19,https://skatingscores.com/1011/ec/sr/men/results/,168.39,16
