,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2009/10,Jr Worlds,https://skatingscores.com/0910/wjc/,The Hague,2010-03-09,https://skatingscores.com/0910/wjc/jr/women/i/short/bra/isadora_williams/,31.12,41J,,0.0,,https://skatingscores.com/0910/wjc/jr/women/results/,31.12,41
1,2010/11,JGP GER,https://skatingscores.com/1011/jgpger/,Dresden,2010-10-06,https://skatingscores.com/1011/jgpger/jr/women/i/short/bra/isadora_williams/,26.83,27J,https://skatingscores.com/1011/jgpger/jr/women/i/long/bra/isadora_williams/,54.15,25J,https://skatingscores.com/1011/jgpger/jr/women/results/,80.98,27J
2,2011/12,JGP ITA,https://skatingscores.com/1112/jgpita/,Milano,2011-10-06,https://skatingscores.com/1112/jgpita/jr/women/i/short/bra/isadora_williams/,28.61,27J,https://skatingscores.com/1112/jgpita/jr/women/i/long/bra/isadora_williams/,72.59,10J,https://skatingscores.com/1112/jgpita/jr/women/results/,101.2,18J
3,2011/12,Jr Worlds,https://skatingscores.com/1112/wjc/,Minsk,2012-02-27,https://skatingscores.com/1112/wjc/jr/women/i/short/bra/isadora_williams/,46.22,14J,https://skatingscores.com/1112/wjc/jr/women/i/long/bra/isadora_williams/,77.71,18J,https://skatingscores.com/1112/wjc/jr/women/results/,123.93,16J
4,2012/13,US Classic,https://skatingscores.com/1213/uscla/,"Salt Lake City, UT",2012-09-16,https://skatingscores.com/1213/uscla/sr/women/i/short/bra/isadora_williams/,39.45,7,https://skatingscores.com/1213/uscla/sr/women/i/long/bra/isadora_williams/,80.41,5,https://skatingscores.com/1213/uscla/sr/women/results/,119.86,5
5,2012/13,Nebelhorn,https://skatingscores.com/1213/nebtro/,Oberstdorf,2012-09-26,https://skatingscores.com/1213/nebtro/sr/women/i/short/bra/isadora_williams/,41.96,12,https://skatingscores.com/1213/nebtro/sr/women/i/long/bra/isadora_williams/,82.95,10,https://skatingscores.com/1213/nebtro/sr/women/results/,124.91,11
6,2012/13,Golden Spin,https://skatingscores.com/1213/gldspn/,Zagreb,2012-12-13,https://skatingscores.com/1213/gldspn/sr/women/i/short/bra/isadora_williams/,47.84,4,https://skatingscores.com/1213/gldspn/sr/women/i/long/bra/isadora_williams/,95.68,3,https://skatingscores.com/1213/gldspn/sr/women/results/,143.52,3
7,2012/13,Jr Worlds,https://skatingscores.com/1213/wjc/,Milano,2013-02-25,https://skatingscores.com/1213/wjc/jr/women/i/short/bra/isadora_williams/,38.57,26J,,0.0,,https://skatingscores.com/1213/wjc/jr/women/results/,38.57,26
8,2012/13,Worlds,https://skatingscores.com/1213/wc/,"London, ON",2013-03-11,https://skatingscores.com/1213/wc/sr/women/i/short/bra/isadora_williams/,46.63,25,,0.0,,https://skatingscores.com/1213/wc/sr/women/results/,46.63,25
9,2013/14,Asian Trophy,https://skatingscores.com/1314/asntro/,Bangkok,2013-08-08,https://skatingscores.com/1314/asntro/sr/women/i/short/bra/isadora_williams/,44.64,6,https://skatingscores.com/1314/asntro/sr/women/i/long/bra/isadora_williams/,79.11,5,https://skatingscores.com/1314/asntro/sr/women/results/,123.75,5
10,2013/14,Nebelhorn,https://skatingscores.com/1314/nebtro/,Oberstdorf,2013-09-25,https://skatingscores.com/1314/nebtro/sr/women/i/short/bra/isadora_williams/,50.35,8,https://skatingscores.com/1314/nebtro/sr/women/i/long/bra/isadora_williams/,79.73,14,https://skatingscores.com/1314/nebtro/sr/women/results/,130.08,12
11,2013/14,Golden Spin,https://skatingscores.com/1314/gldspn/,Zagreb,2013-12-02,https://skatingscores.com/1314/gldspn/sr/women/i/short/bra/isadora_williams/,43.67,7,https://skatingscores.com/1314/gldspn/sr/women/i/long/bra/isadora_williams/,84.96,6,https://skatingscores.com/1314/gldspn/sr/women/results/,128.63,6
12,2013/14,Olympics,https://skatingscores.com/1314/oly/,Sochi,2014-02-11,https://skatingscores.com/1314/oly/sr/women/i/short/bra/isadora_williams/,40.37,30,,0.0,,https://skatingscores.com/1314/oly/sr/women/results/,40.37,30
13,2014/15,Volvo Open,https://skatingscores.com/1415/volopn/,Riga,2014-11-05,https://skatingscores.com/1415/volopn/sr/women/i/short/bra/isadora_williams/,45.44,6,https://skatingscores.com/1415/volopn/sr/women/i/long/bra/isadora_williams/,78.59,9,https://skatingscores.com/1415/volopn/sr/women/results/,124.03,8
14,2014/15,4CC,https://skatingscores.com/1415/4cc/,Seoul,2015-02-10,https://skatingscores.com/1415/4cc/sr/women/i/short/bra/isadora_williams/,42.68,14,https://skatingscores.com/1415/4cc/sr/women/i/long/bra/isadora_williams/,71.28,18,https://skatingscores.com/1415/4cc/sr/women/results/,113.96,18
15,2015/16,Philadelphia,https://skatingscores.com/1516/phiint/,"Philadelphia, PA",2015-07-16,https://skatingscores.com/1516/phiint/sr/women/i/short/bra/isadora_williams/,47.3,2,https://skatingscores.com/1516/phiint/sr/women/i/long/bra/isadora_williams/,85.3,2,https://skatingscores.com/1516/phiint/sr/women/results/,132.6,2
16,2015/16,US Classic,https://skatingscores.com/1516/uscla/,"Salt Lake City, UT",2015-09-16,https://skatingscores.com/1516/uscla/sr/women/i/short/bra/isadora_williams/,39.02,15,https://skatingscores.com/1516/uscla/sr/women/i/long/bra/isadora_williams/,75.11,13,https://skatingscores.com/1516/uscla/sr/women/results/,114.13,14
17,2015/16,Autumn Cl.,https://skatingscores.com/1516/atmcla/,"Barrie, ON",2015-10-12,https://skatingscores.com/1516/atmcla/sr/women/i/short/bra/isadora_williams/,47.67,7,https://skatingscores.com/1516/atmcla/sr/women/i/long/bra/isadora_williams/,70.11,8,https://skatingscores.com/1516/atmcla/sr/women/results/,117.78,7
18,2015/16,Santa Cup,https://skatingscores.com/1516/sancup/,Budapest,2015-11-28,https://skatingscores.com/1516/sancup/sr/women/i/short/bra/isadora_williams/,43.4,7,https://skatingscores.com/1516/sancup/sr/women/i/long/bra/isadora_williams/,90.49,4,https://skatingscores.com/1516/sancup/sr/women/results/,133.89,4
19,2015/16,Sportland,https://skatingscores.com/1516/sptlnd/,Budapest,2016-03-02,https://skatingscores.com/1516/sptlnd/sr/women/i/short/bra/isadora_williams/,44.96,12,https://skatingscores.com/1516/sptlnd/sr/women/i/long/bra/isadora_williams/,104.62,2,https://skatingscores.com/1516/sptlnd/sr/women/results/,149.58,2
20,2016/17,Nebelhorn,https://skatingscores.com/1617/nebtro/,Oberstdorf,2016-09-22,https://skatingscores.com/1617/nebtro/sr/women/i/short/bra/isadora_williams/,45.31,11,,0.0,,https://skatingscores.com/1617/nebtro/sr/women/results/,45.31,WD
21,2016/17,Ice Star,https://skatingscores.com/1617/icestr/,Minsk,2016-11-18,https://skatingscores.com/1617/icestr/sr/women/i/short/bra/isadora_williams/,46.53,5,https://skatingscores.com/1617/icestr/sr/women/i/long/bra/isadora_williams/,99.52,3,https://skatingscores.com/1617/icestr/sr/women/results/,146.05,4
22,2016/17,Santa Cup,https://skatingscores.com/1617/sancup/,Budapest,2016-12-06,https://skatingscores.com/1617/sancup/sr/women/i/short/bra/isadora_williams/,53.18,2,https://skatingscores.com/1617/sancup/sr/women/i/long/bra/isadora_williams/,84.61,2,https://skatingscores.com/1617/sancup/sr/women/results/,137.79,2
23,2016/17,Sofia Tr.,https://skatingscores.com/1617/softro/,Sofia,2017-02-08,https://skatingscores.com/1617/softro/sr/women/i/short/bra/isadora_williams/,50.99,2,https://skatingscores.com/1617/softro/sr/women/i/long/bra/isadora_williams/,93.76,1,https://skatingscores.com/1617/softro/sr/women/results/,144.75,1
24,2016/17,Worlds,https://skatingscores.com/1617/wc/,Helsinki,2017-03-29,https://skatingscores.com/1617/wc/sr/women/i/short/bra/isadora_williams/,50.65,30,,0.0,,https://skatingscores.com/1617/wc/sr/women/results/,50.65,30
25,2017/18,Philadelphia,https://skatingscores.com/1718/phiint/,"Philadelphia, PA",2017-08-03,https://skatingscores.com/1718/phiint/sr/women/i/short/bra/isadora_williams/,43.4,12,https://skatingscores.com/1718/phiint/sr/women/i/long/bra/isadora_williams/,98.45,5,https://skatingscores.com/1718/phiint/sr/women/results/,141.85,8
26,2017/18,Nebelhorn,https://skatingscores.com/1718/nebtro/,Oberstdorf,2017-09-27,https://skatingscores.com/1718/nebtro/sr/women/i/short/bra/isadora_williams/,53.44,7,https://skatingscores.com/1718/nebtro/sr/women/i/long/bra/isadora_williams/,100.77,4,https://skatingscores.com/1718/nebtro/sr/women/results/,154.21,5
27,2017/18,Volvo Open,https://skatingscores.com/1718/volopn/,Riga,2017-11-08,https://skatingscores.com/1718/volopn/sr/women/i/short/bra/isadora_williams/,54.51,1,https://skatingscores.com/1718/volopn/sr/women/i/long/bra/isadora_williams/,91.88,2,https://skatingscores.com/1718/volopn/sr/women/results/,146.39,2
28,2017/18,Santa Cup,https://skatingscores.com/1718/sancup/,Budapest,2017-12-04,https://skatingscores.com/1718/sancup/sr/women/i/short/bra/isadora_williams/,52.58,5,https://skatingscores.com/1718/sancup/sr/women/i/long/bra/isadora_williams/,96.82,7,https://skatingscores.com/1718/sancup/sr/women/results/,149.4,5
29,2017/18,Olympics,https://skatingscores.com/1718/oly/,PyeongChang,2018-02-14,https://skatingscores.com/1718/oly/sr/women/i/short/bra/isadora_williams/,55.74,17,https://skatingscores.com/1718/oly/sr/women/i/long/bra/isadora_williams/,88.44,24,https://skatingscores.com/1718/oly/sr/women/results/,144.18,24
30,2017/18,Worlds,https://skatingscores.com/1718/wc/,Milano,2018-03-19,https://skatingscores.com/1718/wc/sr/women/i/short/bra/isadora_williams/,42.16,35,,0.0,,https://skatingscores.com/1718/wc/sr/women/results/,42.16,35
31,2018/19,Philadelphia,https://skatingscores.com/1819/phiint/,"Philadelphia, PA",2018-08-03,https://skatingscores.com/1819/phiint/sr/women/i/short/bra/isadora_williams/,48.54,5,https://skatingscores.com/1819/phiint/sr/women/i/long/bra/isadora_williams/,69.89,7,https://skatingscores.com/1819/phiint/sr/women/results/,118.43,6
32,2018/19,US Classic,https://skatingscores.com/1819/uscla/,"Salt Lake City, UT",2018-09-12,https://skatingscores.com/1819/uscla/sr/women/i/short/bra/isadora_williams/,48.1,11,https://skatingscores.com/1819/uscla/sr/women/i/long/bra/isadora_williams/,87.84,12,https://skatingscores.com/1819/uscla/sr/women/results/,135.94,12
33,2018/19,Ice Star,https://skatingscores.com/1819/icestr/,Minsk,2018-10-18,https://skatingscores.com/1819/icestr/sr/women/i/short/bra/isadora_williams/,50.95,6,https://skatingscores.com/1819/icestr/sr/women/i/long/bra/isadora_williams/,91.56,5,https://skatingscores.com/1819/icestr/sr/women/results/,142.51,5
34,2018/19,Toruń Cup,https://skatingscores.com/1819/torcup/,Torun,2019-01-08,https://skatingscores.com/1819/torcup/sr/women/i/short/bra/isadora_williams/,53.48,2,https://skatingscores.com/1819/torcup/sr/women/i/long/bra/isadora_williams/,93.66,3,https://skatingscores.com/1819/torcup/sr/women/results/,147.14,2
