,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2011/12,CAN Nationals,https://skatingscores.com/1112/natcan/,"Moncton, NB",2012-01-01,https://skatingscores.com/1112/natcan/jr/women/i/short/can/gabrielle_daleman/,47.59,1J,https://skatingscores.com/1112/natcan/jr/women/i/long/can/gabrielle_daleman/,82.98,1J,https://skatingscores.com/1112/natcan/jr/women/results/,130.57,1J
1,2011/12,Challenge Cup,https://skatingscores.com/1112/chacup/,The Hague,2012-03-08,https://skatingscores.com/1112/chacup/jr/women/i/short/can/gabrielle_daleman/,47.06,3J,https://skatingscores.com/1112/chacup/jr/women/i/long/can/gabrielle_daleman/,85.42,2J,https://skatingscores.com/1112/chacup/jr/women/results/,132.48,2J
2,2012/13,JGP AUT,https://skatingscores.com/1213/jgpaut/,Linz,2012-09-13,https://skatingscores.com/1213/jgpaut/jr/women/i/short/can/gabrielle_daleman/,48.55,7J,https://skatingscores.com/1213/jgpaut/jr/women/i/long/can/gabrielle_daleman/,91.22,5J,https://skatingscores.com/1213/jgpaut/jr/women/results/,139.77,6J
3,2012/13,JGP GER,https://skatingscores.com/1213/jgpger/,Chemnitz,2012-10-11,https://skatingscores.com/1213/jgpger/jr/women/i/short/can/gabrielle_daleman/,52.0,4J,https://skatingscores.com/1213/jgpger/jr/women/i/long/can/gabrielle_daleman/,86.33,6J,https://skatingscores.com/1213/jgpger/jr/women/results/,138.33,5J
4,2012/13,CAN Nationals,https://skatingscores.com/1213/natcan/,"Mississauga, ON",2013-01-01,https://skatingscores.com/1213/natcan/sr/women/i/short/can/gabrielle_daleman/,51.8,5,https://skatingscores.com/1213/natcan/sr/women/i/long/can/gabrielle_daleman/,112.1,2,https://skatingscores.com/1213/natcan/sr/women/results/,163.9,2
5,2012/13,Jr Worlds,https://skatingscores.com/1213/wjc/,Milano,2013-02-25,https://skatingscores.com/1213/wjc/jr/women/i/short/can/gabrielle_daleman/,50.7,8J,https://skatingscores.com/1213/wjc/jr/women/i/long/can/gabrielle_daleman/,98.69,6J,https://skatingscores.com/1213/wjc/jr/women/results/,149.39,6J
6,2012/13,WTT,https://skatingscores.com/1213/wtt/,"Tokyo, Tokyo",2013-04-11,https://skatingscores.com/1213/wtt/sr/women/i/short/can/gabrielle_daleman/,48.82,12P,https://skatingscores.com/1213/wtt/sr/women/i/long/can/gabrielle_daleman/,92.0,11P,https://skatingscores.com/1213/wtt/sr/women/results/,140.82,11P
7,2013/14,JGP POL,https://skatingscores.com/1314/jgppol/,Gdańsk,2013-09-19,https://skatingscores.com/1314/jgppol/jr/women/i/short/can/gabrielle_daleman/,46.77,5J,https://skatingscores.com/1314/jgppol/jr/women/i/long/can/gabrielle_daleman/,101.52,3J,https://skatingscores.com/1314/jgppol/jr/women/results/,148.29,3J
8,2013/14,JGP EST,https://skatingscores.com/1314/jgpest/,Tallinn,2013-10-10,https://skatingscores.com/1314/jgpest/jr/women/i/short/can/gabrielle_daleman/,51.62,5J,https://skatingscores.com/1314/jgpest/jr/women/i/long/can/gabrielle_daleman/,96.27,4J,https://skatingscores.com/1314/jgpest/jr/women/results/,147.89,4J
9,2013/14,CAN Nationals,https://skatingscores.com/1314/natcan/,"Ottawa, ON",2014-01-01,https://skatingscores.com/1314/natcan/sr/women/i/short/can/gabrielle_daleman/,58.38,3,https://skatingscores.com/1314/natcan/sr/women/i/long/can/gabrielle_daleman/,124.09,2,https://skatingscores.com/1314/natcan/sr/women/results/,182.47,2
