,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2009/10,CAN Nationals,https://skatingscores.com/0910/natcan/,"London, ON",2010-01-11,https://skatingscores.com/0910/natcan/jr/women/i/short/can/kaetlyn_osmond/,41.32,5J,https://skatingscores.com/0910/natcan/jr/women/i/long/can/kaetlyn_osmond/,71.3,2J,https://skatingscores.com/0910/natcan/jr/women/results/,112.62,3J
1,2010/11,JGP JPN,https://skatingscores.com/1011/jgpjpn/,"Karuizawa, Nagano",2010-09-22,https://skatingscores.com/1011/jgpjpn/jr/women/i/short/can/kaetlyn_osmond/,37.78,9J,https://skatingscores.com/1011/jgpjpn/jr/women/i/long/can/kaetlyn_osmond/,70.94,8J,https://skatingscores.com/1011/jgpjpn/jr/women/results/,108.72,9J
2,2010/11,JGP CZE,https://skatingscores.com/1011/jgpcze/,Ostrava,2010-10-13,https://skatingscores.com/1011/jgpcze/jr/women/i/short/can/kaetlyn_osmond/,38.96,11J,https://skatingscores.com/1011/jgpcze/jr/women/i/long/can/kaetlyn_osmond/,72.94,7J,https://skatingscores.com/1011/jgpcze/jr/women/results/,111.9,10J
3,2010/11,CAN Nationals,https://skatingscores.com/1011/natcan/,"Victoria, BC",2011-01-17,https://skatingscores.com/1011/natcan/jr/women/i/short/can/kaetlyn_osmond/,39.71,5J,https://skatingscores.com/1011/natcan/jr/women/i/long/can/kaetlyn_osmond/,68.45,8J,https://skatingscores.com/1011/natcan/jr/women/results/,108.16,6J
4,2011/12,CAN Nationals,https://skatingscores.com/1112/natcan/,"Moncton, NB",2012-01-01,https://skatingscores.com/1112/natcan/sr/women/i/short/can/kaetlyn_osmond/,56.94,1,https://skatingscores.com/1112/natcan/sr/women/i/long/can/kaetlyn_osmond/,98.53,4,https://skatingscores.com/1112/natcan/sr/women/results/,155.47,3
5,2011/12,Jr Worlds,https://skatingscores.com/1112/wjc/,Minsk,2012-02-27,https://skatingscores.com/1112/wjc/jr/women/i/short/can/kaetlyn_osmond/,50.15,9J,https://skatingscores.com/1112/wjc/jr/women/i/long/can/kaetlyn_osmond/,96.1,10J,https://skatingscores.com/1112/wjc/jr/women/results/,146.25,10J
6,2012/13,Nebelhorn,https://skatingscores.com/1213/nebtro/,Oberstdorf,2012-09-26,https://skatingscores.com/1213/nebtro/sr/women/i/short/can/kaetlyn_osmond/,55.68,2,https://skatingscores.com/1213/nebtro/sr/women/i/long/can/kaetlyn_osmond/,114.51,1,https://skatingscores.com/1213/nebtro/sr/women/results/,170.19,1
7,2012/13,GPCAN,https://skatingscores.com/1213/gpcan/,"Windsor, ON",2012-10-26,https://skatingscores.com/1213/gpcan/sr/women/i/short/can/kaetlyn_osmond/,60.56,2,https://skatingscores.com/1213/gpcan/sr/women/i/long/can/kaetlyn_osmond/,115.89,2,https://skatingscores.com/1213/gpcan/sr/women/results/,176.45,1
8,2012/13,CAN Nationals,https://skatingscores.com/1213/natcan/,"Mississauga, ON",2013-01-01,https://skatingscores.com/1213/natcan/sr/women/i/short/can/kaetlyn_osmond/,70.04,1,https://skatingscores.com/1213/natcan/sr/women/i/long/can/kaetlyn_osmond/,131.3,1,https://skatingscores.com/1213/natcan/sr/women/results/,201.34,1
9,2012/13,4CC,https://skatingscores.com/1213/4cc/,"Osaka, Osaka",2013-02-08,https://skatingscores.com/1213/4cc/sr/women/i/short/can/kaetlyn_osmond/,56.22,8,https://skatingscores.com/1213/4cc/sr/women/i/long/can/kaetlyn_osmond/,103.16,7,https://skatingscores.com/1213/4cc/sr/women/results/,159.38,7
10,2012/13,Worlds,https://skatingscores.com/1213/wc/,"London, ON",2013-03-11,https://skatingscores.com/1213/wc/sr/women/i/short/can/kaetlyn_osmond/,64.73,4,https://skatingscores.com/1213/wc/sr/women/i/long/can/kaetlyn_osmond/,112.09,10,https://skatingscores.com/1213/wc/sr/women/results/,176.82,8
11,2012/13,WTT,https://skatingscores.com/1213/wtt/,"Tokyo, Tokyo",2013-04-11,https://skatingscores.com/1213/wtt/sr/women/i/short/can/kaetlyn_osmond/,55.18,7P,https://skatingscores.com/1213/wtt/sr/women/i/long/can/kaetlyn_osmond/,109.67,7P,https://skatingscores.com/1213/wtt/sr/women/results/,164.85,7P
12,2013/14,GPCAN,https://skatingscores.com/1314/gpcan/,"Saint John, NB",2013-10-24,https://skatingscores.com/1314/gpcan/sr/women/i/short/can/kaetlyn_osmond/,60.32,5,,0.0,,https://skatingscores.com/1314/gpcan/sr/women/results/,60.32,WD
