,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,JGP USA,https://skatingscores.com/0405/jgpusa/,"Long Beach, CA",2004-09-09,https://skatingscores.com/0405/jgpusa/jr/men/i/short/can/kevin_reynolds/,53.42,4J,https://skatingscores.com/0405/jgpusa/jr/men/i/long/can/kevin_reynolds/,93.57,5J,https://skatingscores.com/0405/jgpusa/jr/men/results/,146.99,5J
1,2005/06,JGP AND,https://skatingscores.com/0506/jgpand/,Canillo,2005-09-07,https://skatingscores.com/0506/jgpand/jr/men/i/short/can/kevin_reynolds/,52.37,4J,https://skatingscores.com/0506/jgpand/jr/men/i/long/can/kevin_reynolds/,104.46,3J,https://skatingscores.com/0506/jgpand/jr/men/results/,156.83,4J
2,2005/06,JGP CRO,https://skatingscores.com/0506/jgpcro/,Zagreb,2005-10-06,https://skatingscores.com/0506/jgpcro/jr/men/i/short/can/kevin_reynolds/,44.01,9J,https://skatingscores.com/0506/jgpcro/jr/men/i/long/can/kevin_reynolds/,94.55,7J,https://skatingscores.com/0506/jgpcro/jr/men/results/,138.56,8J
3,2005/06,CAN Nationals,https://skatingscores.com/0506/natcan/,"Ottawa, ON",2006-01-01,https://skatingscores.com/0506/natcan/sr/men/i/short/can/kevin_reynolds/,52.69,11,https://skatingscores.com/0506/natcan/sr/men/i/long/can/kevin_reynolds/,118.58,6,https://skatingscores.com/0506/natcan/sr/men/results/,177.87,9
4,2005/06,Jr Worlds,https://skatingscores.com/0506/wjc/,Ljubljana,2006-03-06,https://skatingscores.com/0506/wjc/jr/men/i/short/can/kevin_reynolds/,53.04,11J,https://skatingscores.com/0506/wjc/jr/men/i/long/can/kevin_reynolds/,112.1,5J,https://skatingscores.com/0506/wjc/jr/men/results/,190.91,7J
5,2006/07,JGP MEX,https://skatingscores.com/0607/jgpmex/,Mexico City,2006-09-12,https://skatingscores.com/0607/jgpmex/jr/men/i/short/can/kevin_reynolds/,54.19,1J,https://skatingscores.com/0607/jgpmex/jr/men/i/long/can/kevin_reynolds/,102.0,2J,https://skatingscores.com/0607/jgpmex/jr/men/results/,156.19,1J
6,2006/07,JGP TPE,https://skatingscores.com/0607/jgptpe/,Taipei,2006-10-11,https://skatingscores.com/0607/jgptpe/jr/men/i/short/can/kevin_reynolds/,52.72,4J,https://skatingscores.com/0607/jgptpe/jr/men/i/long/can/kevin_reynolds/,116.71,1J,https://skatingscores.com/0607/jgptpe/jr/men/results/,169.43,2J
7,2006/07,JGP Final,https://skatingscores.com/0607/jgpf/,Sofia,2006-12-07,https://skatingscores.com/0607/jgpf/jr/men/i/short/can/kevin_reynolds/,53.08,7J,https://skatingscores.com/0607/jgpf/jr/men/i/long/can/kevin_reynolds/,108.22,3J,https://skatingscores.com/0607/jgpf/jr/men/results/,161.3,3J
8,2006/07,CAN Nationals,https://skatingscores.com/0607/natcan/,"Halifax, NS",2007-01-01,https://skatingscores.com/0607/natcan/sr/men/i/short/can/kevin_reynolds/,50.46,16,https://skatingscores.com/0607/natcan/sr/men/i/long/can/kevin_reynolds/,119.01,6,https://skatingscores.com/0607/natcan/sr/men/results/,169.47,11
9,2006/07,Jr Worlds,https://skatingscores.com/0607/wjc/,Oberstdorf,2007-02-26,https://skatingscores.com/0607/wjc/jr/men/i/short/can/kevin_reynolds/,59.52,4J,https://skatingscores.com/0607/wjc/jr/men/i/long/can/kevin_reynolds/,118.8,5J,https://skatingscores.com/0607/wjc/jr/men/results/,178.32,5J
10,2007/08,GPUSA,https://skatingscores.com/0708/gpusa/,"Reading, PA",2007-10-26,https://skatingscores.com/0708/gpusa/sr/men/i/short/can/kevin_reynolds/,59.25,7,https://skatingscores.com/0708/gpusa/sr/men/i/long/can/kevin_reynolds/,109.87,9,https://skatingscores.com/0708/gpusa/sr/men/results/,169.12,9
11,2007/08,GPRUS,https://skatingscores.com/0708/gprus/,Moscow,2007-11-22,https://skatingscores.com/0708/gprus/sr/men/i/short/can/kevin_reynolds/,59.46,11,https://skatingscores.com/0708/gprus/sr/men/i/long/can/kevin_reynolds/,127.23,6,https://skatingscores.com/0708/gprus/sr/men/results/,186.69,8
12,2007/08,CAN Nationals,https://skatingscores.com/0708/natcan/,"Vancouver, BC",2008-01-01,https://skatingscores.com/0708/natcan/sr/men/i/short/can/kevin_reynolds/,60.1,7,https://skatingscores.com/0708/natcan/sr/men/i/long/can/kevin_reynolds/,122.48,5,https://skatingscores.com/0708/natcan/sr/men/results/,182.58,6
13,2007/08,Jr Worlds,https://skatingscores.com/0708/wjc/,Sofia,2008-02-25,https://skatingscores.com/0708/wjc/jr/men/i/short/can/kevin_reynolds/,55.77,13J,https://skatingscores.com/0708/wjc/jr/men/i/long/can/kevin_reynolds/,125.01,4J,https://skatingscores.com/0708/wjc/jr/men/results/,180.78,6J
14,2008/09,GPUSA,https://skatingscores.com/0809/gpusa/,"Everett, WA",2008-10-23,https://skatingscores.com/0809/gpusa/sr/men/i/short/can/kevin_reynolds/,67.18,4,https://skatingscores.com/0809/gpusa/sr/men/i/long/can/kevin_reynolds/,137.71,4,https://skatingscores.com/0809/gpusa/sr/men/results/,204.89,4
15,2008/09,GPJPN,https://skatingscores.com/0809/gpjpn/,"Tokyo, Tokyo",2008-11-27,https://skatingscores.com/0809/gpjpn/sr/men/i/short/can/kevin_reynolds/,67.51,6,https://skatingscores.com/0809/gpjpn/sr/men/i/long/can/kevin_reynolds/,132.23,4,https://skatingscores.com/0809/gpjpn/sr/men/results/,199.74,4
16,2008/09,CAN Nationals,https://skatingscores.com/0809/natcan/,"Saskatoon, SK",2009-01-01,https://skatingscores.com/0809/natcan/sr/men/i/short/can/kevin_reynolds/,70.0,3,https://skatingscores.com/0809/natcan/sr/men/i/long/can/kevin_reynolds/,131.97,5,https://skatingscores.com/0809/natcan/sr/men/results/,201.97,4
