,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2007/08,Merano Cup,https://skatingscores.com/0708/mercup/,Merano,2007-11-07,,0.0,,https://skatingscores.com/0708/mercup/nov/men/i/long/can/liam_firus/,67.33,1N,,0.0,1N
1,2008/09,CAN Nationals,https://skatingscores.com/0809/natcan/,"Saskatoon, SK",2009-01-01,https://skatingscores.com/0809/natcan/jr/men/i/short/can/liam_firus/,49.54,5J,https://skatingscores.com/0809/natcan/jr/men/i/long/can/liam_firus/,79.96,14J,https://skatingscores.com/0809/natcan/jr/men/results/,129.5,10J
2,2009/10,JGP BLR,https://skatingscores.com/0910/jgpblr/,Minsk,2009-09-23,https://skatingscores.com/0910/jgpblr/jr/men/i/short/can/liam_firus/,55.65,3J,https://skatingscores.com/0910/jgpblr/jr/men/i/long/can/liam_firus/,89.83,8J,https://skatingscores.com/0910/jgpblr/jr/men/results/,145.48,8J
3,2009/10,JGP TUR,https://skatingscores.com/0910/jgptur/,Istanbul,2009-10-14,https://skatingscores.com/0910/jgptur/jr/men/i/short/can/liam_firus/,48.37,13J,https://skatingscores.com/0910/jgptur/jr/men/i/long/can/liam_firus/,104.29,5J,https://skatingscores.com/0910/jgptur/jr/men/results/,152.66,7J
4,2009/10,CAN Nationals,https://skatingscores.com/0910/natcan/,"London, ON",2010-01-11,https://skatingscores.com/0910/natcan/jr/men/i/short/can/liam_firus/,55.85,1J,https://skatingscores.com/0910/natcan/jr/men/i/long/can/liam_firus/,103.15,1J,https://skatingscores.com/0910/natcan/jr/men/results/,159.0,1J
5,2010/11,JGP ROU,https://skatingscores.com/1011/jgprou/,Brasov,2010-09-08,https://skatingscores.com/1011/jgprou/jr/men/i/short/can/liam_firus/,53.98,5J,https://skatingscores.com/1011/jgprou/jr/men/i/long/can/liam_firus/,106.54,5J,https://skatingscores.com/1011/jgprou/jr/men/results/,160.52,5J
6,2010/11,JGP GBR,https://skatingscores.com/1011/jgpgbr/,Sheffield,2010-09-29,https://skatingscores.com/1011/jgpgbr/jr/men/i/short/can/liam_firus/,59.2,2J,https://skatingscores.com/1011/jgpgbr/jr/men/i/long/can/liam_firus/,107.18,3J,https://skatingscores.com/1011/jgpgbr/jr/men/results/,166.38,3J
7,2010/11,CAN Nationals,https://skatingscores.com/1011/natcan/,"Victoria, BC",2011-01-17,https://skatingscores.com/1011/natcan/sr/men/i/short/can/liam_firus/,60.66,7,https://skatingscores.com/1011/natcan/sr/men/i/long/can/liam_firus/,124.74,5,https://skatingscores.com/1011/natcan/sr/men/results/,185.4,6
8,2010/11,Jr Worlds,https://skatingscores.com/1011/wjc/,Gangneung,2011-02-27,https://skatingscores.com/1011/wjc/jr/men/i/short/can/liam_firus/,46.9,24J,https://skatingscores.com/1011/wjc/jr/men/i/long/can/liam_firus/,96.36,17J,https://skatingscores.com/1011/wjc/jr/men/results/,143.26,20J
9,2011/12,JGP AUS,https://skatingscores.com/1112/jgpaus/,"Brisbane, QLD",2011-09-08,https://skatingscores.com/1112/jgpaus/jr/men/i/short/can/liam_firus/,57.09,3J,https://skatingscores.com/1112/jgpaus/jr/men/i/long/can/liam_firus/,122.91,4J,https://skatingscores.com/1112/jgpaus/jr/men/results/,180.0,3J
