,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,Jr Worlds,https://skatingscores.com/0405/wjc/,"Kitchener, ON",2005-02-28,https://skatingscores.com/0405/wjc/jr/men/i/short/can/patrick_chan/,53.24,11J,https://skatingscores.com/0405/wjc/jr/men/i/long/can/patrick_chan/,107.77,6J,https://skatingscores.com/0405/wjc/jr/men/results/,188.57,6J
1,2005/06,JGP SVK,https://skatingscores.com/0506/jgpsvk/,Bratislava,2005-09-01,https://skatingscores.com/0506/jgpsvk/jr/men/i/short/can/patrick_chan/,47.27,8J,https://skatingscores.com/0506/jgpsvk/jr/men/i/long/can/patrick_chan/,100.72,3J,https://skatingscores.com/0506/jgpsvk/jr/men/results/,147.99,4J
2,2005/06,JGP CAN,https://skatingscores.com/0506/jgpcan/,"Montreal, QC",2005-09-22,https://skatingscores.com/0506/jgpcan/jr/men/i/short/can/patrick_chan/,52.82,2J,https://skatingscores.com/0506/jgpcan/jr/men/i/long/can/patrick_chan/,115.01,1J,https://skatingscores.com/0506/jgpcan/jr/men/results/,167.83,1J
3,2005/06,JGP Final,https://skatingscores.com/0506/jgpf/,Ostrava,2005-11-24,https://skatingscores.com/0506/jgpf/jr/men/i/short/can/patrick_chan/,43.72,9J,https://skatingscores.com/0506/jgpf/jr/men/i/long/can/patrick_chan/,110.88,3J,https://skatingscores.com/0506/jgpf/jr/men/results/,154.6,5J
4,2005/06,CAN Nationals,https://skatingscores.com/0506/natcan/,"Ottawa, ON",2006-01-01,https://skatingscores.com/0506/natcan/sr/men/i/short/can/patrick_chan/,63.85,6,https://skatingscores.com/0506/natcan/sr/men/i/long/can/patrick_chan/,108.71,10,https://skatingscores.com/0506/natcan/sr/men/results/,180.0,7
5,2005/06,Jr Worlds,https://skatingscores.com/0506/wjc/,Ljubljana,2006-03-06,https://skatingscores.com/0506/wjc/jr/men/i/short/can/patrick_chan/,59.54,3J,https://skatingscores.com/0506/wjc/jr/men/i/long/can/patrick_chan/,108.65,6J,https://skatingscores.com/0506/wjc/jr/men/results/,194.47,6J
6,2006/07,GPFRA,https://skatingscores.com/0607/gpfra/,Paris,2006-11-16,https://skatingscores.com/0607/gpfra/sr/men/i/short/can/patrick_chan/,57.82,6,https://skatingscores.com/0607/gpfra/sr/men/i/long/can/patrick_chan/,122.1,5,https://skatingscores.com/0607/gpfra/sr/men/results/,179.92,5
7,2006/07,GPJPN,https://skatingscores.com/0607/gpjpn/,"Nagano, Nagano",2006-12-01,https://skatingscores.com/0607/gpjpn/sr/men/i/short/can/patrick_chan/,60.8,8,https://skatingscores.com/0607/gpjpn/sr/men/i/long/can/patrick_chan/,113.54,6,https://skatingscores.com/0607/gpjpn/sr/men/results/,174.34,7
8,2006/07,CAN Nationals,https://skatingscores.com/0607/natcan/,"Halifax, NS",2007-01-01,https://skatingscores.com/0607/natcan/sr/men/i/short/can/patrick_chan/,57.42,11,https://skatingscores.com/0607/natcan/sr/men/i/long/can/patrick_chan/,130.12,5,https://skatingscores.com/0607/natcan/sr/men/results/,187.54,5
9,2006/07,Jr Worlds,https://skatingscores.com/0607/wjc/,Oberstdorf,2007-02-26,https://skatingscores.com/0607/wjc/jr/men/i/short/can/patrick_chan/,64.1,1J,https://skatingscores.com/0607/wjc/jr/men/i/long/can/patrick_chan/,120.45,4J,https://skatingscores.com/0607/wjc/jr/men/results/,184.55,2J
