,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2011/12,JGP POL,https://skatingscores.com/1112/jgppol/,Gdańsk,2011-09-15,https://skatingscores.com/1112/jgppol/jr/women/i/short/cze/elizaveta_ukolova/,32.89,16J,https://skatingscores.com/1112/jgppol/jr/women/i/long/cze/elizaveta_ukolova/,64.0,14J,https://skatingscores.com/1112/jgppol/jr/women/results/,96.89,15J
1,2011/12,Ice Challenge,https://skatingscores.com/1112/icecha/,Graz,2011-11-01,https://skatingscores.com/1112/icecha/jr/women/i/short/cze/elizaveta_ukolova/,38.08,7J,https://skatingscores.com/1112/icecha/jr/women/i/long/cze/elizaveta_ukolova/,63.17,14J,https://skatingscores.com/1112/icecha/jr/women/results/,101.25,8J
2,2011/12,Merano Cup,https://skatingscores.com/1112/mercup/,Merano,2011-11-18,https://skatingscores.com/1112/mercup/jr/women/i/short/cze/elizaveta_ukolova/,29.7,12J,https://skatingscores.com/1112/mercup/jr/women/i/long/cze/elizaveta_ukolova/,75.83,2J,https://skatingscores.com/1112/mercup/jr/women/results/,105.53,4J
3,2011/12,NRW Trophy,https://skatingscores.com/1112/nrwtro/,Dortmund,2011-11-29,https://skatingscores.com/1112/nrwtro/jr/women/i/short/cze/elizaveta_ukolova/,40.37,7J,https://skatingscores.com/1112/nrwtro/jr/women/i/long/cze/elizaveta_ukolova/,79.91,4J,https://skatingscores.com/1112/nrwtro/jr/women/results/,120.28,2J
4,2011/12,Jr Worlds,https://skatingscores.com/1112/wjc/,Minsk,2012-02-27,https://skatingscores.com/1112/wjc/jr/women/i/short/cze/elizaveta_ukolova/,39.61,24J,https://skatingscores.com/1112/wjc/jr/women/i/long/cze/elizaveta_ukolova/,71.36,20J,https://skatingscores.com/1112/wjc/jr/women/results/,110.97,22J
5,2012/13,JGP TUR,https://skatingscores.com/1213/jgptur/,Istanbul,2012-09-22,https://skatingscores.com/1213/jgptur/jr/women/i/short/cze/elizaveta_ukolova/,36.11,17J,https://skatingscores.com/1213/jgptur/jr/women/i/long/cze/elizaveta_ukolova/,81.41,7J,https://skatingscores.com/1213/jgptur/jr/women/results/,117.52,8J
6,2012/13,JGP GER,https://skatingscores.com/1213/jgpger/,Chemnitz,2012-10-11,https://skatingscores.com/1213/jgpger/jr/women/i/short/cze/elizaveta_ukolova/,36.68,19J,https://skatingscores.com/1213/jgpger/jr/women/i/long/cze/elizaveta_ukolova/,81.79,8J,https://skatingscores.com/1213/jgpger/jr/women/results/,118.47,11J
7,2012/13,Merano Cup,https://skatingscores.com/1213/mercup/,Merano,2012-11-17,https://skatingscores.com/1213/mercup/jr/women/i/short/cze/elizaveta_ukolova/,38.19,8J,https://skatingscores.com/1213/mercup/jr/women/i/long/cze/elizaveta_ukolova/,78.64,4J,https://skatingscores.com/1213/mercup/jr/women/results/,116.83,5J
8,2012/13,NRW Trophy,https://skatingscores.com/1213/nrwtro/,Dortmund,2012-12-04,https://skatingscores.com/1213/nrwtro/jr/women/i/short/cze/elizaveta_ukolova/,44.41,2J,https://skatingscores.com/1213/nrwtro/jr/women/i/long/cze/elizaveta_ukolova/,87.37,1J,https://skatingscores.com/1213/nrwtro/jr/women/results/,131.78,1J
9,2012/13,Jr Worlds,https://skatingscores.com/1213/wjc/,Milano,2013-02-25,https://skatingscores.com/1213/wjc/jr/women/i/short/cze/elizaveta_ukolova/,35.05,33J,,0.0,,https://skatingscores.com/1213/wjc/jr/women/results/,35.05,33
