,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2003/04,GPCHN,https://skatingscores.com/0304/gpchn/,Beijing,2003-11-06,https://skatingscores.com/0304/gpchn/sr/men/i/short/fra/brian_joubert/,65.67,4,https://skatingscores.com/0304/gpchn/sr/men/i/long/fra/brian_joubert/,134.17,2,https://skatingscores.com/0304/gpchn/sr/men/results/,199.84,2
1,2003/04,GPFRA,https://skatingscores.com/0304/gpfra/,Paris,2003-11-13,https://skatingscores.com/0304/gpfra/sr/men/i/short/fra/brian_joubert/,62.17,6,https://skatingscores.com/0304/gpfra/sr/men/i/long/fra/brian_joubert/,133.41,2,https://skatingscores.com/0304/gpfra/sr/men/results/,195.58,4
2,2003/04,GPJPN,https://skatingscores.com/0304/gpjpn/,"Asahikawa, Hokkaido",2003-11-27,https://skatingscores.com/0304/gpjpn/sr/men/i/short/fra/brian_joubert/,64.8,4,https://skatingscores.com/0304/gpjpn/sr/men/i/long/fra/brian_joubert/,126.36,5,https://skatingscores.com/0304/gpjpn/sr/men/results/,191.16,4
3,2004/05,GPUSA,https://skatingscores.com/0405/gpusa/,"Pittsburg, PA",2004-10-21,https://skatingscores.com/0405/gpusa/sr/men/i/short/fra/brian_joubert/,72.1,1,https://skatingscores.com/0405/gpusa/sr/men/i/long/fra/brian_joubert/,121.36,2,https://skatingscores.com/0405/gpusa/sr/men/results/,193.46,1
4,2004/05,GPFRA,https://skatingscores.com/0405/gpfra/,Paris,2004-11-18,https://skatingscores.com/0405/gpfra/sr/men/i/short/fra/brian_joubert/,64.04,4,https://skatingscores.com/0405/gpfra/sr/men/i/long/fra/brian_joubert/,135.0,1,https://skatingscores.com/0405/gpfra/sr/men/results/,199.04,2
5,2004/05,FRA Nationals,https://skatingscores.com/0405/natfra/,Rennes,2004-12-10,https://skatingscores.com/0405/natfra/sr/men/i/short/fra/brian_joubert/,68.95,2,https://skatingscores.com/0405/natfra/sr/men/i/long/fra/brian_joubert/,145.4,1,https://skatingscores.com/0405/natfra/sr/men/results/,214.35,1
6,2004/05,GPF,https://skatingscores.com/0405/gpf/,Beijing,2004-12-16,https://skatingscores.com/0405/gpf/sr/men/i/short/fra/brian_joubert/,67.3,4,https://skatingscores.com/0405/gpf/sr/men/i/long/fra/brian_joubert/,126.34,4,https://skatingscores.com/0405/gpf/sr/men/results/,193.64,5
7,2004/05,Europeans,https://skatingscores.com/0405/ec/,Torino,2005-01-25,https://skatingscores.com/0405/ec/sr/men/i/short/fra/brian_joubert/,76.98,1,https://skatingscores.com/0405/ec/sr/men/i/long/fra/brian_joubert/,147.45,2,https://skatingscores.com/0405/ec/sr/men/results/,224.43,2
8,2004/05,Worlds,https://skatingscores.com/0405/wc/,Moscow,2005-03-14,https://skatingscores.com/0405/wc/sr/men/i/short/fra/brian_joubert/,79.66,2,https://skatingscores.com/0405/wc/sr/men/i/long/fra/brian_joubert/,122.63,13,https://skatingscores.com/0405/wc/sr/men/results/,235.29,6
9,2005/06,GPUSA,https://skatingscores.com/0506/gpusa/,"Atlantic City, NY",2005-10-20,https://skatingscores.com/0506/gpusa/sr/men/i/short/fra/brian_joubert/,62.88,4,https://skatingscores.com/0506/gpusa/sr/men/i/long/fra/brian_joubert/,127.4,2,https://skatingscores.com/0506/gpusa/sr/men/results/,190.28,3
10,2005/06,GPFRA,https://skatingscores.com/0506/gpfra/,Paris,2005-11-17,https://skatingscores.com/0506/gpfra/sr/men/i/short/fra/brian_joubert/,71.55,2,https://skatingscores.com/0506/gpfra/sr/men/i/long/fra/brian_joubert/,138.86,2,https://skatingscores.com/0506/gpfra/sr/men/results/,210.41,2
11,2005/06,Europeans,https://skatingscores.com/0506/ec/,Lyon,2006-01-17,https://skatingscores.com/0506/ec/sr/men/i/short/fra/brian_joubert/,77.85,2,https://skatingscores.com/0506/ec/sr/men/i/long/fra/brian_joubert/,145.1,3,https://skatingscores.com/0506/ec/sr/men/results/,222.95,3
12,2005/06,Olympics,https://skatingscores.com/0506/oly/,Torino,2006-02-10,https://skatingscores.com/0506/oly/sr/men/i/short/fra/brian_joubert/,77.77,4,https://skatingscores.com/0506/oly/sr/men/i/long/fra/brian_joubert/,135.12,7,https://skatingscores.com/0506/oly/sr/men/results/,212.89,6
13,2005/06,Worlds,https://skatingscores.com/0506/wc/,"Calgary, AB",2006-03-19,https://skatingscores.com/0506/wc/sr/men/i/short/fra/brian_joubert/,80.31,1,https://skatingscores.com/0506/wc/sr/men/i/long/fra/brian_joubert/,156.47,2,https://skatingscores.com/0506/wc/sr/men/results/,270.83,2
14,2006/07,GPFRA,https://skatingscores.com/0607/gpfra/,Paris,2006-11-16,https://skatingscores.com/0607/gpfra/sr/men/i/short/fra/brian_joubert/,77.35,1,https://skatingscores.com/0607/gpfra/sr/men/i/long/fra/brian_joubert/,153.73,1,https://skatingscores.com/0607/gpfra/sr/men/results/,231.08,1
15,2006/07,GPRUS,https://skatingscores.com/0607/gprus/,Moscow,2006-11-25,https://skatingscores.com/0607/gprus/sr/men/i/short/fra/brian_joubert/,77.7,1,https://skatingscores.com/0607/gprus/sr/men/i/long/fra/brian_joubert/,160.13,1,https://skatingscores.com/0607/gprus/sr/men/results/,237.83,1
16,2006/07,FRA Nationals,https://skatingscores.com/0607/natfra/,Orléans,2006-12-01,https://skatingscores.com/0607/natfra/sr/men/i/short/fra/brian_joubert/,83.8,1,https://skatingscores.com/0607/natfra/sr/men/i/long/fra/brian_joubert/,155.69,1,https://skatingscores.com/0607/natfra/sr/men/results/,239.49,1
17,2006/07,GPF,https://skatingscores.com/0607/gpf/,St. Petersburg,2006-12-16,https://skatingscores.com/0607/gpf/sr/men/i/short/fra/brian_joubert/,80.75,1,https://skatingscores.com/0607/gpf/sr/men/i/long/fra/brian_joubert/,152.71,1,https://skatingscores.com/0607/gpf/sr/men/results/,233.46,1
18,2006/07,Europeans,https://skatingscores.com/0607/ec/,Warsaw,2007-01-22,https://skatingscores.com/0607/ec/sr/men/i/short/fra/brian_joubert/,75.18,2,https://skatingscores.com/0607/ec/sr/men/i/long/fra/brian_joubert/,151.94,1,https://skatingscores.com/0607/ec/sr/men/results/,227.12,1
19,2006/07,Worlds,https://skatingscores.com/0607/wc/,"Tokyo, Tokyo",2007-03-20,https://skatingscores.com/0607/wc/sr/men/i/short/fra/brian_joubert/,83.64,1,https://skatingscores.com/0607/wc/sr/men/i/long/fra/brian_joubert/,157.21,3,https://skatingscores.com/0607/wc/sr/men/results/,240.85,1
20,2006/07,Japan Open,https://skatingscores.com/0607/jpnopn/,"Saitama, Saitama",2007-04-29,,0.0,,https://skatingscores.com/0607/jpnopn/sr/men/i/long/fra/brian_joubert/,132.76,3P,,0.0,3P
21,2007/08,GPCAN,https://skatingscores.com/0708/gpcan/,"Quebec City, QC",2007-11-01,https://skatingscores.com/0708/gpcan/sr/men/i/short/fra/brian_joubert/,78.05,1,https://skatingscores.com/0708/gpcan/sr/men/i/long/fra/brian_joubert/,135.57,2,https://skatingscores.com/0708/gpcan/sr/men/results/,213.62,1
22,2007/08,FRA Nationals,https://skatingscores.com/0708/natfra/,Megeve,2007-12-07,https://skatingscores.com/0708/natfra/sr/men/i/short/fra/brian_joubert/,86.66,1,https://skatingscores.com/0708/natfra/sr/men/i/long/fra/brian_joubert/,149.89,1,https://skatingscores.com/0708/natfra/sr/men/results/,236.55,1
23,2007/08,Europeans,https://skatingscores.com/0708/ec/,Zagreb,2008-01-21,https://skatingscores.com/0708/ec/sr/men/i/short/fra/brian_joubert/,75.25,2,https://skatingscores.com/0708/ec/sr/men/i/long/fra/brian_joubert/,144.2,4,https://skatingscores.com/0708/ec/sr/men/results/,219.45,3
24,2007/08,Worlds,https://skatingscores.com/0708/wc/,Göteborg,2008-03-16,https://skatingscores.com/0708/wc/sr/men/i/short/fra/brian_joubert/,77.75,6,https://skatingscores.com/0708/wc/sr/men/i/long/fra/brian_joubert/,153.47,2,https://skatingscores.com/0708/wc/sr/men/results/,231.22,2
25,2008/09,FRA Masters,https://skatingscores.com/0809/maspat/,Orléans,2008-10-02,https://skatingscores.com/0809/maspat/sr/men/i/short/fra/brian_joubert/,86.43,1,https://skatingscores.com/0809/maspat/sr/men/i/long/fra/brian_joubert/,132.12,3,https://skatingscores.com/0809/maspat/sr/men/results/,218.55,2
26,2008/09,GPFRA,https://skatingscores.com/0809/gpfra/,Paris,2008-11-13,https://skatingscores.com/0809/gpfra/sr/men/i/short/fra/brian_joubert/,73.75,3,https://skatingscores.com/0809/gpfra/sr/men/i/long/fra/brian_joubert/,147.38,4,https://skatingscores.com/0809/gpfra/sr/men/results/,221.13,4
27,2008/09,GPRUS,https://skatingscores.com/0809/gprus/,Moscow,2008-11-20,https://skatingscores.com/0809/gprus/sr/men/i/short/fra/brian_joubert/,86.1,1,https://skatingscores.com/0809/gprus/sr/men/i/long/fra/brian_joubert/,144.68,4,https://skatingscores.com/0809/gprus/sr/men/results/,230.78,1
28,2008/09,GPF,https://skatingscores.com/0809/gpf/,Goyang,2008-12-10,https://skatingscores.com/0809/gpf/sr/men/i/short/fra/brian_joubert/,74.55,3,,0.0,,https://skatingscores.com/0809/gpf/sr/men/results/,74.55,WD
29,2008/09,Europeans,https://skatingscores.com/0809/ec/,Helsinki,2009-01-20,https://skatingscores.com/0809/ec/sr/men/i/short/fra/brian_joubert/,86.9,1,https://skatingscores.com/0809/ec/sr/men/i/long/fra/brian_joubert/,145.11,2,https://skatingscores.com/0809/ec/sr/men/results/,232.01,1
30,2008/09,Worlds,https://skatingscores.com/0809/wc/,"Los Angeles, CA",2009-03-22,https://skatingscores.com/0809/wc/sr/men/i/short/fra/brian_joubert/,84.4,1,https://skatingscores.com/0809/wc/sr/men/i/long/fra/brian_joubert/,151.57,3,https://skatingscores.com/0809/wc/sr/men/results/,235.97,3
31,2008/09,WTT,https://skatingscores.com/0809/wtt/,"Tokyo, Tokyo",2009-04-15,https://skatingscores.com/0809/wtt/sr/men/i/short/fra/brian_joubert/,85.39,1P,https://skatingscores.com/0809/wtt/sr/men/i/long/fra/brian_joubert/,151.7,3P,https://skatingscores.com/0809/wtt/sr/men/results/,237.09,2P
32,2009/10,FRA Masters,https://skatingscores.com/0910/maspat/,Orléans,2009-09-10,https://skatingscores.com/0910/maspat/sr/men/i/short/fra/brian_joubert/,75.79,2,https://skatingscores.com/0910/maspat/sr/men/i/long/fra/brian_joubert/,145.0,3,https://skatingscores.com/0910/maspat/sr/men/results/,220.79,2
33,2009/10,GPFRA,https://skatingscores.com/0910/gpfra/,Paris,2009-10-15,https://skatingscores.com/0910/gpfra/sr/men/i/short/fra/brian_joubert/,72.15,6,https://skatingscores.com/0910/gpfra/sr/men/i/long/fra/brian_joubert/,135.24,4,https://skatingscores.com/0910/gpfra/sr/men/results/,207.39,4
34,2009/10,GPJPN,https://skatingscores.com/0910/gpjpn/,"Nagano, Nagano",2009-11-05,https://skatingscores.com/0910/gpjpn/sr/men/i/short/fra/brian_joubert/,85.35,1,https://skatingscores.com/0910/gpjpn/sr/men/i/long/fra/brian_joubert/,147.35,1,https://skatingscores.com/0910/gpjpn/sr/men/results/,232.7,1
35,2009/10,Europeans,https://skatingscores.com/0910/ec/,Tallinn,2010-01-18,https://skatingscores.com/0910/ec/sr/men/i/short/fra/brian_joubert/,88.55,2,https://skatingscores.com/0910/ec/sr/men/i/long/fra/brian_joubert/,147.9,3,https://skatingscores.com/0910/ec/sr/men/results/,236.45,3
