,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2005/06,JGP AND,https://skatingscores.com/0506/jgpand/,Canillo,2005-09-07,https://skatingscores.com/0506/jgpand/jr/men/i/short/fra/florent_amodio/,41.03,11J,https://skatingscores.com/0506/jgpand/jr/men/i/long/fra/florent_amodio/,75.99,10J,https://skatingscores.com/0506/jgpand/jr/men/results/,117.02,11J
1,2005/06,JGP POL,https://skatingscores.com/0506/jgppol/,Gdańsk,2005-10-12,https://skatingscores.com/0506/jgppol/jr/men/i/short/fra/florent_amodio/,37.36,19J,https://skatingscores.com/0506/jgppol/jr/men/i/long/fra/florent_amodio/,83.44,14J,https://skatingscores.com/0506/jgppol/jr/men/results/,120.8,15J
2,2006/07,JGP FRA,https://skatingscores.com/0607/jgpfra/,Courchevel,2006-08-23,https://skatingscores.com/0607/jgpfra/jr/men/i/short/fra/florent_amodio/,45.68,6J,https://skatingscores.com/0607/jgpfra/jr/men/i/long/fra/florent_amodio/,100.43,3J,https://skatingscores.com/0607/jgpfra/jr/men/results/,146.11,4J
3,2006/07,JGP CZE,https://skatingscores.com/0607/jgpcze/,Liberec,2006-10-19,https://skatingscores.com/0607/jgpcze/jr/men/i/short/fra/florent_amodio/,48.91,10J,https://skatingscores.com/0607/jgpcze/jr/men/i/long/fra/florent_amodio/,84.53,13J,https://skatingscores.com/0607/jgpcze/jr/men/results/,133.44,12J
4,2006/07,FRA Nationals,https://skatingscores.com/0607/natfra/,Orléans,2006-12-01,https://skatingscores.com/0607/natfra/sr/men/i/short/fra/florent_amodio/,59.4,4,https://skatingscores.com/0607/natfra/sr/men/i/long/fra/florent_amodio/,98.52,7,https://skatingscores.com/0607/natfra/sr/men/results/,157.92,7
5,2006/07,Jr Worlds,https://skatingscores.com/0607/wjc/,Oberstdorf,2007-02-26,https://skatingscores.com/0607/wjc/jr/men/i/short/fra/florent_amodio/,55.29,11J,https://skatingscores.com/0607/wjc/jr/men/i/long/fra/florent_amodio/,95.88,14J,https://skatingscores.com/0607/wjc/jr/men/results/,151.17,15J
6,2007/08,JGP USA,https://skatingscores.com/0708/jgpusa/,"Lake Placid, NY",2007-08-30,https://skatingscores.com/0708/jgpusa/jr/men/i/short/fra/florent_amodio/,43.52,6J,https://skatingscores.com/0708/jgpusa/jr/men/i/long/fra/florent_amodio/,96.8,3J,https://skatingscores.com/0708/jgpusa/jr/men/results/,140.32,5J
7,2007/08,JGP EST,https://skatingscores.com/0708/jgpest/,Tallinn,2007-09-20,https://skatingscores.com/0708/jgpest/jr/men/i/short/fra/florent_amodio/,51.82,5J,https://skatingscores.com/0708/jgpest/jr/men/i/long/fra/florent_amodio/,94.84,8J,https://skatingscores.com/0708/jgpest/jr/men/results/,146.66,7J
8,2007/08,FRA Nationals,https://skatingscores.com/0708/natfra/,Megeve,2007-12-07,https://skatingscores.com/0708/natfra/sr/men/i/short/fra/florent_amodio/,66.44,4,https://skatingscores.com/0708/natfra/sr/men/i/long/fra/florent_amodio/,118.75,3,https://skatingscores.com/0708/natfra/sr/men/results/,185.19,4
9,2007/08,Jr Worlds,https://skatingscores.com/0708/wjc/,Sofia,2008-02-25,https://skatingscores.com/0708/wjc/jr/men/i/short/fra/florent_amodio/,58.5,9J,https://skatingscores.com/0708/wjc/jr/men/i/long/fra/florent_amodio/,106.29,12J,https://skatingscores.com/0708/wjc/jr/men/results/,164.79,10J
