,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2003/04,GPFRA,https://skatingscores.com/0304/gpfra/,Paris,2003-11-13,https://skatingscores.com/0304/gpfra/sr/women/i/short/gbr/jenna_mccorkell/,44.22,9,https://skatingscores.com/0304/gpfra/sr/women/i/long/gbr/jenna_mccorkell/,79.76,8,https://skatingscores.com/0304/gpfra/sr/women/results/,123.98,8
1,2004/05,GPCAN,https://skatingscores.com/0405/gpcan/,"Halifax, NS",2004-10-28,https://skatingscores.com/0405/gpcan/sr/women/i/short/gbr/jenna_mccorkell/,39.6,10,https://skatingscores.com/0405/gpcan/sr/women/i/long/gbr/jenna_mccorkell/,82.16,6,https://skatingscores.com/0405/gpcan/sr/women/results/,121.76,8
2,2004/05,GPCHN,https://skatingscores.com/0405/gpchn/,Beijing,2004-11-11,https://skatingscores.com/0405/gpchn/sr/women/i/short/gbr/jenna_mccorkell/,47.36,7,https://skatingscores.com/0405/gpchn/sr/women/i/long/gbr/jenna_mccorkell/,83.72,7,https://skatingscores.com/0405/gpchn/sr/women/results/,131.08,6
3,2004/05,Europeans,https://skatingscores.com/0405/ec/,Torino,2005-01-25,https://skatingscores.com/0405/ec/sr/women/i/short/gbr/jenna_mccorkell/,41.8,17,https://skatingscores.com/0405/ec/sr/women/i/long/gbr/jenna_mccorkell/,79.11,14,https://skatingscores.com/0405/ec/sr/women/results/,120.91,16
4,2004/05,Worlds,https://skatingscores.com/0405/wc/,Moscow,2005-03-14,https://skatingscores.com/0405/wc/sr/women/i/short/gbr/jenna_mccorkell/,47.02,16,https://skatingscores.com/0405/wc/sr/women/i/long/gbr/jenna_mccorkell/,76.4,22,https://skatingscores.com/0405/wc/sr/women/results/,142.0,22
5,2005/06,Nebelhorn,https://skatingscores.com/0506/nebtro/,Oberstdorf,2005-09-29,https://skatingscores.com/0506/nebtro/sr/women/i/short/gbr/jenna_mccorkell/,51.25,3,https://skatingscores.com/0506/nebtro/sr/women/i/long/gbr/jenna_mccorkell/,78.19,7,https://skatingscores.com/0506/nebtro/sr/women/results/,129.44,6
6,2005/06,Schäfer Mem.,https://skatingscores.com/0506/krlsfr/,Vienna,2005-10-12,https://skatingscores.com/0506/krlsfr/sr/women/i/short/gbr/jenna_mccorkell/,39.42,11,https://skatingscores.com/0506/krlsfr/sr/women/i/long/gbr/jenna_mccorkell/,46.38,23,https://skatingscores.com/0506/krlsfr/sr/women/results/,85.8,21
7,2006/07,Golden Spin,https://skatingscores.com/0607/gldspn/,Zagreb,2006-11-16,https://skatingscores.com/0607/gldspn/sr/women/i/short/gbr/jenna_mccorkell/,31.83,12,https://skatingscores.com/0607/gldspn/sr/women/i/long/gbr/jenna_mccorkell/,56.17,13,https://skatingscores.com/0607/gldspn/sr/women/results/,88.0,12
8,2006/07,GPJPN,https://skatingscores.com/0607/gpjpn/,"Nagano, Nagano",2006-12-01,https://skatingscores.com/0607/gpjpn/sr/women/i/short/gbr/jenna_mccorkell/,36.7,11,https://skatingscores.com/0607/gpjpn/sr/women/i/long/gbr/jenna_mccorkell/,61.25,11,https://skatingscores.com/0607/gpjpn/sr/women/results/,97.95,11
9,2006/07,Europeans,https://skatingscores.com/0607/ec/,Warsaw,2007-01-22,https://skatingscores.com/0607/ec/sr/women/i/short/gbr/jenna_mccorkell/,40.27,20,https://skatingscores.com/0607/ec/sr/women/i/long/gbr/jenna_mccorkell/,80.2,11,https://skatingscores.com/0607/ec/sr/women/results/,120.47,15
10,2007/08,Finlandia,https://skatingscores.com/0708/fintro/,Vantaa,2007-10-07,https://skatingscores.com/0708/fintro/sr/women/i/short/gbr/jenna_mccorkell/,43.42,10,https://skatingscores.com/0708/fintro/sr/women/i/long/gbr/jenna_mccorkell/,82.77,9,https://skatingscores.com/0708/fintro/sr/women/results/,126.19,9
11,2007/08,Golden Spin,https://skatingscores.com/0708/gldspn/,Zagreb,2007-11-08,https://skatingscores.com/0708/gldspn/sr/women/i/short/gbr/jenna_mccorkell/,35.46,16,https://skatingscores.com/0708/gldspn/sr/women/i/long/gbr/jenna_mccorkell/,70.43,12,https://skatingscores.com/0708/gldspn/sr/women/results/,105.89,13
12,2007/08,GBR Nationals,https://skatingscores.com/0708/natgbr/,Sheffield,2008-01-07,https://skatingscores.com/0708/natgbr/sr/women/i/short/gbr/jenna_mccorkell/,48.9,1,https://skatingscores.com/0708/natgbr/sr/women/i/long/gbr/jenna_mccorkell/,93.86,1,https://skatingscores.com/0708/natgbr/sr/women/results/,142.76,1
13,2007/08,Europeans,https://skatingscores.com/0708/ec/,Zagreb,2008-01-21,https://skatingscores.com/0708/ec/sr/women/i/short/gbr/jenna_mccorkell/,53.68,7,https://skatingscores.com/0708/ec/sr/women/i/long/gbr/jenna_mccorkell/,91.89,10,https://skatingscores.com/0708/ec/sr/women/results/,145.57,8
14,2007/08,Worlds,https://skatingscores.com/0708/wc/,Göteborg,2008-03-16,https://skatingscores.com/0708/wc/sr/women/i/short/gbr/jenna_mccorkell/,42.55,25,,0.0,,https://skatingscores.com/0708/wc/sr/women/results/,42.55,25
15,2008/09,Nebelhorn,https://skatingscores.com/0809/nebtro/,Oberstdorf,2008-09-25,https://skatingscores.com/0809/nebtro/sr/women/i/short/gbr/jenna_mccorkell/,46.12,6,https://skatingscores.com/0809/nebtro/sr/women/i/long/gbr/jenna_mccorkell/,82.55,4,https://skatingscores.com/0809/nebtro/sr/women/results/,128.67,5
16,2008/09,Finlandia,https://skatingscores.com/0809/fintro/,Vantaa,2008-10-09,https://skatingscores.com/0809/fintro/sr/women/i/short/gbr/jenna_mccorkell/,47.86,6,https://skatingscores.com/0809/fintro/sr/women/i/long/gbr/jenna_mccorkell/,88.81,6,https://skatingscores.com/0809/fintro/sr/women/results/,136.67,6
17,2008/09,GPCAN,https://skatingscores.com/0809/gpcan/,"Ottawa, ON",2008-10-31,https://skatingscores.com/0809/gpcan/sr/women/i/short/gbr/jenna_mccorkell/,51.64,4,https://skatingscores.com/0809/gpcan/sr/women/i/long/gbr/jenna_mccorkell/,87.73,8,https://skatingscores.com/0809/gpcan/sr/women/results/,139.37,7
18,2008/09,Golden Spin,https://skatingscores.com/0809/gldspn/,Zagreb,2008-11-13,https://skatingscores.com/0809/gldspn/sr/women/i/short/gbr/jenna_mccorkell/,45.69,5,https://skatingscores.com/0809/gldspn/sr/women/i/long/gbr/jenna_mccorkell/,89.29,2,https://skatingscores.com/0809/gldspn/sr/women/results/,134.98,3
19,2008/09,GBR Nationals,https://skatingscores.com/0809/natgbr/,Nottingham,2009-01-11,https://skatingscores.com/0809/natgbr/sr/women/i/short/gbr/jenna_mccorkell/,49.04,1,https://skatingscores.com/0809/natgbr/sr/women/i/long/gbr/jenna_mccorkell/,93.7,1,https://skatingscores.com/0809/natgbr/sr/women/results/,142.74,1
20,2008/09,Europeans,https://skatingscores.com/0809/ec/,Helsinki,2009-01-20,https://skatingscores.com/0809/ec/sr/women/i/short/gbr/jenna_mccorkell/,50.0,4,https://skatingscores.com/0809/ec/sr/women/i/long/gbr/jenna_mccorkell/,81.42,12,https://skatingscores.com/0809/ec/sr/women/results/,131.42,9
21,2008/09,Challenge Cup,https://skatingscores.com/0809/chacup/,The Hague,2009-02-04,https://skatingscores.com/0809/chacup/sr/women/i/short/gbr/jenna_mccorkell/,44.8,6,https://skatingscores.com/0809/chacup/sr/women/i/long/gbr/jenna_mccorkell/,82.29,3,https://skatingscores.com/0809/chacup/sr/women/results/,127.09,4
22,2008/09,Worlds,https://skatingscores.com/0809/wc/,"Los Angeles, CA",2009-03-22,https://skatingscores.com/0809/wc/sr/women/i/short/gbr/jenna_mccorkell/,45.52,21,https://skatingscores.com/0809/wc/sr/women/i/long/gbr/jenna_mccorkell/,83.15,18,https://skatingscores.com/0809/wc/sr/women/results/,128.67,20
23,2009/10,Finlandia,https://skatingscores.com/0910/fintro/,Vantaa,2009-10-08,https://skatingscores.com/0910/fintro/sr/women/i/short/gbr/jenna_mccorkell/,49.93,9,https://skatingscores.com/0910/fintro/sr/women/i/long/gbr/jenna_mccorkell/,88.94,5,https://skatingscores.com/0910/fintro/sr/women/results/,138.87,5
24,2009/10,GPRUS,https://skatingscores.com/0910/gprus/,Moscow,2009-10-22,https://skatingscores.com/0910/gprus/sr/women/i/short/gbr/jenna_mccorkell/,40.94,11,https://skatingscores.com/0910/gprus/sr/women/i/long/gbr/jenna_mccorkell/,93.76,6,https://skatingscores.com/0910/gprus/sr/women/results/,134.7,8
25,2009/10,GPCAN,https://skatingscores.com/0910/gpcan/,"Kitchener, ON",2009-11-19,https://skatingscores.com/0910/gpcan/sr/women/i/short/gbr/jenna_mccorkell/,47.48,9,https://skatingscores.com/0910/gpcan/sr/women/i/long/gbr/jenna_mccorkell/,76.02,10,https://skatingscores.com/0910/gpcan/sr/women/results/,123.5,10
26,2009/10,GBR Nationals,https://skatingscores.com/0910/natgbr/,Sheffield,2009-11-23,https://skatingscores.com/0910/natgbr/sr/women/i/short/gbr/jenna_mccorkell/,49.6,1,https://skatingscores.com/0910/natgbr/sr/women/i/long/gbr/jenna_mccorkell/,72.88,1,https://skatingscores.com/0910/natgbr/sr/women/results/,122.48,1
27,2009/10,NRW Trophy,https://skatingscores.com/0910/nrwtro/,Dortmund,2009-12-03,https://skatingscores.com/0910/nrwtro/sr/women/i/short/gbr/jenna_mccorkell/,52.02,2,https://skatingscores.com/0910/nrwtro/sr/women/i/long/gbr/jenna_mccorkell/,88.19,5,https://skatingscores.com/0910/nrwtro/sr/women/results/,140.21,3
28,2009/10,Europeans,https://skatingscores.com/0910/ec/,Tallinn,2010-01-18,https://skatingscores.com/0910/ec/sr/women/i/short/gbr/jenna_mccorkell/,53.8,11,https://skatingscores.com/0910/ec/sr/women/i/long/gbr/jenna_mccorkell/,74.26,17,https://skatingscores.com/0910/ec/sr/women/results/,128.06,14
29,2009/10,Olympics,https://skatingscores.com/0910/oly/,"Vancouver, BC",2010-02-12,https://skatingscores.com/0910/oly/sr/women/i/short/gbr/jenna_mccorkell/,40.64,29,,0.0,,https://skatingscores.com/0910/oly/sr/women/results/,40.64,29
30,2009/10,Worlds,https://skatingscores.com/0910/wc/,Torino,2010-03-22,https://skatingscores.com/0910/wc/sr/women/i/short/gbr/jenna_mccorkell/,52.12,15,https://skatingscores.com/0910/wc/sr/women/i/long/gbr/jenna_mccorkell/,98.78,12,https://skatingscores.com/0910/wc/sr/women/results/,150.9,14
31,2010/11,Nebelhorn,https://skatingscores.com/1011/nebtro/,Oberstdorf,2010-09-22,https://skatingscores.com/1011/nebtro/sr/women/i/short/gbr/jenna_mccorkell/,41.39,7,https://skatingscores.com/1011/nebtro/sr/women/i/long/gbr/jenna_mccorkell/,89.06,3,https://skatingscores.com/1011/nebtro/sr/women/results/,130.45,5
32,2010/11,GPJPN,https://skatingscores.com/1011/gpjpn/,"Nagoya, Aichi",2010-10-21,https://skatingscores.com/1011/gpjpn/sr/women/i/short/gbr/jenna_mccorkell/,49.07,7,https://skatingscores.com/1011/gpjpn/sr/women/i/long/gbr/jenna_mccorkell/,72.45,11,https://skatingscores.com/1011/gpjpn/sr/women/results/,121.52,11
33,2010/11,GPUSA,https://skatingscores.com/1011/gpusa/,"Portland, OR",2010-11-11,https://skatingscores.com/1011/gpusa/sr/women/i/short/gbr/jenna_mccorkell/,42.87,11,https://skatingscores.com/1011/gpusa/sr/women/i/long/gbr/jenna_mccorkell/,84.89,9,https://skatingscores.com/1011/gpusa/sr/women/results/,127.76,10
34,2010/11,GBR Nationals,https://skatingscores.com/1011/natgbr/,Sheffield,2010-11-21,https://skatingscores.com/1011/natgbr/sr/women/i/short/gbr/jenna_mccorkell/,38.17,2,https://skatingscores.com/1011/natgbr/sr/women/i/long/gbr/jenna_mccorkell/,79.52,1,https://skatingscores.com/1011/natgbr/sr/women/results/,117.69,1
