,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,JGP FRA,https://skatingscores.com/0405/jgpfra/,Courchevel,2004-08-26,https://skatingscores.com/0405/jgpfra/jr/women/i/short/geo/elene_gedevanishvili/,40.78,9J,https://skatingscores.com/0405/jgpfra/jr/women/i/long/geo/elene_gedevanishvili/,57.04,19J,https://skatingscores.com/0405/jgpfra/jr/women/results/,97.82,17J
1,2004/05,JGP UKR,https://skatingscores.com/0405/jgpukr/,Kiev,2004-09-29,https://skatingscores.com/0405/jgpukr/jr/women/i/short/geo/elene_gedevanishvili/,46.65,4J,https://skatingscores.com/0405/jgpukr/jr/women/i/long/geo/elene_gedevanishvili/,64.18,12J,https://skatingscores.com/0405/jgpukr/jr/women/results/,110.83,6J
2,2004/05,Jr Worlds,https://skatingscores.com/0405/wjc/,"Kitchener, ON",2005-02-28,https://skatingscores.com/0405/wjc/jr/women/i/short/geo/elene_gedevanishvili/,48.42,7J,https://skatingscores.com/0405/wjc/jr/women/i/long/geo/elene_gedevanishvili/,90.69,5J,https://skatingscores.com/0405/wjc/jr/women/results/,156.68,6J
3,2005/06,JGP SVK,https://skatingscores.com/0506/jgpsvk/,Bratislava,2005-09-01,https://skatingscores.com/0506/jgpsvk/jr/women/i/short/geo/elene_gedevanishvili/,54.07,2J,https://skatingscores.com/0506/jgpsvk/jr/women/i/long/geo/elene_gedevanishvili/,87.21,4J,https://skatingscores.com/0506/jgpsvk/jr/women/results/,141.28,3J
4,2005/06,JGP EST,https://skatingscores.com/0506/jgpest/,Tallinn,2005-09-14,https://skatingscores.com/0506/jgpest/jr/women/i/short/geo/elene_gedevanishvili/,52.77,1J,https://skatingscores.com/0506/jgpest/jr/women/i/long/geo/elene_gedevanishvili/,92.29,2J,https://skatingscores.com/0506/jgpest/jr/women/results/,145.06,1J
5,2005/06,Schäfer Mem.,https://skatingscores.com/0506/krlsfr/,Vienna,2005-10-12,https://skatingscores.com/0506/krlsfr/sr/women/i/short/geo/elene_gedevanishvili/,40.61,7,https://skatingscores.com/0506/krlsfr/sr/women/i/long/geo/elene_gedevanishvili/,79.73,3,https://skatingscores.com/0506/krlsfr/sr/women/results/,120.34,4
6,2005/06,JGP Final,https://skatingscores.com/0506/jgpf/,Ostrava,2005-11-24,https://skatingscores.com/0506/jgpf/jr/women/i/short/geo/elene_gedevanishvili/,37.82,8J,https://skatingscores.com/0506/jgpf/jr/women/i/long/geo/elene_gedevanishvili/,86.72,6J,https://skatingscores.com/0506/jgpf/jr/women/results/,124.54,7J
7,2005/06,Europeans,https://skatingscores.com/0506/ec/,Lyon,2006-01-17,https://skatingscores.com/0506/ec/sr/women/i/short/geo/elene_gedevanishvili/,60.19,4,https://skatingscores.com/0506/ec/sr/women/i/long/geo/elene_gedevanishvili/,93.08,6,https://skatingscores.com/0506/ec/sr/women/results/,153.27,5
8,2005/06,Olympics,https://skatingscores.com/0506/oly/,Torino,2006-02-10,https://skatingscores.com/0506/oly/sr/women/i/short/geo/elene_gedevanishvili/,57.9,6,https://skatingscores.com/0506/oly/sr/women/i/long/geo/elene_gedevanishvili/,93.56,13,https://skatingscores.com/0506/oly/sr/women/results/,151.46,10
9,2005/06,Worlds,https://skatingscores.com/0506/wc/,"Calgary, AB",2006-03-19,https://skatingscores.com/0506/wc/sr/women/i/short/geo/elene_gedevanishvili/,54.55,8,https://skatingscores.com/0506/wc/sr/women/i/long/geo/elene_gedevanishvili/,89.65,17,https://skatingscores.com/0506/wc/sr/women/results/,164.92,14
10,2006/07,Europeans,https://skatingscores.com/0607/ec/,Warsaw,2007-01-22,https://skatingscores.com/0607/ec/sr/women/i/short/geo/elene_gedevanishvili/,54.62,3,https://skatingscores.com/0607/ec/sr/women/i/long/geo/elene_gedevanishvili/,82.7,9,https://skatingscores.com/0607/ec/sr/women/results/,137.32,8
11,2006/07,Worlds,https://skatingscores.com/0607/wc/,"Tokyo, Tokyo",2007-03-20,https://skatingscores.com/0607/wc/sr/women/i/short/geo/elene_gedevanishvili/,53.97,13,https://skatingscores.com/0607/wc/sr/women/i/long/geo/elene_gedevanishvili/,90.43,17,https://skatingscores.com/0607/wc/sr/women/results/,144.4,17
12,2007/08,GPUSA,https://skatingscores.com/0708/gpusa/,"Reading, PA",2007-10-26,https://skatingscores.com/0708/gpusa/sr/women/i/short/geo/elene_gedevanishvili/,38.3,11,https://skatingscores.com/0708/gpusa/sr/women/i/long/geo/elene_gedevanishvili/,87.76,6,https://skatingscores.com/0708/gpusa/sr/women/results/,126.06,6
13,2007/08,GPJPN,https://skatingscores.com/0708/gpjpn/,"Sendai, Miyagi",2007-11-29,https://skatingscores.com/0708/gpjpn/sr/women/i/short/geo/elene_gedevanishvili/,53.82,7,https://skatingscores.com/0708/gpjpn/sr/women/i/long/geo/elene_gedevanishvili/,82.72,8,https://skatingscores.com/0708/gpjpn/sr/women/results/,136.54,8
14,2007/08,Europeans,https://skatingscores.com/0708/ec/,Zagreb,2008-01-21,https://skatingscores.com/0708/ec/sr/women/i/short/geo/elene_gedevanishvili/,53.43,8,https://skatingscores.com/0708/ec/sr/women/i/long/geo/elene_gedevanishvili/,93.66,8,https://skatingscores.com/0708/ec/sr/women/results/,147.09,7
15,2007/08,Worlds,https://skatingscores.com/0708/wc/,Göteborg,2008-03-16,https://skatingscores.com/0708/wc/sr/women/i/short/geo/elene_gedevanishvili/,44.06,23,https://skatingscores.com/0708/wc/sr/women/i/long/geo/elene_gedevanishvili/,81.93,18,https://skatingscores.com/0708/wc/sr/women/results/,125.99,20
16,2008/09,Finlandia,https://skatingscores.com/0809/fintro/,Vantaa,2008-10-09,https://skatingscores.com/0809/fintro/sr/women/i/short/geo/elene_gedevanishvili/,57.28,3,https://skatingscores.com/0809/fintro/sr/women/i/long/geo/elene_gedevanishvili/,94.26,4,https://skatingscores.com/0809/fintro/sr/women/results/,151.54,4
17,2008/09,GPFRA,https://skatingscores.com/0809/gpfra/,Paris,2008-11-13,https://skatingscores.com/0809/gpfra/sr/women/i/short/geo/elene_gedevanishvili/,41.48,9,https://skatingscores.com/0809/gpfra/sr/women/i/long/geo/elene_gedevanishvili/,80.3,7,https://skatingscores.com/0809/gpfra/sr/women/results/,121.78,7
18,2008/09,NRW Trophy,https://skatingscores.com/0809/nrwtro/,Dortmund,2008-12-04,https://skatingscores.com/0809/nrwtro/sr/women/i/short/geo/elene_gedevanishvili/,56.1,1,https://skatingscores.com/0809/nrwtro/sr/women/i/long/geo/elene_gedevanishvili/,86.22,3,https://skatingscores.com/0809/nrwtro/sr/women/results/,142.32,1
19,2008/09,Europeans,https://skatingscores.com/0809/ec/,Helsinki,2009-01-20,https://skatingscores.com/0809/ec/sr/women/i/short/geo/elene_gedevanishvili/,37.2,25,,0.0,,https://skatingscores.com/0809/ec/sr/women/results/,37.2,25
20,2008/09,Jr Worlds,https://skatingscores.com/0809/wjc/,Sofia,2009-02-22,https://skatingscores.com/0809/wjc/jr/women/i/short/geo/elene_gedevanishvili/,60.32,1J,https://skatingscores.com/0809/wjc/jr/women/i/long/geo/elene_gedevanishvili/,78.0,11J,https://skatingscores.com/0809/wjc/jr/women/results/,138.32,6J
21,2008/09,Worlds,https://skatingscores.com/0809/wc/,"Los Angeles, CA",2009-03-22,https://skatingscores.com/0809/wc/sr/women/i/short/geo/elene_gedevanishvili/,58.82,8,https://skatingscores.com/0809/wc/sr/women/i/long/geo/elene_gedevanishvili/,103.66,11,https://skatingscores.com/0809/wc/sr/women/results/,162.48,10
22,2009/10,GPFRA,https://skatingscores.com/0910/gpfra/,Paris,2009-10-15,https://skatingscores.com/0910/gpfra/sr/women/i/short/geo/elene_gedevanishvili/,48.68,8,https://skatingscores.com/0910/gpfra/sr/women/i/long/geo/elene_gedevanishvili/,94.75,6,https://skatingscores.com/0910/gpfra/sr/women/results/,143.43,7
23,2009/10,GPUSA,https://skatingscores.com/0910/gpusa/,"Lake Placid, NY",2009-11-12,https://skatingscores.com/0910/gpusa/sr/women/i/short/geo/elene_gedevanishvili/,52.18,6,https://skatingscores.com/0910/gpusa/sr/women/i/long/geo/elene_gedevanishvili/,92.01,6,https://skatingscores.com/0910/gpusa/sr/women/results/,144.19,6
24,2009/10,Europeans,https://skatingscores.com/0910/ec/,Tallinn,2010-01-18,https://skatingscores.com/0910/ec/sr/women/i/short/geo/elene_gedevanishvili/,60.82,4,https://skatingscores.com/0910/ec/sr/women/i/long/geo/elene_gedevanishvili/,103.72,2,https://skatingscores.com/0910/ec/sr/women/results/,164.54,3
25,2009/10,Olympics,https://skatingscores.com/0910/oly/,"Vancouver, BC",2010-02-12,https://skatingscores.com/0910/oly/sr/women/i/short/geo/elene_gedevanishvili/,61.92,9,https://skatingscores.com/0910/oly/sr/women/i/long/geo/elene_gedevanishvili/,93.32,17,https://skatingscores.com/0910/oly/sr/women/results/,155.24,14
26,2009/10,Worlds,https://skatingscores.com/0910/wc/,Torino,2010-03-22,https://skatingscores.com/0910/wc/sr/women/i/short/geo/elene_gedevanishvili/,55.26,12,https://skatingscores.com/0910/wc/sr/women/i/long/geo/elene_gedevanishvili/,82.07,21,https://skatingscores.com/0910/wc/sr/women/results/,137.33,18
27,2010/11,GPJPN,https://skatingscores.com/1011/gpjpn/,"Nagoya, Aichi",2010-10-21,https://skatingscores.com/1011/gpjpn/sr/women/i/short/geo/elene_gedevanishvili/,44.51,9,https://skatingscores.com/1011/gpjpn/sr/women/i/long/geo/elene_gedevanishvili/,97.01,3,https://skatingscores.com/1011/gpjpn/sr/women/results/,141.52,6
28,2010/11,GPUSA,https://skatingscores.com/1011/gpusa/,"Portland, OR",2010-11-11,https://skatingscores.com/1011/gpusa/sr/women/i/short/geo/elene_gedevanishvili/,45.27,8,https://skatingscores.com/1011/gpusa/sr/women/i/long/geo/elene_gedevanishvili/,94.09,7,https://skatingscores.com/1011/gpusa/sr/women/results/,139.36,7
29,2010/11,Europeans,https://skatingscores.com/1011/ec/,Bern,2011-01-24,https://skatingscores.com/1011/ec/sr/women/i/short/geo/elene_gedevanishvili/,53.68,5,https://skatingscores.com/1011/ec/sr/women/i/long/geo/elene_gedevanishvili/,94.28,8,https://skatingscores.com/1011/ec/sr/women/results/,147.96,8
30,2010/11,Worlds,https://skatingscores.com/1011/wc/,Moscow,2011-04-25,https://skatingscores.com/1011/wc/sr/women/i/short/geo/elene_gedevanishvili/,51.61,15,https://skatingscores.com/1011/wc/sr/women/i/long/geo/elene_gedevanishvili/,104.63,10,https://skatingscores.com/1011/wc/sr/women/results/,156.24,10
31,2011/12,Nebelhorn,https://skatingscores.com/1112/nebtro/,Oberstdorf,2011-09-22,https://skatingscores.com/1112/nebtro/sr/women/i/short/geo/elene_gedevanishvili/,50.56,2,https://skatingscores.com/1112/nebtro/sr/women/i/long/geo/elene_gedevanishvili/,96.36,2,https://skatingscores.com/1112/nebtro/sr/women/results/,146.92,2
