,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2007/08,Cup of Nice,https://skatingscores.com/0708/cupnic/,Nice,2007-10-18,https://skatingscores.com/0708/cupnic/jr/women/i/short/ger/nathalie_weinzierl/,42.74,2J,https://skatingscores.com/0708/cupnic/jr/women/i/long/ger/nathalie_weinzierl/,65.75,5J,https://skatingscores.com/0708/cupnic/jr/women/results/,108.49,4J
1,2007/08,GER Nationals,https://skatingscores.com/0708/natger/,Dresden,2008-01-03,https://skatingscores.com/0708/natger/jr/women/i/short/ger/nathalie_weinzierl/,45.46,1J,https://skatingscores.com/0708/natger/jr/women/i/long/ger/nathalie_weinzierl/,68.36,4J,https://skatingscores.com/0708/natger/jr/women/results/,113.82,2J
2,2008/09,GER Nationals,https://skatingscores.com/0809/natger/,Oberstdorf,2008-12-18,https://skatingscores.com/0809/natger/sr/women/i/short/ger/nathalie_weinzierl/,37.9,9,https://skatingscores.com/0809/natger/sr/women/i/long/ger/nathalie_weinzierl/,58.69,15,https://skatingscores.com/0809/natger/sr/women/results/,96.59,13
3,2009/10,JGP BLR,https://skatingscores.com/0910/jgpblr/,Minsk,2009-09-23,https://skatingscores.com/0910/jgpblr/jr/women/i/short/ger/nathalie_weinzierl/,29.84,22J,https://skatingscores.com/0910/jgpblr/jr/women/i/long/ger/nathalie_weinzierl/,38.6,25J,https://skatingscores.com/0910/jgpblr/jr/women/results/,68.44,24J
4,2009/10,JGP TUR,https://skatingscores.com/0910/jgptur/,Istanbul,2009-10-14,https://skatingscores.com/0910/jgptur/jr/women/i/short/ger/nathalie_weinzierl/,29.88,29J,https://skatingscores.com/0910/jgptur/jr/women/i/long/ger/nathalie_weinzierl/,47.45,30J,https://skatingscores.com/0910/jgptur/jr/women/results/,77.33,28J
5,2009/10,Cup of Nice,https://skatingscores.com/0910/cupnic/,Nice,2009-11-04,https://skatingscores.com/0910/cupnic/jr/women/i/short/ger/nathalie_weinzierl/,36.3,13J,https://skatingscores.com/0910/cupnic/jr/women/i/long/ger/nathalie_weinzierl/,62.89,11J,https://skatingscores.com/0910/cupnic/jr/women/results/,99.19,10J
6,2009/10,NRW Trophy,https://skatingscores.com/0910/nrwtro/,Dortmund,2009-12-03,https://skatingscores.com/0910/nrwtro/jr/women/i/short/ger/nathalie_weinzierl/,37.88,9J,https://skatingscores.com/0910/nrwtro/jr/women/i/long/ger/nathalie_weinzierl/,60.73,11J,https://skatingscores.com/0910/nrwtro/jr/women/results/,98.61,10J
7,2009/10,GER Nationals,https://skatingscores.com/0910/natger/,Mannheim,2009-12-17,https://skatingscores.com/0910/natger/sr/women/i/short/ger/nathalie_weinzierl/,40.74,8,https://skatingscores.com/0910/natger/sr/women/i/long/ger/nathalie_weinzierl/,73.56,7,https://skatingscores.com/0910/natger/sr/women/results/,114.3,7
8,2009/10,Bavarian Open,https://skatingscores.com/0910/bavopn/,Oberstdorf,2010-01-28,https://skatingscores.com/0910/bavopn/sr/women/i/short/ger/nathalie_weinzierl/,43.68,4,,0.0,,https://skatingscores.com/0910/bavopn/sr/women/results/,43.68,WD
9,2009/10,Triglav Tr.,https://skatingscores.com/0910/tritro/,Jesenice,2010-04-01,https://skatingscores.com/0910/tritro/sr/women/i/short/ger/nathalie_weinzierl/,48.34,4,https://skatingscores.com/0910/tritro/sr/women/i/long/ger/nathalie_weinzierl/,80.89,6,https://skatingscores.com/0910/tritro/sr/women/results/,129.23,5
10,2010/11,Cup of Nice,https://skatingscores.com/1011/cupnic/,Nice,2010-10-13,https://skatingscores.com/1011/cupnic/sr/women/i/short/ger/nathalie_weinzierl/,34.14,17,https://skatingscores.com/1011/cupnic/sr/women/i/long/ger/nathalie_weinzierl/,61.97,19,https://skatingscores.com/1011/cupnic/sr/women/results/,96.11,18
11,2010/11,NRW Trophy,https://skatingscores.com/1011/nrwtro/,Dortmund,2010-12-02,https://skatingscores.com/1011/nrwtro/sr/women/i/short/ger/nathalie_weinzierl/,43.06,9,https://skatingscores.com/1011/nrwtro/sr/women/i/long/ger/nathalie_weinzierl/,72.07,16,https://skatingscores.com/1011/nrwtro/sr/women/results/,115.13,14
12,2010/11,GER Nationals,https://skatingscores.com/1011/natger/,Oberstdorf,2011-01-08,https://skatingscores.com/1011/natger/sr/women/i/short/ger/nathalie_weinzierl/,39.52,8,https://skatingscores.com/1011/natger/sr/women/i/long/ger/nathalie_weinzierl/,73.67,8,https://skatingscores.com/1011/natger/sr/women/results/,113.19,8
13,2010/11,Triglav Tr.,https://skatingscores.com/1011/tritro/,Jesenice,2011-04-07,https://skatingscores.com/1011/tritro/sr/women/i/short/ger/nathalie_weinzierl/,37.64,13,https://skatingscores.com/1011/tritro/sr/women/i/long/ger/nathalie_weinzierl/,66.6,13,https://skatingscores.com/1011/tritro/sr/women/results/,104.24,12
14,2011/12,Nebelhorn,https://skatingscores.com/1112/nebtro/,Oberstdorf,2011-09-22,https://skatingscores.com/1112/nebtro/sr/women/i/short/ger/nathalie_weinzierl/,40.58,10,https://skatingscores.com/1112/nebtro/sr/women/i/long/ger/nathalie_weinzierl/,76.3,10,https://skatingscores.com/1112/nebtro/sr/women/results/,116.88,10
15,2011/12,Cup of Nice,https://skatingscores.com/1112/cupnic/,Nice,2011-10-26,https://skatingscores.com/1112/cupnic/sr/women/i/short/ger/nathalie_weinzierl/,41.56,16,https://skatingscores.com/1112/cupnic/sr/women/i/long/ger/nathalie_weinzierl/,63.48,23,https://skatingscores.com/1112/cupnic/sr/women/results/,105.04,20
16,2011/12,Merano Cup,https://skatingscores.com/1112/mercup/,Merano,2011-11-18,https://skatingscores.com/1112/mercup/jr/women/i/short/ger/nathalie_weinzierl/,39.1,3J,https://skatingscores.com/1112/mercup/jr/women/i/long/ger/nathalie_weinzierl/,64.61,6J,https://skatingscores.com/1112/mercup/jr/women/results/,103.71,5J
17,2011/12,NRW Trophy,https://skatingscores.com/1112/nrwtro/,Dortmund,2011-11-29,https://skatingscores.com/1112/nrwtro/sr/women/i/short/ger/nathalie_weinzierl/,47.8,11,https://skatingscores.com/1112/nrwtro/sr/women/i/long/ger/nathalie_weinzierl/,86.36,11,https://skatingscores.com/1112/nrwtro/sr/women/results/,134.16,11
18,2011/12,GER Nationals,https://skatingscores.com/1112/natger/,Oberstdorf,2012-01-06,https://skatingscores.com/1112/natger/sr/women/i/short/ger/nathalie_weinzierl/,48.27,1,https://skatingscores.com/1112/natger/sr/women/i/long/ger/nathalie_weinzierl/,66.61,9,https://skatingscores.com/1112/natger/sr/women/results/,114.88,6
19,2011/12,Europeans,https://skatingscores.com/1112/ec/,Sheffield,2012-01-23,https://skatingscores.com/1112/ec/sr/women/i/short/ger/nathalie_weinzierl/,42.56,20,https://skatingscores.com/1112/ec/sr/women/i/long/ger/nathalie_weinzierl/,73.33,22,https://skatingscores.com/1112/ec/sr/women/results/,115.89,22
20,2011/12,Bavarian Open,https://skatingscores.com/1112/bavopn/,Oberstdorf,2012-02-01,https://skatingscores.com/1112/bavopn/sr/women/i/short/ger/nathalie_weinzierl/,50.37,1,https://skatingscores.com/1112/bavopn/sr/women/i/long/ger/nathalie_weinzierl/,88.1,2,https://skatingscores.com/1112/bavopn/sr/women/results/,138.47,1
21,2011/12,Printemps,https://skatingscores.com/1112/coupri/,Kockelscheuer,2012-03-16,https://skatingscores.com/1112/coupri/sr/women/i/short/ger/nathalie_weinzierl/,41.43,6,,0.0,,https://skatingscores.com/1112/coupri/sr/women/results/,41.43,WD
