,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,JGP HUN,https://skatingscores.com/0405/jgphun/,Budapest,2004-09-01,https://skatingscores.com/0405/jgphun/jr/men/i/short/ger/peter_liebers/,52.63,6J,https://skatingscores.com/0405/jgphun/jr/men/i/long/ger/peter_liebers/,79.55,12J,https://skatingscores.com/0405/jgphun/jr/men/results/,132.18,10J
1,2004/05,JGP GER,https://skatingscores.com/0405/jgpger/,Chemnitz,2004-10-07,https://skatingscores.com/0405/jgpger/jr/men/i/short/ger/peter_liebers/,55.29,3J,https://skatingscores.com/0405/jgpger/jr/men/i/long/ger/peter_liebers/,99.12,3J,https://skatingscores.com/0405/jgpger/jr/men/results/,154.41,4J
2,2004/05,GER Nationals,https://skatingscores.com/0405/natger/,Oberstdorf,2005-01-06,https://skatingscores.com/0405/natger/sr/men/i/short/ger/peter_liebers/,54.86,6,https://skatingscores.com/0405/natger/sr/men/i/long/ger/peter_liebers/,106.47,5,https://skatingscores.com/0405/natger/sr/men/results/,161.33,5
3,2005/06,JGP POL,https://skatingscores.com/0506/jgppol/,Gdańsk,2005-10-12,https://skatingscores.com/0506/jgppol/jr/men/i/short/ger/peter_liebers/,45.46,9J,https://skatingscores.com/0506/jgppol/jr/men/i/long/ger/peter_liebers/,85.71,12J,https://skatingscores.com/0506/jgppol/jr/men/results/,131.17,11J
4,2005/06,JGP JPN,https://skatingscores.com/0506/jgpjpn/,"Okaya, Nagano",2005-10-20,https://skatingscores.com/0506/jgpjpn/jr/men/i/short/ger/peter_liebers/,48.6,8J,https://skatingscores.com/0506/jgpjpn/jr/men/i/long/ger/peter_liebers/,90.13,4J,https://skatingscores.com/0506/jgpjpn/jr/men/results/,138.73,4J
5,2005/06,GER Nationals,https://skatingscores.com/0506/natger/,Berlin,2005-12-27,https://skatingscores.com/0506/natger/sr/men/i/short/ger/peter_liebers/,58.86,3,https://skatingscores.com/0506/natger/sr/men/i/long/ger/peter_liebers/,92.74,8,https://skatingscores.com/0506/natger/sr/men/results/,151.6,6
6,2005/06,Jr Worlds,https://skatingscores.com/0506/wjc/,Ljubljana,2006-03-06,https://skatingscores.com/0506/wjc/jr/men/i/short/ger/peter_liebers/,57.67,4J,https://skatingscores.com/0506/wjc/jr/men/i/long/ger/peter_liebers/,92.66,17J,https://skatingscores.com/0506/wjc/jr/men/results/,178.16,11J
7,2007/08,Nebelhorn,https://skatingscores.com/0708/nebtro/,Oberstdorf,2007-09-27,https://skatingscores.com/0708/nebtro/sr/men/i/short/ger/peter_liebers/,52.09,8,https://skatingscores.com/0708/nebtro/sr/men/i/long/ger/peter_liebers/,81.52,17,https://skatingscores.com/0708/nebtro/sr/men/results/,133.61,15
8,2007/08,Cup of Nice,https://skatingscores.com/0708/cupnic/,Nice,2007-10-18,https://skatingscores.com/0708/cupnic/sr/men/i/short/ger/peter_liebers/,50.48,8,https://skatingscores.com/0708/cupnic/sr/men/i/long/ger/peter_liebers/,99.37,4,https://skatingscores.com/0708/cupnic/sr/men/results/,149.85,6
9,2007/08,Golden Spin,https://skatingscores.com/0708/gldspn/,Zagreb,2007-11-08,https://skatingscores.com/0708/gldspn/sr/men/i/short/ger/peter_liebers/,58.5,4,https://skatingscores.com/0708/gldspn/sr/men/i/long/ger/peter_liebers/,99.87,11,https://skatingscores.com/0708/gldspn/sr/men/results/,158.37,7
