,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2011/12,Golden Spin,https://skatingscores.com/1112/gldspn/,Zagreb,2011-12-04,https://skatingscores.com/1112/gldspn/sr/men/i/short/isr/alexei_bychenko/,52.37,8,https://skatingscores.com/1112/gldspn/sr/men/i/long/isr/alexei_bychenko/,111.67,8,https://skatingscores.com/1112/gldspn/sr/men/results/,164.04,8
1,2011/12,Europeans,https://skatingscores.com/1112/ec/,Sheffield,2012-01-23,https://skatingscores.com/1112/ec/sr/men/i/short/isr/alexei_bychenko/,54.69,19,https://skatingscores.com/1112/ec/sr/men/i/long/isr/alexei_bychenko/,86.5,22,https://skatingscores.com/1112/ec/sr/men/results/,141.19,22
2,2011/12,Worlds,https://skatingscores.com/1112/wc/,Nice,2012-03-26,https://skatingscores.com/1112/wc/sr/men/i/short/isr/alexei_bychenko/,52.76,29,,0.0,,https://skatingscores.com/1112/wc/sr/men/results/,52.76,29
3,2012/13,US Classic,https://skatingscores.com/1213/uscla/,"Salt Lake City, UT",2012-09-16,https://skatingscores.com/1213/uscla/sr/men/i/short/isr/alexei_bychenko/,48.37,13,https://skatingscores.com/1213/uscla/sr/men/i/long/isr/alexei_bychenko/,77.55,15,https://skatingscores.com/1213/uscla/sr/men/results/,125.92,14
4,2012/13,Nebelhorn,https://skatingscores.com/1213/nebtro/,Oberstdorf,2012-09-26,https://skatingscores.com/1213/nebtro/sr/men/i/short/isr/alexei_bychenko/,53.29,17,https://skatingscores.com/1213/nebtro/sr/men/i/long/isr/alexei_bychenko/,112.3,15,https://skatingscores.com/1213/nebtro/sr/men/results/,165.59,15
5,2012/13,Ice Challenge,https://skatingscores.com/1213/icecha/,Graz,2012-11-05,https://skatingscores.com/1213/icecha/sr/men/i/short/isr/alexei_bychenko/,50.19,13,https://skatingscores.com/1213/icecha/sr/men/i/long/isr/alexei_bychenko/,91.87,13,https://skatingscores.com/1213/icecha/sr/men/results/,142.06,13
6,2012/13,Golden Spin,https://skatingscores.com/1213/gldspn/,Zagreb,2012-12-13,https://skatingscores.com/1213/gldspn/sr/men/i/short/isr/alexei_bychenko/,53.49,3,https://skatingscores.com/1213/gldspn/sr/men/i/long/isr/alexei_bychenko/,98.28,6,https://skatingscores.com/1213/gldspn/sr/men/results/,151.77,5
7,2012/13,Europeans,https://skatingscores.com/1213/ec/,Zagreb,2013-01-23,https://skatingscores.com/1213/ec/sr/men/i/short/isr/alexei_bychenko/,56.42,18,https://skatingscores.com/1213/ec/sr/men/i/long/isr/alexei_bychenko/,114.7,12,https://skatingscores.com/1213/ec/sr/men/results/,171.12,14
8,2012/13,Bavarian Open,https://skatingscores.com/1213/bavopn/,Oberstdorf,2013-02-06,https://skatingscores.com/1213/bavopn/sr/men/i/short/isr/alexei_bychenko/,63.28,7,https://skatingscores.com/1213/bavopn/sr/men/i/long/isr/alexei_bychenko/,134.76,3,https://skatingscores.com/1213/bavopn/sr/men/results/,198.04,5
9,2012/13,Worlds,https://skatingscores.com/1213/wc/,"London, ON",2013-03-11,https://skatingscores.com/1213/wc/sr/men/i/short/isr/alexei_bychenko/,57.53,31,,0.0,,https://skatingscores.com/1213/wc/sr/men/results/,57.53,31
10,2013/14,US Classic,https://skatingscores.com/1314/uscla/,"Salt Lake City, UT",2013-09-16,https://skatingscores.com/1314/uscla/sr/men/i/short/isr/alexei_bychenko/,62.19,5,https://skatingscores.com/1314/uscla/sr/men/i/long/isr/alexei_bychenko/,100.52,9,https://skatingscores.com/1314/uscla/sr/men/results/,162.71,9
11,2013/14,Nebelhorn,https://skatingscores.com/1314/nebtro/,Oberstdorf,2013-09-25,https://skatingscores.com/1314/nebtro/sr/men/i/short/isr/alexei_bychenko/,64.5,8,https://skatingscores.com/1314/nebtro/sr/men/i/long/isr/alexei_bychenko/,132.96,3,https://skatingscores.com/1314/nebtro/sr/men/results/,197.46,5
12,2013/14,Golden Spin,https://skatingscores.com/1314/gldspn/,Zagreb,2013-12-02,https://skatingscores.com/1314/gldspn/sr/men/i/short/isr/alexei_bychenko/,62.34,4,https://skatingscores.com/1314/gldspn/sr/men/i/long/isr/alexei_bychenko/,125.64,3,https://skatingscores.com/1314/gldspn/sr/men/results/,187.98,4
13,2013/14,Europeans,https://skatingscores.com/1314/ec/,Budapest,2014-01-13,https://skatingscores.com/1314/ec/sr/men/i/short/isr/alexei_bychenko/,68.68,13,https://skatingscores.com/1314/ec/sr/men/i/long/isr/alexei_bychenko/,135.08,9,https://skatingscores.com/1314/ec/sr/men/results/,203.76,10
14,2013/14,Olympics,https://skatingscores.com/1314/oly/,Sochi,2014-02-11,https://skatingscores.com/1314/oly/sr/men/i/short/isr/alexei_bychenko/,62.44,22,https://skatingscores.com/1314/oly/sr/men/i/long/isr/alexei_bychenko/,114.62,21,https://skatingscores.com/1314/oly/sr/men/results/,177.06,21
15,2013/14,Worlds,https://skatingscores.com/1314/wc/,"Saitama, Saitama",2014-03-24,https://skatingscores.com/1314/wc/sr/men/i/short/isr/alexei_bychenko/,69.73,12,https://skatingscores.com/1314/wc/sr/men/i/long/isr/alexei_bychenko/,141.51,13,https://skatingscores.com/1314/wc/sr/men/results/,211.24,15
16,2014/15,Nebelhorn,https://skatingscores.com/1415/nebtro/,Oberstdorf,2014-09-24,https://skatingscores.com/1415/nebtro/sr/men/i/short/isr/alexei_bychenko/,66.55,7,https://skatingscores.com/1415/nebtro/sr/men/i/long/isr/alexei_bychenko/,112.16,9,https://skatingscores.com/1415/nebtro/sr/men/results/,178.71,7
17,2014/15,Finlandia,https://skatingscores.com/1415/fintro/,Espoo,2014-10-09,https://skatingscores.com/1415/fintro/sr/men/i/short/isr/alexei_bychenko/,59.03,5,https://skatingscores.com/1415/fintro/sr/men/i/long/isr/alexei_bychenko/,117.63,5,https://skatingscores.com/1415/fintro/sr/men/results/,176.66,5
18,2014/15,GPUSA,https://skatingscores.com/1415/gpusa/,"Chicago, IL",2014-10-23,https://skatingscores.com/1415/gpusa/sr/men/i/short/isr/alexei_bychenko/,64.54,11,https://skatingscores.com/1415/gpusa/sr/men/i/long/isr/alexei_bychenko/,121.44,12,https://skatingscores.com/1415/gpusa/sr/men/results/,185.98,11
19,2014/15,GPCHN,https://skatingscores.com/1415/gpchn/,Shanghai,2014-11-06,https://skatingscores.com/1415/gpchn/sr/men/i/short/isr/alexei_bychenko/,76.96,5,https://skatingscores.com/1415/gpchn/sr/men/i/long/isr/alexei_bychenko/,127.19,8,https://skatingscores.com/1415/gpchn/sr/men/results/,204.15,7
20,2014/15,Tallin Tr.,https://skatingscores.com/1415/taltro/,Tallinn,2014-12-03,https://skatingscores.com/1415/taltro/sr/men/i/short/isr/alexei_bychenko/,65.72,1,https://skatingscores.com/1415/taltro/sr/men/i/long/isr/alexei_bychenko/,143.3,1,https://skatingscores.com/1415/taltro/sr/men/results/,209.02,1
21,2014/15,Europeans,https://skatingscores.com/1415/ec/,Stockholm,2015-01-26,https://skatingscores.com/1415/ec/sr/men/i/short/isr/alexei_bychenko/,73.63,7,https://skatingscores.com/1415/ec/sr/men/i/long/isr/alexei_bychenko/,146.59,4,https://skatingscores.com/1415/ec/sr/men/results/,220.22,4
22,2014/15,Worlds,https://skatingscores.com/1415/wc/,Shanghai,2015-03-26,https://skatingscores.com/1415/wc/sr/men/i/short/isr/alexei_bychenko/,74.98,12,https://skatingscores.com/1415/wc/sr/men/i/long/isr/alexei_bychenko/,134.28,16,https://skatingscores.com/1415/wc/sr/men/results/,209.26,17
23,2015/16,Philadelphia,https://skatingscores.com/1516/phiint/,"Philadelphia, PA",2015-07-16,https://skatingscores.com/1516/phiint/sr/men/i/short/isr/alexei_bychenko/,75.25,1,,0.0,,https://skatingscores.com/1516/phiint/sr/men/results/,75.25,WD
