,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2003/04,GPUSA,https://skatingscores.com/0304/gpusa/,"Reading, PA",2003-10-23,https://skatingscores.com/0304/gpusa/sr/women/i/short/ita/carolina_kostner/,49.22,7,https://skatingscores.com/0304/gpusa/sr/women/i/long/ita/carolina_kostner/,78.07,10,https://skatingscores.com/0304/gpusa/sr/women/results/,127.29,9
1,2003/04,GPRUS,https://skatingscores.com/0304/gprus/,Moscow,2003-11-20,https://skatingscores.com/0304/gprus/sr/women/i/short/ita/carolina_kostner/,45.38,6,https://skatingscores.com/0304/gprus/sr/women/i/long/ita/carolina_kostner/,98.15,1,https://skatingscores.com/0304/gprus/sr/women/results/,143.53,2
2,2004/05,GPCAN,https://skatingscores.com/0405/gpcan/,"Halifax, NS",2004-10-28,https://skatingscores.com/0405/gpcan/sr/women/i/short/ita/carolina_kostner/,50.86,4,https://skatingscores.com/0405/gpcan/sr/women/i/long/ita/carolina_kostner/,88.08,5,https://skatingscores.com/0405/gpcan/sr/women/results/,138.94,5
3,2004/05,GPFRA,https://skatingscores.com/0405/gpfra/,Paris,2004-11-18,https://skatingscores.com/0405/gpfra/sr/women/i/short/ita/carolina_kostner/,53.72,2,https://skatingscores.com/0405/gpfra/sr/women/i/long/ita/carolina_kostner/,89.78,3,https://skatingscores.com/0405/gpfra/sr/women/results/,143.5,2
4,2004/05,GPRUS,https://skatingscores.com/0405/gprus/,Moscow,2004-11-25,https://skatingscores.com/0405/gprus/sr/women/i/short/ita/carolina_kostner/,57.5,2,https://skatingscores.com/0405/gprus/sr/women/i/long/ita/carolina_kostner/,71.42,10,https://skatingscores.com/0405/gprus/sr/women/results/,128.92,7
5,2004/05,Europeans,https://skatingscores.com/0405/ec/,Torino,2005-01-25,https://skatingscores.com/0405/ec/sr/women/i/short/ita/carolina_kostner/,49.29,7,https://skatingscores.com/0405/ec/sr/women/i/long/ita/carolina_kostner/,93.42,7,https://skatingscores.com/0405/ec/sr/women/results/,142.71,7
6,2004/05,Worlds,https://skatingscores.com/0405/wc/,Moscow,2005-03-14,https://skatingscores.com/0405/wc/sr/women/i/short/ita/carolina_kostner/,60.82,4,https://skatingscores.com/0405/wc/sr/women/i/long/ita/carolina_kostner/,113.29,4,https://skatingscores.com/0405/wc/sr/women/results/,200.56,3
7,2005/06,GPCAN,https://skatingscores.com/0506/gpcan/,"St. Johns, NL",2005-10-27,https://skatingscores.com/0506/gpcan/sr/women/i/short/ita/carolina_kostner/,49.46,5,https://skatingscores.com/0506/gpcan/sr/women/i/long/ita/carolina_kostner/,83.18,8,https://skatingscores.com/0506/gpcan/sr/women/results/,132.64,7
8,2005/06,GPJPN,https://skatingscores.com/0506/gpjpn/,"Osaka, Osaka",2005-12-01,https://skatingscores.com/0506/gpjpn/sr/women/i/short/ita/carolina_kostner/,58.64,1,https://skatingscores.com/0506/gpjpn/sr/women/i/long/ita/carolina_kostner/,86.78,7,https://skatingscores.com/0506/gpjpn/sr/women/results/,145.42,6
9,2005/06,Europeans,https://skatingscores.com/0506/ec/,Lyon,2006-01-17,https://skatingscores.com/0506/ec/sr/women/i/short/ita/carolina_kostner/,60.04,5,https://skatingscores.com/0506/ec/sr/women/i/long/ita/carolina_kostner/,112.41,3,https://skatingscores.com/0506/ec/sr/women/results/,172.45,3
10,2005/06,Olympics,https://skatingscores.com/0506/oly/,Torino,2006-02-10,https://skatingscores.com/0506/oly/sr/women/i/short/ita/carolina_kostner/,53.77,11,https://skatingscores.com/0506/oly/sr/women/i/long/ita/carolina_kostner/,99.73,9,https://skatingscores.com/0506/oly/sr/women/results/,153.5,9
11,2005/06,Worlds,https://skatingscores.com/0506/wc/,"Calgary, AB",2006-03-19,https://skatingscores.com/0506/wc/sr/women/i/short/ita/carolina_kostner/,48.95,16,https://skatingscores.com/0506/wc/sr/women/i/long/ita/carolina_kostner/,97.86,11,https://skatingscores.com/0506/wc/sr/women/results/,172.45,12
12,2006/07,Europeans,https://skatingscores.com/0607/ec/,Warsaw,2007-01-22,https://skatingscores.com/0607/ec/sr/women/i/short/ita/carolina_kostner/,60.46,2,https://skatingscores.com/0607/ec/sr/women/i/long/ita/carolina_kostner/,114.33,1,https://skatingscores.com/0607/ec/sr/women/results/,174.79,1
13,2006/07,Worlds,https://skatingscores.com/0607/wc/,"Tokyo, Tokyo",2007-03-20,https://skatingscores.com/0607/wc/sr/women/i/short/ita/carolina_kostner/,67.15,3,https://skatingscores.com/0607/wc/sr/women/i/long/ita/carolina_kostner/,101.77,9,https://skatingscores.com/0607/wc/sr/women/results/,168.92,6
14,2007/08,Nebelhorn,https://skatingscores.com/0708/nebtro/,Oberstdorf,2007-09-27,https://skatingscores.com/0708/nebtro/sr/women/i/short/ita/carolina_kostner/,60.15,1,https://skatingscores.com/0708/nebtro/sr/women/i/long/ita/carolina_kostner/,113.38,1,https://skatingscores.com/0708/nebtro/sr/women/results/,173.53,1
15,2007/08,Finlandia,https://skatingscores.com/0708/fintro/,Vantaa,2007-10-07,https://skatingscores.com/0708/fintro/sr/women/i/short/ita/carolina_kostner/,58.54,1,https://skatingscores.com/0708/fintro/sr/women/i/long/ita/carolina_kostner/,97.33,4,https://skatingscores.com/0708/fintro/sr/women/results/,155.87,3
16,2007/08,GPCHN,https://skatingscores.com/0708/gpchn/,Harbin,2007-11-08,https://skatingscores.com/0708/gpchn/sr/women/i/short/ita/carolina_kostner/,60.82,1,https://skatingscores.com/0708/gpchn/sr/women/i/long/ita/carolina_kostner/,83.04,4,https://skatingscores.com/0708/gpchn/sr/women/results/,143.86,3
17,2007/08,GPJPN,https://skatingscores.com/0708/gpjpn/,"Sendai, Miyagi",2007-11-29,https://skatingscores.com/0708/gpjpn/sr/women/i/short/ita/carolina_kostner/,61.24,1,https://skatingscores.com/0708/gpjpn/sr/women/i/long/ita/carolina_kostner/,103.45,2,https://skatingscores.com/0708/gpjpn/sr/women/results/,164.69,1
18,2007/08,GPF,https://skatingscores.com/0708/gpf/,Turin,2007-12-13,https://skatingscores.com/0708/gpf/sr/women/i/short/ita/carolina_kostner/,59.86,3,https://skatingscores.com/0708/gpf/sr/women/i/long/ita/carolina_kostner/,119.07,3,https://skatingscores.com/0708/gpf/sr/women/results/,178.93,3
19,2007/08,Europeans,https://skatingscores.com/0708/ec/,Zagreb,2008-01-21,https://skatingscores.com/0708/ec/sr/women/i/short/ita/carolina_kostner/,59.31,1,https://skatingscores.com/0708/ec/sr/women/i/long/ita/carolina_kostner/,111.97,2,https://skatingscores.com/0708/ec/sr/women/results/,171.28,1
20,2007/08,Worlds,https://skatingscores.com/0708/wc/,Göteborg,2008-03-16,https://skatingscores.com/0708/wc/sr/women/i/short/ita/carolina_kostner/,64.28,1,https://skatingscores.com/0708/wc/sr/women/i/long/ita/carolina_kostner/,120.4,3,https://skatingscores.com/0708/wc/sr/women/results/,184.68,2
21,2008/09,Schäfer Mem.,https://skatingscores.com/0809/krlsfr/,Vienna,2008-10-14,https://skatingscores.com/0809/krlsfr/sr/women/i/short/ita/carolina_kostner/,50.59,3,https://skatingscores.com/0809/krlsfr/sr/women/i/long/ita/carolina_kostner/,93.07,1,https://skatingscores.com/0809/krlsfr/sr/women/results/,143.66,1
22,2008/09,GPCAN,https://skatingscores.com/0809/gpcan/,"Ottawa, ON",2008-10-31,https://skatingscores.com/0809/gpcan/sr/women/i/short/ita/carolina_kostner/,48.56,7,https://skatingscores.com/0809/gpcan/sr/women/i/long/ita/carolina_kostner/,104.2,4,https://skatingscores.com/0809/gpcan/sr/women/results/,152.76,4
23,2008/09,GPRUS,https://skatingscores.com/0809/gprus/,Moscow,2008-11-20,https://skatingscores.com/0809/gprus/sr/women/i/short/ita/carolina_kostner/,57.02,2,https://skatingscores.com/0809/gprus/sr/women/i/long/ita/carolina_kostner/,113.7,1,https://skatingscores.com/0809/gprus/sr/women/results/,170.72,1
24,2008/09,GPF,https://skatingscores.com/0809/gpf/,Goyang,2008-12-10,https://skatingscores.com/0809/gpf/sr/women/i/short/ita/carolina_kostner/,55.88,4,https://skatingscores.com/0809/gpf/sr/women/i/long/ita/carolina_kostner/,112.13,4,https://skatingscores.com/0809/gpf/sr/women/results/,168.01,3
25,2008/09,Europeans,https://skatingscores.com/0809/ec/,Helsinki,2009-01-20,https://skatingscores.com/0809/ec/sr/women/i/short/ita/carolina_kostner/,51.36,3,https://skatingscores.com/0809/ec/sr/women/i/long/ita/carolina_kostner/,114.06,1,https://skatingscores.com/0809/ec/sr/women/results/,165.42,2
26,2008/09,Worlds,https://skatingscores.com/0809/wc/,"Los Angeles, CA",2009-03-22,https://skatingscores.com/0809/wc/sr/women/i/short/ita/carolina_kostner/,63.18,5,https://skatingscores.com/0809/wc/sr/women/i/long/ita/carolina_kostner/,90.38,15,https://skatingscores.com/0809/wc/sr/women/results/,153.56,12
27,2009/10,GPFRA,https://skatingscores.com/0910/gpfra/,Paris,2009-10-15,https://skatingscores.com/0910/gpfra/sr/women/i/short/ita/carolina_kostner/,51.26,7,https://skatingscores.com/0910/gpfra/sr/women/i/long/ita/carolina_kostner/,96.37,4,https://skatingscores.com/0910/gpfra/sr/women/results/,147.63,6
28,2009/10,GPCHN,https://skatingscores.com/0910/gpchn/,Beijing,2009-10-29,https://skatingscores.com/0910/gpchn/sr/women/i/short/ita/carolina_kostner/,61.12,3,https://skatingscores.com/0910/gpchn/sr/women/i/long/ita/carolina_kostner/,93.06,7,https://skatingscores.com/0910/gpchn/sr/women/results/,154.18,6
29,2009/10,Merano Cup,https://skatingscores.com/0910/mercup/,Merano,2009-11-07,https://skatingscores.com/0910/mercup/sr/women/i/short/ita/carolina_kostner/,58.17,1,https://skatingscores.com/0910/mercup/sr/women/i/long/ita/carolina_kostner/,109.23,1,https://skatingscores.com/0910/mercup/sr/women/results/,167.4,1
30,2009/10,ITA Nationals,https://skatingscores.com/0910/natita/,Brescia,2009-12-19,https://skatingscores.com/0910/natita/sr/women/i/short/ita/carolina_kostner/,53.26,2,https://skatingscores.com/0910/natita/sr/women/i/long/ita/carolina_kostner/,102.42,2,https://skatingscores.com/0910/natita/sr/women/results/,155.68,2
31,2009/10,Europeans,https://skatingscores.com/0910/ec/,Tallinn,2010-01-18,https://skatingscores.com/0910/ec/sr/women/i/short/ita/carolina_kostner/,65.8,1,https://skatingscores.com/0910/ec/sr/women/i/long/ita/carolina_kostner/,107.66,1,https://skatingscores.com/0910/ec/sr/women/results/,173.46,1
32,2009/10,Olympics,https://skatingscores.com/0910/oly/,"Vancouver, BC",2010-02-12,https://skatingscores.com/0910/oly/sr/women/i/short/ita/carolina_kostner/,63.02,7,https://skatingscores.com/0910/oly/sr/women/i/long/ita/carolina_kostner/,88.88,19,https://skatingscores.com/0910/oly/sr/women/results/,151.9,16
33,2009/10,Worlds,https://skatingscores.com/0910/wc/,Torino,2010-03-22,https://skatingscores.com/0910/wc/sr/women/i/short/ita/carolina_kostner/,62.2,4,https://skatingscores.com/0910/wc/sr/women/i/long/ita/carolina_kostner/,115.11,5,https://skatingscores.com/0910/wc/sr/women/results/,177.31,6
34,2010/11,GPJPN,https://skatingscores.com/1011/gpjpn/,"Nagoya, Aichi",2010-10-21,https://skatingscores.com/1011/gpjpn/sr/women/i/short/ita/carolina_kostner/,57.27,1,https://skatingscores.com/1011/gpjpn/sr/women/i/long/ita/carolina_kostner/,107.34,2,https://skatingscores.com/1011/gpjpn/sr/women/results/,164.61,1
35,2010/11,GPUSA,https://skatingscores.com/1011/gpusa/,"Portland, OR",2010-11-11,https://skatingscores.com/1011/gpusa/sr/women/i/short/ita/carolina_kostner/,60.28,1,https://skatingscores.com/1011/gpusa/sr/women/i/long/ita/carolina_kostner/,94.59,6,https://skatingscores.com/1011/gpusa/sr/women/results/,154.87,3
36,2010/11,GPF,https://skatingscores.com/1011/gpf/,Beijing,2010-12-08,https://skatingscores.com/1011/gpf/sr/women/i/short/ita/carolina_kostner/,62.13,2,https://skatingscores.com/1011/gpf/sr/women/i/long/ita/carolina_kostner/,116.47,4,https://skatingscores.com/1011/gpf/sr/women/results/,178.6,2
37,2010/11,ITA Nationals,https://skatingscores.com/1011/natita/,Milano,2010-12-12,https://skatingscores.com/1011/natita/sr/women/i/short/ita/carolina_kostner/,65.52,1,https://skatingscores.com/1011/natita/sr/women/i/long/ita/carolina_kostner/,124.22,1,https://skatingscores.com/1011/natita/sr/women/results/,189.74,1
