,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,GPJPN,https://skatingscores.com/0405/gpjpn/,"Nagoya, Aichi",2004-11-04,https://skatingscores.com/0405/gpjpn/sr/women/i/short/ita/valentina_marchei/,30.54,11,https://skatingscores.com/0405/gpjpn/sr/women/i/long/ita/valentina_marchei/,64.64,11,https://skatingscores.com/0405/gpjpn/sr/women/results/,95.18,11
1,2004/05,GPFRA,https://skatingscores.com/0405/gpfra/,Paris,2004-11-18,https://skatingscores.com/0405/gpfra/sr/women/i/short/ita/valentina_marchei/,34.18,10,https://skatingscores.com/0405/gpfra/sr/women/i/long/ita/valentina_marchei/,72.06,8,https://skatingscores.com/0405/gpfra/sr/women/results/,106.24,10
2,2004/05,Europeans,https://skatingscores.com/0405/ec/,Torino,2005-01-25,https://skatingscores.com/0405/ec/sr/women/i/short/ita/valentina_marchei/,31.91,31,,0.0,,https://skatingscores.com/0405/ec/sr/women/results/,31.91,31
3,2004/05,Jr Worlds,https://skatingscores.com/0405/wjc/,"Kitchener, ON",2005-02-28,https://skatingscores.com/0405/wjc/jr/women/i/short/ita/valentina_marchei/,40.6,15J,https://skatingscores.com/0405/wjc/jr/women/i/long/ita/valentina_marchei/,64.14,18J,https://skatingscores.com/0405/wjc/jr/women/results/,122.48,16J
4,2005/06,Golden Spin,https://skatingscores.com/0506/gldspn/,Zagreb,2005-11-10,https://skatingscores.com/0506/gldspn/sr/women/i/short/ita/valentina_marchei/,34.16,9,https://skatingscores.com/0506/gldspn/sr/women/i/long/ita/valentina_marchei/,77.6,3,https://skatingscores.com/0506/gldspn/sr/women/results/,111.76,6
5,2005/06,Europeans,https://skatingscores.com/0506/ec/,Lyon,2006-01-17,https://skatingscores.com/0506/ec/sr/women/i/short/ita/valentina_marchei/,40.31,19,https://skatingscores.com/0506/ec/sr/women/i/long/ita/valentina_marchei/,71.35,18,https://skatingscores.com/0506/ec/sr/women/results/,111.66,19
6,2005/06,Worlds,https://skatingscores.com/0506/wc/,"Calgary, AB",2006-03-19,https://skatingscores.com/0506/wc/sr/women/i/short/ita/valentina_marchei/,45.06,20,https://skatingscores.com/0506/wc/sr/women/i/long/ita/valentina_marchei/,77.33,23,https://skatingscores.com/0506/wc/sr/women/results/,141.51,23
7,2006/07,GPUSA,https://skatingscores.com/0607/gpusa/,"Hartford, CT",2006-10-27,https://skatingscores.com/0607/gpusa/sr/women/i/short/ita/valentina_marchei/,42.92,9,https://skatingscores.com/0607/gpusa/sr/women/i/long/ita/valentina_marchei/,73.89,9,https://skatingscores.com/0607/gpusa/sr/women/results/,116.81,9
8,2006/07,GPFRA,https://skatingscores.com/0607/gpfra/,Paris,2006-11-16,https://skatingscores.com/0607/gpfra/sr/women/i/short/ita/valentina_marchei/,46.02,7,https://skatingscores.com/0607/gpfra/sr/women/i/long/ita/valentina_marchei/,83.71,6,https://skatingscores.com/0607/gpfra/sr/women/results/,129.73,6
9,2006/07,Universiade,https://skatingscores.com/0607/univer/,Torino,2007-01-17,https://skatingscores.com/0607/univer/sr/women/i/short/ita/valentina_marchei/,50.08,2,https://skatingscores.com/0607/univer/sr/women/i/long/ita/valentina_marchei/,91.15,3,https://skatingscores.com/0607/univer/sr/women/results/,141.23,2
