,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2005/06,Golden Spin,https://skatingscores.com/0506/gldspn/,Zagreb,2005-11-10,https://skatingscores.com/0506/gldspn/sr/women/i/short/jpn/akiko_suzuki/,41.69,3,https://skatingscores.com/0506/gldspn/sr/women/i/long/jpn/akiko_suzuki/,69.23,7,https://skatingscores.com/0506/gldspn/sr/women/results/,110.92,7
1,2006/07,JPN Nationals,https://skatingscores.com/0607/natjpn/,"Nagoya, Aichi",2006-12-27,https://skatingscores.com/0607/natjpn/sr/women/i/short/jpn/akiko_suzuki/,48.72,11,https://skatingscores.com/0607/natjpn/sr/women/i/long/jpn/akiko_suzuki/,96.5,9,https://skatingscores.com/0607/natjpn/sr/women/results/,145.22,10
2,2006/07,Universiade,https://skatingscores.com/0607/univer/,Torino,2007-01-17,https://skatingscores.com/0607/univer/sr/women/i/short/jpn/akiko_suzuki/,50.4,1,https://skatingscores.com/0607/univer/sr/women/i/long/jpn/akiko_suzuki/,97.84,1,https://skatingscores.com/0607/univer/sr/women/results/,148.24,1
3,2007/08,Golden Spin,https://skatingscores.com/0708/gldspn/,Zagreb,2007-11-08,https://skatingscores.com/0708/gldspn/sr/women/i/short/jpn/akiko_suzuki/,55.62,1,https://skatingscores.com/0708/gldspn/sr/women/i/long/jpn/akiko_suzuki/,101.28,1,https://skatingscores.com/0708/gldspn/sr/women/results/,156.9,1
4,2007/08,JPN Nationals,https://skatingscores.com/0708/natjpn/,"Osaka, Osaka",2007-12-26,https://skatingscores.com/0708/natjpn/sr/women/i/short/jpn/akiko_suzuki/,58.66,5,https://skatingscores.com/0708/natjpn/sr/women/i/long/jpn/akiko_suzuki/,101.27,5,https://skatingscores.com/0708/natjpn/sr/women/results/,159.93,5
5,2007/08,Challenge Cup,https://skatingscores.com/0708/chacup/,The Hague,2008-03-06,https://skatingscores.com/0708/chacup/sr/women/i/short/jpn/akiko_suzuki/,53.7,1,https://skatingscores.com/0708/chacup/sr/women/i/long/jpn/akiko_suzuki/,98.32,1,https://skatingscores.com/0708/chacup/sr/women/results/,152.02,1
6,2008/09,Nebelhorn,https://skatingscores.com/0809/nebtro/,Oberstdorf,2008-09-25,https://skatingscores.com/0809/nebtro/sr/women/i/short/jpn/akiko_suzuki/,55.02,3,https://skatingscores.com/0809/nebtro/sr/women/i/long/jpn/akiko_suzuki/,91.91,3,https://skatingscores.com/0809/nebtro/sr/women/results/,146.93,3
7,2008/09,Finlandia,https://skatingscores.com/0809/fintro/,Vantaa,2008-10-09,https://skatingscores.com/0809/fintro/sr/women/i/short/jpn/akiko_suzuki/,58.4,1,https://skatingscores.com/0809/fintro/sr/women/i/long/jpn/akiko_suzuki/,112.28,1,https://skatingscores.com/0809/fintro/sr/women/results/,170.68,1
8,2008/09,GPJPN,https://skatingscores.com/0809/gpjpn/,"Tokyo, Tokyo",2008-11-27,https://skatingscores.com/0809/gpjpn/sr/women/i/short/jpn/akiko_suzuki/,55.56,4,https://skatingscores.com/0809/gpjpn/sr/women/i/long/jpn/akiko_suzuki/,112.08,2,https://skatingscores.com/0809/gpjpn/sr/women/results/,167.64,2
9,2008/09,JPN Nationals,https://skatingscores.com/0809/natjpn/,"Nagano, Nagano",2008-12-25,https://skatingscores.com/0809/natjpn/sr/women/i/short/jpn/akiko_suzuki/,57.02,6,https://skatingscores.com/0809/natjpn/sr/women/i/long/jpn/akiko_suzuki/,116.96,3,https://skatingscores.com/0809/natjpn/sr/women/results/,173.98,4
