,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2003/04,GPCAN,https://skatingscores.com/0304/gpcan/,"Mississauga, ON",2003-10-30,https://skatingscores.com/0304/gpcan/sr/men/i/short/jpn/daisuke_takahashi/,61.81,5,https://skatingscores.com/0304/gpcan/sr/men/i/long/jpn/daisuke_takahashi/,116.99,7,https://skatingscores.com/0304/gpcan/sr/men/results/,178.8,7
1,2003/04,GPFRA,https://skatingscores.com/0304/gpfra/,Paris,2003-11-13,https://skatingscores.com/0304/gpfra/sr/men/i/short/jpn/daisuke_takahashi/,71.31,2,https://skatingscores.com/0304/gpfra/sr/men/i/long/jpn/daisuke_takahashi/,123.31,5,https://skatingscores.com/0304/gpfra/sr/men/results/,194.62,5
2,2004/05,GPFRA,https://skatingscores.com/0405/gpfra/,Paris,2004-11-18,https://skatingscores.com/0405/gpfra/sr/men/i/short/jpn/daisuke_takahashi/,64.16,3,https://skatingscores.com/0405/gpfra/sr/men/i/long/jpn/daisuke_takahashi/,71.54,11,https://skatingscores.com/0405/gpfra/sr/men/results/,135.7,11
3,2004/05,4CC,https://skatingscores.com/0405/4cc/,Gangneung,2005-02-14,https://skatingscores.com/0405/4cc/sr/men/i/short/jpn/daisuke_takahashi/,68.46,3,https://skatingscores.com/0405/4cc/sr/men/i/long/jpn/daisuke_takahashi/,123.83,2,https://skatingscores.com/0405/4cc/sr/men/results/,192.29,3
4,2004/05,Worlds,https://skatingscores.com/0405/wc/,Moscow,2005-03-14,https://skatingscores.com/0405/wc/sr/men/i/short/jpn/daisuke_takahashi/,72.18,7,https://skatingscores.com/0405/wc/sr/men/i/long/jpn/daisuke_takahashi/,108.04,18,https://skatingscores.com/0405/wc/sr/men/results/,210.35,15
5,2005/06,GPUSA,https://skatingscores.com/0506/gpusa/,"Atlantic City, NY",2005-10-20,https://skatingscores.com/0506/gpusa/sr/men/i/short/jpn/daisuke_takahashi/,69.1,1,https://skatingscores.com/0506/gpusa/sr/men/i/long/jpn/daisuke_takahashi/,149.44,1,https://skatingscores.com/0506/gpusa/sr/men/results/,218.54,1
6,2005/06,GPJPN,https://skatingscores.com/0506/gpjpn/,"Osaka, Osaka",2005-12-01,https://skatingscores.com/0506/gpjpn/sr/men/i/short/jpn/daisuke_takahashi/,77.7,1,https://skatingscores.com/0506/gpjpn/sr/men/i/long/jpn/daisuke_takahashi/,127.6,3,https://skatingscores.com/0506/gpjpn/sr/men/results/,205.3,3
7,2005/06,GPF,https://skatingscores.com/0506/gpf/,"Tokyo, Tokyo",2005-12-16,https://skatingscores.com/0506/gpf/sr/men/i/short/jpn/daisuke_takahashi/,74.6,3,https://skatingscores.com/0506/gpf/sr/men/i/long/jpn/daisuke_takahashi/,137.92,3,https://skatingscores.com/0506/gpf/sr/men/results/,212.52,3
8,2005/06,Olympics,https://skatingscores.com/0506/oly/,Torino,2006-02-10,https://skatingscores.com/0506/oly/sr/men/i/short/jpn/daisuke_takahashi/,73.77,5,https://skatingscores.com/0506/oly/sr/men/i/long/jpn/daisuke_takahashi/,131.12,9,https://skatingscores.com/0506/oly/sr/men/results/,204.89,8
9,2005/06,Japan Open,https://skatingscores.com/0506/jpnopn/,"Saitama, Saitama",2006-04-14,,0.0,,https://skatingscores.com/0506/jpnopn/sr/men/i/long/jpn/daisuke_takahashi/,141.1,2P,,0.0,2P
10,2006/07,GPCAN,https://skatingscores.com/0607/gpcan/,"Victoria, BC",2006-11-03,https://skatingscores.com/0607/gpcan/sr/men/i/short/jpn/daisuke_takahashi/,78.8,1,https://skatingscores.com/0607/gpcan/sr/men/i/long/jpn/daisuke_takahashi/,129.41,2,https://skatingscores.com/0607/gpcan/sr/men/results/,208.21,2
