,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2008/09,JGP ESP,https://skatingscores.com/0809/jgpesp/,Madrid,2008-09-24,https://skatingscores.com/0809/jgpesp/jr/women/i/short/jpn/kanako_murakami/,46.58,2J,https://skatingscores.com/0809/jgpesp/jr/women/i/long/jpn/kanako_murakami/,80.29,3J,https://skatingscores.com/0809/jgpesp/jr/women/results/,126.87,3J
1,2008/09,JGP GBR,https://skatingscores.com/0809/jgpgbr/,Sheffield,2008-10-15,https://skatingscores.com/0809/jgpgbr/jr/women/i/short/jpn/kanako_murakami/,55.52,1J,https://skatingscores.com/0809/jgpgbr/jr/women/i/long/jpn/kanako_murakami/,98.32,2J,https://skatingscores.com/0809/jgpgbr/jr/women/results/,153.84,1J
2,2008/09,JPN Nationals,https://skatingscores.com/0809/natjpn/,"Nagoya, Aichi",2008-11-23,https://skatingscores.com/0809/natjpn/jr/women/i/short/jpn/kanako_murakami/,48.94,7J,https://skatingscores.com/0809/natjpn/jr/women/i/long/jpn/kanako_murakami/,94.55,1J,https://skatingscores.com/0809/natjpn/jr/women/results/,143.49,3J
3,2008/09,JGP Final,https://skatingscores.com/0809/jgpf/,Goyang,2008-12-10,https://skatingscores.com/0809/jgpf/jr/women/i/short/jpn/kanako_murakami/,51.04,2J,https://skatingscores.com/0809/jgpf/jr/women/i/long/jpn/kanako_murakami/,90.59,3J,https://skatingscores.com/0809/jgpf/jr/women/results/,141.63,4J
4,2008/09,JPN Nationals,https://skatingscores.com/0809/natjpn/,"Nagano, Nagano",2008-12-25,https://skatingscores.com/0809/natjpn/sr/women/i/short/jpn/kanako_murakami/,55.74,7,https://skatingscores.com/0809/natjpn/sr/women/i/long/jpn/kanako_murakami/,92.09,8,https://skatingscores.com/0809/natjpn/sr/women/results/,147.83,7
5,2008/09,Challenge Cup,https://skatingscores.com/0809/chacup/,The Hague,2009-02-04,https://skatingscores.com/0809/chacup/jr/women/i/short/jpn/kanako_murakami/,48.16,1J,https://skatingscores.com/0809/chacup/jr/women/i/long/jpn/kanako_murakami/,87.98,1J,https://skatingscores.com/0809/chacup/jr/women/results/,136.14,1J
6,2009/10,JGP POL,https://skatingscores.com/0910/jgppol/,Torun,2009-09-09,https://skatingscores.com/0910/jgppol/jr/women/i/short/jpn/kanako_murakami/,56.16,1J,https://skatingscores.com/0910/jgppol/jr/women/i/long/jpn/kanako_murakami/,104.69,1J,https://skatingscores.com/0910/jgppol/jr/women/results/,160.85,1J
7,2009/10,JGP CRO,https://skatingscores.com/0910/jgpcro/,Zagreb,2009-10-07,https://skatingscores.com/0910/jgpcro/jr/women/i/short/jpn/kanako_murakami/,59.74,1J,https://skatingscores.com/0910/jgpcro/jr/women/i/long/jpn/kanako_murakami/,95.18,1J,https://skatingscores.com/0910/jgpcro/jr/women/results/,154.92,1J
8,2009/10,Ice Challenge,https://skatingscores.com/0910/icecha/,Graz,2009-10-28,https://skatingscores.com/0910/icecha/sr/women/i/short/jpn/kanako_murakami/,59.4,1,https://skatingscores.com/0910/icecha/sr/women/i/long/jpn/kanako_murakami/,111.01,1,https://skatingscores.com/0910/icecha/sr/women/results/,170.41,1
9,2009/10,JPN Nationals,https://skatingscores.com/0910/natjpn/,"Yokohama, Kanagawa",2009-11-21,https://skatingscores.com/0910/natjpn/jr/women/i/short/jpn/kanako_murakami/,58.96,1J,https://skatingscores.com/0910/natjpn/jr/women/i/long/jpn/kanako_murakami/,106.89,1J,https://skatingscores.com/0910/natjpn/jr/women/results/,165.85,1J
10,2009/10,JGP Final,https://skatingscores.com/0910/jgpf/,"Tokyo, Tokyo",2009-12-03,https://skatingscores.com/0910/jgpf/jr/women/i/short/jpn/kanako_murakami/,59.52,2J,https://skatingscores.com/0910/jgpf/jr/women/i/long/jpn/kanako_murakami/,101.01,1J,https://skatingscores.com/0910/jgpf/jr/women/results/,160.53,1J
11,2009/10,JPN Nationals,https://skatingscores.com/0910/natjpn/,"Osaka, Osaka",2009-12-25,https://skatingscores.com/0910/natjpn/sr/women/i/short/jpn/kanako_murakami/,60.28,5,https://skatingscores.com/0910/natjpn/sr/women/i/long/jpn/kanako_murakami/,116.33,5,https://skatingscores.com/0910/natjpn/sr/women/results/,176.61,5
12,2009/10,Jr Worlds,https://skatingscores.com/0910/wjc/,The Hague,2010-03-09,https://skatingscores.com/0910/wjc/jr/women/i/short/jpn/kanako_murakami/,59.0,2J,https://skatingscores.com/0910/wjc/jr/women/i/long/jpn/kanako_murakami/,106.47,1J,https://skatingscores.com/0910/wjc/jr/women/results/,165.47,1J
13,2010/11,GPJPN,https://skatingscores.com/1011/gpjpn/,"Nagoya, Aichi",2010-10-21,https://skatingscores.com/1011/gpjpn/sr/women/i/short/jpn/kanako_murakami/,56.1,2,https://skatingscores.com/1011/gpjpn/sr/women/i/long/jpn/kanako_murakami/,94.06,5,https://skatingscores.com/1011/gpjpn/sr/women/results/,150.16,3
14,2010/11,GPUSA,https://skatingscores.com/1011/gpusa/,"Portland, OR",2010-11-11,https://skatingscores.com/1011/gpusa/sr/women/i/short/jpn/kanako_murakami/,54.75,2,https://skatingscores.com/1011/gpusa/sr/women/i/long/jpn/kanako_murakami/,110.18,2,https://skatingscores.com/1011/gpusa/sr/women/results/,164.93,1
15,2010/11,GPF,https://skatingscores.com/1011/gpf/,Beijing,2010-12-08,https://skatingscores.com/1011/gpf/sr/women/i/short/jpn/kanako_murakami/,61.47,3,https://skatingscores.com/1011/gpf/sr/women/i/long/jpn/kanako_murakami/,117.12,2,https://skatingscores.com/1011/gpf/sr/women/results/,178.59,3
16,2010/11,JPN Nationals,https://skatingscores.com/1011/natjpn/,"Nagano, Nagano",2010-12-24,https://skatingscores.com/1011/natjpn/sr/women/i/short/jpn/kanako_murakami/,61.5,3,https://skatingscores.com/1011/natjpn/sr/women/i/long/jpn/kanako_murakami/,126.02,3,https://skatingscores.com/1011/natjpn/sr/women/results/,187.52,3
17,2010/11,Asian Games,https://skatingscores.com/1011/asngam/,Astana,2011-02-03,https://skatingscores.com/1011/asngam/sr/women/i/short/jpn/kanako_murakami/,54.48,1,https://skatingscores.com/1011/asngam/sr/women/i/long/jpn/kanako_murakami/,122.56,1,https://skatingscores.com/1011/asngam/sr/women/results/,177.04,1
18,2010/11,Worlds,https://skatingscores.com/1011/wc/,Moscow,2011-04-25,https://skatingscores.com/1011/wc/sr/women/i/short/jpn/kanako_murakami/,54.86,10,https://skatingscores.com/1011/wc/sr/women/i/long/jpn/kanako_murakami/,112.24,7,https://skatingscores.com/1011/wc/sr/women/results/,167.1,8
19,2011/12,Chubu Reg.,https://skatingscores.com/1112/chbreg/,"Nagakute, Aichi",2011-09-30,https://skatingscores.com/1112/chbreg/sr/women/i/short/jpn/kanako_murakami/,57.92,1,https://skatingscores.com/1112/chbreg/sr/women/i/long/jpn/kanako_murakami/,107.54,1,https://skatingscores.com/1112/chbreg/sr/women/results/,165.46,1
20,2011/12,GPCHN,https://skatingscores.com/1112/gpchn/,Shanghai,2011-11-03,https://skatingscores.com/1112/gpchn/sr/women/i/short/jpn/kanako_murakami/,53.09,4,https://skatingscores.com/1112/gpchn/sr/women/i/long/jpn/kanako_murakami/,97.11,7,https://skatingscores.com/1112/gpchn/sr/women/results/,150.2,6
21,2011/12,GPFRA,https://skatingscores.com/1112/gpfra/,Paris,2011-11-17,https://skatingscores.com/1112/gpfra/sr/women/i/short/jpn/kanako_murakami/,55.77,4,https://skatingscores.com/1112/gpfra/sr/women/i/long/jpn/kanako_murakami/,105.54,4,https://skatingscores.com/1112/gpfra/sr/women/results/,161.31,4
22,2011/12,JPN Nationals,https://skatingscores.com/1112/natjpn/,"Osaka, Osaka",2011-12-22,https://skatingscores.com/1112/natjpn/sr/women/i/short/jpn/kanako_murakami/,65.56,1,https://skatingscores.com/1112/natjpn/sr/women/i/long/jpn/kanako_murakami/,107.13,6,https://skatingscores.com/1112/natjpn/sr/women/results/,172.69,3
23,2011/12,4CC,https://skatingscores.com/1112/4cc/,"Colorado Springs, CO",2012-02-07,https://skatingscores.com/1112/4cc/sr/women/i/short/jpn/kanako_murakami/,63.45,3,https://skatingscores.com/1112/4cc/sr/women/i/long/jpn/kanako_murakami/,105.87,5,https://skatingscores.com/1112/4cc/sr/women/results/,169.32,4
24,2011/12,Worlds,https://skatingscores.com/1112/wc/,Nice,2012-03-26,https://skatingscores.com/1112/wc/sr/women/i/short/jpn/kanako_murakami/,62.67,2,https://skatingscores.com/1112/wc/sr/women/i/long/jpn/kanako_murakami/,112.74,5,https://skatingscores.com/1112/wc/sr/women/results/,175.41,5
25,2011/12,WTT,https://skatingscores.com/1112/wtt/,"Tokyo, Tokyo",2012-04-18,https://skatingscores.com/1112/wtt/sr/women/i/short/jpn/kanako_murakami/,63.78,3P,https://skatingscores.com/1112/wtt/sr/women/i/long/jpn/kanako_murakami/,95.84,8P,https://skatingscores.com/1112/wtt/sr/women/results/,159.62,6P
