,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,JGP USA,https://skatingscores.com/0405/jgpusa/,"Long Beach, CA",2004-09-09,https://skatingscores.com/0405/jgpusa/jr/women/i/short/jpn/mao_asada/,50.14,1J,https://skatingscores.com/0405/jgpusa/jr/women/i/long/jpn/mao_asada/,87.88,1J,https://skatingscores.com/0405/jgpusa/jr/women/results/,138.02,1J
1,2004/05,JGP UKR,https://skatingscores.com/0405/jgpukr/,Kiev,2004-09-29,https://skatingscores.com/0405/jgpukr/jr/women/i/short/jpn/mao_asada/,56.24,1J,https://skatingscores.com/0405/jgpukr/jr/women/i/long/jpn/mao_asada/,86.75,1J,https://skatingscores.com/0405/jgpukr/jr/women/results/,142.99,1J
2,2004/05,JGP Final,https://skatingscores.com/0405/jgpf/,Helsinki,2004-12-02,https://skatingscores.com/0405/jgpf/jr/women/i/short/jpn/mao_asada/,57.91,1J,https://skatingscores.com/0405/jgpf/jr/women/i/long/jpn/mao_asada/,114.92,1J,https://skatingscores.com/0405/jgpf/jr/women/results/,172.83,1J
3,2004/05,Jr Worlds,https://skatingscores.com/0405/wjc/,"Kitchener, ON",2005-02-28,https://skatingscores.com/0405/wjc/jr/women/i/short/jpn/mao_asada/,60.11,1J,https://skatingscores.com/0405/wjc/jr/women/i/long/jpn/mao_asada/,119.13,1J,https://skatingscores.com/0405/wjc/jr/women/results/,207.32,1J
4,2005/06,GPCHN,https://skatingscores.com/0506/gpchn/,Beijing,2005-11-02,https://skatingscores.com/0506/gpchn/sr/women/i/short/jpn/mao_asada/,62.92,2,https://skatingscores.com/0506/gpchn/sr/women/i/long/jpn/mao_asada/,113.68,3,https://skatingscores.com/0506/gpchn/sr/women/results/,176.6,2
5,2005/06,GPFRA,https://skatingscores.com/0506/gpfra/,Paris,2005-11-17,https://skatingscores.com/0506/gpfra/sr/women/i/short/jpn/mao_asada/,63.96,1,https://skatingscores.com/0506/gpfra/sr/women/i/long/jpn/mao_asada/,118.46,1,https://skatingscores.com/0506/gpfra/sr/women/results/,182.42,1
6,2005/06,GPF,https://skatingscores.com/0506/gpf/,"Tokyo, Tokyo",2005-12-16,https://skatingscores.com/0506/gpf/sr/women/i/short/jpn/mao_asada/,64.38,1,https://skatingscores.com/0506/gpf/sr/women/i/long/jpn/mao_asada/,125.24,1,https://skatingscores.com/0506/gpf/sr/women/results/,189.62,1
7,2005/06,Jr Worlds,https://skatingscores.com/0506/wjc/,Ljubljana,2006-03-06,https://skatingscores.com/0506/wjc/jr/women/i/short/jpn/mao_asada/,56.1,2J,https://skatingscores.com/0506/wjc/jr/women/i/long/jpn/mao_asada/,97.25,2J,https://skatingscores.com/0506/wjc/jr/women/results/,181.75,2J
8,2005/06,Japan Open,https://skatingscores.com/0506/jpnopn/,"Saitama, Saitama",2006-04-14,,0.0,,https://skatingscores.com/0506/jpnopn/sr/women/i/long/jpn/mao_asada/,125.72,1P,,0.0,1P
9,2006/07,GPUSA,https://skatingscores.com/0607/gpusa/,"Hartford, CT",2006-10-27,https://skatingscores.com/0607/gpusa/sr/women/i/short/jpn/mao_asada/,68.84,1,https://skatingscores.com/0607/gpusa/sr/women/i/long/jpn/mao_asada/,102.39,4,https://skatingscores.com/0607/gpusa/sr/women/results/,171.23,3
