,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,JGP FRA,https://skatingscores.com/0405/jgpfra/,Courchevel,2004-08-26,https://skatingscores.com/0405/jgpfra/jr/men/i/short/jpn/tatsuki_machida/,44.07,11J,https://skatingscores.com/0405/jgpfra/jr/men/i/long/jpn/tatsuki_machida/,86.87,7J,https://skatingscores.com/0405/jgpfra/jr/men/results/,130.94,7J
1,2005/06,JGP EST,https://skatingscores.com/0506/jgpest/,Tallinn,2005-09-14,https://skatingscores.com/0506/jgpest/jr/men/i/short/jpn/tatsuki_machida/,39.01,11J,https://skatingscores.com/0506/jgpest/jr/men/i/long/jpn/tatsuki_machida/,81.46,10J,https://skatingscores.com/0506/jgpest/jr/men/results/,120.47,10J
2,2005/06,JGP POL,https://skatingscores.com/0506/jgppol/,Gdańsk,2005-10-12,https://skatingscores.com/0506/jgppol/jr/men/i/short/jpn/tatsuki_machida/,46.85,8J,https://skatingscores.com/0506/jgppol/jr/men/i/long/jpn/tatsuki_machida/,89.9,8J,https://skatingscores.com/0506/jgppol/jr/men/results/,136.75,7J
3,2006/07,JGP MEX,https://skatingscores.com/0607/jgpmex/,Mexico City,2006-09-12,https://skatingscores.com/0607/jgpmex/jr/men/i/short/jpn/tatsuki_machida/,43.5,5J,https://skatingscores.com/0607/jgpmex/jr/men/i/long/jpn/tatsuki_machida/,97.11,3J,https://skatingscores.com/0607/jgpmex/jr/men/results/,140.61,4J
4,2006/07,JGP CZE,https://skatingscores.com/0607/jgpcze/,Liberec,2006-10-19,https://skatingscores.com/0607/jgpcze/jr/men/i/short/jpn/tatsuki_machida/,57.78,1J,https://skatingscores.com/0607/jgpcze/jr/men/i/long/jpn/tatsuki_machida/,105.51,2J,https://skatingscores.com/0607/jgpcze/jr/men/results/,163.29,2J
5,2006/07,JPN Nationals,https://skatingscores.com/0607/natjpn/,"Hiroshima, Hiroshima",2006-11-25,https://skatingscores.com/0607/natjpn/jr/men/i/short/jpn/tatsuki_machida/,60.35,1J,https://skatingscores.com/0607/natjpn/jr/men/i/long/jpn/tatsuki_machida/,105.03,2J,https://skatingscores.com/0607/natjpn/jr/men/results/,165.38,1J
6,2006/07,JPN Nationals,https://skatingscores.com/0607/natjpn/,"Nagoya, Aichi",2006-12-27,https://skatingscores.com/0607/natjpn/sr/men/i/short/jpn/tatsuki_machida/,60.44,7,https://skatingscores.com/0607/natjpn/sr/men/i/long/jpn/tatsuki_machida/,96.94,14,https://skatingscores.com/0607/natjpn/sr/men/results/,157.38,13
7,2006/07,Jr Worlds,https://skatingscores.com/0607/wjc/,Oberstdorf,2007-02-26,https://skatingscores.com/0607/wjc/jr/men/i/short/jpn/tatsuki_machida/,50.88,17J,https://skatingscores.com/0607/wjc/jr/men/i/long/jpn/tatsuki_machida/,106.17,9J,https://skatingscores.com/0607/wjc/jr/men/results/,157.05,9J
8,2007/08,JGP AUT,https://skatingscores.com/0708/jgpaut/,Vienna,2007-09-13,https://skatingscores.com/0708/jgpaut/jr/men/i/short/jpn/tatsuki_machida/,53.1,7J,https://skatingscores.com/0708/jgpaut/jr/men/i/long/jpn/tatsuki_machida/,96.41,9J,https://skatingscores.com/0708/jgpaut/jr/men/results/,149.51,9J
9,2007/08,JGP GBR,https://skatingscores.com/0708/jgpgbr/,Sheffield,2007-10-18,https://skatingscores.com/0708/jgpgbr/jr/men/i/short/jpn/tatsuki_machida/,59.51,2J,https://skatingscores.com/0708/jgpgbr/jr/men/i/long/jpn/tatsuki_machida/,117.69,1J,https://skatingscores.com/0708/jgpgbr/jr/men/results/,177.2,1J
10,2007/08,JPN Nationals,https://skatingscores.com/0708/natjpn/,"Sendai, Miyagi",2007-11-24,https://skatingscores.com/0708/natjpn/jr/men/i/short/jpn/tatsuki_machida/,48.53,8J,https://skatingscores.com/0708/natjpn/jr/men/i/long/jpn/tatsuki_machida/,103.68,5J,https://skatingscores.com/0708/natjpn/jr/men/results/,152.21,7J
11,2008/09,JGP ESP,https://skatingscores.com/0809/jgpesp/,Madrid,2008-09-24,https://skatingscores.com/0809/jgpesp/jr/men/i/short/jpn/tatsuki_machida/,59.48,2J,https://skatingscores.com/0809/jgpesp/jr/men/i/long/jpn/tatsuki_machida/,99.49,6J,https://skatingscores.com/0809/jgpesp/jr/men/results/,158.97,3J
12,2008/09,JPN Nationals,https://skatingscores.com/0809/natjpn/,"Nagoya, Aichi",2008-11-23,https://skatingscores.com/0809/natjpn/jr/men/i/short/jpn/tatsuki_machida/,69.85,1J,https://skatingscores.com/0809/natjpn/jr/men/i/long/jpn/tatsuki_machida/,111.06,3J,https://skatingscores.com/0809/natjpn/jr/men/results/,180.91,2J
13,2008/09,JPN Nationals,https://skatingscores.com/0809/natjpn/,"Nagano, Nagano",2008-12-25,https://skatingscores.com/0809/natjpn/sr/men/i/short/jpn/tatsuki_machida/,70.33,5,https://skatingscores.com/0809/natjpn/sr/men/i/long/jpn/tatsuki_machida/,113.4,8,https://skatingscores.com/0809/natjpn/sr/men/results/,183.73,7
14,2008/09,Universiade,https://skatingscores.com/0809/univer/,Harbin,2009-02-21,https://skatingscores.com/0809/univer/sr/men/i/short/jpn/tatsuki_machida/,64.7,4,https://skatingscores.com/0809/univer/sr/men/i/long/jpn/tatsuki_machida/,108.46,7,https://skatingscores.com/0809/univer/sr/men/results/,173.16,5
15,2009/10,NRW Trophy,https://skatingscores.com/0910/nrwtro/,Dortmund,2009-12-03,https://skatingscores.com/0910/nrwtro/sr/men/i/short/jpn/tatsuki_machida/,66.32,7,https://skatingscores.com/0910/nrwtro/sr/men/i/long/jpn/tatsuki_machida/,129.02,3,https://skatingscores.com/0910/nrwtro/sr/men/results/,195.34,6
16,2009/10,JPN Nationals,https://skatingscores.com/0910/natjpn/,"Osaka, Osaka",2009-12-25,https://skatingscores.com/0910/natjpn/sr/men/i/short/jpn/tatsuki_machida/,75.35,4,https://skatingscores.com/0910/natjpn/sr/men/i/long/jpn/tatsuki_machida/,139.67,4,https://skatingscores.com/0910/natjpn/sr/men/results/,215.02,4
17,2009/10,4CC,https://skatingscores.com/0910/4cc/,Cheongju,2010-01-27,https://skatingscores.com/0910/4cc/sr/men/i/short/jpn/tatsuki_machida/,69.6,6,https://skatingscores.com/0910/4cc/sr/men/i/long/jpn/tatsuki_machida/,147.88,2,https://skatingscores.com/0910/4cc/sr/men/results/,217.48,2
18,2010/11,Nebelhorn,https://skatingscores.com/1011/nebtro/,Oberstdorf,2010-09-22,https://skatingscores.com/1011/nebtro/sr/men/i/short/jpn/tatsuki_machida/,71.41,1,https://skatingscores.com/1011/nebtro/sr/men/i/long/jpn/tatsuki_machida/,149.81,1,https://skatingscores.com/1011/nebtro/sr/men/results/,221.22,1
19,2010/11,GPCHN,https://skatingscores.com/1011/gpchn/,Beijing,2010-11-04,https://skatingscores.com/1011/gpchn/sr/men/i/short/jpn/tatsuki_machida/,66.78,7,https://skatingscores.com/1011/gpchn/sr/men/i/long/jpn/tatsuki_machida/,134.17,6,https://skatingscores.com/1011/gpchn/sr/men/results/,200.95,5
20,2010/11,GPRUS,https://skatingscores.com/1011/gprus/,Moscow,2010-11-18,https://skatingscores.com/1011/gprus/sr/men/i/short/jpn/tatsuki_machida/,56.37,12,https://skatingscores.com/1011/gprus/sr/men/i/long/jpn/tatsuki_machida/,120.64,9,https://skatingscores.com/1011/gprus/sr/men/results/,177.01,11
21,2010/11,JPN Nationals,https://skatingscores.com/1011/natjpn/,"Nagano, Nagano",2010-12-24,https://skatingscores.com/1011/natjpn/sr/men/i/short/jpn/tatsuki_machida/,73.75,5,https://skatingscores.com/1011/natjpn/sr/men/i/long/jpn/tatsuki_machida/,130.36,6,https://skatingscores.com/1011/natjpn/sr/men/results/,204.11,6
22,2010/11,Asian Games,https://skatingscores.com/1011/asngam/,Astana,2011-02-03,https://skatingscores.com/1011/asngam/sr/men/i/short/jpn/tatsuki_machida/,71.58,2,https://skatingscores.com/1011/asngam/sr/men/i/long/jpn/tatsuki_machida/,116.26,6,https://skatingscores.com/1011/asngam/sr/men/results/,187.84,4
23,2010/11,Triglav Tr.,https://skatingscores.com/1011/tritro/,Jesenice,2011-04-07,https://skatingscores.com/1011/tritro/sr/men/i/short/jpn/tatsuki_machida/,77.32,1,https://skatingscores.com/1011/tritro/sr/men/i/long/jpn/tatsuki_machida/,159.33,1,https://skatingscores.com/1011/tritro/sr/men/results/,236.65,1
24,2011/12,Kinki Reg.,https://skatingscores.com/1112/knkreg/,"Amagasaki, Hyogo",2011-10-08,https://skatingscores.com/1112/knkreg/sr/men/i/short/jpn/tatsuki_machida/,78.61,1,https://skatingscores.com/1112/knkreg/sr/men/i/long/jpn/tatsuki_machida/,127.51,1,https://skatingscores.com/1112/knkreg/sr/men/results/,206.12,1
25,2011/12,GPJPN,https://skatingscores.com/1112/gpjpn/,"Sapporo, Hokkaido",2011-11-10,https://skatingscores.com/1112/gpjpn/sr/men/i/short/jpn/tatsuki_machida/,72.26,5,https://skatingscores.com/1112/gpjpn/sr/men/i/long/jpn/tatsuki_machida/,123.19,6,https://skatingscores.com/1112/gpjpn/sr/men/results/,195.45,7
26,2011/12,Golden Spin,https://skatingscores.com/1112/gldspn/,Zagreb,2011-12-04,https://skatingscores.com/1112/gldspn/sr/men/i/short/jpn/tatsuki_machida/,73.34,2,https://skatingscores.com/1112/gldspn/sr/men/i/long/jpn/tatsuki_machida/,155.29,1,https://skatingscores.com/1112/gldspn/sr/men/results/,228.63,1
27,2011/12,JPN Nationals,https://skatingscores.com/1112/natjpn/,"Osaka, Osaka",2011-12-22,https://skatingscores.com/1112/natjpn/sr/men/i/short/jpn/tatsuki_machida/,74.64,3,https://skatingscores.com/1112/natjpn/sr/men/i/long/jpn/tatsuki_machida/,138.84,6,https://skatingscores.com/1112/natjpn/sr/men/results/,213.48,4
28,2011/12,4CC,https://skatingscores.com/1112/4cc/,"Colorado Springs, CO",2012-02-07,https://skatingscores.com/1112/4cc/sr/men/i/short/jpn/tatsuki_machida/,82.37,4,https://skatingscores.com/1112/4cc/sr/men/i/long/jpn/tatsuki_machida/,125.67,10,https://skatingscores.com/1112/4cc/sr/men/results/,208.04,7
29,2012/13,Nepela Mem.,https://skatingscores.com/1213/nepmem/,Bratislava,2012-10-05,https://skatingscores.com/1213/nepmem/sr/men/i/short/jpn/tatsuki_machida/,77.82,1,https://skatingscores.com/1213/nepmem/sr/men/i/long/jpn/tatsuki_machida/,149.76,1,https://skatingscores.com/1213/nepmem/sr/men/results/,227.58,1
30,2012/13,GPUSA,https://skatingscores.com/1213/gpusa/,"Seattle/Kent, WA",2012-10-19,https://skatingscores.com/1213/gpusa/sr/men/i/short/jpn/tatsuki_machida/,75.78,4,https://skatingscores.com/1213/gpusa/sr/men/i/long/jpn/tatsuki_machida/,154.17,2,https://skatingscores.com/1213/gpusa/sr/men/results/,229.95,3
31,2012/13,GPCHN,https://skatingscores.com/1213/gpchn/,Shanghai,2012-11-02,https://skatingscores.com/1213/gpchn/sr/men/i/short/jpn/tatsuki_machida/,83.48,2,https://skatingscores.com/1213/gpchn/sr/men/i/long/jpn/tatsuki_machida/,153.44,1,https://skatingscores.com/1213/gpchn/sr/men/results/,236.92,1
32,2012/13,GPF,https://skatingscores.com/1213/gpf/,Sochi,2012-12-06,https://skatingscores.com/1213/gpf/sr/men/i/short/jpn/tatsuki_machida/,70.58,6,https://skatingscores.com/1213/gpf/sr/men/i/long/jpn/tatsuki_machida/,128.05,6,https://skatingscores.com/1213/gpf/sr/men/results/,198.63,6
33,2012/13,JPN Nationals,https://skatingscores.com/1213/natjpn/,"Sapporo, Hokkaido",2012-12-20,https://skatingscores.com/1213/natjpn/sr/men/i/short/jpn/tatsuki_machida/,68.48,8,https://skatingscores.com/1213/natjpn/sr/men/i/long/jpn/tatsuki_machida/,137.69,8,https://skatingscores.com/1213/natjpn/sr/men/results/,206.17,9
34,2012/13,Printemps,https://skatingscores.com/1213/coupri/,Kockelscheuer,2013-03-22,https://skatingscores.com/1213/coupri/sr/men/i/short/jpn/tatsuki_machida/,61.47,2,https://skatingscores.com/1213/coupri/sr/men/i/long/jpn/tatsuki_machida/,120.11,1,https://skatingscores.com/1213/coupri/sr/men/results/,181.58,2
35,2013/14,Asian Trophy,https://skatingscores.com/1314/asntro/,Bangkok,2013-08-08,https://skatingscores.com/1314/asntro/sr/men/i/short/jpn/tatsuki_machida/,72.7,1,https://skatingscores.com/1314/asntro/sr/men/i/long/jpn/tatsuki_machida/,153.51,1,https://skatingscores.com/1314/asntro/sr/men/results/,226.21,1
36,2013/14,Kinki Reg.,https://skatingscores.com/1314/knkreg/,"Takaishi, Osaka",2013-09-26,https://skatingscores.com/1314/knkreg/sr/men/i/short/jpn/tatsuki_machida/,85.31,1,https://skatingscores.com/1314/knkreg/sr/men/i/long/jpn/tatsuki_machida/,155.88,1,https://skatingscores.com/1314/knkreg/sr/men/results/,241.19,1
37,2013/14,GPUSA,https://skatingscores.com/1314/gpusa/,"Detroit, MI",2013-10-17,https://skatingscores.com/1314/gpusa/sr/men/i/short/jpn/tatsuki_machida/,91.18,1,https://skatingscores.com/1314/gpusa/sr/men/i/long/jpn/tatsuki_machida/,174.2,1,https://skatingscores.com/1314/gpusa/sr/men/results/,265.38,1
38,2013/14,JPN West,https://skatingscores.com/1314/jpwsec/,"Kyoto, Kyoto",2013-11-01,https://skatingscores.com/1314/jpwsec/sr/men/i/short/jpn/tatsuki_machida/,93.66,1,https://skatingscores.com/1314/jpwsec/sr/men/i/long/jpn/tatsuki_machida/,147.71,1,https://skatingscores.com/1314/jpwsec/sr/men/results/,241.37,1
39,2013/14,GPRUS,https://skatingscores.com/1314/gprus/,Moscow,2013-11-22,https://skatingscores.com/1314/gprus/sr/men/i/short/jpn/tatsuki_machida/,84.9,2,https://skatingscores.com/1314/gprus/sr/men/i/long/jpn/tatsuki_machida/,172.1,1,https://skatingscores.com/1314/gprus/sr/men/results/,257.0,1
40,2013/14,GPF,https://skatingscores.com/1314/gpf/,"Fukuoka, Fukuoka",2013-12-05,https://skatingscores.com/1314/gpf/sr/men/i/short/jpn/tatsuki_machida/,65.66,6,https://skatingscores.com/1314/gpf/sr/men/i/long/jpn/tatsuki_machida/,170.37,4,https://skatingscores.com/1314/gpf/sr/men/results/,236.03,4
41,2013/14,JPN Nationals,https://skatingscores.com/1314/natjpn/,"Saitama, Saitama",2013-12-20,https://skatingscores.com/1314/natjpn/sr/men/i/short/jpn/tatsuki_machida/,93.22,2,https://skatingscores.com/1314/natjpn/sr/men/i/long/jpn/tatsuki_machida/,183.82,2,https://skatingscores.com/1314/natjpn/sr/men/results/,277.04,2
42,2013/14,Oly Team,https://skatingscores.com/1314/olyt/,Sochi,2014-02-07,,0.0,,https://skatingscores.com/1314/olyt/sr/men/i/long/jpn/tatsuki_machida/,165.85,3,https://skatingscores.com/1314/olyt/sr/men/results/,0.0,5T
43,2013/14,Olympics,https://skatingscores.com/1314/oly/,Sochi,2014-02-11,https://skatingscores.com/1314/oly/sr/men/i/short/jpn/tatsuki_machida/,83.48,11,https://skatingscores.com/1314/oly/sr/men/i/long/jpn/tatsuki_machida/,169.94,4,https://skatingscores.com/1314/oly/sr/men/results/,253.42,5
44,2013/14,Worlds,https://skatingscores.com/1314/wc/,"Saitama, Saitama",2014-03-24,https://skatingscores.com/1314/wc/sr/men/i/short/jpn/tatsuki_machida/,98.21,1,https://skatingscores.com/1314/wc/sr/men/i/long/jpn/tatsuki_machida/,184.05,2,https://skatingscores.com/1314/wc/sr/men/results/,282.26,2
45,2014/15,GPUSA,https://skatingscores.com/1415/gpusa/,"Chicago, IL",2014-10-23,https://skatingscores.com/1415/gpusa/sr/men/i/short/jpn/tatsuki_machida/,93.39,1,https://skatingscores.com/1415/gpusa/sr/men/i/long/jpn/tatsuki_machida/,175.7,1,https://skatingscores.com/1415/gpusa/sr/men/results/,269.09,1
46,2014/15,GPFRA,https://skatingscores.com/1415/gpfra/,Bordeaux,2014-11-20,https://skatingscores.com/1415/gpfra/sr/men/i/short/jpn/tatsuki_machida/,88.7,2,https://skatingscores.com/1415/gpfra/sr/men/i/long/jpn/tatsuki_machida/,149.04,2,https://skatingscores.com/1415/gpfra/sr/men/results/,237.74,2
47,2014/15,GPF,https://skatingscores.com/1415/gpf/,Barcelona,2014-12-10,https://skatingscores.com/1415/gpf/sr/men/i/short/jpn/tatsuki_machida/,87.82,2,https://skatingscores.com/1415/gpf/sr/men/i/long/jpn/tatsuki_machida/,128.31,6,https://skatingscores.com/1415/gpf/sr/men/results/,216.13,6
48,2014/15,JPN Nationals,https://skatingscores.com/1415/natjpn/,"Nagano, Nagano",2014-12-25,https://skatingscores.com/1415/natjpn/sr/men/i/short/jpn/tatsuki_machida/,90.16,2,https://skatingscores.com/1415/natjpn/sr/men/i/long/jpn/tatsuki_machida/,152.45,5,https://skatingscores.com/1415/natjpn/sr/men/results/,242.61,4
