,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2006/07,JPN Nationals,https://skatingscores.com/0607/natjpn/,"Hiroshima, Hiroshima",2006-11-25,https://skatingscores.com/0607/natjpn/jr/men/i/short/jpn/yuzuru_hanyu/,38.8,18J,https://skatingscores.com/0607/natjpn/jr/men/i/long/jpn/yuzuru_hanyu/,90.16,4J,https://skatingscores.com/0607/natjpn/jr/men/results/,128.96,7J
1,2006/07,Mladost Tr.,https://skatingscores.com/0607/mlatro/,Zagreb,2007-04-25,https://skatingscores.com/0607/mlatro/nov/men/i/short/jpn/yuzuru_hanyu/,48.79,1N,https://skatingscores.com/0607/mlatro/nov/men/i/long/jpn/yuzuru_hanyu/,85.7,2N,https://skatingscores.com/0607/mlatro/nov/men/results/,134.49,1N
2,2007/08,JPN Nationals,https://skatingscores.com/0708/natjpn/,"Sendai, Miyagi",2007-11-24,https://skatingscores.com/0708/natjpn/jr/men/i/short/jpn/yuzuru_hanyu/,49.55,7J,https://skatingscores.com/0708/natjpn/jr/men/i/long/jpn/yuzuru_hanyu/,111.47,1J,https://skatingscores.com/0708/natjpn/jr/men/results/,161.02,3J
3,2008/09,JGP ITA,https://skatingscores.com/0809/jgpita/,Merano,2008-09-03,https://skatingscores.com/0809/jgpita/jr/men/i/short/jpn/yuzuru_hanyu/,51.06,6J,https://skatingscores.com/0809/jgpita/jr/men/i/long/jpn/yuzuru_hanyu/,95.62,4J,https://skatingscores.com/0809/jgpita/jr/men/results/,146.68,5J
4,2008/09,JPN Nationals,https://skatingscores.com/0809/natjpn/,"Nagoya, Aichi",2008-11-23,https://skatingscores.com/0809/natjpn/jr/men/i/short/jpn/yuzuru_hanyu/,57.25,4J,https://skatingscores.com/0809/natjpn/jr/men/i/long/jpn/yuzuru_hanyu/,124.92,1J,https://skatingscores.com/0809/natjpn/jr/men/results/,182.17,1J
5,2008/09,JPN Nationals,https://skatingscores.com/0809/natjpn/,"Nagano, Nagano",2008-12-25,https://skatingscores.com/0809/natjpn/sr/men/i/short/jpn/yuzuru_hanyu/,64.5,8,https://skatingscores.com/0809/natjpn/sr/men/i/long/jpn/yuzuru_hanyu/,117.15,5,https://skatingscores.com/0809/natjpn/sr/men/results/,181.65,8
6,2008/09,Jr Worlds,https://skatingscores.com/0809/wjc/,Sofia,2009-02-22,https://skatingscores.com/0809/wjc/jr/men/i/short/jpn/yuzuru_hanyu/,58.18,11J,https://skatingscores.com/0809/wjc/jr/men/i/long/jpn/yuzuru_hanyu/,103.59,13J,https://skatingscores.com/0809/wjc/jr/men/results/,161.77,12J
7,2009/10,JGP POL,https://skatingscores.com/0910/jgppol/,Torun,2009-09-09,https://skatingscores.com/0910/jgppol/jr/men/i/short/jpn/yuzuru_hanyu/,66.77,1J,https://skatingscores.com/0910/jgppol/jr/men/i/long/jpn/yuzuru_hanyu/,131.88,1J,https://skatingscores.com/0910/jgppol/jr/men/results/,198.65,1J
8,2009/10,JGP CRO,https://skatingscores.com/0910/jgpcro/,Zagreb,2009-10-07,https://skatingscores.com/0910/jgpcro/jr/men/i/short/jpn/yuzuru_hanyu/,70.78,1J,https://skatingscores.com/0910/jgpcro/jr/men/i/long/jpn/yuzuru_hanyu/,130.37,1J,https://skatingscores.com/0910/jgpcro/jr/men/results/,201.15,1J
9,2009/10,JPN Nationals,https://skatingscores.com/0910/natjpn/,"Yokohama, Kanagawa",2009-11-21,https://skatingscores.com/0910/natjpn/jr/men/i/short/jpn/yuzuru_hanyu/,76.0,1J,https://skatingscores.com/0910/natjpn/jr/men/i/long/jpn/yuzuru_hanyu/,118.15,2J,https://skatingscores.com/0910/natjpn/jr/men/results/,194.15,1J
