,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2006/07,JGP NED,https://skatingscores.com/0607/jgpned/,The Hague,2006-10-05,https://skatingscores.com/0607/jgpned/jr/men/i/short/kaz/denis_ten/,41.52,14J,https://skatingscores.com/0607/jgpned/jr/men/i/long/kaz/denis_ten/,96.28,7J,https://skatingscores.com/0607/jgpned/jr/men/results/,137.8,10J
1,2006/07,Cup of Nice,https://skatingscores.com/0607/cupnic/,Nice,2006-11-09,https://skatingscores.com/0607/cupnic/nov/men/i/short/kaz/denis_ten/,40.65,2N,https://skatingscores.com/0607/cupnic/nov/men/i/long/kaz/denis_ten/,82.77,1N,https://skatingscores.com/0607/cupnic/nov/men/results/,123.42,1N
2,2006/07,Jr Worlds,https://skatingscores.com/0607/wjc/,Oberstdorf,2007-02-26,https://skatingscores.com/0607/wjc/jr/men/i/short/kaz/denis_ten/,45.69,26J,,0.0,,https://skatingscores.com/0607/wjc/jr/men/results/,45.69,26
3,2007/08,JGP ROU,https://skatingscores.com/0708/jgprou/,Miercurea-Ciuc,2007-09-06,https://skatingscores.com/0708/jgprou/jr/men/i/short/kaz/denis_ten/,53.88,3J,https://skatingscores.com/0708/jgprou/jr/men/i/long/kaz/denis_ten/,90.45,6J,https://skatingscores.com/0708/jgprou/jr/men/results/,144.33,6J
4,2007/08,JGP EST,https://skatingscores.com/0708/jgpest/,Tallinn,2007-09-20,https://skatingscores.com/0708/jgpest/jr/men/i/short/kaz/denis_ten/,43.6,10J,https://skatingscores.com/0708/jgpest/jr/men/i/long/kaz/denis_ten/,85.57,10J,https://skatingscores.com/0708/jgpest/jr/men/results/,129.17,10J
5,2007/08,Jr Worlds,https://skatingscores.com/0708/wjc/,Sofia,2008-02-25,https://skatingscores.com/0708/wjc/jr/men/i/short/kaz/denis_ten/,60.0,8J,https://skatingscores.com/0708/wjc/jr/men/i/long/kaz/denis_ten/,95.7,19J,https://skatingscores.com/0708/wjc/jr/men/results/,155.7,16J
6,2008/09,JGP FRA,https://skatingscores.com/0809/jgpfra/,Courchevel,2008-08-27,https://skatingscores.com/0809/jgpfra/jr/men/i/short/kaz/denis_ten/,54.81,5J,https://skatingscores.com/0809/jgpfra/jr/men/i/long/kaz/denis_ten/,109.06,5J,https://skatingscores.com/0809/jgpfra/jr/men/results/,163.87,4J
7,2008/09,JGP BLR,https://skatingscores.com/0809/jgpblr/,Gomel,2008-10-01,https://skatingscores.com/0809/jgpblr/jr/men/i/short/kaz/denis_ten/,68.36,1J,https://skatingscores.com/0809/jgpblr/jr/men/i/long/kaz/denis_ten/,119.71,2J,https://skatingscores.com/0809/jgpblr/jr/men/results/,188.07,1J
8,2008/09,JGP Final,https://skatingscores.com/0809/jgpf/,Goyang,2008-12-10,https://skatingscores.com/0809/jgpf/jr/men/i/short/kaz/denis_ten/,60.59,7J,https://skatingscores.com/0809/jgpf/jr/men/i/long/kaz/denis_ten/,119.75,3J,https://skatingscores.com/0809/jgpf/jr/men/results/,180.34,5J
9,2008/09,4CC,https://skatingscores.com/0809/4cc/,"Vancouver, BC",2009-02-02,https://skatingscores.com/0809/4cc/sr/men/i/short/kaz/denis_ten/,61.32,10,https://skatingscores.com/0809/4cc/sr/men/i/long/kaz/denis_ten/,123.5,8,https://skatingscores.com/0809/4cc/sr/men/results/,184.82,9
10,2008/09,Jr Worlds,https://skatingscores.com/0809/wjc/,Sofia,2009-02-22,https://skatingscores.com/0809/wjc/jr/men/i/short/kaz/denis_ten/,64.8,5J,https://skatingscores.com/0809/wjc/jr/men/i/long/kaz/denis_ten/,118.97,4J,https://skatingscores.com/0809/wjc/jr/men/results/,183.77,4J
