,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-result-link,final-score,final-ranking
0,2004/05,JGP HUN,https://skatingscores.com//0405/jgphun/,Budapest,2004-09-01,https://skatingscores.com//0405/jgphun/jr/women/i/short/kor/yuna_kim/,47.23,1J,https://skatingscores.com//0405/jgphun/jr/women/i/long/kor/yuna_kim/,101.32,1J,https://skatingscores.com//0405/jgphun/jr/women/results/,148.55,1J
1,2004/05,JGP CHN,https://skatingscores.com//0405/jgpchn/,Harbin,2004-09-16,https://skatingscores.com//0405/jgpchn/jr/women/i/short/kor/yuna_kim/,38.87,4J,https://skatingscores.com//0405/jgpchn/jr/women/i/long/kor/yuna_kim/,92.35,1J,https://skatingscores.com//0405/jgpchn/jr/women/results/,131.22,2J
2,2004/05,JGP Final,https://skatingscores.com//0405/jgpf/,Helsinki,2004-12-02,https://skatingscores.com//0405/jgpf/jr/women/i/short/kor/yuna_kim/,51.27,2J,https://skatingscores.com//0405/jgpf/jr/women/i/long/kor/yuna_kim/,86.48,3J,https://skatingscores.com//0405/jgpf/jr/women/results/,137.75,2J
3,2004/05,Jr Worlds,https://skatingscores.com//0405/wjc/,"Kitchener, ON",2005-02-28,https://skatingscores.com//0405/wjc/jr/women/i/short/kor/yuna_kim/,48.67,6J,https://skatingscores.com//0405/wjc/jr/women/i/long/kor/yuna_kim/,110.26,2J,https://skatingscores.com//0405/wjc/jr/women/results/,184.68,2J
4,2005/06,JGP SVK,https://skatingscores.com//0506/jgpsvk/,Bratislava,2005-09-01,https://skatingscores.com//0506/jgpsvk/jr/women/i/short/kor/yuna_kim/,58.63,1J,https://skatingscores.com//0506/jgpsvk/jr/women/i/long/kor/yuna_kim/,110.2,1J,https://skatingscores.com//0506/jgpsvk/jr/women/results/,168.83,1J
5,2005/06,JGP BUL,https://skatingscores.com//0506/jgpbul/,Sofia,2005-09-29,https://skatingscores.com//0506/jgpbul/jr/women/i/short/kor/yuna_kim/,53.45,1J,https://skatingscores.com//0506/jgpbul/jr/women/i/long/kor/yuna_kim/,99.98,1J,https://skatingscores.com//0506/jgpbul/jr/women/results/,153.43,1J
6,2005/06,JGP Final,https://skatingscores.com//0506/jgpf/,Ostrava,2005-11-24,https://skatingscores.com//0506/jgpf/jr/women/i/short/kor/yuna_kim/,57.51,1J,https://skatingscores.com//0506/jgpf/jr/women/i/long/kor/yuna_kim/,116.61,1J,https://skatingscores.com//0506/jgpf/jr/women/results/,174.12,1J
7,2005/06,Jr Worlds,https://skatingscores.com//0506/wjc/,Ljubljana,2006-03-06,https://skatingscores.com//0506/wjc/jr/women/i/short/kor/yuna_kim/,60.86,1J,https://skatingscores.com//0506/wjc/jr/women/i/long/kor/yuna_kim/,116.68,1J,https://skatingscores.com//0506/wjc/jr/women/results/,204.42,1J
8,2006/07,GPCAN,https://skatingscores.com//0607/gpcan/,"Victoria, BC",2006-11-03,https://skatingscores.com//0607/gpcan/sr/women/i/short/kor/yuna_kim/,62.68,1,https://skatingscores.com//0607/gpcan/sr/women/i/long/kor/yuna_kim/,105.8,4,https://skatingscores.com//0607/gpcan/sr/women/results/,168.48,3
9,2006/07,GPFRA,https://skatingscores.com//0607/gpfra/,Paris,2006-11-16,https://skatingscores.com//0607/gpfra/sr/women/i/short/kor/yuna_kim/,65.22,1,https://skatingscores.com//0607/gpfra/sr/women/i/long/kor/yuna_kim/,119.32,1,https://skatingscores.com//0607/gpfra/sr/women/results/,184.54,1
10,2006/07,GPF,https://skatingscores.com//0607/gpf/,St. Petersburg,2006-12-16,https://skatingscores.com//0607/gpf/sr/women/i/short/kor/yuna_kim/,65.06,3,https://skatingscores.com//0607/gpf/sr/women/i/long/kor/yuna_kim/,119.14,1,https://skatingscores.com//0607/gpf/sr/women/results/,184.2,1
11,2006/07,Worlds,https://skatingscores.com//0607/wc/,"Tokyo, Tokyo",2007-03-20,https://skatingscores.com//0607/wc/sr/women/i/short/kor/yuna_kim/,71.95,1,https://skatingscores.com//0607/wc/sr/women/i/long/kor/yuna_kim/,114.19,4,https://skatingscores.com//0607/wc/sr/women/results/,186.14,3
12,2007/08,GPCHN,https://skatingscores.com//0708/gpchn/,Harbin,2007-11-08,https://skatingscores.com//0708/gpchn/sr/women/i/short/kor/yuna_kim/,58.32,3,https://skatingscores.com//0708/gpchn/sr/women/i/long/kor/yuna_kim/,122.36,1,https://skatingscores.com//0708/gpchn/sr/women/results/,180.68,1
13,2007/08,GPRUS,https://skatingscores.com//0708/gprus/,Moscow,2007-11-22,https://skatingscores.com//0708/gprus/sr/women/i/short/kor/yuna_kim/,63.5,1,https://skatingscores.com//0708/gprus/sr/women/i/long/kor/yuna_kim/,133.7,1,https://skatingscores.com//0708/gprus/sr/women/results/,197.2,1
14,2007/08,GPF,https://skatingscores.com//0708/gpf/,Turin,2007-12-13,https://skatingscores.com//0708/gpf/sr/women/i/short/kor/yuna_kim/,64.62,1,https://skatingscores.com//0708/gpf/sr/women/i/long/kor/yuna_kim/,132.21,2,https://skatingscores.com//0708/gpf/sr/women/results/,196.83,1
15,2007/08,Worlds,https://skatingscores.com//0708/wc/,Göteborg,2008-03-16,https://skatingscores.com//0708/wc/sr/women/i/short/kor/yuna_kim/,59.85,5,https://skatingscores.com//0708/wc/sr/women/i/long/kor/yuna_kim/,123.38,1,https://skatingscores.com//0708/wc/sr/women/results/,183.23,3
16,2008/09,GPUSA,https://skatingscores.com//0809/gpusa/,"Everett, WA",2008-10-23,https://skatingscores.com//0809/gpusa/sr/women/i/short/kor/yuna_kim/,69.5,1,https://skatingscores.com//0809/gpusa/sr/women/i/long/kor/yuna_kim/,123.95,1,https://skatingscores.com//0809/gpusa/sr/women/results/,193.45,1
17,2008/09,GPCHN,https://skatingscores.com//0809/gpchn/,Beijing,2008-11-06,https://skatingscores.com//0809/gpchn/sr/women/i/short/kor/yuna_kim/,63.64,1,https://skatingscores.com//0809/gpchn/sr/women/i/long/kor/yuna_kim/,128.11,1,https://skatingscores.com//0809/gpchn/sr/women/results/,191.75,1
18,2008/09,GPF,https://skatingscores.com//0809/gpf/,Goyang,2008-12-10,https://skatingscores.com//0809/gpf/sr/women/i/short/kor/yuna_kim/,65.94,1,https://skatingscores.com//0809/gpf/sr/women/i/long/kor/yuna_kim/,120.41,2,https://skatingscores.com//0809/gpf/sr/women/results/,186.35,2
19,2008/09,4CC,https://skatingscores.com//0809/4cc/,"Vancouver, BC",2009-02-02,https://skatingscores.com//0809/4cc/sr/women/i/short/kor/yuna_kim/,72.24,1,https://skatingscores.com//0809/4cc/sr/women/i/long/kor/yuna_kim/,116.83,3,https://skatingscores.com//0809/4cc/sr/women/results/,189.07,1
20,2008/09,Worlds,https://skatingscores.com//0809/wc/,"Los Angeles, CA",2009-03-22,https://skatingscores.com//0809/wc/sr/women/i/short/kor/yuna_kim/,76.12,1,https://skatingscores.com//0809/wc/sr/women/i/long/kor/yuna_kim/,131.59,1,https://skatingscores.com//0809/wc/sr/women/results/,207.71,1
21,2009/10,GPFRA,https://skatingscores.com//0910/gpfra/,Paris,2009-10-15,https://skatingscores.com//0910/gpfra/sr/women/i/short/kor/yuna_kim/,76.08,1,https://skatingscores.com//0910/gpfra/sr/women/i/long/kor/yuna_kim/,133.95,1,https://skatingscores.com//0910/gpfra/sr/women/results/,210.03,1
22,2009/10,GPUSA,https://skatingscores.com//0910/gpusa/,"Lake Placid, NY",2009-11-12,https://skatingscores.com//0910/gpusa/sr/women/i/short/kor/yuna_kim/,76.28,1,https://skatingscores.com//0910/gpusa/sr/women/i/long/kor/yuna_kim/,111.7,2,https://skatingscores.com//0910/gpusa/sr/women/results/,187.98,1
23,2009/10,GPF,https://skatingscores.com//0910/gpf/,"Tokyo, Tokyo",2009-12-03,https://skatingscores.com//0910/gpf/sr/women/i/short/kor/yuna_kim/,65.64,2,https://skatingscores.com//0910/gpf/sr/women/i/long/kor/yuna_kim/,123.22,1,https://skatingscores.com//0910/gpf/sr/women/results/,188.86,1
24,2009/10,Olympics,https://skatingscores.com//0910/oly/,"Vancouver, BC",2010-02-12,https://skatingscores.com//0910/oly/sr/women/i/short/kor/yuna_kim/,78.5,1,https://skatingscores.com//0910/oly/sr/women/i/long/kor/yuna_kim/,150.06,1,https://skatingscores.com//0910/oly/sr/women/results/,228.56,1
25,2009/10,Worlds,https://skatingscores.com//0910/wc/,Torino,2010-03-22,https://skatingscores.com//0910/wc/sr/women/i/short/kor/yuna_kim/,60.3,7,https://skatingscores.com//0910/wc/sr/women/i/long/kor/yuna_kim/,130.49,1,https://skatingscores.com//0910/wc/sr/women/results/,190.79,2
26,2010/11,Worlds,https://skatingscores.com//1011/wc/,Moscow,2011-04-25,https://skatingscores.com//1011/wc/sr/women/i/short/kor/yuna_kim/,65.91,1,https://skatingscores.com//1011/wc/sr/women/i/long/kor/yuna_kim/,128.59,2,https://skatingscores.com//1011/wc/sr/women/results/,194.5,2
27,2012/13,NRW Trophy,https://skatingscores.com//1213/nrwtro/,Dortmund,2012-12-04,https://skatingscores.com//1213/nrwtro/sr/women/i/short/kor/yuna_kim/,72.27,1,https://skatingscores.com//1213/nrwtro/sr/women/i/long/kor/yuna_kim/,129.34,1,https://skatingscores.com//1213/nrwtro/sr/women/results/,201.61,1
28,2012/13,KOR Nationals,https://skatingscores.com//1213/natkor/,Seoul,2013-01-04,https://skatingscores.com//1213/natkor/sr/women/i/short/kor/yuna_kim/,64.97,1,https://skatingscores.com//1213/natkor/sr/women/i/long/kor/yuna_kim/,145.8,1,https://skatingscores.com//1213/natkor/sr/women/results/,210.77,1
29,2012/13,Worlds,https://skatingscores.com//1213/wc/,"London, ON",2013-03-11,https://skatingscores.com//1213/wc/sr/women/i/short/kor/yuna_kim/,69.97,1,https://skatingscores.com//1213/wc/sr/women/i/long/kor/yuna_kim/,148.34,1,https://skatingscores.com//1213/wc/sr/women/results/,218.31,1
30,2013/14,Golden Spin,https://skatingscores.com//1314/gldspn/,Zagreb,2013-12-02,https://skatingscores.com//1314/gldspn/sr/women/i/short/kor/yuna_kim/,73.37,1,https://skatingscores.com//1314/gldspn/sr/women/i/long/kor/yuna_kim/,131.12,1,https://skatingscores.com//1314/gldspn/sr/women/results/,204.49,1
31,2013/14,KOR Nationals,https://skatingscores.com//1314/natkor/,Goyang,2014-01-03,https://skatingscores.com//1314/natkor/sr/women/i/short/kor/yuna_kim/,80.6,1,https://skatingscores.com//1314/natkor/sr/women/i/long/kor/yuna_kim/,147.26,1,https://skatingscores.com//1314/natkor/sr/women/results/,227.86,1
32,2013/14,Olympics,https://skatingscores.com//1314/oly/,Sochi,2014-02-11,https://skatingscores.com//1314/oly/sr/women/i/short/kor/yuna_kim/,74.92,1,https://skatingscores.com//1314/oly/sr/women/i/long/kor/yuna_kim/,144.19,2,https://skatingscores.com//1314/oly/sr/women/results/,219.11,2
