,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2006/07,Nordics,https://skatingscores.com/0607/nordic/,Helsinki,2007-02-08,https://skatingscores.com/0607/nordic/nov/women/i/short/nor/anne_line_gjersem/,25.05,10N,https://skatingscores.com/0607/nordic/nov/women/i/long/nor/anne_line_gjersem/,47.6,10N,https://skatingscores.com/0607/nordic/nov/women/results/,72.65,11N
1,2007/08,Nordics,https://skatingscores.com/0708/nordic/,Reykjavík,2008-02-07,https://skatingscores.com/0708/nordic/nov/women/i/short/nor/anne_line_gjersem/,32.01,5N,https://skatingscores.com/0708/nordic/nov/women/i/long/nor/anne_line_gjersem/,45.23,11N,https://skatingscores.com/0708/nordic/nov/women/results/,77.24,9N
2,2008/09,JGP ESP,https://skatingscores.com/0809/jgpesp/,Madrid,2008-09-24,https://skatingscores.com/0809/jgpesp/jr/women/i/short/nor/anne_line_gjersem/,33.85,18J,https://skatingscores.com/0809/jgpesp/jr/women/i/long/nor/anne_line_gjersem/,60.0,15J,https://skatingscores.com/0809/jgpesp/jr/women/results/,93.85,16J
3,2008/09,JGP GBR,https://skatingscores.com/0809/jgpgbr/,Sheffield,2008-10-15,https://skatingscores.com/0809/jgpgbr/jr/women/i/short/nor/anne_line_gjersem/,42.41,13J,https://skatingscores.com/0809/jgpgbr/jr/women/i/long/nor/anne_line_gjersem/,66.22,14J,https://skatingscores.com/0809/jgpgbr/jr/women/results/,108.63,12J
4,2008/09,Jr Worlds,https://skatingscores.com/0809/wjc/,Sofia,2009-02-22,https://skatingscores.com/0809/wjc/jr/women/i/short/nor/anne_line_gjersem/,34.3,32J,,0.0,,https://skatingscores.com/0809/wjc/jr/women/results/,34.3,33
5,2009/10,JGP HUN,https://skatingscores.com/0910/jgphun/,Budapest,2009-08-26,https://skatingscores.com/0910/jgphun/jr/women/i/short/nor/anne_line_gjersem/,38.47,13J,https://skatingscores.com/0910/jgphun/jr/women/i/long/nor/anne_line_gjersem/,64.85,11J,https://skatingscores.com/0910/jgphun/jr/women/results/,103.32,12J
6,2009/10,JGP CRO,https://skatingscores.com/0910/jgpcro/,Zagreb,2009-10-07,https://skatingscores.com/0910/jgpcro/jr/women/i/short/nor/anne_line_gjersem/,33.34,19J,https://skatingscores.com/0910/jgpcro/jr/women/i/long/nor/anne_line_gjersem/,61.84,15J,https://skatingscores.com/0910/jgpcro/jr/women/results/,95.18,16J
7,2009/10,Celje,https://skatingscores.com/0910/sktcel/,Celje,2009-11-04,https://skatingscores.com/0910/sktcel/jr/women/i/short/nor/anne_line_gjersem/,40.71,2J,https://skatingscores.com/0910/sktcel/jr/women/i/long/nor/anne_line_gjersem/,79.74,1J,https://skatingscores.com/0910/sktcel/jr/women/results/,120.45,1J
8,2009/10,Jr Worlds,https://skatingscores.com/0910/wjc/,The Hague,2010-03-09,https://skatingscores.com/0910/wjc/jr/women/i/short/nor/anne_line_gjersem/,41.48,26J,,0.0,,https://skatingscores.com/0910/wjc/jr/women/results/,41.48,26
9,2010/11,JGP FRA,https://skatingscores.com/1011/jgpfra/,Courchevel,2010-08-25,https://skatingscores.com/1011/jgpfra/jr/women/i/short/nor/anne_line_gjersem/,34.03,17J,https://skatingscores.com/1011/jgpfra/jr/women/i/long/nor/anne_line_gjersem/,70.93,12J,https://skatingscores.com/1011/jgpfra/jr/women/results/,104.96,14J
