,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2010/11,JGP JPN,https://skatingscores.com/1011/jgpjpn/,"Karuizawa, Nagano",2010-09-22,https://skatingscores.com/1011/jgpjpn/jr/men/i/short/phi/michael_christian_martinez/,39.51,16J,https://skatingscores.com/1011/jgpjpn/jr/men/i/long/phi/michael_christian_martinez/,78.55,18J,https://skatingscores.com/1011/jgpjpn/jr/men/results/,118.06,17J
1,2011/12,JGP AUS,https://skatingscores.com/1112/jgpaus/,"Brisbane, QLD",2011-09-08,https://skatingscores.com/1112/jgpaus/jr/men/i/short/phi/michael_christian_martinez/,52.69,8J,https://skatingscores.com/1112/jgpaus/jr/men/i/long/phi/michael_christian_martinez/,95.44,10J,https://skatingscores.com/1112/jgpaus/jr/men/results/,148.13,8J
2,2011/12,Youth Olys,https://skatingscores.com/1112/yog/,Innsbruck,2012-01-04,https://skatingscores.com/1112/yog/jr/men/i/short/phi/michael_christian_martinez/,54.35,3J,https://skatingscores.com/1112/yog/jr/men/i/long/phi/michael_christian_martinez/,97.25,7J,https://skatingscores.com/1112/yog/jr/men/results/,151.6,7J
3,2011/12,Jr Worlds,https://skatingscores.com/1112/wjc/,Minsk,2012-02-27,https://skatingscores.com/1112/wjc/jr/men/i/short/phi/michael_christian_martinez/,55.32,16J,https://skatingscores.com/1112/wjc/jr/men/i/long/phi/michael_christian_martinez/,109.78,14J,https://skatingscores.com/1112/wjc/jr/men/results/,165.1,15J
4,2012/13,JGP USA,https://skatingscores.com/1213/jgpusa/,"Lake Placid, NY",2012-08-30,https://skatingscores.com/1213/jgpusa/jr/men/i/short/phi/michael_christian_martinez/,51.88,7J,https://skatingscores.com/1213/jgpusa/jr/men/i/long/phi/michael_christian_martinez/,106.52,4J,https://skatingscores.com/1213/jgpusa/jr/men/results/,158.4,4J
5,2012/13,JGP CRO,https://skatingscores.com/1213/jgpcro/,Zagreb,2012-10-04,https://skatingscores.com/1213/jgpcro/jr/men/i/short/phi/michael_christian_martinez/,50.67,11J,https://skatingscores.com/1213/jgpcro/jr/men/i/long/phi/michael_christian_martinez/,111.73,6J,https://skatingscores.com/1213/jgpcro/jr/men/results/,162.4,6J
6,2012/13,Cup of Nice,https://skatingscores.com/1213/cupnic/,Nice,2012-10-24,https://skatingscores.com/1213/cupnic/jr/men/i/short/phi/michael_christian_martinez/,49.64,7J,https://skatingscores.com/1213/cupnic/jr/men/i/long/phi/michael_christian_martinez/,115.48,4J,https://skatingscores.com/1213/cupnic/jr/men/results/,165.12,6J
7,2012/13,Crystal Skate,https://skatingscores.com/1213/cryskt/,Brasov,2012-10-30,https://skatingscores.com/1213/cryskt/sr/men/i/short/phi/michael_christian_martinez/,59.75,3,https://skatingscores.com/1213/cryskt/sr/men/i/long/phi/michael_christian_martinez/,125.75,1,https://skatingscores.com/1213/cryskt/sr/men/results/,185.5,1
8,2012/13,NRW Trophy,https://skatingscores.com/1213/nrwtro/,Dortmund,2012-12-04,https://skatingscores.com/1213/nrwtro/sr/men/i/short/phi/michael_christian_martinez/,59.9,8,https://skatingscores.com/1213/nrwtro/sr/men/i/long/phi/michael_christian_martinez/,107.52,18,https://skatingscores.com/1213/nrwtro/sr/men/results/,167.42,13
9,2012/13,New Year's,https://skatingscores.com/1213/nyscup/,Bratislava,2013-01-03,https://skatingscores.com/1213/nyscup/sr/men/i/short/phi/michael_christian_martinez/,57.42,3,https://skatingscores.com/1213/nyscup/sr/men/i/long/phi/michael_christian_martinez/,119.82,3,https://skatingscores.com/1213/nyscup/sr/men/results/,177.24,3
