,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,JGP HUN,https://skatingscores.com/0405/jgphun/,Budapest,2004-09-01,https://skatingscores.com/0405/jgphun/jr/men/i/short/rou/zoltan_kelemen/,38.72,17J,https://skatingscores.com/0405/jgphun/jr/men/i/long/rou/zoltan_kelemen/,60.86,16J,https://skatingscores.com/0405/jgphun/jr/men/results/,99.58,18J
1,2004/05,JGP ROU,https://skatingscores.com/0405/jgprou/,Miercurea-Ciuc,2004-10-12,https://skatingscores.com/0405/jgprou/jr/men/i/short/rou/zoltan_kelemen/,27.88,21J,https://skatingscores.com/0405/jgprou/jr/men/i/long/rou/zoltan_kelemen/,54.76,17J,https://skatingscores.com/0405/jgprou/jr/men/results/,82.64,19J
2,2004/05,Jr Worlds,https://skatingscores.com/0405/wjc/,"Kitchener, ON",2005-02-28,,0.0,,,0.0,,https://skatingscores.com/0405/wjc/jr/men/results/,0.0,39
3,2005/06,JGP BUL,https://skatingscores.com/0506/jgpbul/,Sofia,2005-09-29,https://skatingscores.com/0506/jgpbul/jr/men/i/short/rou/zoltan_kelemen/,31.32,23J,https://skatingscores.com/0506/jgpbul/jr/men/i/long/rou/zoltan_kelemen/,69.94,15J,https://skatingscores.com/0506/jgpbul/jr/men/results/,101.26,18J
4,2005/06,JGP CRO,https://skatingscores.com/0506/jgpcro/,Zagreb,2005-10-06,https://skatingscores.com/0506/jgpcro/jr/men/i/short/rou/zoltan_kelemen/,31.27,19J,https://skatingscores.com/0506/jgpcro/jr/men/i/long/rou/zoltan_kelemen/,54.08,19J,https://skatingscores.com/0506/jgpcro/jr/men/results/,85.35,19J
5,2005/06,Golden Spin,https://skatingscores.com/0506/gldspn/,Zagreb,2005-11-10,https://skatingscores.com/0506/gldspn/sr/men/i/short/rou/zoltan_kelemen/,37.97,21,https://skatingscores.com/0506/gldspn/sr/men/i/long/rou/zoltan_kelemen/,72.35,22,https://skatingscores.com/0506/gldspn/sr/men/results/,110.32,22
6,2005/06,Jr Worlds,https://skatingscores.com/0506/wjc/,Ljubljana,2006-03-06,,0.0,,,0.0,,https://skatingscores.com/0506/wjc/jr/men/results/,0.0,36
7,2006/07,Golden Spin,https://skatingscores.com/0607/gldspn/,Zagreb,2006-11-16,https://skatingscores.com/0607/gldspn/sr/men/i/short/rou/zoltan_kelemen/,33.91,17,https://skatingscores.com/0607/gldspn/sr/men/i/long/rou/zoltan_kelemen/,69.34,14,https://skatingscores.com/0607/gldspn/sr/men/results/,103.25,16
8,2006/07,Europeans,https://skatingscores.com/0607/ec/,Warsaw,2007-01-22,https://skatingscores.com/0607/ec/sr/men/i/short/rou/zoltan_kelemen/,32.7,32,,0.0,,https://skatingscores.com/0607/ec/sr/men/results/,32.7,32
9,2006/07,Worlds,https://skatingscores.com/0607/wc/,"Tokyo, Tokyo",2007-03-20,https://skatingscores.com/0607/wc/sr/men/i/short/rou/zoltan_kelemen/,33.71,41,,0.0,,https://skatingscores.com/0607/wc/sr/men/results/,33.71,41
