,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2008/09,RUS Nationals,https://skatingscores.com/0809/natrus/,Kazan,2008-12-01,https://skatingscores.com/0809/natrus/sr/women/i/short/rus/adelina_sotnikova/,54.93,1,https://skatingscores.com/0809/natrus/sr/women/i/long/rus/adelina_sotnikova/,105.62,2,https://skatingscores.com/0809/natrus/sr/women/results/,160.55,1
1,2009/10,RUS Nationals,https://skatingscores.com/0910/natrus/,St. Petersburg,2009-12-23,https://skatingscores.com/0910/natrus/sr/women/i/short/rus/adelina_sotnikova/,59.77,3,https://skatingscores.com/0910/natrus/sr/women/i/long/rus/adelina_sotnikova/,112.92,4,https://skatingscores.com/0910/natrus/sr/women/results/,172.69,4
2,2009/10,RUS Nationals,https://skatingscores.com/0910/natrus/,Saransk,2010-02-03,https://skatingscores.com/0910/natrus/jr/women/i/short/rus/adelina_sotnikova/,57.28,4J,https://skatingscores.com/0910/natrus/jr/women/i/long/rus/adelina_sotnikova/,93.5,6J,https://skatingscores.com/0910/natrus/jr/women/results/,150.78,6J
3,2010/11,JGP AUT,https://skatingscores.com/1011/jgpaut/,Graz,2010-09-15,https://skatingscores.com/1011/jgpaut/jr/women/i/short/rus/adelina_sotnikova/,61.32,1J,https://skatingscores.com/1011/jgpaut/jr/women/i/long/rus/adelina_sotnikova/,117.65,1J,https://skatingscores.com/1011/jgpaut/jr/women/results/,178.97,1J
4,2010/11,JGP GBR,https://skatingscores.com/1011/jgpgbr/,Sheffield,2010-09-29,https://skatingscores.com/1011/jgpgbr/jr/women/i/short/rus/adelina_sotnikova/,59.39,1J,https://skatingscores.com/1011/jgpgbr/jr/women/i/long/rus/adelina_sotnikova/,107.31,1J,https://skatingscores.com/1011/jgpgbr/jr/women/results/,166.7,1J
5,2010/11,JGP Final,https://skatingscores.com/1011/jgpf/,Beijing,2010-12-08,https://skatingscores.com/1011/jgpf/jr/women/i/short/rus/adelina_sotnikova/,57.27,1J,https://skatingscores.com/1011/jgpf/jr/women/i/long/rus/adelina_sotnikova/,112.54,1J,https://skatingscores.com/1011/jgpf/jr/women/results/,169.81,1J
6,2010/11,RUS Nationals,https://skatingscores.com/1011/natrus/,Saransk,2010-12-24,https://skatingscores.com/1011/natrus/sr/women/i/short/rus/adelina_sotnikova/,63.79,2,https://skatingscores.com/1011/natrus/sr/women/i/long/rus/adelina_sotnikova/,133.65,1,https://skatingscores.com/1011/natrus/sr/women/results/,197.44,1
7,2010/11,Jr Worlds,https://skatingscores.com/1011/wjc/,Gangneung,2011-02-27,https://skatingscores.com/1011/wjc/jr/women/i/short/rus/adelina_sotnikova/,59.51,1J,https://skatingscores.com/1011/wjc/jr/women/i/long/rus/adelina_sotnikova/,115.45,1J,https://skatingscores.com/1011/wjc/jr/women/results/,174.96,1J
8,2011/12,GPCHN,https://skatingscores.com/1112/gpchn/,Shanghai,2011-11-03,https://skatingscores.com/1112/gpchn/sr/women/i/short/rus/adelina_sotnikova/,53.74,3,https://skatingscores.com/1112/gpchn/sr/women/i/long/rus/adelina_sotnikova/,106.21,3,https://skatingscores.com/1112/gpchn/sr/women/results/,159.95,3
9,2011/12,GPRUS,https://skatingscores.com/1112/gprus/,Moscow,2011-11-24,https://skatingscores.com/1112/gprus/sr/women/i/short/rus/adelina_sotnikova/,57.79,3,https://skatingscores.com/1112/gprus/sr/women/i/long/rus/adelina_sotnikova/,111.96,3,https://skatingscores.com/1112/gprus/sr/women/results/,169.75,3
10,2011/12,Golden Spin,https://skatingscores.com/1112/gldspn/,Zagreb,2011-12-04,https://skatingscores.com/1112/gldspn/sr/women/i/short/rus/adelina_sotnikova/,51.83,2,https://skatingscores.com/1112/gldspn/sr/women/i/long/rus/adelina_sotnikova/,110.64,1,https://skatingscores.com/1112/gldspn/sr/women/results/,162.47,1
11,2011/12,RUS Nationals,https://skatingscores.com/1112/natrus/,Saransk,2011-12-24,https://skatingscores.com/1112/natrus/sr/women/i/short/rus/adelina_sotnikova/,68.65,1,https://skatingscores.com/1112/natrus/sr/women/i/long/rus/adelina_sotnikova/,125.06,2,https://skatingscores.com/1112/natrus/sr/women/results/,193.71,1
12,2011/12,Youth Olys,https://skatingscores.com/1112/yog/,Innsbruck,2012-01-04,https://skatingscores.com/1112/yog/jr/women/i/short/rus/adelina_sotnikova/,59.44,2J,https://skatingscores.com/1112/yog/jr/women/i/long/rus/adelina_sotnikova/,99.64,3J,https://skatingscores.com/1112/yog/jr/women/results/,159.08,2J
13,2011/12,Jr Worlds,https://skatingscores.com/1112/wjc/,Minsk,2012-02-27,https://skatingscores.com/1112/wjc/jr/women/i/short/rus/adelina_sotnikova/,56.57,3J,https://skatingscores.com/1112/wjc/jr/women/i/long/rus/adelina_sotnikova/,111.88,3J,https://skatingscores.com/1112/wjc/jr/women/results/,168.45,3J
14,2011/12,WTT,https://skatingscores.com/1112/wtt/,"Tokyo, Tokyo",2012-04-18,https://skatingscores.com/1112/wtt/sr/women/i/short/rus/adelina_sotnikova/,56.12,6P,https://skatingscores.com/1112/wtt/sr/women/i/long/rus/adelina_sotnikova/,113.57,4P,https://skatingscores.com/1112/wtt/sr/women/results/,169.69,4P
15,2012/13,Nebelhorn,https://skatingscores.com/1213/nebtro/,Oberstdorf,2012-09-26,https://skatingscores.com/1213/nebtro/sr/women/i/short/rus/adelina_sotnikova/,58.48,1,https://skatingscores.com/1213/nebtro/sr/women/i/long/rus/adelina_sotnikova/,109.75,2,https://skatingscores.com/1213/nebtro/sr/women/results/,168.23,2
16,2012/13,GPUSA,https://skatingscores.com/1213/gpusa/,"Seattle/Kent, WA",2012-10-19,https://skatingscores.com/1213/gpusa/sr/women/i/short/rus/adelina_sotnikova/,58.93,2,https://skatingscores.com/1213/gpusa/sr/women/i/long/rus/adelina_sotnikova/,110.03,3,https://skatingscores.com/1213/gpusa/sr/women/results/,168.96,3
17,2012/13,GPRUS,https://skatingscores.com/1213/gprus/,Moscow,2012-11-08,https://skatingscores.com/1213/gprus/sr/women/i/short/rus/adelina_sotnikova/,57.11,5,https://skatingscores.com/1213/gprus/sr/women/i/long/rus/adelina_sotnikova/,100.87,7,https://skatingscores.com/1213/gprus/sr/women/results/,157.98,5
18,2012/13,RUS Nationals,https://skatingscores.com/1213/natrus/,Sochi,2012-12-24,https://skatingscores.com/1213/natrus/sr/women/i/short/rus/adelina_sotnikova/,66.99,2,https://skatingscores.com/1213/natrus/sr/women/i/long/rus/adelina_sotnikova/,123.76,3,https://skatingscores.com/1213/natrus/sr/women/results/,190.75,3
19,2012/13,Europeans,https://skatingscores.com/1213/ec/,Zagreb,2013-01-23,https://skatingscores.com/1213/ec/sr/women/i/short/rus/adelina_sotnikova/,67.61,1,https://skatingscores.com/1213/ec/sr/women/i/long/rus/adelina_sotnikova/,126.38,3,https://skatingscores.com/1213/ec/sr/women/results/,193.99,2
20,2012/13,Worlds,https://skatingscores.com/1213/wc/,"London, ON",2013-03-11,https://skatingscores.com/1213/wc/sr/women/i/short/rus/adelina_sotnikova/,59.62,8,https://skatingscores.com/1213/wc/sr/women/i/long/rus/adelina_sotnikova/,116.36,9,https://skatingscores.com/1213/wc/sr/women/results/,175.98,9
21,2012/13,WTT,https://skatingscores.com/1213/wtt/,"Tokyo, Tokyo",2013-04-11,https://skatingscores.com/1213/wtt/sr/women/i/short/rus/adelina_sotnikova/,67.13,1P,https://skatingscores.com/1213/wtt/sr/women/i/long/rus/adelina_sotnikova/,115.97,6P,https://skatingscores.com/1213/wtt/sr/women/results/,183.1,4P
22,2013/14,Japan Open,https://skatingscores.com/1314/jpnopn/,"Saitama, Saitama",2013-10-05,,0.0,,https://skatingscores.com/1314/jpnopn/sr/women/i/long/rus/adelina_sotnikova/,105.95,4P,,0.0,4P
23,2013/14,GPCHN,https://skatingscores.com/1314/gpchn/,Beijing,2013-11-01,https://skatingscores.com/1314/gpchn/sr/women/i/short/rus/adelina_sotnikova/,66.03,1,https://skatingscores.com/1314/gpchn/sr/women/i/long/rus/adelina_sotnikova/,108.67,3,https://skatingscores.com/1314/gpchn/sr/women/results/,174.7,2
24,2013/14,GPFRA,https://skatingscores.com/1314/gpfra/,Paris,2013-11-15,https://skatingscores.com/1314/gpfra/sr/women/i/short/rus/adelina_sotnikova/,60.01,3,https://skatingscores.com/1314/gpfra/sr/women/i/long/rus/adelina_sotnikova/,129.8,1,https://skatingscores.com/1314/gpfra/sr/women/results/,189.81,2
25,2013/14,GPF,https://skatingscores.com/1314/gpf/,"Fukuoka, Fukuoka",2013-12-05,https://skatingscores.com/1314/gpf/sr/women/i/short/rus/adelina_sotnikova/,68.38,2,https://skatingscores.com/1314/gpf/sr/women/i/long/rus/adelina_sotnikova/,104.92,6,https://skatingscores.com/1314/gpf/sr/women/results/,173.3,5
26,2013/14,RUS Nationals,https://skatingscores.com/1314/natrus/,Sochi,2013-12-22,https://skatingscores.com/1314/natrus/sr/women/i/short/rus/adelina_sotnikova/,72.53,1,https://skatingscores.com/1314/natrus/sr/women/i/long/rus/adelina_sotnikova/,140.24,2,https://skatingscores.com/1314/natrus/sr/women/results/,212.77,1
27,2013/14,Europeans,https://skatingscores.com/1314/ec/,Budapest,2014-01-13,https://skatingscores.com/1314/ec/sr/women/i/short/rus/adelina_sotnikova/,70.73,1,https://skatingscores.com/1314/ec/sr/women/i/long/rus/adelina_sotnikova/,131.63,2,https://skatingscores.com/1314/ec/sr/women/results/,202.36,2
28,2013/14,Olympics,https://skatingscores.com/1314/oly/,Sochi,2014-02-11,https://skatingscores.com/1314/oly/sr/women/i/short/rus/adelina_sotnikova/,74.64,2,https://skatingscores.com/1314/oly/sr/women/i/long/rus/adelina_sotnikova/,149.95,1,https://skatingscores.com/1314/oly/sr/women/results/,224.59,1
29,2014/15,RUS Cup 3,https://skatingscores.com/1415/ruscup3/,Sochi,2014-10-27,https://skatingscores.com/1415/ruscup3/sr/women/i/short/rus/adelina_sotnikova/,66.63,1,https://skatingscores.com/1415/ruscup3/sr/women/i/long/rus/adelina_sotnikova/,129.68,1,https://skatingscores.com/1415/ruscup3/sr/women/results/,196.31,1
30,2015/16,Japan Open,https://skatingscores.com/1516/jpnopn/,"Saitama, Saitama",2015-10-03,,0.0,,https://skatingscores.com/1516/jpnopn/sr/women/i/long/rus/adelina_sotnikova/,118.81,4P,,0.0,4P
31,2015/16,Mordovian,https://skatingscores.com/1516/mororn/,Saransk,2015-10-15,https://skatingscores.com/1516/mororn/sr/women/i/short/rus/adelina_sotnikova/,75.57,1,https://skatingscores.com/1516/mororn/sr/women/i/long/rus/adelina_sotnikova/,128.32,2,https://skatingscores.com/1516/mororn/sr/women/results/,203.89,2
32,2015/16,GPRUS,https://skatingscores.com/1516/gprus/,Moscow,2015-11-19,https://skatingscores.com/1516/gprus/sr/women/i/short/rus/adelina_sotnikova/,65.48,4,https://skatingscores.com/1516/gprus/sr/women/i/long/rus/adelina_sotnikova/,119.63,3,https://skatingscores.com/1516/gprus/sr/women/results/,185.11,3
33,2015/16,Golden Spin,https://skatingscores.com/1516/gldspn/,Zagreb,2015-12-03,https://skatingscores.com/1516/gldspn/sr/women/i/short/rus/adelina_sotnikova/,54.43,7,https://skatingscores.com/1516/gldspn/sr/women/i/long/rus/adelina_sotnikova/,105.37,6,https://skatingscores.com/1516/gldspn/sr/women/results/,159.8,6
34,2015/16,RUS Nationals,https://skatingscores.com/1516/natrus/,Ekaterinburg,2015-12-23,https://skatingscores.com/1516/natrus/sr/women/i/short/rus/adelina_sotnikova/,69.47,6,https://skatingscores.com/1516/natrus/sr/women/i/long/rus/adelina_sotnikova/,128.51,7,https://skatingscores.com/1516/natrus/sr/women/results/,197.98,6
