,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2004/05,JGP HUN,https://skatingscores.com/0405/jgphun/,Budapest,2004-09-01,https://skatingscores.com/0405/jgphun/jr/women/i/short/swe/viktoria_helgesson/,36.33,13J,https://skatingscores.com/0405/jgphun/jr/women/i/long/swe/viktoria_helgesson/,58.59,15J,https://skatingscores.com/0405/jgphun/jr/women/results/,94.92,14J
1,2004/05,JGP GER,https://skatingscores.com/0405/jgpger/,Chemnitz,2004-10-07,https://skatingscores.com/0405/jgpger/jr/women/i/short/swe/viktoria_helgesson/,32.41,18J,https://skatingscores.com/0405/jgpger/jr/women/i/long/swe/viktoria_helgesson/,55.48,17J,https://skatingscores.com/0405/jgpger/jr/women/results/,87.89,17J
2,2005/06,JGP SVK,https://skatingscores.com/0506/jgpsvk/,Bratislava,2005-09-01,https://skatingscores.com/0506/jgpsvk/jr/women/i/short/swe/viktoria_helgesson/,36.24,15J,https://skatingscores.com/0506/jgpsvk/jr/women/i/long/swe/viktoria_helgesson/,55.78,16J,https://skatingscores.com/0506/jgpsvk/jr/women/results/,92.02,16J
3,2005/06,SWE Nationals,https://skatingscores.com/0506/natswe/,Karlskrona,2005-12-07,https://skatingscores.com/0506/natswe/sr/women/i/short/swe/viktoria_helgesson/,32.98,2,https://skatingscores.com/0506/natswe/sr/women/i/long/swe/viktoria_helgesson/,61.56,2,https://skatingscores.com/0506/natswe/sr/women/results/,94.54,2
4,2006/07,Cup of Nice,https://skatingscores.com/0607/cupnic/,Nice,2006-11-09,https://skatingscores.com/0607/cupnic/sr/women/i/short/swe/viktoria_helgesson/,37.38,4,https://skatingscores.com/0607/cupnic/sr/women/i/long/swe/viktoria_helgesson/,67.77,4,https://skatingscores.com/0607/cupnic/sr/women/results/,105.15,3
5,2006/07,SWE Nationals,https://skatingscores.com/0607/natswe/,Borås,2006-12-04,https://skatingscores.com/0607/natswe/sr/women/i/short/swe/viktoria_helgesson/,46.16,2,https://skatingscores.com/0607/natswe/sr/women/i/long/swe/viktoria_helgesson/,81.72,1,https://skatingscores.com/0607/natswe/sr/women/results/,127.88,1
6,2006/07,Nordics,https://skatingscores.com/0607/nordic/,Helsinki,2007-02-08,https://skatingscores.com/0607/nordic/sr/women/i/short/swe/viktoria_helgesson/,37.21,5,https://skatingscores.com/0607/nordic/sr/women/i/long/swe/viktoria_helgesson/,69.98,6,https://skatingscores.com/0607/nordic/sr/women/results/,107.19,6
7,2006/07,Jr Worlds,https://skatingscores.com/0607/wjc/,Oberstdorf,2007-02-26,https://skatingscores.com/0607/wjc/jr/women/i/short/swe/viktoria_helgesson/,36.42,27J,,0.0,,https://skatingscores.com/0607/wjc/jr/women/results/,36.42,28
8,2007/08,JGP AUT,https://skatingscores.com/0708/jgpaut/,Vienna,2007-09-13,https://skatingscores.com/0708/jgpaut/jr/women/i/short/swe/viktoria_helgesson/,41.28,8J,https://skatingscores.com/0708/jgpaut/jr/women/i/long/swe/viktoria_helgesson/,72.34,8J,https://skatingscores.com/0708/jgpaut/jr/women/results/,113.62,8J
9,2007/08,JGP BUL,https://skatingscores.com/0708/jgpbul/,Sofia,2007-10-04,https://skatingscores.com/0708/jgpbul/jr/women/i/short/swe/viktoria_helgesson/,40.63,4J,https://skatingscores.com/0708/jgpbul/jr/women/i/long/swe/viktoria_helgesson/,69.56,7J,https://skatingscores.com/0708/jgpbul/jr/women/results/,110.19,4J
10,2007/08,Finlandia,https://skatingscores.com/0708/fintro/,Vantaa,2007-10-07,https://skatingscores.com/0708/fintro/sr/women/i/short/swe/viktoria_helgesson/,45.62,9,https://skatingscores.com/0708/fintro/sr/women/i/long/swe/viktoria_helgesson/,62.31,14,https://skatingscores.com/0708/fintro/sr/women/results/,107.93,11
11,2007/08,SWE Nationals,https://skatingscores.com/0708/natswe/,Göteborg,2007-12-07,https://skatingscores.com/0708/natswe/sr/women/i/short/swe/viktoria_helgesson/,46.05,1,https://skatingscores.com/0708/natswe/sr/women/i/long/swe/viktoria_helgesson/,83.17,1,https://skatingscores.com/0708/natswe/sr/women/results/,129.22,1
12,2007/08,Europeans,https://skatingscores.com/0708/ec/,Zagreb,2008-01-21,https://skatingscores.com/0708/ec/sr/women/i/short/swe/viktoria_helgesson/,44.07,16,https://skatingscores.com/0708/ec/sr/women/i/long/swe/viktoria_helgesson/,77.35,19,https://skatingscores.com/0708/ec/sr/women/results/,121.42,18
13,2007/08,Nordics,https://skatingscores.com/0708/nordic/,Reykjavík,2008-02-07,https://skatingscores.com/0708/nordic/sr/women/i/short/swe/viktoria_helgesson/,45.09,1,https://skatingscores.com/0708/nordic/sr/women/i/long/swe/viktoria_helgesson/,78.96,1,https://skatingscores.com/0708/nordic/sr/women/results/,124.05,1
14,2007/08,Challenge Cup,https://skatingscores.com/0708/chacup/,The Hague,2008-03-06,https://skatingscores.com/0708/chacup/sr/women/i/short/swe/viktoria_helgesson/,39.92,5,https://skatingscores.com/0708/chacup/sr/women/i/long/swe/viktoria_helgesson/,71.94,5,https://skatingscores.com/0708/chacup/sr/women/results/,111.86,5
15,2007/08,Worlds,https://skatingscores.com/0708/wc/,Göteborg,2008-03-16,https://skatingscores.com/0708/wc/sr/women/i/short/swe/viktoria_helgesson/,49.68,16,https://skatingscores.com/0708/wc/sr/women/i/long/swe/viktoria_helgesson/,78.28,20,https://skatingscores.com/0708/wc/sr/women/results/,127.96,18
16,2008/09,Schäfer Mem.,https://skatingscores.com/0809/krlsfr/,Vienna,2008-10-14,https://skatingscores.com/0809/krlsfr/sr/women/i/short/swe/viktoria_helgesson/,37.59,10,https://skatingscores.com/0809/krlsfr/sr/women/i/long/swe/viktoria_helgesson/,81.44,4,https://skatingscores.com/0809/krlsfr/sr/women/results/,119.03,5
