,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2005/06,US Nationals,https://skatingscores.com/0506/natusa/,"St. Louis, MO",2006-01-07,https://skatingscores.com/0506/natusa/jr/women/i/short/usa/ashley_wagner/,45.85,2J,https://skatingscores.com/0506/natusa/jr/women/i/long/usa/ashley_wagner/,86.6,4J,https://skatingscores.com/0506/natusa/jr/women/results/,132.45,4J
1,2006/07,JGP FRA,https://skatingscores.com/0607/jgpfra/,Courchevel,2006-08-23,https://skatingscores.com/0607/jgpfra/jr/women/i/short/usa/ashley_wagner/,49.52,1J,https://skatingscores.com/0607/jgpfra/jr/women/i/long/usa/ashley_wagner/,85.43,1J,https://skatingscores.com/0607/jgpfra/jr/women/results/,134.95,1J
2,2006/07,JGP NED,https://skatingscores.com/0607/jgpned/,The Hague,2006-10-05,https://skatingscores.com/0607/jgpned/jr/women/i/short/usa/ashley_wagner/,44.98,4J,https://skatingscores.com/0607/jgpned/jr/women/i/long/usa/ashley_wagner/,89.0,1J,https://skatingscores.com/0607/jgpned/jr/women/results/,133.98,1J
3,2006/07,JGP Final,https://skatingscores.com/0607/jgpf/,Sofia,2006-12-07,https://skatingscores.com/0607/jgpf/jr/women/i/short/usa/ashley_wagner/,48.65,3J,https://skatingscores.com/0607/jgpf/jr/women/i/long/usa/ashley_wagner/,93.36,2J,https://skatingscores.com/0607/jgpf/jr/women/results/,142.01,2J
4,2006/07,US Nationals,https://skatingscores.com/0607/natusa/,"Spokane, WA",2007-01-21,https://skatingscores.com/0607/natusa/jr/women/i/short/usa/ashley_wagner/,51.2,4J,https://skatingscores.com/0607/natusa/jr/women/i/long/usa/ashley_wagner/,94.66,3J,https://skatingscores.com/0607/natusa/jr/women/results/,145.86,3J
5,2006/07,Jr Worlds,https://skatingscores.com/0607/wjc/,Oberstdorf,2007-02-26,https://skatingscores.com/0607/wjc/jr/women/i/short/usa/ashley_wagner/,51.67,3J,https://skatingscores.com/0607/wjc/jr/women/i/long/usa/ashley_wagner/,105.48,3J,https://skatingscores.com/0607/wjc/jr/women/results/,157.15,3J
6,2007/08,GPCAN,https://skatingscores.com/0708/gpcan/,"Quebec City, QC",2007-11-01,https://skatingscores.com/0708/gpcan/sr/women/i/short/usa/ashley_wagner/,50.86,8,https://skatingscores.com/0708/gpcan/sr/women/i/long/usa/ashley_wagner/,99.2,5,https://skatingscores.com/0708/gpcan/sr/women/results/,150.06,5
7,2007/08,GPFRA,https://skatingscores.com/0708/gpfra/,Paris,2007-11-15,https://skatingscores.com/0708/gpfra/sr/women/i/short/usa/ashley_wagner/,50.48,5,https://skatingscores.com/0708/gpfra/sr/women/i/long/usa/ashley_wagner/,108.15,2,https://skatingscores.com/0708/gpfra/sr/women/results/,158.63,3
8,2007/08,US Nationals,https://skatingscores.com/0708/natusa/,"Saint Paul, MN",2008-01-20,https://skatingscores.com/0708/natusa/sr/women/i/short/usa/ashley_wagner/,65.15,2,https://skatingscores.com/0708/natusa/sr/women/i/long/usa/ashley_wagner/,123.41,2,https://skatingscores.com/0708/natusa/sr/women/results/,188.56,3
9,2007/08,4CC,https://skatingscores.com/0708/4cc/,Goyang,2008-02-11,https://skatingscores.com/0708/4cc/sr/women/i/short/usa/ashley_wagner/,47.29,12,https://skatingscores.com/0708/4cc/sr/women/i/long/usa/ashley_wagner/,105.17,5,https://skatingscores.com/0708/4cc/sr/women/results/,152.46,8
10,2007/08,Worlds,https://skatingscores.com/0708/wc/,Göteborg,2008-03-16,https://skatingscores.com/0708/wc/sr/women/i/short/usa/ashley_wagner/,51.49,11,https://skatingscores.com/0708/wc/sr/women/i/long/usa/ashley_wagner/,85.91,15,https://skatingscores.com/0708/wc/sr/women/results/,137.4,16
11,2008/09,GPCHN,https://skatingscores.com/0809/gpchn/,Beijing,2008-11-06,https://skatingscores.com/0809/gpchn/sr/women/i/short/usa/ashley_wagner/,55.4,4,https://skatingscores.com/0809/gpchn/sr/women/i/long/usa/ashley_wagner/,100.19,4,https://skatingscores.com/0809/gpchn/sr/women/results/,155.59,4
