,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2009/10,US Nationals,https://skatingscores.com/0910/natusa/,"Spokane, WA",2010-01-15,https://skatingscores.com/0910/natusa/nov/women/i/short/usa/gracie_gold/,38.59,6N,https://skatingscores.com/0910/natusa/nov/women/i/long/usa/gracie_gold/,85.02,4N,https://skatingscores.com/0910/natusa/nov/women/results/,123.61,4N
1,2010/11,USA MidWest,https://skatingscores.com/1011/usmsec/,"Ann Arbor, MI",2010-11-11,https://skatingscores.com/1011/usmsec/jr/women/i/short/usa/gracie_gold/,40.52,6J,https://skatingscores.com/1011/usmsec/jr/women/i/long/usa/gracie_gold/,75.55,6J,https://skatingscores.com/1011/usmsec/jr/women/results/,116.07,6J
2,2011/12,JGP EST,https://skatingscores.com/1112/jgpest/,Tallinn,2011-10-13,https://skatingscores.com/1112/jgpest/jr/women/i/short/usa/gracie_gold/,60.18,1J,https://skatingscores.com/1112/jgpest/jr/women/i/long/usa/gracie_gold/,112.51,1J,https://skatingscores.com/1112/jgpest/jr/women/results/,172.69,1J
3,2011/12,USA MidWest,https://skatingscores.com/1112/usmsec/,"Fort Collins, CO",2011-11-17,https://skatingscores.com/1112/usmsec/jr/women/i/short/usa/gracie_gold/,59.18,1J,https://skatingscores.com/1112/usmsec/jr/women/i/long/usa/gracie_gold/,115.72,1J,https://skatingscores.com/1112/usmsec/jr/women/results/,174.9,1J
4,2011/12,US Nationals,https://skatingscores.com/1112/natusa/,"San Jose, CA",2012-01-22,https://skatingscores.com/1112/natusa/jr/women/i/short/usa/gracie_gold/,60.21,1J,https://skatingscores.com/1112/natusa/jr/women/i/long/usa/gracie_gold/,118.71,1J,https://skatingscores.com/1112/natusa/jr/women/results/,178.92,1J
5,2011/12,Jr Worlds,https://skatingscores.com/1112/wjc/,Minsk,2012-02-27,https://skatingscores.com/1112/wjc/jr/women/i/short/usa/gracie_gold/,58.0,2J,https://skatingscores.com/1112/wjc/jr/women/i/long/usa/gracie_gold/,113.85,2J,https://skatingscores.com/1112/wjc/jr/women/results/,171.85,2J
6,2011/12,WTT,https://skatingscores.com/1112/wtt/,"Tokyo, Tokyo",2012-04-18,https://skatingscores.com/1112/wtt/sr/women/i/short/usa/gracie_gold/,59.07,4P,https://skatingscores.com/1112/wtt/sr/women/i/long/usa/gracie_gold/,110.58,5P,https://skatingscores.com/1112/wtt/sr/women/results/,169.65,5P
7,2012/13,US Classic,https://skatingscores.com/1213/uscla/,"Salt Lake City, UT",2012-09-16,https://skatingscores.com/1213/uscla/sr/women/i/short/usa/gracie_gold/,59.37,2,https://skatingscores.com/1213/uscla/sr/women/i/long/usa/gracie_gold/,111.78,1,https://skatingscores.com/1213/uscla/sr/women/results/,171.15,2
8,2012/13,GPCAN,https://skatingscores.com/1213/gpcan/,"Windsor, ON",2012-10-26,https://skatingscores.com/1213/gpcan/sr/women/i/short/usa/gracie_gold/,52.19,9,https://skatingscores.com/1213/gpcan/sr/women/i/long/usa/gracie_gold/,99.38,6,https://skatingscores.com/1213/gpcan/sr/women/results/,151.57,7
9,2012/13,GPRUS,https://skatingscores.com/1213/gprus/,Moscow,2012-11-08,https://skatingscores.com/1213/gprus/sr/women/i/short/usa/gracie_gold/,62.16,1,https://skatingscores.com/1213/gprus/sr/women/i/long/usa/gracie_gold/,112.87,2,https://skatingscores.com/1213/gprus/sr/women/results/,175.03,2
