,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2006/07,US Nationals,https://skatingscores.com/0607/natusa/,"Cleveland, OH",2006-11-26,,0.0,,https://skatingscores.com/0607/natusa/juv/men/i/long/usa/jason_brown/,71.26,1V,https://skatingscores.com/0607/natusa/juv/men/results/,71.26,1V
1,2007/08,US Nationals,https://skatingscores.com/0708/natusa/,"Salt Lake City, UT",2007-11-26,https://skatingscores.com/0708/natusa/int/men/i/short/usa/jason_brown/,30.06,5I,https://skatingscores.com/0708/natusa/int/men/i/long/usa/jason_brown/,64.39,2I,https://skatingscores.com/0708/natusa/int/men/results/,94.45,2I
2,2008/09,US Nationals,https://skatingscores.com/0809/natusa/,"Cleveland, OH",2009-01-18,https://skatingscores.com/0809/natusa/nov/men/i/short/usa/jason_brown/,44.24,2N,https://skatingscores.com/0809/natusa/nov/men/i/long/usa/jason_brown/,88.6,3N,https://skatingscores.com/0809/natusa/nov/men/results/,132.84,3N
3,2009/10,US Nationals,https://skatingscores.com/0910/natusa/,"Spokane, WA",2010-01-15,https://skatingscores.com/0910/natusa/jr/men/i/short/usa/jason_brown/,62.1,2J,https://skatingscores.com/0910/natusa/jr/men/i/long/usa/jason_brown/,133.12,2J,https://skatingscores.com/0910/natusa/jr/men/results/,195.22,1J
4,2010/11,JGP FRA,https://skatingscores.com/1011/jgpfra/,Courchevel,2010-08-25,https://skatingscores.com/1011/jgpfra/jr/men/i/short/usa/jason_brown/,58.0,3J,https://skatingscores.com/1011/jgpfra/jr/men/i/long/usa/jason_brown/,122.57,1J,https://skatingscores.com/1011/jgpfra/jr/men/results/,180.57,2J
5,2010/11,JGP JPN,https://skatingscores.com/1011/jgpjpn/,"Karuizawa, Nagano",2010-09-22,https://skatingscores.com/1011/jgpjpn/jr/men/i/short/usa/jason_brown/,57.13,4J,https://skatingscores.com/1011/jgpjpn/jr/men/i/long/usa/jason_brown/,110.15,7J,https://skatingscores.com/1011/jgpjpn/jr/men/results/,167.28,6J
6,2010/11,USA MidWest,https://skatingscores.com/1011/usmsec/,"Ann Arbor, MI",2010-11-11,https://skatingscores.com/1011/usmsec/sr/men/i/short/usa/jason_brown/,63.36,1,https://skatingscores.com/1011/usmsec/sr/men/i/long/usa/jason_brown/,134.62,1,https://skatingscores.com/1011/usmsec/sr/men/results/,197.98,1
7,2010/11,US Nationals,https://skatingscores.com/1011/natusa/,"Greensboro, NC",2011-01-22,https://skatingscores.com/1011/natusa/sr/men/i/short/usa/jason_brown/,64.32,11,https://skatingscores.com/1011/natusa/sr/men/i/long/usa/jason_brown/,144.44,7,https://skatingscores.com/1011/natusa/sr/men/results/,208.76,9
8,2010/11,Jr Worlds,https://skatingscores.com/1011/wjc/,Gangneung,2011-02-27,https://skatingscores.com/1011/wjc/jr/men/i/short/usa/jason_brown/,62.64,7J,https://skatingscores.com/1011/wjc/jr/men/i/long/usa/jason_brown/,122.8,6J,https://skatingscores.com/1011/wjc/jr/men/results/,185.44,7J
9,2011/12,JGP AUS,https://skatingscores.com/1112/jgpaus/,"Brisbane, QLD",2011-09-08,https://skatingscores.com/1112/jgpaus/jr/men/i/short/usa/jason_brown/,68.2,1J,https://skatingscores.com/1112/jgpaus/jr/men/i/long/usa/jason_brown/,129.03,1J,https://skatingscores.com/1112/jgpaus/jr/men/results/,197.23,1J
10,2011/12,JGP ITA,https://skatingscores.com/1112/jgpita/,Milano,2011-10-06,https://skatingscores.com/1112/jgpita/jr/men/i/short/usa/jason_brown/,68.37,2J,https://skatingscores.com/1112/jgpita/jr/men/i/long/usa/jason_brown/,125.91,2J,https://skatingscores.com/1112/jgpita/jr/men/results/,194.28,2J
11,2011/12,JGP Final,https://skatingscores.com/1112/jgpf/,"Quebec City, QC",2011-12-08,https://skatingscores.com/1112/jgpf/jr/men/i/short/usa/jason_brown/,68.77,2J,https://skatingscores.com/1112/jgpf/jr/men/i/long/usa/jason_brown/,139.64,2J,https://skatingscores.com/1112/jgpf/jr/men/results/,208.41,1J
12,2011/12,US Nationals,https://skatingscores.com/1112/natusa/,"San Jose, CA",2012-01-22,https://skatingscores.com/1112/natusa/sr/men/i/short/usa/jason_brown/,75.68,7,https://skatingscores.com/1112/natusa/sr/men/i/long/usa/jason_brown/,133.48,14,https://skatingscores.com/1112/natusa/sr/men/results/,209.16,9
13,2011/12,Jr Worlds,https://skatingscores.com/1112/wjc/,Minsk,2012-02-27,https://skatingscores.com/1112/wjc/jr/men/i/short/usa/jason_brown/,70.2,4J,https://skatingscores.com/1112/wjc/jr/men/i/long/usa/jason_brown/,144.7,3J,https://skatingscores.com/1112/wjc/jr/men/results/,214.9,3J
14,2012/13,JGP FRA,https://skatingscores.com/1213/jgpfra/,Courchevel,2012-08-23,https://skatingscores.com/1213/jgpfra/jr/men/i/short/usa/jason_brown/,59.33,3J,https://skatingscores.com/1213/jgpfra/jr/men/i/long/usa/jason_brown/,126.48,2J,https://skatingscores.com/1213/jgpfra/jr/men/results/,185.81,2J
15,2012/13,JGP TUR,https://skatingscores.com/1213/jgptur/,Istanbul,2012-09-22,https://skatingscores.com/1213/jgptur/jr/men/i/short/usa/jason_brown/,65.95,1J,https://skatingscores.com/1213/jgptur/jr/men/i/long/usa/jason_brown/,132.21,1J,https://skatingscores.com/1213/jgptur/jr/men/results/,198.16,1J
16,2012/13,JGP Final,https://skatingscores.com/1213/jgpf/,Sochi,2012-12-06,https://skatingscores.com/1213/jgpf/jr/men/i/short/usa/jason_brown/,69.43,3J,https://skatingscores.com/1213/jgpf/jr/men/i/long/usa/jason_brown/,128.89,4J,https://skatingscores.com/1213/jgpf/jr/men/results/,198.32,4J
17,2012/13,US Nationals,https://skatingscores.com/1213/natusa/,"Omaha, NE",2013-01-20,https://skatingscores.com/1213/natusa/sr/men/i/short/usa/jason_brown/,74.05,7,https://skatingscores.com/1213/natusa/sr/men/i/long/usa/jason_brown/,149.24,8,https://skatingscores.com/1213/natusa/sr/men/results/,223.29,8
18,2012/13,Jr Worlds,https://skatingscores.com/1213/wjc/,Milano,2013-02-25,https://skatingscores.com/1213/wjc/jr/men/i/short/usa/jason_brown/,70.06,3J,https://skatingscores.com/1213/wjc/jr/men/i/long/usa/jason_brown/,154.09,1J,https://skatingscores.com/1213/wjc/jr/men/results/,224.15,2J
19,2013/14,Nebelhorn,https://skatingscores.com/1314/nebtro/,Oberstdorf,2013-09-25,https://skatingscores.com/1314/nebtro/sr/men/i/short/usa/jason_brown/,79.41,2,https://skatingscores.com/1314/nebtro/sr/men/i/long/usa/jason_brown/,149.02,2,https://skatingscores.com/1314/nebtro/sr/men/results/,228.43,2
20,2013/14,GPUSA,https://skatingscores.com/1314/gpusa/,"Detroit, MI",2013-10-17,https://skatingscores.com/1314/gpusa/sr/men/i/short/usa/jason_brown/,83.78,2,https://skatingscores.com/1314/gpusa/sr/men/i/long/usa/jason_brown/,147.25,6,https://skatingscores.com/1314/gpusa/sr/men/results/,231.03,5
21,2013/14,GPFRA,https://skatingscores.com/1314/gpfra/,Paris,2013-11-15,https://skatingscores.com/1314/gpfra/sr/men/i/short/usa/jason_brown/,84.77,3,https://skatingscores.com/1314/gpfra/sr/men/i/long/usa/jason_brown/,158.32,3,https://skatingscores.com/1314/gpfra/sr/men/results/,243.09,3
22,2013/14,US Nationals,https://skatingscores.com/1314/natusa/,"Boston, MA",2014-01-05,https://skatingscores.com/1314/natusa/sr/men/i/short/usa/jason_brown/,87.47,3,https://skatingscores.com/1314/natusa/sr/men/i/long/usa/jason_brown/,182.61,1,https://skatingscores.com/1314/natusa/sr/men/results/,270.08,2
23,2013/14,Oly Team,https://skatingscores.com/1314/olyt/,Sochi,2014-02-07,,0.0,,https://skatingscores.com/1314/olyt/sr/men/i/long/usa/jason_brown/,153.67,4,https://skatingscores.com/1314/olyt/sr/men/results/,0.0,3T
24,2013/14,Olympics,https://skatingscores.com/1314/oly/,Sochi,2014-02-11,https://skatingscores.com/1314/oly/sr/men/i/short/usa/jason_brown/,86.0,6,https://skatingscores.com/1314/oly/sr/men/i/long/usa/jason_brown/,152.37,11,https://skatingscores.com/1314/oly/sr/men/results/,238.37,9
25,2014/15,Nebelhorn,https://skatingscores.com/1415/nebtro/,Oberstdorf,2014-09-24,https://skatingscores.com/1415/nebtro/sr/men/i/short/usa/jason_brown/,83.59,1,https://skatingscores.com/1415/nebtro/sr/men/i/long/usa/jason_brown/,153.58,1,https://skatingscores.com/1415/nebtro/sr/men/results/,237.17,1
26,2014/15,GPUSA,https://skatingscores.com/1415/gpusa/,"Chicago, IL",2014-10-23,https://skatingscores.com/1415/gpusa/sr/men/i/short/usa/jason_brown/,79.75,3,https://skatingscores.com/1415/gpusa/sr/men/i/long/usa/jason_brown/,154.42,3,https://skatingscores.com/1415/gpusa/sr/men/results/,234.17,2
27,2014/15,GPRUS,https://skatingscores.com/1415/gprus/,Moscow,2014-11-13,https://skatingscores.com/1415/gprus/sr/men/i/short/usa/jason_brown/,76.32,7,https://skatingscores.com/1415/gprus/sr/men/i/long/usa/jason_brown/,159.24,4,https://skatingscores.com/1415/gprus/sr/men/results/,235.56,5
28,2014/15,US Nationals,https://skatingscores.com/1415/natusa/,"Greensboro, NC",2015-01-18,https://skatingscores.com/1415/natusa/sr/men/i/short/usa/jason_brown/,93.36,1,https://skatingscores.com/1415/natusa/sr/men/i/long/usa/jason_brown/,181.62,2,https://skatingscores.com/1415/natusa/sr/men/results/,274.98,1
29,2014/15,4CC,https://skatingscores.com/1415/4cc/,Seoul,2015-02-10,https://skatingscores.com/1415/4cc/sr/men/i/short/usa/jason_brown/,75.86,9,https://skatingscores.com/1415/4cc/sr/men/i/long/usa/jason_brown/,167.35,6,https://skatingscores.com/1415/4cc/sr/men/results/,243.21,6
30,2014/15,Worlds,https://skatingscores.com/1415/wc/,Shanghai,2015-03-26,https://skatingscores.com/1415/wc/sr/men/i/short/usa/jason_brown/,84.32,6,https://skatingscores.com/1415/wc/sr/men/i/long/usa/jason_brown/,163.97,5,https://skatingscores.com/1415/wc/sr/men/results/,248.29,4
31,2014/15,WTT,https://skatingscores.com/1415/wtt/,"Tokyo, Tokyo",2015-04-16,https://skatingscores.com/1415/wtt/sr/men/i/short/usa/jason_brown/,86.48,3P,https://skatingscores.com/1415/wtt/sr/men/i/long/usa/jason_brown/,176.69,2P,https://skatingscores.com/1415/wtt/sr/men/results/,263.17,2P
32,2015/16,Nepela Mem.,https://skatingscores.com/1516/nepmem/,Bratislava,2015-10-01,https://skatingscores.com/1516/nepmem/sr/men/i/short/usa/jason_brown/,76.98,2,https://skatingscores.com/1516/nepmem/sr/men/i/long/usa/jason_brown/,162.39,1,https://skatingscores.com/1516/nepmem/sr/men/results/,239.37,1
33,2015/16,GPUSA,https://skatingscores.com/1516/gpusa/,"Milwaukee, WI",2015-10-22,https://skatingscores.com/1516/gpusa/sr/men/i/short/usa/jason_brown/,78.64,8,https://skatingscores.com/1516/gpusa/sr/men/i/long/usa/jason_brown/,159.83,3,https://skatingscores.com/1516/gpusa/sr/men/results/,238.47,3
34,2015/16,Ice Challenge,https://skatingscores.com/1516/icecha/,Graz,2015-10-27,https://skatingscores.com/1516/icecha/sr/men/i/short/usa/jason_brown/,85.29,1,https://skatingscores.com/1516/icecha/sr/men/i/long/usa/jason_brown/,155.36,4,https://skatingscores.com/1516/icecha/sr/men/results/,240.65,2
35,2015/16,Team Cha.,https://skatingscores.com/1516/teamcc/,"Spokane, WA",2016-04-22,https://skatingscores.com/1516/teamcc/sr/men/i/short/usa/jason_brown/,87.72,4P,https://skatingscores.com/1516/teamcc/sr/men/i/long/usa/jason_brown/,181.5,2P,https://skatingscores.com/1516/teamcc/sr/men/results/,269.22,2P
36,2016/17,Lombardia,https://skatingscores.com/1617/lomtro/,Bergamo,2016-09-08,https://skatingscores.com/1617/lomtro/sr/men/i/short/usa/jason_brown/,81.58,2,https://skatingscores.com/1617/lomtro/sr/men/i/long/usa/jason_brown/,174.91,1,https://skatingscores.com/1617/lomtro/sr/men/results/,256.49,2
37,2016/17,US Classic,https://skatingscores.com/1617/uscla/,"Salt Lake City, UT",2016-09-14,https://skatingscores.com/1617/uscla/sr/men/i/short/usa/jason_brown/,83.18,2,https://skatingscores.com/1617/uscla/sr/men/i/long/usa/jason_brown/,170.86,1,https://skatingscores.com/1617/uscla/sr/men/results/,254.04,1
38,2016/17,GPUSA,https://skatingscores.com/1617/gpusa/,"Chicago, IL",2016-10-21,https://skatingscores.com/1617/gpusa/sr/men/i/short/usa/jason_brown/,85.75,3,https://skatingscores.com/1617/gpusa/sr/men/i/long/usa/jason_brown/,182.63,2,https://skatingscores.com/1617/gpusa/sr/men/results/,268.38,2
