,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2005/06,Nebelhorn,https://skatingscores.com/0506/nebtro/,Oberstdorf,2005-09-29,https://skatingscores.com/0506/nebtro/sr/men/i/short/usa/jeremy_abbott/,35.41,21,https://skatingscores.com/0506/nebtro/sr/men/i/long/usa/jeremy_abbott/,88.51,17,https://skatingscores.com/0506/nebtro/sr/men/results/,123.92,18
1,2006/07,Finlandia,https://skatingscores.com/0607/fintro/,Vantaa,2006-10-07,https://skatingscores.com/0607/fintro/sr/men/i/short/usa/jeremy_abbott/,67.6,2,https://skatingscores.com/0607/fintro/sr/men/i/long/usa/jeremy_abbott/,119.66,2,https://skatingscores.com/0607/fintro/sr/men/results/,187.26,1
2,2006/07,US Nationals,https://skatingscores.com/0607/natusa/,"Spokane, WA",2007-01-21,https://skatingscores.com/0607/natusa/sr/men/i/short/usa/jeremy_abbott/,64.48,9,https://skatingscores.com/0607/natusa/sr/men/i/long/usa/jeremy_abbott/,136.47,3,https://skatingscores.com/0607/natusa/sr/men/results/,200.95,4
3,2006/07,4CC,https://skatingscores.com/0607/4cc/,"Colorado Springs, CO",2007-02-07,https://skatingscores.com/0607/4cc/sr/men/i/short/usa/jeremy_abbott/,74.34,2,https://skatingscores.com/0607/4cc/sr/men/i/long/usa/jeremy_abbott/,128.88,4,https://skatingscores.com/0607/4cc/sr/men/results/,203.22,3
4,2007/08,GPCAN,https://skatingscores.com/0708/gpcan/,"Quebec City, QC",2007-11-01,https://skatingscores.com/0708/gpcan/sr/men/i/short/usa/jeremy_abbott/,44.75,11,https://skatingscores.com/0708/gpcan/sr/men/i/long/usa/jeremy_abbott/,126.31,4,https://skatingscores.com/0708/gpcan/sr/men/results/,171.06,8
5,2007/08,GPJPN,https://skatingscores.com/0708/gpjpn/,"Sendai, Miyagi",2007-11-29,https://skatingscores.com/0708/gpjpn/sr/men/i/short/usa/jeremy_abbott/,58.27,12,https://skatingscores.com/0708/gpjpn/sr/men/i/long/usa/jeremy_abbott/,129.29,4,https://skatingscores.com/0708/gpjpn/sr/men/results/,187.56,4
6,2007/08,US Nationals,https://skatingscores.com/0708/natusa/,"Saint Paul, MN",2008-01-20,https://skatingscores.com/0708/natusa/sr/men/i/short/usa/jeremy_abbott/,73.28,5,https://skatingscores.com/0708/natusa/sr/men/i/long/usa/jeremy_abbott/,148.57,4,https://skatingscores.com/0708/natusa/sr/men/results/,221.85,4
7,2007/08,4CC,https://skatingscores.com/0708/4cc/,Goyang,2008-02-11,https://skatingscores.com/0708/4cc/sr/men/i/short/usa/jeremy_abbott/,60.87,9,https://skatingscores.com/0708/4cc/sr/men/i/long/usa/jeremy_abbott/,145.53,4,https://skatingscores.com/0708/4cc/sr/men/results/,206.4,5
8,2007/08,Worlds,https://skatingscores.com/0708/wc/,Göteborg,2008-03-16,https://skatingscores.com/0708/wc/sr/men/i/short/usa/jeremy_abbott/,65.61,14,https://skatingscores.com/0708/wc/sr/men/i/long/usa/jeremy_abbott/,131.65,10,https://skatingscores.com/0708/wc/sr/men/results/,197.26,11
9,2008/09,GPCHN,https://skatingscores.com/0809/gpchn/,Beijing,2008-11-06,https://skatingscores.com/0809/gpchn/sr/men/i/short/usa/jeremy_abbott/,77.05,1,https://skatingscores.com/0809/gpchn/sr/men/i/long/usa/jeremy_abbott/,156.39,1,https://skatingscores.com/0809/gpchn/sr/men/results/,233.44,1
10,2008/09,GPRUS,https://skatingscores.com/0809/gprus/,Moscow,2008-11-20,https://skatingscores.com/0809/gprus/sr/men/i/short/usa/jeremy_abbott/,68.8,6,https://skatingscores.com/0809/gprus/sr/men/i/long/usa/jeremy_abbott/,148.68,2,https://skatingscores.com/0809/gprus/sr/men/results/,217.48,4
11,2008/09,GPF,https://skatingscores.com/0809/gpf/,Goyang,2008-12-10,https://skatingscores.com/0809/gpf/sr/men/i/short/usa/jeremy_abbott/,78.26,2,https://skatingscores.com/0809/gpf/sr/men/i/long/usa/jeremy_abbott/,159.46,1,https://skatingscores.com/0809/gpf/sr/men/results/,237.72,1
12,2008/09,US Nationals,https://skatingscores.com/0809/natusa/,"Cleveland, OH",2009-01-18,https://skatingscores.com/0809/natusa/sr/men/i/short/usa/jeremy_abbott/,86.4,1,https://skatingscores.com/0809/natusa/sr/men/i/long/usa/jeremy_abbott/,155.49,1,https://skatingscores.com/0809/natusa/sr/men/results/,241.89,1
13,2008/09,4CC,https://skatingscores.com/0809/4cc/,"Vancouver, BC",2009-02-02,https://skatingscores.com/0809/4cc/sr/men/i/short/usa/jeremy_abbott/,75.67,4,https://skatingscores.com/0809/4cc/sr/men/i/long/usa/jeremy_abbott/,141.27,6,https://skatingscores.com/0809/4cc/sr/men/results/,216.94,5
14,2008/09,Worlds,https://skatingscores.com/0809/wc/,"Los Angeles, CA",2009-03-22,https://skatingscores.com/0809/wc/sr/men/i/short/usa/jeremy_abbott/,72.15,10,https://skatingscores.com/0809/wc/sr/men/i/long/usa/jeremy_abbott/,132.52,10,https://skatingscores.com/0809/wc/sr/men/results/,204.67,11
15,2008/09,WTT,https://skatingscores.com/0809/wtt/,"Tokyo, Tokyo",2009-04-15,https://skatingscores.com/0809/wtt/sr/men/i/short/usa/jeremy_abbott/,71.27,5P,https://skatingscores.com/0809/wtt/sr/men/i/long/usa/jeremy_abbott/,133.78,5P,https://skatingscores.com/0809/wtt/sr/men/results/,205.05,5P
