,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2009/10,USA Pacific,https://skatingscores.com/0910/uspsec/,"Jackson Hole, WY",2009-11-17,https://skatingscores.com/0910/uspsec/nov/women/i/short/usa/polina_edmunds/,34.74,4N,,0.0,,https://skatingscores.com/0910/uspsec/nov/women/results/,34.74,4N
1,2009/10,US Nationals,https://skatingscores.com/0910/natusa/,"Spokane, WA",2010-01-15,https://skatingscores.com/0910/natusa/nov/women/i/short/usa/polina_edmunds/,40.07,4N,https://skatingscores.com/0910/natusa/nov/women/i/long/usa/polina_edmunds/,77.9,6N,https://skatingscores.com/0910/natusa/nov/women/results/,117.97,6N
2,2010/11,USA Pacific,https://skatingscores.com/1011/uspsec/,"Culver City, CA",2010-11-10,https://skatingscores.com/1011/uspsec/jr/women/i/short/usa/polina_edmunds/,45.5,3J,https://skatingscores.com/1011/uspsec/jr/women/i/long/usa/polina_edmunds/,80.39,3J,https://skatingscores.com/1011/uspsec/jr/women/results/,125.89,3J
3,2010/11,US Nationals,https://skatingscores.com/1011/natusa/,"Greensboro, NC",2011-01-22,https://skatingscores.com/1011/natusa/jr/women/i/short/usa/polina_edmunds/,48.78,6J,https://skatingscores.com/1011/natusa/jr/women/i/long/usa/polina_edmunds/,84.13,8J,https://skatingscores.com/1011/natusa/jr/women/results/,132.91,7J
4,2011/12,USA Pacific,https://skatingscores.com/1112/uspsec/,"Salt Lake City, UT",2011-11-16,https://skatingscores.com/1112/uspsec/jr/women/i/short/usa/polina_edmunds/,40.92,5J,https://skatingscores.com/1112/uspsec/jr/women/i/long/usa/polina_edmunds/,82.63,1J,https://skatingscores.com/1112/uspsec/jr/women/results/,123.55,3J
5,2011/12,US Nationals,https://skatingscores.com/1112/natusa/,"San Jose, CA",2012-01-22,https://skatingscores.com/1112/natusa/jr/women/i/short/usa/polina_edmunds/,51.02,4J,https://skatingscores.com/1112/natusa/jr/women/i/long/usa/polina_edmunds/,83.04,6J,https://skatingscores.com/1112/natusa/jr/women/results/,134.06,6J
6,2012/13,USA Pacific,https://skatingscores.com/1213/uspsec/,"Provo, UT",2012-11-10,https://skatingscores.com/1213/uspsec/jr/women/i/short/usa/polina_edmunds/,57.72,1J,https://skatingscores.com/1213/uspsec/jr/women/i/long/usa/polina_edmunds/,108.9,1J,https://skatingscores.com/1213/uspsec/jr/women/results/,166.62,1J
7,2012/13,US Nationals,https://skatingscores.com/1213/natusa/,"Omaha, NE",2013-01-20,https://skatingscores.com/1213/natusa/jr/women/i/short/usa/polina_edmunds/,58.17,1J,https://skatingscores.com/1213/natusa/jr/women/i/long/usa/polina_edmunds/,101.7,1J,https://skatingscores.com/1213/natusa/jr/women/results/,159.87,1J
8,2012/13,Egna,https://skatingscores.com/1213/egntro/,Selva Val Gardena,2013-04-02,https://skatingscores.com/1213/egntro/jr/women/i/short/usa/polina_edmunds/,50.69,1J,https://skatingscores.com/1213/egntro/jr/women/i/long/usa/polina_edmunds/,107.76,1J,https://skatingscores.com/1213/egntro/jr/women/results/,158.45,1J
9,2013/14,JGP MEX,https://skatingscores.com/1314/jgpmex/,Mexico City,2013-09-05,https://skatingscores.com/1314/jgpmex/jr/women/i/short/usa/polina_edmunds/,57.78,1J,https://skatingscores.com/1314/jgpmex/jr/women/i/long/usa/polina_edmunds/,113.43,1J,https://skatingscores.com/1314/jgpmex/jr/women/results/,171.21,1J
