,season,event-title,event-url,location,date,short-program-link,short-program-score,short-program-ranking,freeskating-link,freeskating-score,freeskating-ranking,final-link,final-score,final-ranking
0,2010/11,Asian Games,https://skatingscores.com/1011/asngam/,Astana,2011-02-03,https://skatingscores.com/1011/asngam/sr/men/i/short/uzb/misha_ge/,53.97,9,https://skatingscores.com/1011/asngam/sr/men/i/long/uzb/misha_ge/,123.39,5,https://skatingscores.com/1011/asngam/sr/men/results/,177.36,6
1,2010/11,4CC,https://skatingscores.com/1011/4cc/,Taipei,2011-02-15,https://skatingscores.com/1011/4cc/sr/men/i/short/uzb/misha_ge/,58.6,13,https://skatingscores.com/1011/4cc/sr/men/i/long/uzb/misha_ge/,123.46,12,https://skatingscores.com/1011/4cc/sr/men/results/,182.06,12
2,2010/11,Worlds,https://skatingscores.com/1011/wc/,Moscow,2011-04-25,https://skatingscores.com/1011/wc/sr/men/i/short/uzb/misha_ge/,49.61,30,,0.0,,https://skatingscores.com/1011/wc/sr/men/results/,49.61,30
3,2011/12,Cup of Nice,https://skatingscores.com/1112/cupnic/,Nice,2011-10-26,https://skatingscores.com/1112/cupnic/sr/men/i/short/uzb/misha_ge/,57.33,8,https://skatingscores.com/1112/cupnic/sr/men/i/long/uzb/misha_ge/,120.45,6,https://skatingscores.com/1112/cupnic/sr/men/results/,177.78,8
4,2011/12,Ice Challenge,https://skatingscores.com/1112/icecha/,Graz,2011-11-01,https://skatingscores.com/1112/icecha/sr/men/i/short/uzb/misha_ge/,65.09,2,https://skatingscores.com/1112/icecha/sr/men/i/long/uzb/misha_ge/,134.03,2,https://skatingscores.com/1112/icecha/sr/men/results/,199.12,2
5,2011/12,Bosphorus Cup,https://skatingscores.com/1112/boscup/,Istanbul,2011-12-14,https://skatingscores.com/1112/boscup/sr/men/i/short/uzb/misha_ge/,63.35,3,https://skatingscores.com/1112/boscup/sr/men/i/long/uzb/misha_ge/,139.49,2,https://skatingscores.com/1112/boscup/sr/men/results/,202.84,2
6,2011/12,4CC,https://skatingscores.com/1112/4cc/,"Colorado Springs, CO",2012-02-07,https://skatingscores.com/1112/4cc/sr/men/i/short/uzb/misha_ge/,64.49,11,https://skatingscores.com/1112/4cc/sr/men/i/long/uzb/misha_ge/,132.04,8,https://skatingscores.com/1112/4cc/sr/men/results/,196.53,9
7,2011/12,Worlds,https://skatingscores.com/1112/wc/,Nice,2012-03-26,https://skatingscores.com/1112/wc/sr/men/i/short/uzb/misha_ge/,65.29,19,https://skatingscores.com/1112/wc/sr/men/i/long/uzb/misha_ge/,121.12,23,https://skatingscores.com/1112/wc/sr/men/results/,186.41,19
8,2012/13,Finlandia,https://skatingscores.com/1213/fintro/,Espoo,2012-10-05,https://skatingscores.com/1213/fintro/sr/men/i/short/uzb/misha_ge/,61.32,6,https://skatingscores.com/1213/fintro/sr/men/i/long/uzb/misha_ge/,126.6,6,https://skatingscores.com/1213/fintro/sr/men/results/,187.92,6
9,2012/13,Ice Challenge,https://skatingscores.com/1213/icecha/,Graz,2012-11-05,https://skatingscores.com/1213/icecha/sr/men/i/short/uzb/misha_ge/,61.67,5,https://skatingscores.com/1213/icecha/sr/men/i/long/uzb/misha_ge/,125.04,4,https://skatingscores.com/1213/icecha/sr/men/results/,186.71,4
10,2012/13,Warsaw Cup,https://skatingscores.com/1213/warcup/,Warsaw,2012-11-15,https://skatingscores.com/1213/warcup/sr/men/i/short/uzb/misha_ge/,61.7,3,https://skatingscores.com/1213/warcup/sr/men/i/long/uzb/misha_ge/,133.33,2,https://skatingscores.com/1213/warcup/sr/men/results/,195.03,2
11,2012/13,NRW Trophy,https://skatingscores.com/1213/nrwtro/,Dortmund,2012-12-04,https://skatingscores.com/1213/nrwtro/sr/men/i/short/uzb/misha_ge/,65.01,6,https://skatingscores.com/1213/nrwtro/sr/men/i/long/uzb/misha_ge/,145.65,2,https://skatingscores.com/1213/nrwtro/sr/men/results/,210.66,5
12,2012/13,Denk-Stav Cup,https://skatingscores.com/1213/dscup/,Sofia,2012-12-13,https://skatingscores.com/1213/dscup/sr/men/i/short/uzb/misha_ge/,69.93,1,https://skatingscores.com/1213/dscup/sr/men/i/long/uzb/misha_ge/,135.24,1,https://skatingscores.com/1213/dscup/sr/men/results/,205.17,1
13,2012/13,4CC,https://skatingscores.com/1213/4cc/,"Osaka, Osaka",2013-02-08,https://skatingscores.com/1213/4cc/sr/men/i/short/uzb/misha_ge/,70.26,12,https://skatingscores.com/1213/4cc/sr/men/i/long/uzb/misha_ge/,131.45,10,https://skatingscores.com/1213/4cc/sr/men/results/,201.71,11
14,2012/13,Worlds,https://skatingscores.com/1213/wc/,"London, ON",2013-03-11,https://skatingscores.com/1213/wc/sr/men/i/short/uzb/misha_ge/,68.45,15,https://skatingscores.com/1213/wc/sr/men/i/long/uzb/misha_ge/,139.05,16,https://skatingscores.com/1213/wc/sr/men/results/,207.5,16
15,2013/14,Asian Trophy,https://skatingscores.com/1314/asntro/,Bangkok,2013-08-08,https://skatingscores.com/1314/asntro/sr/men/i/short/uzb/misha_ge/,69.61,2,https://skatingscores.com/1314/asntro/sr/men/i/long/uzb/misha_ge/,134.02,2,https://skatingscores.com/1314/asntro/sr/men/results/,203.63,2
16,2013/14,GPRUS,https://skatingscores.com/1314/gprus/,Moscow,2013-11-22,https://skatingscores.com/1314/gprus/sr/men/i/short/uzb/misha_ge/,63.23,8,https://skatingscores.com/1314/gprus/sr/men/i/long/uzb/misha_ge/,127.05,8,https://skatingscores.com/1314/gprus/sr/men/results/,190.28,8
17,2013/14,Denk-Stav Cup,https://skatingscores.com/1314/dscup/,Sofia,2013-11-29,https://skatingscores.com/1314/dscup/sr/men/i/short/uzb/misha_ge/,66.8,1,https://skatingscores.com/1314/dscup/sr/men/i/long/uzb/misha_ge/,132.4,1,https://skatingscores.com/1314/dscup/sr/men/results/,199.2,1
18,2013/14,4CC,https://skatingscores.com/1314/4cc/,Taipei,2014-01-20,https://skatingscores.com/1314/4cc/sr/men/i/short/uzb/misha_ge/,65.26,12,https://skatingscores.com/1314/4cc/sr/men/i/long/uzb/misha_ge/,123.15,14,https://skatingscores.com/1314/4cc/sr/men/results/,188.41,13
19,2013/14,Olympics,https://skatingscores.com/1314/oly/,Sochi,2014-02-11,https://skatingscores.com/1314/oly/sr/men/i/short/uzb/misha_ge/,68.07,18,https://skatingscores.com/1314/oly/sr/men/i/long/uzb/misha_ge/,135.19,17,https://skatingscores.com/1314/oly/sr/men/results/,203.26,17
20,2013/14,Worlds,https://skatingscores.com/1314/wc/,"Saitama, Saitama",2014-03-24,https://skatingscores.com/1314/wc/sr/men/i/short/uzb/misha_ge/,60.34,27,,0.0,,https://skatingscores.com/1314/wc/sr/men/results/,60.34,27
21,2014/15,Finlandia,https://skatingscores.com/1415/fintro/,Espoo,2014-10-09,https://skatingscores.com/1415/fintro/sr/men/i/short/uzb/misha_ge/,64.96,4,https://skatingscores.com/1415/fintro/sr/men/i/long/uzb/misha_ge/,138.55,4,https://skatingscores.com/1415/fintro/sr/men/results/,203.51,4
22,2014/15,GPCHN,https://skatingscores.com/1415/gpchn/,Shanghai,2014-11-06,https://skatingscores.com/1415/gpchn/sr/men/i/short/uzb/misha_ge/,69.46,7,https://skatingscores.com/1415/gpchn/sr/men/i/long/uzb/misha_ge/,149.82,3,https://skatingscores.com/1415/gpchn/sr/men/results/,219.28,5
23,2014/15,GPRUS,https://skatingscores.com/1415/gprus/,Moscow,2014-11-13,https://skatingscores.com/1415/gprus/sr/men/i/short/uzb/misha_ge/,79.69,5,https://skatingscores.com/1415/gprus/sr/men/i/long/uzb/misha_ge/,158.36,5,https://skatingscores.com/1415/gprus/sr/men/results/,238.05,4
24,2014/15,4CC,https://skatingscores.com/1415/4cc/,Seoul,2015-02-10,https://skatingscores.com/1415/4cc/sr/men/i/short/uzb/misha_ge/,82.25,7,https://skatingscores.com/1415/4cc/sr/men/i/long/uzb/misha_ge/,143.95,9,https://skatingscores.com/1415/4cc/sr/men/results/,226.2,8
25,2014/15,Worlds,https://skatingscores.com/1415/wc/,Shanghai,2015-03-26,https://skatingscores.com/1415/wc/sr/men/i/short/uzb/misha_ge/,78.52,8,https://skatingscores.com/1415/wc/sr/men/i/long/uzb/misha_ge/,156.37,7,https://skatingscores.com/1415/wc/sr/men/results/,234.89,6
26,2015/16,Denk-Stav Cup,https://skatingscores.com/1516/dscup/,Sofia,2015-10-20,https://skatingscores.com/1516/dscup/sr/men/i/short/uzb/misha_ge/,65.65,2,https://skatingscores.com/1516/dscup/sr/men/i/long/uzb/misha_ge/,144.49,1,https://skatingscores.com/1516/dscup/sr/men/results/,210.14,1
27,2015/16,GPCHN,https://skatingscores.com/1516/gpchn/,Beijing,2015-11-05,https://skatingscores.com/1516/gpchn/sr/men/i/short/uzb/misha_ge/,69.13,9,https://skatingscores.com/1516/gpchn/sr/men/i/long/uzb/misha_ge/,148.04,6,https://skatingscores.com/1516/gpchn/sr/men/results/,217.17,8
28,2015/16,Worlds,https://skatingscores.com/1516/wc/,"Boston, MA",2016-03-26,https://skatingscores.com/1516/wc/sr/men/i/short/uzb/misha_ge/,77.43,15,https://skatingscores.com/1516/wc/sr/men/i/long/uzb/misha_ge/,146.1,14,https://skatingscores.com/1516/wc/sr/men/results/,223.53,15
29,2016/17,Autumn Cl.,https://skatingscores.com/1617/atmcla/,"Montreal, QC",2016-09-28,https://skatingscores.com/1617/atmcla/sr/men/i/short/uzb/misha_ge/,79.52,2,https://skatingscores.com/1617/atmcla/sr/men/i/long/uzb/misha_ge/,151.03,3,https://skatingscores.com/1617/atmcla/sr/men/results/,230.55,2
30,2016/17,GPCAN,https://skatingscores.com/1617/gpcan/,"Mississauga, ON",2016-10-28,https://skatingscores.com/1617/gpcan/sr/men/i/short/uzb/misha_ge/,72.3,7,https://skatingscores.com/1617/gpcan/sr/men/i/long/uzb/misha_ge/,153.77,5,https://skatingscores.com/1617/gpcan/sr/men/results/,226.07,6
31,2016/17,GPFRA,https://skatingscores.com/1617/gpfra/,Paris,2016-11-11,https://skatingscores.com/1617/gpfra/sr/men/i/short/uzb/misha_ge/,72.49,8,https://skatingscores.com/1617/gpfra/sr/men/i/long/uzb/misha_ge/,156.57,6,https://skatingscores.com/1617/gpfra/sr/men/results/,229.06,7
32,2016/17,4CC,https://skatingscores.com/1617/4cc/,Gangneung,2017-02-15,https://skatingscores.com/1617/4cc/sr/men/i/short/uzb/misha_ge/,81.85,8,https://skatingscores.com/1617/4cc/sr/men/i/long/uzb/misha_ge/,157.56,8,https://skatingscores.com/1617/4cc/sr/men/results/,239.41,7
33,2016/17,Asian Games,https://skatingscores.com/1617/asngam/,"Sapporo, Hokkaido",2017-02-23,https://skatingscores.com/1617/asngam/sr/men/i/short/uzb/misha_ge/,76.18,8,https://skatingscores.com/1617/asngam/sr/men/i/long/uzb/misha_ge/,157.75,5,https://skatingscores.com/1617/asngam/sr/men/results/,233.93,6
34,2016/17,Worlds,https://skatingscores.com/1617/wc/,Helsinki,2017-03-29,https://skatingscores.com/1617/wc/sr/men/i/short/uzb/misha_ge/,79.91,16,https://skatingscores.com/1617/wc/sr/men/i/long/uzb/misha_ge/,163.54,10,https://skatingscores.com/1617/wc/sr/men/results/,243.45,12
35,2017/18,Autumn Cl.,https://skatingscores.com/1718/atmcla/,"Montreal, QC",2017-09-20,https://skatingscores.com/1718/atmcla/sr/men/i/short/uzb/misha_ge/,83.64,5,https://skatingscores.com/1718/atmcla/sr/men/i/long/uzb/misha_ge/,162.55,2,https://skatingscores.com/1718/atmcla/sr/men/results/,246.19,4
36,2017/18,GPRUS,https://skatingscores.com/1718/gprus/,Moscow,2017-10-20,https://skatingscores.com/1718/gprus/sr/men/i/short/uzb/misha_ge/,85.02,5,https://skatingscores.com/1718/gprus/sr/men/i/long/uzb/misha_ge/,170.31,4,https://skatingscores.com/1718/gprus/sr/men/results/,255.33,4
37,2017/18,GPFRA,https://skatingscores.com/1718/gpfra/,Grenoble,2017-11-17,https://skatingscores.com/1718/gpfra/sr/men/i/short/uzb/misha_ge/,85.41,6,https://skatingscores.com/1718/gpfra/sr/men/i/long/uzb/misha_ge/,172.93,3,https://skatingscores.com/1718/gpfra/sr/men/results/,258.34,3
38,2017/18,4CC,https://skatingscores.com/1718/4cc/,Taipei,2018-01-22,https://skatingscores.com/1718/4cc/sr/men/i/short/uzb/misha_ge/,82.27,8,https://skatingscores.com/1718/4cc/sr/men/i/long/uzb/misha_ge/,166.69,7,https://skatingscores.com/1718/4cc/sr/men/results/,248.96,6
39,2017/18,Olympics,https://skatingscores.com/1718/oly/,PyeongChang,2018-02-14,https://skatingscores.com/1718/oly/sr/men/i/short/uzb/misha_ge/,83.9,14,https://skatingscores.com/1718/oly/sr/men/i/long/uzb/misha_ge/,161.04,17,https://skatingscores.com/1718/oly/sr/men/results/,244.94,17
40,2017/18,Worlds,https://skatingscores.com/1718/wc/,Milano,2018-03-19,https://skatingscores.com/1718/wc/sr/men/i/short/uzb/misha_ge/,86.01,8,https://skatingscores.com/1718/wc/sr/men/i/long/uzb/misha_ge/,163.56,9,https://skatingscores.com/1718/wc/sr/men/results/,249.57,9
