name,event-title,date,short-score,free-score,final-score,short-PCS,free-PCS
usa-ashley_wagner,GPF,2009-12-03,54.26,107.81,162.07,26.96,51.84
jpn-akiko_suzuki,GPF,2009-12-03,57.54,116.46,174,27.48,52.88
kor-yuna_kim,GPF,2009-12-03,65.64,123.22,188.86,31.84,61.52
ita-carolina_kostner,Europeans,2010-01-18,65.8,107.66,173.46,29.8,59.44
jpn-akiko_suzuki,4CC,2010-01-27,58.88,114.84,173.72,25.48,52.64
jpn-mao_asada,4CC,2010-01-27,57.22,126.74,183.96,28.12,58.16
ita-carolina_kostner,Olympics,2010-02-12,63.02,88.88,151.9,29.68,57.04
jpn-akiko_suzuki,Olympics,2010-02-12,61.02,120.42,181.44,27.92,59.44
jpn-mao_asada,Olympics,2010-02-12,73.78,131.72,205.5,32.28,67.04
kor-yuna_kim,Olympics,2010-02-12,78.5,150.06,228.56,33.8,71.76
jpn-akiko_suzuki,Worlds,2010-03-22,48.36,111.68,160.04,26.04,52.72
ita-carolina_kostner,Worlds,2010-03-22,62.2,115.11,177.31,29,60.24
kor-yuna_kim,Worlds,2010-03-22,60.3,130.49,190.79,30.28,65.04
jpn-mao_asada,Worlds,2010-03-22,68.08,129.5,197.58,30.96,62.48
rus-adelina_sotnikova,JGP Final,2010-12-08,57.27,112.54,169.81,25.75,53.81
jpn-akiko_suzuki,GPF,2010-12-08,58.26,115.46,173.72,28.2,57.28
ita-carolina_kostner,GPF,2010-12-08,62.13,116.47,178.6,30.6,60.91
fra-maeberenice_meite,Europeans,2011-01-24,51.61,87.13,138.74,22.2,41.38
ita-carolina_kostner,Europeans,2011-01-24,53.17,115.37,168.54,29.15,62.1
jpn-akiko_suzuki,4CC,2011-02-15,57.64,104.95,162.59,28.03,55.77
jpn-mao_asada,4CC,2011-02-15,63.41,132.89,196.3,30.21,62.71
fra-maeberenice_meite,Worlds,2011-04-25,53.26,97.18,150.44,22.21,50.63
jpn-mao_asada,Worlds,2011-04-25,58.66,114.13,172.79,30.74,59.94
ita-carolina_kostner,Worlds,2011-04-25,59.75,124.93,184.68,30.23,64.63
kor-yuna_kim,Worlds,2011-04-25,65.91,128.59,194.5,32.94,66.87
