Pl,Name,Nation,TSS,TES,,PCS,SS,TR,PE,CO,IN,Ded,StN
1,MEDVEDEVA Evgenia,OAR,156.65,79.18,,77.47,9.57,9.43,9.82,9.71,9.89,0.0,#24
2,ZAGITOVA Alina,OAR,156.65,81.62,,75.03,9.32,9.21,9.61,9.29,9.46,0.0,#22
3,OSMOND Kaetlyn,CAN,152.15,76.5,,75.65,9.5,9.21,9.57,9.39,9.61,0.0,#23
4,MIYAHARA Satoko,JPN,146.44,75.2,,71.24,8.93,8.64,9.07,8.89,9.0,0.0,#19
5,KOSTNER Carolina,ITA,139.29,63.64,,75.65,9.46,9.25,9.43,9.57,9.57,0.0,#20
6,SAKAMOTO Kaori,JPN,136.53,68.42,,68.11,8.57,8.36,8.5,8.57,8.57,0.0,#21
7,SOTSKOVA Maria,OAR,134.24,66.94,,67.3,8.39,8.14,8.54,8.43,8.57,0.0,#13
8,CHOI Dabin,KOR,131.49,68.74,,62.75,7.86,7.57,8.04,7.86,7.89,0.0,#17
9,TENNELL Bradie,USA,128.34,65.41,,62.93,7.93,7.68,7.79,7.93,8.0,0.0,#15
10,KIM Hanul,KOR,121.38,67.03,,54.35,6.96,6.46,7.0,6.68,6.86,0.0,#4
11,CHEN Karen,USA,119.75,56.65,,64.1,8.18,7.64,7.96,8.07,8.21,1.0,#14
12,NAGASU Mirai,USA,119.61,57.56,,62.05,8.14,7.5,7.71,7.75,7.68,0.0,#18
13,TURSYNBAEVA Elizabet,KAZ,118.3,60.5,,58.8,7.39,7.11,7.39,7.43,7.43,1.0,#7
14,HENDRICKX Loena,BEL,116.72,60.73,,55.99,7.07,6.71,7.11,6.96,7.14,0.0,#2
15,RAJICOVA Nicole,SVK,114.6,57.8,,56.8,7.11,6.89,7.25,7.04,7.21,0.0,#11
16,CRAINE Kailani,AUS,111.84,57.89,,53.95,6.68,6.54,7.0,6.64,6.86,0.0,#9
17,SCHOTT Nicole,GER,109.26,52.68,,56.58,7.04,6.82,7.04,7.18,7.29,0.0,#10
18,MEITE Mae Berenice,FRA,106.25,55.13,,52.12,6.5,6.29,6.61,6.54,6.64,1.0,#3
19,DALEMAN Gabrielle,CAN,103.56,45.81,,61.75,8.0,7.64,7.39,7.93,7.64,4.0,#16
20,LI Xiangning,CHN,101.97,50.56,,51.41,6.57,6.21,6.46,6.39,6.5,0.0,#5
21,PELTONEN Emmi,FIN,101.86,46.41,,56.45,7.14,6.79,7.0,7.07,7.29,1.0,#8
22,PAGANINI Alexia,SUI,101.0,50.94,,50.06,6.43,6.0,6.29,6.32,6.25,0.0,#1
23,TOTH Ivett,HUN,97.21,49.82,,50.39,6.32,6.29,6.21,6.39,6.29,3.0,#6
24,WILLIAMS Isadora,BRA,88.44,38.39,,51.05,6.43,6.18,6.36,6.43,6.5,1.0,#12
