Pl,Qual,Name,Nation,TSS,TES,,PCS,SS,TR,PE,CO,IN,Ded,StN
1,Q,ZAGITOVA Alina,OAR,82.92,45.3,,37.62,9.36,9.18,9.64,9.43,9.43,0.0,#28
2,Q,MEDVEDEVA Evgenia,OAR,81.61,43.19,,38.42,9.54,9.39,9.71,9.68,9.71,0.0,#25
3,Q,OSMOND Kaetlyn,CAN,78.87,41.83,,37.04,9.32,9.0,9.36,9.29,9.32,0.0,#27
4,Q,MIYAHARA Satoko,JPN,75.94,40.25,,35.69,8.96,8.75,9.0,8.86,9.04,0.0,#26
5,Q,SAKAMOTO Kaori,JPN,73.18,40.36,,32.82,8.43,7.96,8.29,8.18,8.18,0.0,#19
6,Q,KOSTNER Carolina,ITA,73.15,35.06,,38.09,9.46,9.32,9.54,9.61,9.68,0.0,#29
7,Q,DALEMAN Gabrielle,CAN,68.9,35.9,,33.0,8.32,8.04,8.18,8.25,8.46,0.0,#21
8,Q,CHOI Dabin,KOR,67.77,37.54,,30.23,7.75,7.29,7.68,7.5,7.57,0.0,#24
9,Q,NAGASU Mirai,USA,66.93,37.24,,30.69,8.04,7.36,7.61,7.68,7.68,1.0,#20
10,Q,CHEN Karen,USA,65.9,33.53,,32.37,8.07,7.89,8.14,8.11,8.25,0.0,#22
11,Q,TENNELL Bradie,USA,64.01,35.5,,29.51,7.57,7.25,7.25,7.43,7.39,1.0,#1
12,Q,SOTSKOVA Maria,OAR,63.86,31.47,,33.39,8.46,8.21,8.21,8.46,8.39,1.0,#30
13,Q,RAJICOVA Nicole,SVK,60.59,32.36,,28.23,7.18,6.82,7.21,7.0,7.07,0.0,#18
14,Q,SCHOTT Nicole,GER,59.2,31.62,,27.58,6.96,6.61,7.07,6.86,6.96,0.0,#17
15,Q,TURSYNBAEVA Elizabet,KAZ,58.82,29.14,,29.68,7.46,7.18,7.5,7.43,7.54,0.0,#23
16,Q,CRAINE Kailani,AUS,56.77,30.36,,26.41,6.61,6.32,6.71,6.57,6.79,0.0,#13
17,Q,WILLIAMS Isadora,BRA,55.74,29.83,,25.91,6.54,6.29,6.64,6.46,6.46,0.0,#2
18,Q,PELTONEN Emmi,FIN,55.28,28.48,,27.8,7.0,6.64,6.96,7.07,7.07,1.0,#10
19,Q,PAGANINI Alexia,SUI,55.26,29.99,,25.27,6.39,6.14,6.39,6.39,6.29,0.0,#8
20,Q,HENDRICKX Loena,BEL,55.16,27.79,,27.37,7.04,6.64,6.82,6.82,6.89,0.0,#16
21,Q,KIM Hanul,KOR,54.33,29.41,,24.92,6.36,6.0,6.32,6.29,6.18,0.0,#5
22,Q,MEITE Mae Berenice,FRA,53.67,28.24,,25.43,6.57,6.14,6.46,6.29,6.32,0.0,#12
23,Q,TOTH Ivett,HUN,53.22,27.6,,25.62,6.54,6.18,6.43,6.39,6.5,0.0,#14
24,Q,LI Xiangning,CHN,52.46,27.27,,26.19,6.64,6.29,6.54,6.64,6.64,1.0,#7
25,,AUSTMAN Larkyn,CAN,51.42,25.93,,26.49,6.71,6.32,6.61,6.71,6.75,1.0,#11
26,,NIKITINA Diana,LAT,51.12,26.35,,24.77,6.29,5.93,6.18,6.32,6.25,0.0,#4
27,,RUSSO Giada,ITA,50.88,25.9,,25.98,6.57,6.25,6.5,6.54,6.61,1.0,#15
28,,OESTLUND Anita,SWE,49.14,25.35,,23.79,6.14,5.82,5.93,5.93,5.93,0.0,#6
29,,KHNYCHENKOVA Anna,UKR,47.59,26.66,,22.93,5.86,5.54,5.61,5.82,5.82,2.0,#3
30,,MAMBEKOVA Aiza,KAZ,44.4,21.29,,23.11,5.71,5.46,5.82,5.89,6.0,0.0,#9
