Pl,Name,Nation,TSS,TES,,PCS,SS,TR,PE,CH,IN,Ded,StN
index,Pl,Name,Nation,TSS,TES,PCS,SS,TR,PE,CH,IN,Ded,StN
1,KIM Yu-Na,KOR,150.06,78.3,,71.76,9.05,8.6,9.15,8.95,9.1,0.0,#21
2,ASADA Mao,JPN,131.72,64.68,,67.04,8.55,7.85,8.5,8.45,8.55,0.0,#22
3,ROCHETTE Joannie,CAN,131.28,62.8,,68.48,8.6,8.3,8.55,8.65,8.7,0.0,#23
4,LEPISTO Laura,FIN,126.61,63.89,,62.72,7.95,7.5,7.8,7.95,8.0,0.0,#16
5,NAGASU Mirai,USA,126.39,65.83,,60.56,7.75,7.25,7.7,7.55,7.6,0.0,#24
6,ANDO Miki,JPN,124.1,62.5,,61.6,7.95,7.25,7.75,7.7,7.85,0.0,#20
7,SUZUKI Akiko,JPN,120.42,60.98,,59.44,7.4,7.05,7.55,7.5,7.65,0.0,#14
8,FLATT Rachael,USA,117.85,59.37,,58.48,7.4,6.95,7.45,7.35,7.4,0.0,#19
9,MAKAROVA Ksenia,RUS,112.69,58.77,,53.92,6.95,6.4,6.85,6.8,6.7,0.0,#17
10,LEONOVA Alena,RUS,110.32,55.84,,54.48,7.05,6.6,6.8,6.75,6.85,0.0,#13
11,KORPI Kiira,FIN,108.61,54.93,,53.68,6.85,6.45,6.75,6.7,6.8,0.0,#8
12,KWAK Min-Jung,KOR,102.37,53.57,,48.8,6.25,5.8,6.15,6.15,6.15,0.0,#12
13,PHANEUF Cynthia,CAN,99.46,48.94,,51.52,6.65,6.0,6.55,6.45,6.55,1.0,#7
14,MEIER Sarah,SUI,96.11,43.87,,52.24,6.6,6.3,6.5,6.55,6.7,0.0,#10
15,HECKEN Sarah,GER,94.9,50.98,,43.92,5.75,5.3,5.45,5.5,5.45,0.0,#6
16,SEBESTYEN Julia,HUN,93.8,41.32,,52.48,6.9,6.3,6.6,6.55,6.45,0.0,#11
17,GEDEVANISHVILI Elene,GEO,93.32,40.64,,53.68,6.95,6.5,6.6,6.75,6.75,1.0,#18
18,LIU Yan,CHN,91.73,49.33,,42.4,5.5,5.0,5.3,5.45,5.25,0.0,#3
19,KOSTNER Carolina,ITA,88.88,34.84,,57.04,7.55,6.95,6.7,7.3,7.15,3.0,#15
20,LEE Cheltzie,AUS,86.0,42.44,,44.56,5.85,5.3,5.6,5.65,5.45,1.0,#9
21,LAFUENTE Sonia,ESP,83.77,43.97,,40.8,5.25,4.75,5.15,5.2,5.15,1.0,#2
22,GLEBOVA Elena,EST,83.39,39.11,,45.28,5.85,5.55,5.5,5.65,5.75,1.0,#4
23,GIMAZETDINOVA Anastasia,UZB,82.63,41.47,,42.16,5.55,5.05,5.15,5.3,5.3,1.0,#5
24,KARADEMIR Tugba,TUR,78.8,37.64,,42.16,5.45,4.95,5.3,5.4,5.25,1.0,#1
