Pl,Name,Nation,TSS,TES,,PCS,SS,TR,PE,CH,IN,Ded,StN
index,Pl,Name,Nation,TSS,TES,PCS,SS,TR,PE,CH,IN,Ded,StN
1,KIM Yu-Na,KOR,78.5,44.7,,33.8,8.6,7.9,8.6,8.4,8.75,0.0,#23
2,ASADA Mao,JPN,73.78,41.5,,32.28,8.25,7.4,8.4,8.1,8.2,0.0,#22
3,ROCHETTE Joannie,CAN,71.36,39.2,,32.16,8.1,7.7,8.15,7.95,8.3,0.0,#26
4,ANDO Miki,JPN,64.76,34.8,,29.96,7.7,7.0,7.6,7.5,7.65,0.0,#30
5,FLATT Rachael,USA,64.64,36.8,,27.84,7.0,6.6,7.05,6.95,7.2,0.0,#28
6,NAGASU Mirai,USA,63.76,37.0,,26.76,6.85,6.4,6.75,6.7,6.75,0.0,#11
7,KOSTNER Carolina,ITA,63.02,33.34,,29.68,7.7,7.15,7.35,7.5,7.4,0.0,#29
8,LEONOVA Alena,RUS,62.14,33.9,,28.24,7.15,6.7,7.25,7.0,7.2,0.0,#25
9,GEDEVANISHVILI Elene,GEO,61.92,35.8,,26.12,6.6,6.05,6.75,6.55,6.7,0.0,#16
10,LEPISTO Laura,FIN,61.36,32.88,,28.48,7.2,6.8,7.25,7.15,7.2,0.0,#21
11,SUZUKI Akiko,JPN,61.02,33.1,,27.92,7.25,6.7,7.05,6.95,6.95,0.0,#24
12,MAKAROVA Ksenia,RUS,59.22,35.46,,23.76,6.2,5.55,6.1,5.85,6.0,0.0,#8
13,SEBESTYEN Julia,HUN,57.46,30.7,,26.76,6.9,6.3,6.8,6.7,6.75,0.0,#27
14,PHANEUF Cynthia,CAN,57.16,31.8,,26.36,6.75,6.25,6.65,6.5,6.8,1.0,#15
15,MEIER Sarah,SUI,56.7,30.7,,26.0,6.6,6.1,6.65,6.45,6.7,0.0,#17
16,KWAK Min-Jung,KOR,53.16,31.4,,21.76,5.65,5.05,5.65,5.4,5.45,0.0,#9
17,KORPI Kiira,FIN,52.96,27.72,,26.24,6.75,6.3,6.5,6.6,6.65,1.0,#19
18,LEE Cheltzie,AUS,52.16,30.72,,21.44,5.45,5.0,5.65,5.4,5.3,0.0,#5
19,LIU Yan,CHN,51.74,29.94,,21.8,5.65,5.1,5.45,5.45,5.6,0.0,#6
20,GLEBOVA Elena,EST,50.8,27.2,,23.6,6.05,5.6,5.9,5.85,6.1,0.0,#18
21,KARADEMIR Tugba,TUR,50.74,28.74,,22.0,5.6,5.2,5.5,5.5,5.7,0.0,#7
22,LAFUENTE Sonia,ESP,49.74,28.94,,20.8,5.4,4.9,5.25,5.25,5.2,0.0,#1
23,HECKEN Sarah,GER,49.04,27.04,,22.0,5.8,5.25,5.55,5.45,5.45,0.0,#20
24,GIMAZETDINOVA Anastasia,UZB,49.02,27.94,,21.08,5.5,4.95,5.4,5.2,5.3,0.0,#14
25,PIEMAN Isabelle,BEL,46.1,26.26,,19.84,5.1,4.6,5.15,4.9,5.05,0.0,#12
26,ZIEGLER Miriam,AUT,43.84,24.8,,20.04,5.25,4.75,4.9,5.15,5.0,1.0,#3
27,POSTIC Teodora,SLO,43.8,23.8,,20.0,5.1,4.65,5.15,5.0,5.1,0.0,#13
28,REITMAYEROVA Ivana,SVK,41.94,22.66,,19.28,5.0,4.6,4.85,4.9,4.75,0.0,#2
29,McCORKELL Jenna,GBR,40.64,20.08,,21.56,5.6,5.15,5.25,5.5,5.45,1.0,#10
30,JURKIEWICZ Anna,POL,36.1,16.78,,19.32,5.05,4.65,4.75,4.85,4.85,0.0,#4
